Item,Nevada,Churchill,Clark,Douglas,Elko,Esmeralda,Eureka,Humboldt,Lander,Lincoln,Lyon,Mineral,Nye,Pershing,Storey,Washoe,White Pine,Carson City
"Broilers and other meat-type chickens sold                farms, 2022",14,2,2,1,1,-,-,3,-,-,1,-,1,-,2,1,-,-
2017,19,2,2,-,3,-,-,-,-,-,-,-,5,3,-,4,-,-
"number, 2022","2,366",(D),(D),(D),(D),-,-,44,-,-,(D),-,(D),-,(D),(D),-,-
2017,"1,722",(D),(D),-,150,-,-,-,-,-,-,-,70,15,-,(D),-,-
2022 farms by number sold:,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",14,2,2,1,1,-,-,3,-,-,1,-,1,-,2,1,-,-
"2,000 to 59,999.....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",22,2,2,1,-,-,-,3,1,-,4,-,4,-,2,3,-,-
2017,28,1,4,-,3,-,-,3,1,-,9,-,2,1,-,4,-,-
"number, 2022",622,(D),(D),(D),-,-,-,6,(D),-,38,-,36,-,(D),10,-,-
2017,168,(D),36,-,6,-,-,6,(D),-,37,-,(D),(D),-,46,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",22,1,4,-,1,-,2,5,-,-,-,-,2,-,-,7,-,-
2017,28,3,1,-,2,-,-,2,1,2,8,-,5,-,-,4,-,-
