Item,Missouri,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,DeKalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,McDonald,Macon,Madison,Maries,Marion,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,St. Charles,St. Clair,Ste. Genevieve,St. Francois,St. Louis,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright
100 to 399.............................................................................,191,-,-,-,3,2,1,-,1,-,7,-,-,2,-,2,8,-,-,5,1,-,2,-,1,-,1,2,-,-,4,-,1,-,-,-,2,3,7,3,1,2,4,2,-,2,-,2,7,2,6,8,-,3,1,-,-,4,-,-,5,6,-,8,-,1,3,-,4,-,-,2,-,3,6,4,2,-,-,-,-,-,1,-,2,2,-,1,2,-,5,5,2,-,5,5,3,-,-,2,-,-,-,2,2,-,-,1,4,-,-,-,1,-,-
"400 to 3,199..........................................................................",62,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,-,-,5,-,2,-,-,-,1,-,6,-,-,-,2,-,-,-,-,-,-,-,1,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,1
"3,200 to 9,999.......................................................................",30,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,1,-,1
"10,000 to 19,999...................................................................",87,1,-,-,3,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,1,-,-,11,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,1,-,-,8,-,1,-,-,-,-,-,-,5,-,-,-,9,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,-,-,2,-,-,-,-,-,12,-,-,-,-,-,3
"20,000 to 49,999...................................................................",116,-,-,-,5,9,-,-,4,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,6,-,-,14,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,-,7,-,-,-,-,5,-,-,-,-,-,-,-,1,-,-,9,-,6,-,1,-,-,-,-,14,-,-,-,14,-,-,-,-,-,-,1,-,2,-,-,-,-,-,2,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-
"50,000 to 99,999...................................................................",10,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,149",7,5,-,11,9,2,13,10,10,28,8,-,5,16,7,7,6,2,30,8,3,22,-,7,14,23,1,18,3,14,13,6,8,30,-,36,5,11,28,3,13,3,3,1,-,19,11,23,16,19,28,3,18,11,25,6,18,2,1,17,12,2,14,7,12,5,-,7,11,12,14,-,21,13,4,4,11,-,9,20,12,8,3,7,7,9,6,14,16,5,18,11,7,8,9,3,10,-,6,1,5,2,5,6,2,1,39,22,5,10,2,35,-,11
2017,"1,141",18,10,1,5,20,-,13,3,7,23,3,10,5,13,16,8,2,3,35,5,1,1,2,5,7,5,8,6,5,15,9,2,7,8,-,36,4,8,19,18,10,6,6,-,5,21,2,3,17,27,16,3,13,15,18,3,19,12,5,20,9,3,9,6,7,6,-,8,23,6,15,-,34,5,2,4,13,1,10,12,24,7,16,14,17,5,7,8,8,1,4,9,10,9,9,-,12,-,6,-,8,3,3,18,1,8,39,28,14,16,8,55,1,13
"number, 2022","3,801,559",58,154,-,(D),"401,017",(D),129,(D),207,993,129,-,62,251,62,164,150,(D),385,(D),84,731,-,91,233,200,(D),308,51,"158,692",(D),102,157,200,-,420,75,"3,466",387,50,230,(D),137,(D),-,208,335,441,192,337,(D),34,177,132,(D),220,313,(D),(D),"30,415",263,(D),207,160,330,59,-,(D),304,131,(D),-,"1,613,668","2,790",81,74,104,-,398,"467,010",198,81,36,(D),104,162,66,197,338,160,232,158,122,77,234,128,97,-,400,(D),62,(D),(D),64,(D),(D),537,553,310,415,(D),"225,124",-,"36,094"
2017,"3,747,664",183,342,(D),(D),"511,605",-,431,80,132,256,50,540,116,298,628,64,(D),98,341,(D),(D),(D),(D),38,94,123,(D),90,34,"100,421",(D),(D),170,107,-,657,74,"4,866",415,606,150,85,108,-,93,326,(D),114,(D),"1,094",(D),45,264,383,314,54,312,158,78,(D),218,200,119,75,384,90,-,744,655,40,675,-,"1,405,900",248,(D),93,385,(D),131,"374,786",417,175,316,"147,914",257,53,114,218,166,(D),88,255,126,120,146,-,717,-,(D),-,179,34,(D),390,(D),77,892,"20,765",190,184,110,"255,259",(D),"4,049"
"Broilers and other meat-type chickens                         farms, 2022","1,392",12,-,6,15,115,2,2,24,3,15,3,5,2,18,3,7,3,7,25,19,5,16,2,1,14,4,4,20,14,20,13,5,7,25,-,19,5,13,14,1,14,7,6,-,-,13,4,5,30,8,25,2,24,19,46,5,15,5,3,60,11,5,-,-,18,11,-,31,10,8,66,1,85,4,7,2,12,-,2,35,12,7,5,16,4,1,6,2,9,3,20,4,9,8,6,4,2,1,31,10,3,7,5,14,1,1,48,13,10,1,4,23,-,15
2017,"1,175",10,9,-,8,111,7,7,17,8,8,-,-,13,21,12,11,3,-,11,3,4,1,1,1,3,7,6,4,-,13,12,8,14,10,1,18,7,3,8,10,3,9,3,1,1,14,3,2,9,9,40,5,15,2,38,7,10,10,12,56,10,3,4,8,5,4,-,16,6,8,46,-,59,4,9,5,4,-,7,41,20,7,7,12,5,4,6,11,10,8,3,4,8,16,5,-,2,3,9,11,8,4,13,8,2,11,16,20,15,9,2,30,-,8
"number, 2022","56,614,738",295,-,180,189,"12,351,141",(D),(D),"2,847,283",(D),"1,373",(D),100,(D),737,6,135,115,150,808,632,66,856,(D),(D),(D),12,(D),276,"1,134,002",(D),238,"120,024",155,897,-,"1,846",(D),"3,472",332,(D),510,286,710,-,-,693,24,"1,285","1,570",(D),"1,258,658",(D),"1,121",874,"2,308,741",(D),225,118,72,"6,695,712",348,16,-,-,624,(D),-,"1,584,996",196,58,"8,262,374",(D),"9,341,877",83,268,(D),109,-,(D),"4,836,000",395,209,240,300,162,(D),104,(D),86,30,"1,214,998",24,"10,210",259,(D),600,(D),(D),"181,362","2,165,140",100,505,"670,000","992,027",(D),(D),"11,089","1,330",340,(D),80,"27,408",-,"2,172"
2017,"49,545,373",274,291,-,252,"12,578,834",77,308,"1,618,769",(D),104,-,-,284,"2,831",49,296,37,-,234,(D),50,(D),(D),(D),(D),175,(D),59,-,"1,240",405,(D),191,104,(D),653,200,"4,040",262,566,125,(D),70,(D),(D),681,24,(D),410,"1,508","437,060",62,611,(D),"2,725,165",260,102,150,820,"7,789,077",150,8,18,218,700,60,-,"959,352",550,184,"4,592,464",-,"6,284,375","19,245",66,501,48,-,180,"4,506,556","1,300",209,110,(D),73,107,6,460,105,180,"628,800",(D),140,334,134,-,(D),51,(D),"3,711,000",883,86,"2,439,911","382,260",(D),217,"2,206",430,"3,552",133,(D),"3,510",-,113
"Turkeys                                                                              farms, 2022","1,072",2,4,-,5,31,10,12,9,2,10,2,-,3,13,1,12,3,-,23,9,3,13,2,10,2,5,11,6,6,16,7,3,6,26,-,19,4,6,24,1,5,9,10,1,-,5,6,21,9,16,29,4,19,17,22,4,17,3,2,15,13,4,16,2,-,30,-,33,16,4,51,-,34,11,14,22,11,-,2,14,14,2,2,14,3,1,9,11,9,6,15,4,13,8,10,6,-,2,11,-,2,-,2,15,6,10,22,12,7,9,-,18,1,16
2017,924,6,1,-,4,25,1,12,7,6,7,2,6,3,6,3,9,-,4,10,2,4,10,-,1,5,6,5,12,4,14,16,-,6,2,-,14,2,3,19,2,4,7,6,-,2,22,6,18,23,12,15,2,11,6,25,12,15,14,2,15,5,1,7,3,-,34,-,28,6,7,60,-,38,3,14,22,5,-,5,5,8,1,5,21,9,3,4,2,11,8,-,6,7,9,9,4,2,5,3,-,6,2,-,11,2,4,28,19,7,2,-,20,1,6
"number, 2022","7,168,069",(D),8,-,15,"956,945","112,012",21,"59,522",(D),(D),(D),-,9,34,(D),48,68,-,164,18,36,(D),(D),23,(D),"64,013",(D),24,"169,434",(D),16,12,30,78,-,106,7,23,133,(D),38,38,75,(D),-,(D),18,152,"284,808",107,126,15,101,96,"1,095,560",72,114,20,(D),"180,734",85,40,108,(D),-,"548,776",-,"503,028",48,14,"1,030,016",-,"960,815",39,203,"573,336",156,-,(D),"89,021",43,(D),(D),"127,098",8,(D),55,131,56,14,46,7,76,16,133,160,-,(D),209,-,(D),-,(D),"64,474",18,(D),89,"78,107",33,28,-,"42,307",(D),32
2017,"7,688,861",110,(D),-,12,"942,042",(D),108,"104,335",88,(D),(D),48,14,88,25,70,-,10,27,(D),37,(D),-,(D),10,(D),"61,759",71,"100,900","100,382",228,-,26,(D),-,44,(D),14,47,(D),10,494,50,-,(D),(D),12,175,"379,812",35,552,(D),102,6,"1,438,025",73,57,102,(D),"166,698",17,(D),108,15,-,"640,785",-,"684,579",28,21,"1,060,702",-,"644,374",19,(D),"539,673",(D),-,10,"51,764",82,(D),20,"313,648",90,15,28,(D),32,14,-,98,53,52,81,36,(D),28,8,-,66,(D),-,"89,525",(D),7,178,"95,728",12,(D),-,(D),(D),19
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","3,103",24,19,2,29,55,6,38,25,20,74,20,12,19,44,26,20,21,3,91,64,8,42,9,28,31,22,11,37,14,39,27,12,28,47,2,104,22,16,121,14,8,18,10,1,7,59,22,48,39,35,77,-,51,20,37,1,34,12,6,69,24,14,27,17,15,28,-,27,19,20,42,-,76,11,29,15,21,8,9,36,41,15,23,39,22,2,7,24,31,16,41,20,25,38,28,21,13,5,20,7,14,2,22,21,14,38,77,45,25,14,13,103,-,39
2017,"2,565",36,17,1,17,49,1,30,14,6,54,10,10,19,49,26,16,6,6,59,32,9,14,8,9,22,25,7,25,11,42,16,6,41,40,2,77,20,12,65,6,16,28,11,2,10,50,26,39,40,31,47,14,33,24,48,9,46,10,5,37,34,4,19,4,4,5,-,35,21,31,23,-,56,12,27,20,26,-,13,33,34,8,27,23,36,8,17,50,30,24,18,11,15,15,14,10,17,2,13,1,21,7,7,33,16,20,83,24,22,15,9,89,2,36
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","6,286",40,35,3,87,223,33,48,72,44,112,31,17,53,80,44,55,19,11,111,69,20,69,13,62,38,54,39,70,54,122,42,45,23,81,2,138,45,44,151,25,32,42,36,4,22,106,26,75,94,88,123,22,88,59,132,24,64,18,15,127,56,20,53,43,20,87,-,119,39,35,188,1,185,35,43,42,33,8,23,118,70,21,39,106,35,26,21,33,45,34,55,35,83,59,57,25,10,13,47,18,27,14,61,55,16,35,115,84,40,43,21,194,2,78
2017,"5,753",34,42,12,71,192,37,54,58,30,95,26,18,29,62,52,44,16,20,92,75,17,63,12,28,40,51,51,39,18,112,53,26,55,62,4,157,44,23,92,44,37,34,17,4,19,74,27,97,76,79,110,25,80,56,118,40,67,39,19,105,59,16,35,20,15,62,1,108,47,36,189,-,182,27,19,64,51,-,32,102,47,41,42,135,35,15,26,33,51,37,25,29,41,53,42,7,29,24,32,16,31,17,39,57,4,50,97,94,51,45,16,190,3,61
"Layers sold                                                                        farms, 2022","1,096",9,3,-,15,20,11,24,5,9,21,2,-,7,15,4,11,-,-,17,18,-,8,3,14,2,11,12,17,1,31,14,2,10,1,-,30,5,14,35,7,2,7,4,-,2,13,-,19,12,16,19,13,22,6,24,-,11,-,7,23,5,4,11,8,1,15,-,20,5,5,30,-,32,10,5,1,10,-,-,23,13,3,10,24,7,-,11,12,15,10,4,12,14,6,3,7,1,4,8,7,8,3,3,17,6,-,13,21,2,8,8,21,-,22
2017,"1,121",16,5,-,14,26,11,25,7,7,20,2,2,8,12,8,11,3,10,25,22,3,16,3,2,3,10,12,8,5,22,7,2,17,8,-,29,5,-,15,2,3,4,-,-,4,5,6,22,8,21,34,19,13,12,17,3,14,5,1,12,12,-,10,7,6,2,-,30,12,6,37,-,41,10,-,5,15,-,4,30,5,2,1,33,9,5,6,6,13,8,4,7,6,3,8,2,11,4,2,5,8,1,1,6,-,12,21,18,7,12,3,39,-,20
"number, 2022","7,249,425",(D),24,-,(D),"318,656",324,900,"163,941",167,683,(D),-,256,449,97,508,-,-,582,"57,619",-,670,142,301,(D),385,(D),404,(D),"273,145","53,247",(D),48,(D),-,881,523,"1,003",452,125,(D),380,260,-,(D),(D),-,592,351,544,(D),"48,011",(D),158,"158,240",-,(D),-,83,"207,583","1,179",108,573,103,(D),809,-,(D),"1,549",95,"530,296",-,(D),"1,350",174,(D),205,-,-,"334,766",468,60,35,"185,232",208,-,100,210,478,125,(D),100,"15,528",90,70,141,(D),112,(D),(D),298,(D),(D),470,46,-,241,"100,963",(D),217,151,"5,626",-,"26,001"
2017,"8,136,416",376,39,-,"120,647","502,445","14,250",569,"177,007",107,"7,700",(D),(D),151,244,85,199,93,60,596,"102,172",190,"2,578",60,(D),36,432,"195,428",142,69,"172,342",(D),(D),353,680,-,"1,118",523,-,538,(D),75,"1,040",-,-,(D),120,106,"1,326",280,"1,041",(D),"95,835",335,566,"214,663",(D),(D),50,(D),"315,581",270,-,"3,404",86,120,(D),-,(D),617,300,"173,964",-,(D),314,-,82,774,-,112,"486,798",56,(D),(D),"318,239",304,330,(D),442,502,"1,830",(D),350,(D),39,201,(D),444,260,(D),(D),130,(D),(D),720,-,"1,035",288,"61,064",235,238,59,"114,438",-,(D)
"Pullets for laying flock replacement sold                      farms, 2022",215,2,-,-,2,7,-,2,5,3,10,-,-,-,3,-,-,-,-,2,1,-,6,-,-,2,-,-,2,-,3,3,-,-,2,-,6,2,5,1,2,-,1,-,-,-,4,-,-,5,3,4,-,5,-,1,1,1,-,-,4,2,1,-,1,1,1,-,3,4,-,4,-,11,1,-,-,3,-,-,10,4,-,-,1,2,6,-,-,4,3,-,4,-,-,-,1,-,-,-,-,1,1,1,5,-,-,5,2,2,-,-,22,-,9
2017,218,-,-,-,1,11,-,-,-,-,4,-,-,-,-,-,6,-,2,-,3,1,-,-,-,-,5,1,-,-,3,4,-,-,-,-,4,-,5,-,6,-,3,-,-,2,-,1,-,3,6,4,-,-,2,2,-,-,-,2,6,-,1,-,-,2,1,-,2,4,4,3,-,10,4,-,-,-,-,-,7,-,1,-,7,2,3,-,2,-,-,-,3,-,-,1,-,-,-,3,4,-,-,2,6,-,5,-,7,-,2,1,40,-,4
"number, 2022","7,281,730",(D),-,-,(D),"1,081,000",-,(D),(D),115,501,-,-,-,54,-,-,-,-,(D),(D),-,36,-,-,(D),-,-,(D),-,(D),(D),-,-,(D),-,148,(D),790,(D),(D),-,(D),-,-,-,298,-,-,36,54,(D),-,40,-,(D),(D),(D),-,-,"119,000",(D),(D),-,(D),(D),(D),-,(D),"1,512",-,(D),-,"1,866,417",(D),-,-,105,-,-,"1,251,300",24,-,-,(D),(D),72,-,-,60,90,-,24,-,-,-,(D),-,-,-,-,(D),(D),(D),44,-,-,93,(D),(D),-,-,"372,417",-,"92,240"
2017,"5,550,933",-,-,-,(D),"991,168",-,-,-,-,80,-,-,-,-,-,42,-,(D),-,(D),(D),-,-,-,-,207,(D),-,-,(D),(D),-,-,-,-,410,-,"8,700",-,"48,000",-,"1,015",-,-,(D),-,(D),-,(D),110,(D),-,-,(D),(D),-,-,-,(D),"84,018",-,(D),-,-,(D),(D),-,(D),(D),20,(D),-,"746,600",20,-,-,-,-,-,"764,612",-,(D),-,"359,014",(D),300,-,(D),-,-,-,12,-,-,(D),-,-,-,90,40,-,-,(D),111,-,460,-,(D),-,(D),(D),"658,140",-,"3,660"
"Broilers and other meat-type chickens sold                farms, 2022",966,6,1,-,8,110,-,3,37,2,18,-,-,7,9,2,10,-,1,18,15,-,4,2,4,4,8,2,6,14,17,1,8,1,1,-,20,2,8,14,-,2,5,7,-,1,3,-,4,13,10,30,-,6,3,26,1,6,-,1,49,9,-,2,3,1,2,-,28,6,3,68,1,78,4,-,4,3,-,-,36,2,-,2,8,3,4,-,2,5,3,8,10,9,-,1,-,1,2,33,9,1,7,9,12,-,-,16,6,7,-,4,12,-,12
2017,747,1,2,-,5,104,2,1,13,3,21,-,-,-,3,1,-,-,-,8,3,1,-,-,1,1,4,8,5,2,5,3,2,8,-,1,12,4,3,6,9,1,4,-,3,2,6,1,7,6,8,33,1,9,9,25,3,1,6,5,51,4,-,2,3,5,1,-,15,6,-,44,-,56,3,-,2,8,-,-,35,5,4,1,6,1,2,1,-,5,-,4,1,-,1,7,-,-,-,8,12,6,-,14,5,-,6,8,6,7,4,-,21,-,5
"number, 2022","316,092,128",270,(D),-,"1,953","67,540,461",-,117,"19,686,160",(D),(D),-,-,786,547,(D),368,-,(D),539,189,-,218,(D),(D),(D),510,(D),887,"6,840,048","145,310",(D),"734,132",(D),(D),-,"3,691",(D),"7,210",675,-,(D),90,"1,100",-,(D),300,-,"1,275","1,610",488,"6,309,676",-,216,108,"13,985,150",(D),479,-,(D),"37,925,288","1,418",-,(D),9,(D),(D),-,"12,488,366","1,094",(D),"39,245,802",(D),"52,236,990",(D),-,(D),150,-,-,"25,245,144",(D),-,(D),498,102,325,-,(D),55,60,"5,829,250",74,"50,150",-,(D),-,(D),(D),"901,724","10,470,120",(D),192,"7,950,000","6,059,545",-,-,126,"1,307",45,-,80,"18,750",-,"9,055"
2017,"286,139,429",(D),(D),-,164,"73,026,569",(D),(D),"9,236,378",(D),"2,454",-,-,-,(D),(D),-,-,-,276,710,(D),-,-,(D),(D),60,(D),500,(D),150,119,(D),96,-,(D),"2,504",(D),"12,900",512,"1,432",(D),(D),-,(D),(D),(D),(D),"3,325",660,"1,561","2,147,249",(D),660,"2,800","17,822,235",32,(D),12,407,"46,100,678","1,700",-,(D),60,180,(D),-,"8,115,624","2,660",-,"22,885,186",-,"39,163,640","30,000",-,(D),460,-,-,"22,837,608",95,(D),(D),(D),(D),(D),(D),-,88,-,"3,144,023",(D),-,(D),864,-,-,-,(D),"20,581,073",879,-,"12,249,570","3,445,000",-,180,814,"1,700","3,345","639,010",-,"27,990",-,"1,854"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",486,6,1,-,8,4,-,3,4,1,17,-,-,7,9,2,10,-,1,18,15,-,4,2,3,3,8,1,6,2,11,1,4,1,1,-,20,2,7,14,-,2,5,7,-,1,3,-,4,13,10,13,-,6,3,6,1,6,-,1,8,9,-,2,3,1,2,-,5,6,3,8,-,9,4,-,4,3,-,-,-,2,-,2,8,3,4,-,2,5,3,1,10,4,-,1,-,1,2,31,1,1,7,-,2,-,-,16,6,7,-,4,9,-,10
