Item,North Dakota,Adams,Barnes,Benson,Billings,Bottineau,Bowman,Burke,Burleigh,Cass,Cavalier,Dickey,Divide,Dunn,Eddy,Emmons,Foster,Golden Valley,Grand Forks,Grant,Griggs,Hettinger,Kidder,LaMoure,Logan,McHenry,McIntosh,McKenzie,McLean,Mercer,Morton,Mountrail,Nelson,Oliver,Pembina,Pierce,Ramsey,Ransom,Renville,Richland,Rolette,Sargent,Sheridan,Sioux,Slope,Stark,Steele,Stutsman,Towner,Traill,Walsh,Ward,Wells,Williams
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",83,-,-,-,-,3,2,-,5,2,-,4,-,1,3,-,-,1,6,1,2,-,-,-,6,-,-,1,8,6,3,-,-,2,-,2,-,4,-,3,-,-,-,1,-,10,-,3,-,-,2,2,-,-
2017,82,1,2,-,-,-,-,-,6,-,3,-,-,-,-,2,3,1,3,2,4,-,-,2,1,1,1,1,2,2,2,3,-,-,2,-,2,4,-,5,-,-,1,-,3,8,-,8,-,4,-,1,1,1
"number, 2022",(D),-,-,-,-,25,(D),-,130,(D),-,90,-,(D),30,-,-,(D),(D),(D),(D),-,-,-,109,-,-,(D),251,64,132,-,-,(D),-,(D),-,(D),-,(D),-,-,-,(D),-,99,-,(D),-,-,(D),(D),-,-
2017,(D),(D),(D),-,-,-,-,-,106,-,30,-,-,-,-,(D),30,(D),(D),(D),90,-,-,(D),(D),(D),(D),(D),(D),(D),(D),18,-,-,(D),-,(D),262,-,23,-,-,(D),-,50,58,-,475,-,52,-,(D),(D),(D)
"Broilers and other meat-type chickens                         farms, 2022",132,-,5,-,-,4,-,2,15,2,2,1,-,-,-,1,2,3,4,-,3,2,1,3,4,2,2,1,3,-,3,2,4,1,3,-,2,3,-,6,5,-,1,1,-,4,-,15,-,3,7,3,6,1
2017,140,4,6,1,-,-,-,-,3,5,1,4,-,6,-,-,-,6,2,5,-,7,-,2,1,4,2,2,5,2,17,3,1,-,1,5,5,3,-,3,1,2,5,-,-,4,-,3,-,3,3,10,3,-
"number, 2022","40,292",-,169,-,-,125,-,(D),"1,449",(D),(D),(D),-,-,-,(D),(D),(D),(D),-,150,(D),(D),(D),210,(D),(D),(D),(D),-,167,(D),200,(D),30,-,(D),90,-,300,142,-,(D),(D),-,325,-,354,-,350,940,236,206,(D)
2017,"6,439",541,150,(D),-,-,-,-,39,320,(D),160,-,335,-,-,-,150,(D),147,-,100,-,(D),(D),102,(D),(D),220,(D),482,9,(D),-,(D),90,183,64,-,(D),(D),(D),(D),-,-,211,-,51,-,9,310,146,32,-
"Turkeys                                                                              farms, 2022",72,-,2,1,-,3,-,-,4,-,-,1,-,-,-,-,-,-,3,-,-,2,-,4,3,3,2,-,6,-,3,4,1,-,3,-,3,1,-,1,-,3,1,1,2,4,-,2,-,1,3,2,-,3
2017,71,1,2,-,-,1,2,2,7,-,-,1,-,3,-,-,-,-,-,-,-,7,-,4,-,3,-,-,1,1,9,3,-,-,1,3,2,1,-,3,-,2,-,-,-,1,-,5,-,-,-,-,-,6
"number, 2022","498,015",-,(D),(D),-,15,-,-,13,-,-,(D),-,-,-,-,-,-,30,-,-,(D),-,(D),60,15,(D),-,16,-,6,7,(D),-,12,-,21,(D),-,(D),-,60,(D),(D),(D),18,-,(D),-,(D),19,(D),-,17
2017,"575,322",(D),(D),-,-,(D),(D),(D),42,-,-,(D),-,12,-,-,-,-,-,-,-,18,-,(D),-,(D),-,-,(D),(D),48,6,-,-,(D),15,(D),(D),-,"178,000",-,(D),-,-,-,(D),-,31,-,-,-,-,-,54
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",226,3,5,1,4,4,2,1,18,2,-,4,1,3,2,1,3,4,4,1,5,1,2,10,2,5,2,3,14,2,13,8,5,-,-,-,2,2,1,11,-,3,-,5,2,15,-,6,1,8,6,12,7,10
2017,233,3,12,1,1,9,1,7,26,7,4,14,1,3,-,3,5,2,6,3,4,2,3,7,-,3,1,-,9,5,9,4,2,-,2,3,-,3,2,9,2,-,-,2,2,11,1,12,4,6,-,8,3,6
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022",528,6,12,4,8,8,4,6,33,7,8,10,2,8,3,4,3,11,10,4,14,7,10,12,11,8,8,24,18,12,32,11,6,12,1,3,13,8,1,36,2,1,7,7,2,26,1,9,2,16,14,17,16,10
2017,541,13,4,5,6,11,5,1,39,27,9,15,15,17,-,4,7,23,3,5,11,12,10,11,2,17,8,6,14,11,26,6,5,4,4,10,2,20,6,22,3,5,7,3,3,20,1,20,6,8,9,17,8,15
"Layers sold                                                                        farms, 2022",65,-,1,-,-,-,-,-,9,1,-,-,-,-,-,1,-,-,1,-,-,1,1,1,1,3,-,8,2,6,2,1,-,1,-,2,-,-,1,2,-,-,3,1,-,3,-,3,-,-,-,4,-,6
2017,90,-,-,-,1,1,1,-,11,12,-,4,-,2,-,-,1,3,2,1,3,-,-,3,-,-,1,-,1,4,3,2,-,-,-,-,-,-,2,6,-,2,-,-,-,4,-,10,-,-,-,3,1,6
"number, 2022",(D),-,(D),-,-,-,-,-,81,(D),-,-,-,-,-,(D),-,-,(D),-,-,(D),(D),(D),(D),30,-,136,(D),30,(D),(D),-,(D),-,(D),-,-,(D),(D),-,-,84,(D),-,120,-,33,-,-,-,129,-,253
2017,(D),-,-,-,(D),(D),(D),-,408,410,-,240,-,(D),-,-,(D),120,(D),(D),53,-,-,90,-,-,(D),-,(D),67,450,(D),-,-,-,-,-,-,(D),335,-,(D),-,-,-,109,-,52,-,-,-,18,(D),18
"Pullets for laying flock replacement sold                      farms, 2022",8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-
2017,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
"number, 2022",267,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,(D),-,(D),-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,(D),-,-
2017,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),(D),-
"Broilers and other meat-type chickens sold                farms, 2022",82,-,4,-,3,2,-,2,8,-,3,-,1,2,-,1,-,1,1,1,2,-,1,3,3,-,-,1,1,-,6,2,-,2,-,-,-,-,1,1,2,-,1,-,-,5,-,2,-,6,6,4,4,-
2017,85,3,2,-,-,1,2,-,4,10,6,4,2,1,-,-,-,2,2,1,-,-,-,2,1,4,3,-,2,1,2,-,-,-,1,5,-,-,-,4,1,2,1,-,-,5,-,2,-,3,2,4,-,-
"number, 2022","22,391",-,52,-,3,(D),-,(D),"1,445",-,750,-,(D),(D),-,(D),-,(D),(D),(D),(D),-,(D),(D),60,-,-,(D),(D),-,120,(D),-,(D),-,-,-,-,(D),(D),(D),-,(D),-,-,325,-,(D),-,468,840,568,136,-
2017,"17,773",550,(D),-,-,(D),(D),-,78,"1,270","1,167",204,(D),(D),-,-,-,(D),(D),(D),-,-,-,(D),(D),142,138,-,(D),(D),(D),-,-,-,(D),90,-,-,-,619,(D),(D),(D),-,-,196,-,(D),-,3,(D),80,-,-
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",80,-,4,-,3,2,-,2,8,-,3,-,1,2,-,1,-,1,-,1,2,-,1,2,3,-,-,1,1,-,6,2,-,2,-,-,-,-,1,1,2,-,1,-,-,5,-,2,-,6,6,4,4,-
"2,000 to 59,999.....................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",19,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,1,-,-,1,-,1,-,2,-,-,1,1,-,-,-,2,-,3,-,-,-,1
2017,32,-,2,-,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,4,-,1,-,1,-,-,1,-,3,-,-,-,-,-,2,-,2,2,-,-,-,-,6
"number, 2022","809,732",-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,(D),54,-,-,-,-,-,-,-,(D),-,-,(D),-,(D),-,(D),-,-,(D),(D),-,-,-,(D),-,30,-,-,-,(D)
2017,"856,395",-,(D),-,-,(D),-,-,-,-,-,(D),(D),-,-,-,-,-,-,-,-,-,-,(D),(D),(D),-,-,-,-,14,-,(D),-,(D),-,-,(D),-,"221,900",-,-,-,-,-,(D),-,(D),(D),-,-,-,-,24
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",24,1,-,-,-,1,-,-,6,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,1,3,-,-,-,-,-,3,-,-,-,-,-,1,-,-
2017,62,5,-,-,-,3,1,1,2,1,-,6,-,1,-,-,-,3,1,-,-,-,3,3,-,1,1,-,3,3,2,2,2,-,-,5,-,-,2,4,-,-,-,2,-,-,1,1,-,-,-,2,1,-
