Item,New York,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,St. Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
100 to 399.............................................................................,316,10,3,-,2,6,6,12,3,6,-,7,1,11,18,7,5,4,-,4,4,-,4,1,-,6,2,2,2,4,1,-,12,11,3,8,18,1,1,3,3,3,9,-,-,6,6,1,4,5,2,5,8,10,6,6,11,2,8,6,7,12,8
"400 to 3,199..........................................................................",52,-,-,-,1,-,1,1,-,3,2,5,-,2,2,2,-,3,-,-,1,-,2,-,-,-,-,-,-,4,-,-,-,1,-,3,2,-,-,-,-,-,4,-,-,-,-,-,1,-,-,-,4,-,-,-,2,-,3,-,1,1,1
"3,200 to 9,999.......................................................................",15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,2,-,-,-,4
"10,000 to 19,999...................................................................",18,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,8
"20,000 to 49,999...................................................................",11,-,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"50,000 to 99,999...................................................................",2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",9,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-
"Pullets for laying flock replacement                              farms, 2022",852,22,46,-,12,12,4,31,17,19,28,23,4,21,29,37,3,14,-,15,14,-,10,13,-,15,17,10,7,18,-,-,23,20,15,11,14,3,23,17,3,-,25,-,2,27,14,1,21,2,7,41,11,12,7,9,13,7,27,21,4,8,23
2017,812,10,6,-,24,38,5,20,8,16,9,8,8,30,27,26,15,20,1,6,6,-,29,21,-,10,18,7,23,10,-,-,15,32,21,7,17,16,14,11,1,-,17,-,-,38,16,1,17,7,19,35,2,5,17,17,11,1,21,12,14,11,16
"number, 2022","1,693,479",351,"6,255",-,343,182,88,929,353,505,(D),"23,552",93,"1,657",637,(D),86,198,-,(D),(D),-,259,137,-,469,300,193,64,"7,368",-,-,775,365,(D),(D),506,(D),298,(D),32,-,"1,836",-,(D),529,(D),(D),806,(D),(D),(D),"1,701",(D),168,261,890,260,791,(D),120,127,844
2017,"1,890,727",170,271,-,362,790,74,499,48,200,(D),144,98,"1,416",920,(D),702,386,(D),(D),(D),-,"6,104",470,-,289,258,101,521,(D),-,-,576,"2,108","230,149",(D),"3,346",368,142,294,(D),-,641,-,-,"1,627",(D),(D),348,115,(D),(D),(D),(D),391,341,542,(D),341,(D),253,214,421
"Broilers and other meat-type chickens                         farms, 2022",825,15,24,-,3,26,17,29,8,14,17,13,6,24,23,18,14,15,10,12,18,-,22,12,-,12,16,13,7,24,-,-,11,29,7,12,15,9,18,32,6,-,13,-,-,36,11,4,21,9,9,23,4,20,18,5,3,6,27,15,-,17,33
2017,869,17,12,-,12,20,11,31,2,13,15,10,1,34,12,33,14,18,6,13,7,-,29,19,-,14,10,8,21,13,-,-,21,22,12,11,7,4,22,22,8,-,24,-,-,49,9,4,21,10,15,40,21,18,8,14,6,3,35,14,4,6,44
"number, 2022","460,277",675,"1,163",-,45,974,"2,437","2,418",471,"6,492","2,045","5,420",810,"3,502","1,931","12,205",848,"1,543","2,090",980,"2,387",-,"1,334",491,-,"1,382",377,"1,966",262,(D),-,-,745,"3,809",350,418,"2,104",975,"2,517","4,492","1,300",-,"1,300",-,-,"6,714",455,65,"2,523",295,"22,443","1,489","2,370",(D),"2,516",265,520,221,(D),773,-,635,"1,300"
2017,"473,006",406,744,-,296,"1,058",462,"2,725",(D),(D),"1,040","2,558",(D),"1,254","14,301","11,660","3,814",636,126,466,206,-,"4,372",870,-,360,282,"1,288",723,815,-,-,"1,881","1,142",751,643,619,310,832,"1,005",133,-,"1,620",-,-,"2,874",697,100,"2,080",338,(D),"1,034",(D),(D),405,305,"1,395",70,(D),810,440,267,"1,371"
"Turkeys                                                                              farms, 2022",686,25,26,-,5,19,10,27,8,17,11,6,2,8,23,28,3,14,1,12,12,-,4,22,-,12,17,20,16,7,-,-,11,26,11,11,26,9,11,17,6,-,19,-,-,10,16,1,19,14,7,23,6,4,4,-,11,6,10,6,3,14,30
2017,703,2,21,-,18,16,13,26,7,28,7,11,1,33,21,26,11,12,3,14,10,-,9,16,-,13,6,16,8,6,-,-,21,16,7,9,9,2,16,11,5,-,13,-,-,20,19,1,11,1,18,26,13,15,16,16,22,2,17,10,2,13,18
"number, 2022",(D),229,201,-,86,257,91,394,159,381,72,(D),(D),407,976,"2,084",15,104,(D),221,122,-,34,94,-,107,125,248,382,(D),-,-,116,602,(D),179,296,116,570,163,180,-,380,-,-,155,610,(D),376,573,362,126,"1,653",(D),163,-,122,45,(D),25,15,127,363
2017,"223,372",(D),98,-,126,153,118,665,256,424,48,393,(D),562,963,(D),583,78,21,258,83,-,89,149,-,46,75,332,189,252,-,-,280,131,(D),116,87,(D),274,122,12,-,354,-,-,726,243,(D),247,(D),"1,259",213,"5,190",(D),211,59,349,(D),"1,146",57,(D),125,137
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,876",47,40,-,36,27,19,58,31,43,50,47,27,48,46,66,26,28,18,8,20,2,39,42,-,22,35,39,33,20,-,-,47,87,21,20,41,24,59,53,7,2,18,-,3,50,42,8,39,26,15,61,29,57,21,28,39,7,52,35,14,23,31
2017,"1,816",36,40,-,33,35,22,44,15,38,32,36,25,43,57,57,31,24,9,10,28,-,39,36,-,25,39,36,6,13,-,-,47,70,17,33,44,23,50,48,13,-,28,-,-,101,29,8,26,25,24,53,23,41,37,28,47,13,48,21,16,49,45
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","4,348",80,96,-,70,112,82,141,47,86,115,89,46,105,120,117,61,72,25,49,55,2,78,81,-,59,67,73,59,100,4,5,79,151,64,90,113,59,97,100,21,3,92,-,2,153,103,22,93,66,37,156,55,118,59,43,63,19,117,85,22,43,127
2017,"4,146",69,81,-,66,104,52,125,27,94,68,94,55,131,102,113,68,75,8,44,37,-,98,100,-,81,64,69,64,78,3,-,96,140,65,82,81,44,76,113,21,3,85,-,4,168,82,16,74,70,75,146,76,62,57,54,67,14,103,55,33,70,144
"Layers sold                                                                        farms, 2022",837,17,24,-,16,22,22,26,11,13,22,18,2,24,17,25,10,15,-,13,9,-,8,17,-,15,12,11,5,22,1,5,11,24,14,20,15,14,16,16,2,-,20,-,-,12,11,5,16,9,14,43,8,24,8,11,11,1,45,16,2,9,38
2017,995,17,32,-,10,27,14,28,2,29,15,21,18,28,22,27,12,24,1,5,18,-,28,29,-,28,14,19,11,21,-,-,20,18,22,27,9,9,19,21,6,-,22,-,4,30,16,2,20,11,16,38,16,10,23,5,19,-,25,10,4,24,49
"number, 2022","7,052,130","5,926",514,-,463,"3,415","27,140","1,488",125,950,(D),"1,957",(D),670,"1,314",(D),427,"78,098",-,(D),(D),-,"20,530",156,-,742,96,242,206,"12,464",(D),"3,000",602,956,(D),(D),"62,182",571,487,(D),(D),-,"6,525",-,-,402,610,188,503,162,(D),(D),414,"95,622",294,310,"2,175",(D),"1,923",(D),(D),272,"2,954,044"
2017,"2,399,182","2,809",897,-,148,603,"11,360",771,(D),"1,518",(D),"3,586",368,809,"2,198",(D),251,873,(D),(D),"1,776",-,"4,682",(D),-,483,257,"1,886",219,"6,471",-,-,"1,018",731,"341,654","30,581",314,235,315,"5,119",82,-,475,-,170,"1,744",446,(D),"2,395","13,274",(D),(D),"11,248",(D),764,201,"1,182",-,"4,910",(D),59,"1,013","25,696"
"Pullets for laying flock replacement sold                      farms, 2022",118,3,1,-,-,-,5,5,-,3,2,4,1,8,4,14,1,-,-,2,3,-,3,1,-,-,-,2,1,5,-,-,3,4,1,1,3,-,4,3,-,-,1,-,-,4,-,-,4,-,-,6,3,-,-,1,2,-,4,4,-,1,1
2017,102,3,2,-,-,1,2,3,-,5,-,4,-,3,3,1,-,-,1,-,1,-,5,1,-,3,3,-,5,4,-,-,-,3,2,1,1,5,-,3,1,-,2,-,-,3,2,2,4,-,-,4,5,2,1,3,3,-,2,3,-,-,-
"number, 2022","1,828,167",30,(D),-,-,-,"279,032",520,-,(D),(D),"1,720",(D),542,(D),(D),(D),-,-,(D),(D),-,"3,820",(D),-,-,-,(D),(D),"60,018",-,-,115,64,(D),(D),24,-,12,30,-,-,(D),-,-,174,-,-,36,-,-,105,"1,500",-,-,(D),(D),-,62,(D),-,(D),(D)
2017,"232,184",232,(D),-,-,(D),(D),75,-,177,-,(D),-,(D),325,(D),-,-,(D),-,(D),-,"1,540",(D),-,198,79,-,72,(D),-,-,-,(D),(D),(D),(D),177,-,165,(D),-,(D),-,-,136,(D),(D),53,-,-,26,"1,074",(D),(D),185,30,-,(D),(D),-,-,-
"Broilers and other meat-type chickens sold                farms, 2022",703,16,19,-,1,19,12,32,7,17,18,19,3,24,13,19,10,8,3,10,6,-,10,12,-,7,10,9,4,34,-,-,9,21,4,14,21,9,13,19,3,-,14,-,-,14,14,5,25,9,8,36,7,21,13,8,7,4,16,15,-,13,19
2017,555,7,11,-,11,18,5,30,4,11,4,19,3,23,12,28,12,5,3,3,10,-,12,9,-,7,5,8,4,7,-,-,7,24,9,12,7,4,14,12,3,-,10,-,-,17,8,1,18,13,14,13,5,14,8,7,11,3,17,6,5,9,13
"number, 2022","1,538,860","2,317","1,566",-,(D),"1,464","4,126","4,212",213,"6,747","1,814","16,068",(D),"19,575","12,970","39,175","1,414","2,359",(D),944,(D),-,"2,810",576,-,"1,301",271,"3,877",(D),"41,515",-,-,"1,478","14,074",391,719,"1,756",(D),649,"14,651",100,-,"12,587",-,-,"2,264",970,761,"13,698","3,118","71,985","3,353","17,165",(D),"2,299",878,"2,399",135,(D),"5,350",-,"2,229","2,243"
2017,"1,685,775",516,692,-,328,"1,842","1,731","4,228",269,801,523,"13,180",(D),(D),"23,649",(D),"2,450",416,(D),580,582,-,"6,600",996,-,985,212,"3,337",(D),"1,070",-,-,"1,552","3,362",378,"1,817","2,018",(D),"2,298","2,294",112,-,"3,767",-,-,"2,199",627,(D),"13,514","2,506","54,125","2,037",(D),(D),"1,030",725,"3,814",(D),(D),880,"12,870","2,708",488
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",669,16,19,-,1,19,11,32,7,16,18,16,3,22,12,17,10,8,3,10,5,-,9,12,-,7,10,8,4,32,-,-,9,20,4,14,21,8,13,18,3,-,11,-,-,14,14,5,23,9,5,36,5,17,13,8,7,4,15,14,-,13,19
"2,000 to 59,999.....................................................................",32,-,-,-,-,-,1,-,-,1,-,3,-,2,1,2,-,-,-,-,1,-,1,-,-,-,-,1,-,2,-,-,-,1,-,-,-,1,-,1,-,-,3,-,-,-,-,-,2,-,3,-,2,3,-,-,-,-,-,1,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",380,9,5,-,2,14,5,24,4,11,5,4,1,12,13,14,3,6,-,7,6,-,-,4,-,6,4,3,3,6,-,-,8,12,10,13,1,6,8,5,7,-,8,-,-,7,13,-,13,7,4,18,6,10,5,3,3,3,9,6,1,11,12
2017,392,3,6,-,9,14,6,18,3,10,4,4,1,12,11,13,12,2,-,5,5,-,8,3,-,4,7,4,8,5,-,-,8,13,8,8,1,6,6,1,3,-,11,-,-,11,8,-,12,3,17,7,13,10,11,2,8,1,13,5,6,18,5
"number, 2022",(D),135,24,-,(D),"2,491",63,267,35,358,79,(D),(D),630,"2,126","3,613",3,136,-,211,103,-,-,33,-,70,95,322,(D),"1,731",-,-,"1,854",(D),(D),131,(D),24,(D),61,195,-,"1,007",-,-,154,320,-,560,(D),391,327,"4,590","2,727",149,58,(D),21,(D),91,(D),258,411
2017,(D),30,(D),-,56,344,227,"1,309",26,261,134,394,(D),337,"1,999",(D),581,(D),-,107,54,-,79,224,-,30,126,349,181,251,-,-,(D),163,(D),212,(D),62,(D),(D),(D),-,"1,088",-,-,212,161,-,360,(D),"2,057",99,"4,534",(D),122,(D),410,(D),(D),127,"2,819",268,632
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",568,10,8,-,5,15,6,12,4,12,18,11,1,24,5,20,2,10,5,5,3,-,18,7,-,4,11,9,8,5,-,-,8,12,9,5,4,11,16,16,7,-,5,-,-,26,18,2,16,11,8,22,5,33,7,9,6,2,23,12,3,8,26
2017,538,8,6,-,10,19,9,2,4,11,8,12,8,24,10,13,12,11,1,4,13,-,14,9,-,8,9,12,4,7,-,-,7,19,6,11,15,6,13,21,10,-,15,-,-,15,7,5,15,6,8,23,19,9,6,5,4,1,15,11,3,10,5
