Item,Virginia,Accomack,Albemarle,Alleghany,Amelia,Amherst,Appomattox,Arlington,Augusta,Bath,Bedford,Bland,Botetourt,Brunswick,Buchanan,Buckingham,Campbell,Caroline,Carroll,Charles City,Charlotte,Chesterfield,Clarke,Craig,Culpeper,Cumberland,Dickenson,Dinwiddie,Essex,Fairfax,Fauquier,Floyd,Fluvanna,Franklin,Frederick,Giles,Gloucester,Goochland,Grayson,Greene,Greensville,Halifax,Hanover,Henrico,Henry,Highland,Isle of Wight,James City,King and Queen,King George,King William,Lancaster,Lee,Loudoun,Louisa,Lunenburg,Madison,Mathews,Mecklenburg,Middlesex,Montgomery,Nelson,New Kent,Northampton,Northumberland,Nottoway,Orange,Page,Patrick,Pittsylvania,Powhatan,Prince Edward,Prince George,Prince William,Pulaski,Rappahannock,Richmond,Roanoke,Rockbridge,Rockingham,Russell,Scott,Shenandoah,Smyth,Southampton,Spotsylvania,Stafford,Surry,Sussex,Tazewell,Warren,Washington,Westmoreland,Wise,Wythe,York,Chesapeake City,Suffolk,Virginia Beach City
100 to 399.............................................................................,216,-,5,-,-,1,3,-,9,-,8,-,1,-,-,8,2,10,2,-,1,2,1,-,2,2,-,2,1,-,18,-,6,7,4,2,7,7,3,-,-,2,2,-,-,6,5,-,-,2,3,3,4,8,-,1,3,-,1,-,5,1,2,-,-,-,7,-,-,4,-,1,-,2,1,4,-,-,4,10,-,-,3,1,1,9,1,-,-,-,-,-,-,-,3,-,-,1,2
"400 to 3,199..........................................................................",38,-,3,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,2,-,-,4,-,2,-,-,1,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,2,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
"3,200 to 9,999.......................................................................",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",34,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,25,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",25,2,-,-,-,-,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,1,-,-,-,-,-,-,-,-,8,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",861,-,24,7,3,9,6,-,34,-,23,5,10,-,-,12,15,2,8,-,2,12,11,2,23,3,-,11,3,6,34,10,11,19,16,5,7,7,5,7,-,17,30,5,5,7,1,-,2,6,11,-,5,40,20,13,1,7,4,2,12,4,9,-,1,10,9,10,6,27,2,7,4,11,15,7,-,9,7,35,6,9,14,6,6,10,17,1,1,13,9,19,2,4,9,3,4,12,3
2017,951,13,6,-,5,11,8,-,31,1,51,1,10,1,-,6,15,16,8,3,10,5,8,-,36,8,7,11,2,7,61,8,11,28,28,8,10,9,6,4,-,10,25,-,5,1,3,4,-,8,5,-,4,35,14,13,5,2,10,2,19,3,7,2,-,8,6,9,-,8,7,4,6,16,2,7,-,5,20,32,22,9,22,10,6,15,27,-,-,15,19,7,9,1,9,2,-,18,-
"number, 2022","1,191,467",-,496,128,51,171,112,-,"246,701",-,422,50,113,-,-,334,445,(D),105,-,(D),199,157,(D),376,(D),-,529,41,75,"1,084",76,86,239,144,82,197,50,23,317,-,310,587,86,46,66,(D),-,(D),90,227,-,144,"1,008",403,(D),(D),80,110,(D),238,71,48,-,(D),240,394,"96,145",54,"15,989",(D),305,100,185,475,51,-,96,94,"410,117",59,99,345,78,130,273,275,(D),(D),182,152,(D),(D),60,390,145,260,206,60
2017,"1,185,887",294,62,-,168,44,302,-,"148,563",(D),"1,473",(D),151,(D),-,235,265,446,274,(D),135,26,210,-,555,"104,275",74,218,(D),285,"1,074",205,239,"1,006",481,156,992,95,48,32,-,221,713,-,41,(D),95,28,-,34,102,-,70,689,900,(D),260,(D),"28,024",(D),472,(D),70,(D),-,(D),167,"207,200",-,"46,108",250,72,150,271,(D),318,-,59,206,"299,676",230,54,(D),82,(D),507,600,-,-,79,401,(D),186,(D),115,(D),-,538,-
"Broilers and other meat-type chickens                         farms, 2022","1,168",47,25,-,13,11,8,-,68,-,20,2,10,2,1,32,11,-,1,2,5,13,10,5,11,26,4,4,-,5,37,12,2,18,20,2,2,9,9,4,-,10,15,1,-,7,2,3,1,3,10,3,2,36,19,12,6,2,10,2,14,1,3,-,1,11,1,61,4,20,18,6,8,6,6,12,-,4,11,236,8,5,60,3,8,6,4,-,-,5,4,14,1,2,9,-,6,6,9
2017,"1,074",53,8,1,23,1,3,-,54,2,34,-,6,3,-,13,1,6,3,-,9,11,-,2,8,15,9,2,6,-,14,12,7,8,25,8,6,8,8,-,2,6,15,-,-,5,6,-,7,1,3,-,12,36,9,-,4,-,5,-,8,5,17,-,6,11,11,53,12,10,1,5,6,11,9,9,2,2,6,264,10,8,57,5,5,8,-,2,2,-,9,11,-,-,8,-,12,8,1
"number, 2022","55,500,718","9,968,627","1,433",-,"1,161,425",(D),423,-,"5,571,022",-,536,(D),78,(D),(D),"1,110,460","1,969",-,(D),(D),(D),241,188,605,262,"1,502,960",93,(D),-,20,992,512,(D),432,"1,113",(D),(D),945,139,525,-,(D),"281,018",(D),-,(D),(D),36,(D),150,"2,325",150,(D),(D),502,730,168,(D),124,(D),"1,194",(D),554,-,(D),"1,223,636",(D),"4,462,086",84,(D),960,(D),406,520,222,707,-,61,"425,214","19,650,195",246,49,"7,525,057",85,"1,026,300",310,146,-,-,186,(D),265,(D),(D),96,-,(D),"103,750","9,074"
2017,"44,683,904","5,814,384",544,(D),"2,605,305",(D),300,-,"4,193,215",(D),"3,930",-,84,(D),-,"1,024,514",(D),90,36,-,(D),(D),-,(D),"3,448","1,382,433",81,(D),36,-,782,479,"1,311",430,964,86,300,870,612,-,(D),106,"219,039",-,-,(D),(D),-,"3,300",(D),195,-,146,"3,239",(D),-,254,-,84,-,(D),50,"1,056",-,505,"1,410,620",151,"4,136,109",272,111,(D),"666,004","2,745",908,148,"1,416",(D),(D),"1,200","18,195,798",250,74,"3,613,762","1,220",(D),124,-,(D),(D),-,(D),112,-,-,168,-,600,"364,350",(D)
"Turkeys                                                                              farms, 2022",723,1,14,3,3,4,16,-,69,-,14,7,-,2,1,12,5,2,3,1,2,6,9,2,15,9,3,1,3,5,12,2,2,10,8,3,9,6,3,6,-,13,8,6,6,17,3,-,3,4,5,5,5,24,19,5,11,1,3,2,8,4,2,-,5,-,7,12,3,16,3,2,8,6,12,8,-,2,12,85,1,10,24,3,2,7,14,-,3,10,5,10,2,2,5,-,7,4,6
2017,791,5,3,-,9,8,7,-,58,-,24,4,-,-,4,3,6,6,8,-,4,8,7,-,29,5,1,5,9,4,27,17,2,6,17,2,7,16,4,5,-,8,19,2,3,7,13,-,2,-,-,1,4,54,5,4,5,2,1,-,7,7,-,-,8,-,10,18,-,20,3,7,-,2,4,5,-,2,10,112,-,14,14,3,4,10,7,2,-,5,8,12,8,-,9,1,12,12,5
"number, 2022","5,573,523",(D),238,9,21,68,76,-,"1,320,971",-,110,21,-,(D),(D),(D),123,(D),6,(D),(D),81,32,(D),(D),115,7,(D),8,17,119,(D),(D),57,113,9,65,18,87,(D),-,66,45,14,30,"154,293",15,-,44,26,165,18,36,"1,363","135,490",32,"21,110",(D),16,(D),(D),38,(D),-,28,-,"142,401","750,014",8,184,6,(D),8,73,30,197,-,(D),"53,060","2,483,317",(D),49,"360,246",26,(D),129,61,-,3,358,(D),41,(D),(D),17,-,48,22,126
2017,"5,738,768",86,26,-,167,46,86,-,"1,529,825",-,389,15,-,-,16,10,36,12,40,-,28,47,46,-,(D),20,(D),(D),60,16,"1,089",217,(D),23,198,(D),45,56,7,(D),-,24,411,(D),17,"241,399",222,-,(D),-,-,(D),208,975,24,24,(D),(D),(D),-,(D),81,-,-,21,-,"186,012","588,714",-,189,26,13,-,(D),(D),126,-,(D),"63,082","2,669,874",-,64,"393,312",29,32,119,28,(D),-,18,15,53,166,-,33,(D),53,148,102
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,274",17,52,11,14,12,26,-,69,2,69,17,27,13,6,30,28,12,19,4,14,22,31,19,34,21,10,23,10,12,80,20,37,49,31,10,19,46,12,11,-,21,42,15,18,12,17,9,2,18,13,2,20,113,35,28,38,15,15,-,37,12,13,-,7,32,33,29,19,32,16,28,16,23,18,37,7,18,31,104,35,20,65,10,11,19,30,7,9,18,36,38,3,7,29,6,17,23,7
2017,"2,186",21,57,6,17,24,11,-,43,6,78,9,18,11,2,16,14,31,17,9,25,33,28,5,64,7,13,35,14,9,94,28,20,53,56,30,24,37,21,18,8,29,36,7,15,6,21,4,3,10,7,1,15,101,40,9,28,-,8,2,21,26,27,2,10,20,25,23,21,57,10,14,1,20,6,22,3,4,28,103,30,39,52,16,5,26,26,2,8,18,38,28,1,3,26,3,23,30,15
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","4,683",67,93,16,40,39,39,-,256,5,119,28,44,12,4,55,63,28,32,6,20,28,61,19,87,50,13,37,12,16,173,44,43,103,94,21,20,41,39,36,2,53,54,18,35,30,33,3,5,21,21,5,33,243,73,35,47,28,24,2,64,21,18,2,13,41,49,113,29,86,27,38,24,63,37,56,11,36,63,504,36,59,154,30,18,38,55,12,12,40,39,80,10,16,41,10,18,30,22
2017,"4,752",62,97,16,61,30,45,-,224,3,151,20,39,11,15,48,66,43,51,13,36,41,58,10,129,33,10,41,13,24,146,50,36,77,104,40,34,48,36,19,2,54,86,6,19,21,37,11,20,15,19,7,20,262,46,22,48,7,29,2,48,33,33,8,17,38,43,102,36,80,25,26,12,52,26,49,5,13,59,547,63,46,164,35,13,41,49,7,15,39,51,71,13,16,39,4,55,41,25
"Layers sold                                                                        farms, 2022",877,4,16,5,10,11,12,-,33,4,29,4,17,2,-,8,8,3,3,2,4,7,15,3,17,7,4,8,2,4,33,4,16,28,15,-,3,9,4,8,-,19,16,1,13,1,7,-,3,2,13,-,3,39,17,9,5,1,1,-,10,-,7,-,-,5,17,16,6,13,11,9,4,15,3,9,1,5,10,70,3,14,33,5,-,17,22,6,-,4,4,17,2,2,15,-,1,3,6
2017,"1,142",15,30,-,9,4,11,-,22,-,52,-,7,2,2,10,16,25,27,-,9,15,8,1,45,6,-,13,1,8,69,20,8,30,23,2,7,11,7,1,-,16,18,-,-,-,17,-,8,1,5,3,2,61,11,12,19,3,-,-,6,15,8,2,7,12,23,17,-,15,8,6,-,26,5,26,-,1,16,98,18,9,21,1,2,11,20,-,5,8,5,15,2,4,7,2,18,8,3
"number, 2022","1,793,709",(D),234,53,84,216,336,-,"121,163",34,"1,041",(D),(D),(D),-,(D),33,(D),70,(D),(D),144,198,9,639,"135,048",80,26,(D),(D),594,993,204,"1,180",582,-,104,322,26,982,-,(D),75,(D),296,(D),540,-,52,(D),"1,163",-,36,"1,032","7,596",228,366,(D),(D),-,612,-,90,-,-,(D),562,"111,345",92,(D),(D),80,32,223,93,817,(D),64,148,"603,867",45,136,"67,334",195,-,"3,042",360,108,-,(D),112,(D),(D),(D),"2,350",-,(D),44,65
2017,"2,145,727",(D),"1,322",-,(D),(D),211,-,"90,626",-,"1,374",-,324,(D),(D),(D),351,"1,670",591,-,"1,150",438,259,(D),"1,153",(D),-,398,(D),320,"4,796",701,(D),"2,875","1,311",(D),14,511,486,(D),-,"27,766",989,-,-,-,"1,362",-,"1,238",(D),102,160,(D),"1,609","1,124",278,"1,408",(D),-,-,360,562,682,(D),379,"220,079",369,"208,007",-,"38,718",(D),"64,341",-,"1,188",31,"2,435",-,(D),400,"562,478",207,"1,440","56,714",(D),(D),197,587,-,60,274,150,(D),(D),64,176,(D),403,86,242
"Pullets for laying flock replacement sold                      farms, 2022",155,-,-,-,1,-,2,-,8,-,5,-,-,-,-,-,-,2,-,-,-,2,1,-,7,2,-,1,-,-,5,2,-,5,2,-,-,-,3,-,-,-,13,-,-,-,-,-,-,-,6,-,-,-,3,7,-,-,-,-,3,-,-,-,-,2,3,6,-,2,-,-,-,1,1,3,-,-,-,24,-,-,4,-,-,5,6,-,-,6,-,3,2,2,3,-,-,2,-
2017,194,5,-,-,3,-,-,-,6,-,12,1,2,1,-,3,-,7,2,-,5,-,-,-,7,8,-,-,-,-,11,2,-,9,2,3,-,2,-,-,-,6,1,-,2,-,1,-,-,-,-,-,2,1,-,2,3,-,4,-,5,-,-,-,-,1,3,9,-,4,-,-,-,5,-,2,-,1,-,33,-,-,4,1,3,-,6,-,-,-,-,1,-,-,1,-,-,2,-
"number, 2022","2,278,159",-,-,-,(D),-,(D),-,"482,034",-,97,-,-,-,-,-,-,(D),-,-,-,(D),(D),-,337,(D),-,(D),-,-,700,(D),-,220,(D),-,-,-,75,-,-,-,163,-,-,-,-,-,-,-,132,-,-,-,105,(D),-,-,-,-,(D),-,-,-,-,(D),40,"217,420",-,(D),-,-,-,(D),(D),375,-,-,-,"650,980",-,-,(D),-,-,184,48,-,-,36,-,(D),(D),(D),95,-,-,(D),-
2017,"2,493,965",350,-,-,120,-,-,-,"322,040",-,990,(D),(D),(D),-,"1,500",-,508,(D),-,64,-,-,-,125,"221,350",-,-,-,-,380,(D),-,918,(D),74,-,(D),-,-,-,90,(D),-,(D),-,(D),-,-,-,-,-,(D),(D),-,(D),60,-,"52,500",-,122,-,-,-,-,(D),41,"415,200",-,"109,000",-,-,-,15,-,(D),-,(D),-,"885,607",-,-,(D),(D),(D),-,150,-,-,-,-,(D),-,-,(D),-,-,(D),-
"Broilers and other meat-type chickens sold                farms, 2022","1,009",48,13,-,16,6,5,-,85,-,14,-,7,-,-,14,9,-,-,2,3,7,2,5,14,31,1,4,2,-,12,7,16,9,10,4,7,1,1,4,-,2,9,-,7,2,8,-,1,1,11,5,2,28,6,7,4,2,-,-,10,-,3,-,3,10,2,71,2,19,5,6,4,8,1,15,-,1,10,258,-,4,66,4,9,6,3,-,3,-,4,1,2,2,5,-,3,8,7
2017,"1,080",51,19,-,29,-,10,-,65,2,19,-,-,-,-,14,-,12,3,-,1,9,-,1,14,17,6,2,6,-,14,25,2,17,12,3,12,11,6,3,-,4,13,-,-,5,6,-,7,-,2,1,1,35,10,2,4,-,3,-,15,6,13,-,5,9,7,60,4,9,3,7,-,8,6,7,-,-,6,287,8,2,66,10,3,6,6,-,8,-,5,3,-,-,3,-,18,10,2
"number, 2022","292,409,636","48,878,886",335,-,"7,961,947","1,042",290,-,"36,277,388",-,"1,385",-,"1,034",-,-,"5,853,110","1,407",-,-,(D),(D),86,(D),523,"2,160","7,425,820",(D),605,(D),-,218,(D),"6,304",644,994,96,"6,500",(D),(D),320,-,(D),"1,614,010",-,195,(D),"725,400",-,(D),(D),"4,200",312,(D),(D),59,295,(D),(D),-,-,"1,498",-,386,-,150,"7,158,000",(D),"25,464,217",(D),(D),"2,979","2,166,882",40,430,(D),642,-,(D),"2,050,926","112,754,497",-,80,"25,864,817","3,805","4,681,200",620,138,-,375,-,(D),(D),(D),(D),"1,074",-,(D),"658,144","5,560"
2017,"261,649,137","29,254,833","24,606",-,"15,005,669",-,756,-,"24,386,754",(D),"5,400",-,-,-,-,"6,545,091",-,"2,550",60,-,(D),(D),-,(D),"1,746","8,164,599",12,(D),24,-,605,"3,588",(D),"11,590","1,106",70,"9,840",270,130,"1,500",-,48,"1,085,206",-,-,(D),(D),-,"3,300",-,(D),(D),(D),"7,160",(D),(D),350,-,15,-,"2,732",312,417,-,500,"7,477,000",73,"25,415,737",40,"2,480",(D),"3,730,500",-,"1,737",12,"1,338",-,-,"1,200","108,888,122",84,(D),"23,472,864",348,(D),778,120,-,"3,040",-,(D),90,-,-,84,-,"1,380","2,125,558",(D)
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",434,-,13,-,6,6,5,-,14,-,14,-,7,-,-,3,9,-,-,2,1,7,2,5,14,18,1,4,2,-,12,6,16,9,10,4,5,1,1,4,-,1,2,-,7,-,6,-,1,1,11,5,2,26,6,7,4,2,-,-,10,-,3,-,3,-,2,3,2,18,5,1,4,8,1,15,-,1,5,13,-,4,11,3,2,6,3,-,3,-,3,1,2,2,5,-,2,4,7
"2,000 to 59,999.....................................................................",20,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
"60,000 to 99,999...................................................................",23,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",69,2,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,21,-,1,-,-,-,-,-,-,-,-,-,24,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-
"200,000 to 499,999...............................................................",235,7,-,-,4,-,-,-,29,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,27,-,-,-,2,-,-,-,-,-,-,5,114,-,-,22,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",228,37,-,-,6,-,-,-,30,-,-,-,-,-,-,4,-,-,-,-,1,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,13,-,-,-,2,-,-,-,-,-,-,-,89,-,-,23,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",433,-,8,3,1,-,5,-,65,-,6,-,-,-,-,3,2,-,-,-,-,6,-,2,12,1,1,-,-,1,6,1,2,4,2,1,10,1,3,6,-,-,2,-,-,17,-,-,1,-,11,3,-,16,14,-,7,1,-,-,4,-,2,-,1,-,8,11,2,7,6,1,-,4,1,6,-,-,4,101,-,3,14,-,1,6,8,-,3,2,1,3,2,2,2,-,-,-,4
2017,468,3,4,-,5,-,4,-,63,-,12,-,-,-,-,1,-,6,6,-,-,2,-,-,7,-,-,1,-,2,21,11,2,11,6,-,6,6,-,5,-,-,3,-,4,7,8,-,-,-,2,1,2,29,2,1,5,2,-,-,5,6,-,2,-,-,9,16,-,9,1,1,-,4,1,7,-,-,4,102,-,-,15,2,2,8,-,-,-,-,-,-,6,-,1,1,6,6,4
"number, 2022","16,392,919",-,(D),12,(D),-,10,-,"4,003,260",-,108,-,-,-,-,(D),(D),-,-,-,-,21,-,(D),(D),(D),(D),-,-,(D),58,(D),(D),16,(D),(D),"1,131",(D),15,(D),-,-,(D),-,-,"502,410",-,-,(D),-,439,36,-,"1,314","405,320",-,"63,019",(D),-,-,(D),-,(D),-,(D),-,"486,012","1,773,078",(D),79,42,(D),-,46,(D),203,-,-,"139,021","7,222,865",-,7,"1,069,084",-,(D),72,75,-,3,(D),(D),12,(D),(D),(D),-,-,-,108
