Item,Mississippi,Adams,Alcorn,Amite,Attala,Benton,Bolivar,Calhoun,Carroll,Chickasaw,Choctaw,Claiborne,Clarke,Clay,Coahoma,Copiah,Covington,DeSoto,Forrest,Franklin,George,Greene,Grenada,Hancock,Harrison,Hinds,Holmes,Humphreys,Issaquena,Itawamba,Jackson,Jasper,Jefferson,Jefferson Davis,Jones,Kemper,Lafayette,Lamar,Lauderdale,Lawrence,Leake,Lee,Leflore,Lincoln,Lowndes,Madison,Marion,Marshall,Monroe,Montgomery,Neshoba,Newton,Noxubee,Oktibbeha,Panola,Pearl River,Perry,Pike,Pontotoc,Prentiss,Quitman,Rankin,Scott,Sharkey,Simpson,Smith,Stone,Sunflower,Tallahatchie,Tate,Tippah,Tishomingo,Tunica,Union,Walthall,Warren,Washington,Wayne,Webster,Wilkinson,Winston,Yalobusha,Yazoo
2017,"137,708,442",(D),114,"4,757,789",(D),-,90,100,99,(D),(D),-,"1,168,008",-,-,"3,764,200","9,566,480",(D),"399,840",(D),(D),"515,428",45,418,140,147,161,-,-,12,(D),"10,380,706","986,275","1,311,986","10,504,648",176,201,"2,564,263",113,"4,205,814","14,756,483",(D),-,"2,764,457","893,834",(D),"2,937,140",150,(D),-,"11,118,790","4,565,584","1,206,800",(D),(D),314,"2,552,200","1,775,494",14,-,-,"4,220,058","7,802,988",-,"6,382,119","10,227,281",30,-,-,146,24,-,-,-,"3,402,631",60,-,"9,171,892",-,258,"2,440,903",-,(D)
"Turkeys                                                                              farms, 2022",306,2,-,10,4,1,-,5,13,1,2,-,9,-,-,5,6,1,4,-,26,3,-,6,6,6,2,-,-,4,12,4,4,-,3,1,2,8,9,3,-,6,-,4,6,-,4,1,12,3,8,6,-,-,1,18,5,8,1,3,-,9,1,-,5,-,3,5,-,3,2,-,-,3,2,1,5,8,6,-,2,-,3
2017,251,-,3,7,4,-,-,3,-,1,1,-,-,2,-,2,6,3,2,3,3,5,3,12,4,1,-,-,-,2,11,2,-,-,-,-,2,15,2,2,3,-,4,1,18,2,2,7,6,-,13,7,-,4,-,25,3,2,4,2,-,18,-,-,-,-,6,-,-,10,-,-,-,-,-,-,-,1,4,-,-,6,2
"number, 2022","2,330",(D),-,14,18,(D),-,68,130,(D),(D),-,33,-,-,18,153,(D),12,-,129,10,-,40,28,36,(D),-,-,43,141,48,13,-,6,(D),(D),84,43,24,-,66,-,13,102,-,29,(D),42,75,26,70,-,-,(D),88,124,65,(D),7,-,23,(D),-,41,-,(D),24,-,76,(D),-,-,30,(D),(D),30,19,12,-,(D),-,18
2017,"1,298",-,15,19,21,-,-,15,-,(D),(D),-,-,(D),-,(D),36,10,(D),9,10,13,9,96,20,(D),-,-,-,(D),80,(D),-,-,-,-,(D),67,(D),(D),12,-,12,(D),48,(D),(D),43,6,-,121,39,-,10,-,194,23,(D),10,(D),-,34,-,-,-,-,48,-,-,60,-,-,-,-,-,-,-,(D),12,-,-,22,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,181",1,11,15,10,4,-,9,16,12,2,1,16,13,-,8,14,18,19,6,25,23,8,22,23,21,13,-,-,8,43,10,2,5,28,8,11,37,3,12,8,15,2,39,13,15,30,6,20,10,33,42,12,2,7,38,11,43,18,15,-,39,21,-,23,23,13,1,2,27,13,7,1,10,21,7,10,46,9,6,22,19,5
2017,"1,191",8,8,7,8,10,3,3,15,12,9,2,13,7,-,6,27,11,8,12,34,15,5,48,38,18,10,4,-,5,37,19,-,19,18,13,23,39,22,21,23,7,5,29,23,4,39,32,9,3,53,39,11,2,10,47,9,29,43,5,-,25,14,-,12,20,19,7,7,18,5,3,3,3,10,2,-,20,5,2,18,13,6
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","2,826",5,32,36,18,4,-,7,30,19,5,4,40,15,2,45,75,28,46,6,64,59,13,29,48,31,11,-,1,7,79,86,12,38,128,22,22,44,25,55,106,31,6,79,25,27,70,35,33,13,97,93,26,21,12,60,43,56,43,13,-,82,82,1,79,93,30,6,5,30,23,9,1,11,57,17,15,102,12,7,53,15,16
2017,"2,884",12,28,43,14,7,6,6,14,10,6,3,30,12,-,45,101,28,26,19,60,40,10,36,63,30,9,4,-,9,60,114,19,36,151,12,31,83,29,47,130,15,8,50,34,8,74,50,43,4,156,89,22,20,11,67,27,46,43,10,-,89,101,-,88,115,21,9,-,49,11,13,3,16,51,8,-,88,6,3,35,13,5
"Layers sold                                                                        farms, 2022",535,-,17,7,3,-,-,1,1,10,2,-,4,1,2,6,4,3,15,-,22,20,-,10,15,6,-,-,-,-,22,4,-,3,14,4,9,16,5,3,3,11,-,15,4,13,16,8,6,6,9,14,9,10,4,8,10,18,6,7,-,14,8,-,15,7,8,-,-,2,2,4,-,3,11,5,3,21,7,-,17,-,2
2017,581,4,22,2,3,7,3,-,4,1,-,-,3,2,-,2,13,2,1,4,12,8,3,13,18,6,9,4,-,4,19,17,-,12,12,8,7,20,12,4,14,1,3,9,7,2,22,21,5,-,35,13,11,5,3,18,5,7,16,2,-,13,8,-,15,18,3,5,-,9,-,6,-,3,10,3,-,12,2,-,10,1,3
"number, 2022","3,963,335",-,"95,279",220,27,-,-,(D),(D),"108,192",(D),-,"2,320",(D),(D),60,"94,500",(D),302,-,"1,980","165,710",-,399,699,(D),-,-,-,-,489,"100,005",-,(D),"46,998",(D),447,"65,155",135,33,(D),171,-,"47,696",224,150,"315,309","1,210","1,056",160,"133,040","135,220","270,867","1,593",20,348,(D),(D),"2,715","1,503",-,"120,660","158,300",-,"325,274","80,587",204,-,-,(D),(D),(D),-,6,"84,525",33,27,"285,935",36,-,"277,850",-,(D)
2017,"4,977,519",74,(D),(D),(D),520,90,-,47,(D),-,-,18,(D),-,(D),"282,000",(D),(D),(D),"3,804","91,800",450,281,"3,292",(D),900,4,-,40,"2,388","187,832",-,"309,084",(D),"103,521",188,(D),"40,160","68,200","193,826",(D),230,298,117,(D),"353,386",314,660,-,"306,479","169,751","197,024",21,65,446,"97,230","61,038",541,(D),-,"55,479","113,790",-,"310,080","242,352",30,200,-,114,-,72,-,75,"106,711",45,-,"408,844",(D),-,"252,136",(D),434
"Pullets for laying flock replacement sold                      farms, 2022",180,-,-,5,-,-,-,-,2,-,2,-,5,7,-,-,8,-,6,-,5,2,1,-,2,-,-,-,-,-,13,-,-,4,5,-,-,9,-,-,7,-,-,6,-,3,6,-,-,4,7,13,2,-,-,-,1,2,3,6,-,2,6,-,5,6,-,-,-,-,-,-,-,-,2,3,-,9,-,-,8,3,-
2017,130,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,3,5,6,-,5,-,-,-,-,-,1,4,8,-,-,4,-,-,7,1,-,3,1,3,6,2,-,-,8,9,-,-,-,5,-,-,5,-,-,7,5,-,5,4,-,2,-,-,-,-,-,-,4,3,-,2,-,-,1,-,-
"number, 2022","6,347,179",-,-,150,-,-,-,-,(D),-,(D),-,130,16,-,-,"552,000",-,60,-,121,(D),(D),-,(D),-,-,-,-,-,98,-,-,"400,000","606,000",-,-,"360,060",-,-,"546,000",-,-,120,-,12,"280,000",-,-,80,"544,000","533,045",(D),-,-,-,(D),(D),"2,700",180,-,(D),"402,000",-,"484,400","642,000",-,-,-,-,-,-,-,-,(D),15,-,(D),-,-,"150,044",60,-
2017,"5,380,516",-,-,-,100,(D),-,-,-,-,-,-,-,-,-,-,(D),-,-,-,30,-,300,111,850,-,140,-,-,-,-,-,(D),"430,000","578,100",-,-,"240,024",-,-,(D),(D),-,36,(D),150,"328,040",(D),-,-,"635,790","402,014",-,-,-,192,-,-,850,-,-,"929,500","90,000",-,"686,000",(D),-,(D),-,-,-,-,-,-,(D),36,-,(D),-,-,(D),-,-
"Broilers and other meat-type chickens sold                farms, 2022","1,057",1,1,17,2,-,-,-,1,6,-,-,12,1,-,16,52,-,6,-,1,16,-,1,3,3,-,-,-,-,11,70,8,27,92,7,4,17,-,43,82,2,-,31,8,4,35,5,4,4,58,36,12,1,4,5,8,11,2,-,-,33,53,-,46,71,2,-,-,-,-,-,-,-,32,-,-,71,3,-,16,-,-
2017,"1,237",2,9,30,3,-,3,-,4,1,-,-,8,-,-,25,72,1,4,1,-,5,-,4,4,7,2,-,-,-,-,95,7,13,115,-,5,26,-,34,103,2,1,30,5,-,30,-,3,1,98,45,9,1,-,5,13,18,-,-,-,39,69,-,59,91,2,-,-,10,-,-,-,-,30,3,-,64,2,-,22,-,2
"number, 2022","668,652,465",(D),(D),"9,696,643",(D),-,-,-,(D),"4,500,000",-,-,"11,975,094",(D),-,"10,636,400","33,445,877",-,"1,464,075",-,(D),"15,957,000",-,(D),24,54,-,-,-,-,"1,920","38,152,278","5,416,000","13,193,036","51,474,709","3,355,000",32,"4,924,030",-,"29,646,281","65,310,554",(D),-,"19,098,205","3,675,009",(D),"18,904,960",250,(D),20,"42,997,124","28,099,668","8,469,280",(D),40,"3,400","1,776,016","6,183,845",(D),-,-,"27,433,187","43,562,300",-,"37,022,760","47,978,115",(D),-,-,-,-,-,-,-,"17,732,861",-,-,"49,889,619",45,-,"12,024,510",-,-
2017,"745,189,499",(D),108,"22,337,624",(D),-,90,-,41,(D),-,-,"7,456,000",-,-,"18,177,500","48,865,351",(D),"1,798,000",(D),-,"3,538,000",-,86,80,101,(D),-,-,-,-,"50,987,214","5,006,000","7,631,926","54,339,900",-,201,"10,202,000",-,"23,376,488","76,486,453",(D),(D),"16,938,456","4,199,611",-,"16,919,429",-,(D),(D),"58,885,385","27,412,296","5,942,500",(D),-,96,"6,567,400","9,193,571",-,-,-,"24,535,874","54,579,569",-,"37,891,917","56,902,533",(D),-,-,90,-,-,-,-,"18,080,789",30,-,"54,806,268",(D),-,"15,369,705",-,(D)
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",114,1,1,3,-,-,-,-,1,-,-,-,2,1,-,1,2,-,3,-,1,-,-,-,3,3,-,-,-,-,11,1,-,-,2,-,4,6,-,-,-,1,-,6,3,4,6,5,3,4,-,2,-,-,4,5,2,1,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,4,-,-,9,3,-,2,-,-
"2,000 to 59,999.....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
"100,000 to 199,999...............................................................",25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,4,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,4,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"200,000 to 499,999...............................................................",264,-,-,4,-,-,-,-,-,-,-,-,2,-,-,3,17,-,2,-,-,1,-,-,-,-,-,-,-,-,-,27,-,22,45,6,-,7,-,14,15,-,-,6,-,-,10,-,-,-,19,5,-,-,-,-,-,4,-,-,-,4,7,-,5,18,-,-,-,-,-,-,-,-,6,-,-,14,-,-,1,-,-
"500,000 or more....................................................................",650,-,-,10,2,-,-,-,-,6,-,-,8,-,-,11,33,-,1,-,-,15,-,1,-,-,-,-,-,-,-,40,8,5,41,1,-,4,-,27,65,1,-,19,5,-,19,-,1,-,37,24,12,1,-,-,2,6,-,-,-,29,46,-,40,50,-,-,-,-,-,-,-,-,22,-,-,45,-,-,13,-,-
"Turkeys sold                                                                      farms, 2022",66,-,-,1,-,1,-,-,3,-,2,-,-,-,-,-,2,-,-,-,4,1,-,2,5,4,-,-,1,-,1,-,-,-,-,-,2,-,-,-,2,6,-,1,-,-,1,-,3,2,1,1,-,-,-,6,1,2,1,-,-,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-
2017,47,-,3,-,-,2,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,3,-,2,1,-,-,-,-,1,-,-,-,-,-,2,6,-,-,-,-,-,-,6,-,-,-,-,-,2,-,-,2,-,6,-,-,-,-,-,5,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-
"number, 2022",864,-,-,(D),-,(D),-,-,12,-,(D),-,-,-,-,-,(D),-,-,-,40,(D),-,(D),20,8,-,-,(D),-,(D),-,-,-,-,-,(D),-,-,-,(D),174,-,(D),-,-,(D),-,3,(D),(D),(D),-,-,-,6,(D),(D),(D),-,-,6,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-
2017,451,-,6,-,-,(D),-,-,-,(D),-,-,-,(D),-,-,-,-,-,-,-,-,9,-,(D),(D),-,-,-,-,(D),-,-,-,-,-,(D),12,-,-,-,-,-,-,18,-,-,-,-,-,(D),-,-,(D),-,243,-,-,-,-,-,10,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,(D),-,-,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",391,-,10,3,3,1,-,-,1,8,-,-,4,6,-,-,6,4,4,2,16,8,4,2,8,2,2,-,-,-,8,3,-,2,12,2,2,13,3,-,2,8,2,9,3,6,12,2,5,7,11,7,8,-,1,7,2,17,6,7,-,14,17,-,13,5,7,-,-,17,-,4,-,2,10,1,5,14,1,-,17,3,-
2017,399,8,10,1,2,2,3,-,3,1,-,-,8,4,-,-,20,3,3,3,16,5,5,1,2,-,2,-,-,1,6,8,-,20,1,6,5,15,4,4,13,2,1,6,9,2,19,-,6,1,27,16,11,-,2,17,4,6,10,-,-,9,6,-,13,9,4,-,-,6,1,-,-,-,7,-,-,11,-,1,7,-,1
