Item,Wisconsin,Adams,Ashland,Barron,Bayfield,Brown,Buffalo,Burnett,Calumet,Chippewa,Clark,Columbia,Crawford,Dane,Dodge,Door,Douglas,Dunn,Eau Claire,Florence,Fond du Lac,Forest,Grant,Green,Green Lake,Iowa,Iron,Jackson,Jefferson,Juneau,Kenosha,Kewaunee,La Crosse,Lafayette,Langlade,Lincoln,Manitowoc,Marathon,Marinette,Marquette,Menominee,Milwaukee,Monroe,Oconto,Oneida,Outagamie,Ozaukee,Pepin,Pierce,Polk,Portage,Price,Racine,Richland,Rock,Rusk,St. Croix,Sauk,Sawyer,Shawano,Sheboygan,Taylor,Trempealeau,Vernon,Vilas,Walworth,Washburn,Washington,Waukesha,Waupaca,Waushara,Winnebago,Wood
"10,000 to 19,999...................................................................",25,-,-,-,-,-,2,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,1,-,-,-,-,-,2,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",29,-,-,-,-,-,2,-,-,-,4,1,1,1,-,-,-,1,-,-,-,-,5,-,-,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,037",6,3,19,7,2,7,17,6,26,54,27,10,49,23,24,2,18,8,3,5,1,24,35,26,6,-,9,12,24,10,10,12,8,12,12,18,25,11,13,-,-,30,2,2,14,3,5,11,31,21,11,16,11,23,6,7,20,10,9,23,12,16,30,3,12,6,14,18,30,8,16,33
2017,987,4,9,5,7,10,8,9,6,12,63,28,15,46,22,9,5,11,14,3,16,-,23,35,11,18,-,25,34,-,11,3,5,8,3,10,16,31,8,7,-,1,26,12,1,12,2,10,19,20,23,11,11,16,9,14,17,23,1,18,3,15,17,38,5,13,16,10,10,11,19,16,18
"number, 2022","1,455,857",95,55,302,216,(D),"75,633",534,63,"1,345","1,514",(D),261,(D),542,967,(D),249,76,60,47,(D),155,466,793,43,-,214,"798,829",422,202,141,(D),108,193,279,515,"1,535",106,250,-,-,(D),(D),(D),248,45,129,154,494,373,194,299,249,592,74,48,413,232,91,(D),293,"109,366","175,460",78,172,96,290,595,464,206,"1,155",594
2017,"1,887,998",132,50,265,260,714,"118,348",106,81,"2,193","1,876",954,300,"1,205",476,277,88,"1,599",625,157,369,-,552,571,276,"19,612",-,"4,997","1,076,901",-,94,(D),(D),146,76,266,401,"1,228",184,181,-,(D),"1,405",160,(D),260,(D),442,154,308,"1,500",326,909,(D),118,321,219,(D),(D),298,(D),336,"427,852","125,026",70,400,295,148,122,255,566,194,362
"Broilers and other meat-type chickens                         farms, 2022","1,695",8,13,34,11,17,50,20,8,43,94,26,16,42,42,6,4,31,58,2,16,1,45,34,22,24,8,22,22,19,9,10,6,25,5,12,11,53,5,26,-,-,63,17,8,23,2,7,27,37,33,8,14,21,32,20,16,44,13,26,20,24,73,71,1,21,10,22,6,29,33,16,58
2017,"1,643",6,2,14,19,13,67,6,12,30,77,28,17,48,13,10,15,17,38,-,5,8,32,36,22,16,4,46,20,10,16,13,13,23,8,12,29,52,16,14,-,1,70,19,2,30,2,11,51,33,51,7,25,29,25,17,16,35,6,36,8,22,74,52,6,21,14,15,9,37,26,15,51
"number, 2022","8,493,377",366,791,"1,574",389,"81,035","3,445,995","1,353",528,"7,633","27,484","12,664",340,"2,586","1,037",278,148,"1,363","513,123",(D),683,(D),"142,385","1,034","17,525",759,639,"200,500",963,301,164,544,165,"1,531",230,412,771,"5,461",108,"1,563",-,-,"3,714","1,079",230,"1,105",(D),209,"1,076","4,113","1,245",230,"2,651",486,"1,487","1,215",705,"2,600","3,210","1,159",755,"1,302","3,876,896","104,650",(D),"1,184",230,"1,718",182,816,"1,619",954,"1,529"
2017,"8,765,589",31,(D),510,560,"7,340","2,800,133",87,328,"8,773","86,646","10,478",350,"2,117",269,"2,163",641,541,"293,550",-,370,90,"78,066","1,282","23,389",(D),57,"333,541","1,112",232,796,323,792,321,269,217,"1,271","6,591",394,807,-,(D),"10,152",555,(D),"1,612",(D),"1,509",(D),"2,048","5,646",269,"2,747",866,862,"1,626","1,405","1,407",817,"2,283",416,"6,411","4,941,615","61,484",80,458,604,636,261,"1,172",850,"1,442","1,488"
"Turkeys                                                                              farms, 2022",650,8,-,19,2,7,3,2,3,11,38,8,5,20,10,10,4,11,12,-,11,-,21,25,1,6,8,3,9,-,16,11,4,11,4,8,6,24,3,10,-,-,10,6,-,14,3,2,9,20,14,10,10,4,27,9,8,12,8,7,16,12,2,6,2,20,4,21,9,3,4,13,11
2017,596,7,2,28,10,18,4,3,4,13,26,12,1,28,12,4,7,4,6,-,8,8,14,16,2,6,-,9,4,1,7,5,3,15,4,3,10,22,6,10,-,1,15,3,6,25,-,2,4,7,18,6,9,7,12,7,4,9,4,4,5,16,6,12,5,10,8,7,11,9,10,3,9
"number, 2022","2,356,316",24,-,"1,304,945",(D),(D),(D),(D),9,"347,199",222,68,33,357,107,46,70,(D),(D),-,37,-,247,223,(D),79,62,44,143,-,35,89,13,130,23,62,74,422,15,241,-,-,24,18,-,98,105,(D),149,"103,132",416,51,120,49,236,40,(D),38,111,49,112,45,(D),22,(D),816,"169,020",241,34,28,18,176,63
2017,"2,377,777",13,(D),"1,410,261",136,575,(D),(D),53,"276,927",256,130,(D),439,100,57,67,(D),(D),-,38,116,131,173,(D),55,-,102,24,(D),184,26,(D),62,33,27,186,"1,019",10,201,-,(D),776,18,12,179,-,(D),93,"107,020",642,38,224,81,90,93,(D),98,76,23,32,140,"55,026",65,15,95,(D),72,79,37,80,(D),50
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,716",22,20,38,18,43,24,28,14,51,68,47,28,103,96,42,8,60,39,8,43,9,70,83,33,59,8,22,54,36,28,35,37,27,19,13,48,75,32,23,-,5,59,58,13,35,6,17,43,68,69,15,52,23,45,24,46,54,8,30,22,30,32,61,4,41,23,52,40,75,32,42,81
2017,"2,381",31,24,32,20,27,20,13,18,70,48,60,17,101,72,17,20,52,27,2,40,6,51,71,13,34,6,30,27,19,20,20,19,44,20,19,45,54,21,19,-,3,42,28,12,29,7,13,43,54,50,27,28,28,69,20,67,59,8,45,31,31,41,58,11,58,22,32,29,34,41,36,76
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","5,834",40,21,126,50,72,100,41,39,141,240,114,58,209,126,64,23,106,103,14,67,7,136,155,80,106,16,66,99,63,58,50,66,87,32,47,77,193,40,63,-,10,151,73,18,77,21,28,107,126,99,31,102,62,112,51,76,138,23,62,92,85,123,250,5,114,56,99,76,110,72,78,112
2017,"5,408",48,38,125,45,57,93,26,30,103,252,121,60,236,132,50,28,97,103,14,71,8,123,132,54,70,7,84,109,32,49,37,42,84,25,40,80,184,50,48,1,7,170,51,11,77,18,35,87,101,119,41,82,52,112,43,101,101,19,81,64,70,147,233,16,83,74,57,64,55,72,58,119
"Layers sold                                                                        farms, 2022",906,-,2,26,3,9,9,9,8,29,27,22,3,35,16,23,6,16,9,2,11,-,13,17,13,19,5,-,19,4,19,9,16,13,4,9,20,30,4,19,-,-,30,4,-,3,3,7,19,18,13,7,19,4,9,1,22,11,3,10,11,4,17,76,-,20,3,6,28,25,7,16,12
2017,"1,013",1,1,15,6,10,14,13,6,9,64,31,6,51,14,7,3,21,28,-,8,1,23,38,11,6,-,12,40,8,12,6,3,12,6,8,17,35,13,13,-,2,37,8,1,17,1,17,13,15,15,5,19,9,10,9,34,18,-,17,21,12,26,64,2,13,8,4,4,8,5,9,18
"number, 2022","4,650,284",-,(D),591,(D),(D),"127,914",456,191,"1,510","49,013","28,685",155,(D),(D),"1,883",67,370,197,(D),399,-,"75,431",651,"10,173","44,550",70,-,"3,500,306",38,397,155,612,(D),135,134,(D),(D),49,"16,232",-,-,"91,528",(D),-,180,90,234,420,236,257,119,"1,252","46,785",454,(D),493,"13,966",35,(D),(D),54,"74,066","94,634",-,(D),19,(D),509,"1,056",287,134,144
2017,"3,721,544",(D),(D),253,65,(D),"175,810",231,261,134,"85,705","40,608",55,(D),373,167,20,571,"6,475",-,327,(D),"94,966","1,049","5,836","19,185",-,185,"2,463,466",225,"2,550",60,(D),"51,674",96,174,(D),(D),"1,073","2,921",-,(D),"142,292",877,(D),965,(D),318,80,233,518,87,786,"3,888",333,39,"1,561",(D),-,(D),(D),329,"102,582","122,554",(D),521,58,(D),328,182,315,353,252
"Pullets for laying flock replacement sold                      farms, 2022",156,-,-,4,-,2,4,-,4,2,7,6,1,13,-,6,1,-,-,-,-,-,3,1,1,-,-,-,3,-,14,2,1,-,-,1,2,5,1,1,-,-,4,1,-,-,-,2,-,3,3,-,3,-,6,-,-,-,-,-,9,-,11,8,-,-,-,2,7,-,2,2,8
2017,125,-,-,-,-,1,6,-,1,3,5,6,-,11,-,-,2,-,1,-,-,-,-,5,2,4,-,-,3,-,4,-,1,2,-,2,-,3,1,2,-,-,4,2,-,-,-,-,2,1,-,2,3,3,-,6,3,2,-,-,1,-,11,7,-,2,-,3,2,-,2,2,2
"number, 2022","2,717,357",-,-,40,-,(D),"150,025",-,80,(D),340,"40,100",(D),(D),-,120,(D),-,-,-,-,-,32,(D),(D),-,-,-,"1,145,565",-,162,(D),(D),-,-,(D),(D),87,(D),(D),-,-,"421,570",(D),-,-,-,(D),-,130,60,-,300,-,168,-,-,-,-,-,(D),-,"129,375","409,400",-,-,-,(D),380,-,(D),(D),271
2017,"2,300,997",-,-,-,-,(D),"241,000",-,(D),(D),172,144,-,206,-,-,(D),-,(D),-,-,-,-,141,(D),100,-,-,(D),-,22,-,(D),(D),-,(D),-,150,(D),(D),-,-,304,(D),-,-,-,-,(D),(D),-,(D),230,(D),-,20,(D),(D),-,-,(D),-,"597,280","269,550",-,(D),-,90,(D),-,(D),(D),(D)
"Broilers and other meat-type chickens sold                farms, 2022","1,179",6,4,32,14,9,55,11,8,26,48,19,6,34,25,4,4,12,26,1,4,1,15,23,21,15,7,11,16,2,7,13,4,6,6,16,13,43,8,15,-,-,20,17,-,15,1,6,15,31,30,6,20,18,34,6,23,35,4,15,20,7,70,43,-,28,8,25,20,15,27,13,17
2017,"1,217",6,4,13,8,11,51,5,4,24,59,27,13,46,20,7,6,11,38,2,12,3,28,25,12,16,-,27,22,3,12,7,8,13,3,10,28,62,3,8,-,1,34,9,4,29,3,5,15,27,32,2,17,18,29,10,37,19,9,11,14,9,76,44,3,17,10,15,11,11,9,11,19
"number, 2022","56,724,981",175,480,"1,885","1,470","400,710","24,129,540",565,403,"8,525","91,698","67,514",150,"7,466","1,853",245,208,"1,122","3,350,486",(D),552,(D),"731,029","9,432","89,323",(D),650,"1,400,720","1,488",(D),(D),519,154,"3,585",252,"1,271","1,251","7,109","5,800","3,260",-,-,"2,338","1,355",-,"2,108",(D),588,569,"2,651","3,066",152,"2,550","4,216","2,871",725,"1,280","2,439","1,074",982,"41,390",160,"25,892,460","413,068",-,"5,540",298,"1,944","1,041",502,"1,431","2,373",654
2017,"53,438,462",131,"2,050",800,495,"12,608","18,766,515",176,410,"9,851","137,287","47,104","1,035","6,574",835,595,500,"6,746","2,077,776",(D),"1,782",690,"181,680","2,808","83,043",(D),-,"2,137,204","1,365",85,"2,095",256,795,833,72,779,"1,120","23,770",315,"1,890",-,(D),"23,625",696,145,"4,359",110,234,765,"2,945","4,669",(D),(D),864,"1,090","1,791","20,058","1,736",830,"1,015",729,"33,279","29,430,195","110,948",90,440,213,"3,997",513,636,578,790,"1,581"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................","1,019",6,4,32,14,7,5,11,8,25,43,15,6,33,25,4,4,12,16,1,4,1,12,20,15,14,7,9,16,2,7,13,4,5,6,16,13,42,6,15,-,-,20,17,-,15,1,6,15,31,30,6,20,18,34,6,23,35,4,15,16,7,13,37,-,27,8,25,20,15,27,13,17
"2,000 to 59,999.....................................................................",41,-,-,-,-,-,2,-,-,1,5,4,-,1,-,-,-,-,3,-,-,-,-,3,6,1,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3,3,-,1,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",75,-,-,-,-,2,30,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",41,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",332,3,-,12,2,1,3,-,2,10,6,7,1,19,3,2,-,9,3,-,3,-,3,13,2,1,6,2,6,8,7,6,-,1,4,6,2,14,-,4,-,-,4,3,-,7,-,-,4,12,11,-,9,7,11,1,4,1,3,3,5,3,2,8,-,27,4,8,8,7,-,8,1
2017,365,-,2,20,6,5,4,2,1,15,15,6,-,18,12,2,3,3,2,-,5,-,4,16,2,3,-,3,8,-,11,2,2,5,4,3,3,23,1,1,-,-,10,6,-,14,4,-,1,6,16,-,10,4,16,6,9,5,4,2,2,3,5,4,-,7,3,3,6,1,4,1,1
"number, 2022","5,095,577",20,-,"2,763,545",(D),(D),(D),-,(D),"662,402",84,33,(D),564,107,(D),-,(D),(D),-,10,-,8,"1,425",(D),(D),60,(D),167,14,8,30,-,(D),80,12,(D),302,-,49,-,-,23,14,-,40,-,-,37,"283,556",440,-,243,183,110,(D),(D),(D),78,12,37,16,(D),"1,044",-,"1,370","218,020",57,129,32,-,228,(D)
2017,"5,579,620",-,(D),"2,962,615",124,575,(D),(D),(D),"832,245",478,(D),-,"1,141",188,(D),36,(D),(D),-,36,-,78,482,(D),41,-,10,522,-,294,(D),(D),40,24,43,36,882,(D),(D),-,-,"1,228",65,-,111,53,-,(D),"286,542",677,-,"41,132",74,207,88,(D),38,247,(D),(D),51,"199,024",(D),-,513,(D),(D),114,(D),34,(D),(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",647,6,5,15,1,9,9,4,3,12,11,11,6,25,18,12,2,27,6,2,8,2,6,15,11,14,8,-,26,4,3,12,17,1,11,5,13,14,-,7,-,-,8,13,-,5,3,2,2,16,13,7,11,5,15,5,10,13,1,10,1,9,9,19,-,16,8,10,17,15,5,22,16
2017,615,17,2,4,-,5,12,2,5,9,14,24,4,46,13,6,-,6,8,-,12,-,20,18,6,12,-,4,15,1,-,3,7,9,7,5,13,32,4,11,-,1,16,11,1,3,2,3,3,11,6,5,16,6,12,6,8,6,2,13,10,1,23,17,-,13,8,9,9,4,2,19,13
