Item,Montana,Beaverhead,Big Horn,Blaine,Broadwater,Carbon,Carter,Cascade,Chouteau,Custer,Daniels,Dawson,Deer Lodge,Fallon,Fergus,Flathead,Gallatin,Garfield,Glacier,Golden Valley,Granite,Hill,Jefferson,Judith Basin,Lake,Lewis and Clark,Liberty,Lincoln,McCone,Madison,Meagher,Mineral,Missoula,Musselshell,Park,Petroleum,Phillips,Pondera,Powder River,Powell,Prairie,Ravalli,Richland,Roosevelt,Rosebud,Sanders,Sheridan,Silver Bow,Stillwater,Sweet Grass,Teton,Toole,Treasure,Valley,Wheatland,Wibaux,Yellowstone
2017,230,4,3,2,3,4,1,10,4,5,-,-,-,-,2,14,9,-,7,1,-,1,-,1,3,23,3,2,1,1,1,-,8,10,6,-,4,6,1,-,-,34,-,2,6,12,-,-,5,-,3,-,-,-,1,-,27
"number, 2022","14,914",(D),-,(D),41,26,-,(D),(D),-,-,-,-,-,(D),100,20,-,(D),(D),-,(D),15,(D),34,(D),(D),28,-,38,(D),-,12,(D),(D),-,(D),"3,300",27,(D),-,501,-,-,(D),97,4,66,8,20,(D),-,(D),12,(D),-,(D)
2017,"19,351",12,21,(D),12,64,(D),"2,169",(D),52,-,-,-,-,(D),97,16,-,740,(D),-,(D),-,(D),10,"2,037","1,575",(D),(D),(D),(D),-,24,32,45,-,13,"4,302",(D),-,-,347,-,(D),12,24,-,-,23,-,(D),-,-,-,(D),-,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",625,10,1,2,17,22,3,34,5,16,2,1,1,3,20,61,30,2,6,2,6,5,17,-,22,29,1,21,-,9,6,1,20,6,11,-,5,3,11,4,-,67,7,3,8,19,4,6,12,5,11,4,-,14,1,4,45
2017,652,16,2,12,22,19,5,44,2,17,2,11,-,3,15,41,36,2,9,3,1,8,3,3,16,27,2,21,2,10,1,2,27,15,19,-,5,3,7,3,-,81,5,3,13,19,-,4,9,2,6,3,-,8,3,2,58
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,214",3,12,9,33,33,2,72,7,13,2,9,1,6,29,81,73,14,17,7,2,16,19,6,56,47,4,26,5,26,3,5,45,16,41,-,9,13,19,13,1,145,27,9,10,46,7,11,20,11,15,10,2,32,5,4,65
2017,"1,208",26,13,13,19,38,12,38,14,21,3,13,-,16,32,96,52,4,14,1,3,20,28,11,56,47,5,32,6,19,2,10,55,22,43,-,12,6,12,21,7,134,12,10,9,39,4,-,24,13,14,7,1,8,8,8,75
"Layers sold                                                                        farms, 2022",174,1,-,-,3,5,1,4,2,-,-,1,-,-,1,11,10,-,8,-,-,3,2,-,9,4,2,3,-,3,1,1,9,-,9,-,1,-,-,1,-,43,2,-,-,6,-,2,-,-,2,3,-,-,1,1,19
2017,188,12,1,1,1,8,-,4,3,-,-,4,-,5,-,14,13,-,1,-,-,6,6,2,9,6,2,1,1,5,2,-,2,1,10,-,4,1,1,-,-,27,1,-,3,6,-,-,5,-,1,-,-,-,1,-,18
"number, 2022","453,667",(D),-,-,82,39,(D),(D),(D),-,-,(D),-,-,(D),726,266,-,"198,100",-,-,(D),(D),-,591,(D),(D),"1,206",-,27,(D),(D),104,-,"1,135",-,(D),-,-,(D),-,"4,144",(D),-,-,293,-,(D),-,-,(D),"79,400",-,-,(D),(D),(D)
2017,"162,743",210,(D),(D),(D),236,-,(D),"12,000",-,-,417,-,125,-,"1,820",(D),-,(D),-,-,(D),60,(D),"12,082",(D),(D),(D),(D),102,(D),-,(D),(D),117,-,22,(D),(D),-,-,"1,904",(D),-,36,(D),-,-,50,-,(D),-,-,-,(D),-,"2,232"
"Pullets for laying flock replacement sold                      farms, 2022",20,2,-,-,-,-,-,3,-,-,-,1,-,-,-,-,3,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1
2017,25,-,-,-,-,4,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,3,1,-,-,2,-,-,-,2,-,-,-,-,-,-,1
"number, 2022",(D),(D),-,-,-,-,-,60,-,-,-,(D),-,-,-,-,3,-,(D),-,-,-,-,-,-,(D),-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,45,-,-,-,(D),-,-,-,-,-,(D),-,-,-,-,(D)
2017,"16,431",-,-,-,-,88,-,(D),-,-,-,45,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,(D),-,(D),-,-,-,-,-,-,210,(D),-,-,(D),-,-,-,(D),-,-,-,-,-,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",91,-,-,1,2,4,-,5,1,-,-,1,-,-,4,3,-,-,2,1,1,4,2,-,14,1,3,6,1,-,-,-,1,-,2,-,-,2,2,-,-,14,-,2,-,1,-,-,-,-,5,-,-,-,3,-,3
2017,101,-,1,1,-,2,2,6,1,3,-,3,-,-,6,-,1,-,2,1,-,8,-,-,3,2,4,-,3,-,1,-,2,-,5,-,-,2,-,-,-,9,1,-,3,8,-,-,4,1,2,1,-,-,3,-,10
"number, 2022","133,389",-,-,(D),(D),440,-,49,(D),-,-,(D),-,-,"1,560",(D),-,-,(D),(D),(D),(D),(D),-,570,(D),"43,800",920,(D),-,-,-,(D),-,(D),-,-,(D),(D),-,-,468,-,(D),-,(D),-,-,-,-,(D),-,-,-,"16,700",-,(D)
2017,"131,318",-,(D),(D),-,(D),(D),"6,067",(D),90,-,360,-,-,(D),-,(D),-,(D),(D),-,"1,900",-,-,75,(D),"46,800",-,(D),-,(D),-,(D),-,180,-,-,(D),-,-,-,111,(D),-,30,38,-,-,96,(D),(D),(D),-,-,"16,700",-,(D)
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",74,-,-,1,2,4,-,5,-,-,-,1,-,-,4,3,-,-,1,-,1,3,2,-,14,1,-,6,-,-,-,-,1,-,-,-,-,1,2,-,-,14,-,2,-,1,-,-,-,-,3,-,-,-,-,-,2
"2,000 to 59,999.....................................................................",17,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,3,-,1,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,1
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",65,-,-,1,-,4,-,4,2,-,-,-,-,-,2,7,3,-,2,1,-,2,-,1,-,5,2,2,1,-,-,-,-,-,1,-,1,3,-,-,-,9,-,-,-,-,-,3,-,-,4,-,-,-,2,-,3
2017,84,-,2,-,-,2,-,5,1,3,-,-,-,-,-,3,-,-,3,1,-,1,5,1,6,9,3,-,2,-,1,-,8,-,1,-,1,4,-,-,-,6,-,-,-,-,-,-,-,-,2,-,-,-,2,-,12
"number, 2022","35,443",-,-,(D),-,48,-,(D),(D),-,-,-,-,-,(D),32,15,-,(D),(D),-,(D),-,(D),-,(D),(D),(D),(D),-,-,-,-,-,(D),-,(D),"3,150",-,-,-,210,-,-,-,-,-,21,-,-,(D),-,-,-,(D),-,(D)
2017,"27,443",-,(D),-,-,(D),-,"2,010",(D),30,-,-,-,-,-,60,-,-,"1,230",(D),-,(D),5,(D),18,(D),"1,050",-,(D),-,(D),-,53,-,(D),-,(D),"4,000",-,-,-,33,-,-,-,-,-,-,-,-,(D),-,-,-,(D),-,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",122,-,-,-,1,3,-,10,2,-,2,-,-,-,3,17,3,-,-,1,-,2,4,-,-,7,1,2,1,-,1,-,4,-,5,-,-,2,-,-,-,24,-,-,1,2,1,3,6,1,-,-,-,-,2,-,11
