Item,Louisiana,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,Lafayette,Lafourche,LaSalle,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
"Pullets for laying flock replacement sold                      farms, 2022",64,-,1,-,-,-,3,-,3,-,3,7,-,-,2,-,2,5,-,2,-,-,-,-,-,-,-,-,4,4,-,1,-,2,-,-,-,6,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,2,8,-,-,-,1
2017,71,6,-,-,-,5,-,1,-,-,4,-,-,-,2,-,2,3,1,-,1,-,3,-,-,-,-,8,-,7,-,1,-,-,-,-,-,-,-,4,2,-,-,4,-,-,-,-,-,-,1,-,2,6,-,-,4,-,-,1,-,-,-,2,1
"number, 2022","1,187,115",-,(D),-,-,-,150,-,18,-,108,148,-,-,(D),-,(D),219,-,(D),-,-,-,-,-,-,-,-,72,40,-,(D),-,(D),-,-,-,74,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,(D),326,-,-,-,(D)
2017,"1,002,090",24,-,-,-,24,-,(D),-,-,370,-,-,-,(D),-,(D),42,(D),-,(D),-,111,-,-,-,-,72,-,415,-,(D),-,-,-,-,-,-,-,16,(D),-,-,"480,000",-,-,-,-,-,-,(D),-,(D),102,-,-,50,-,-,(D),-,-,-,(D),(D)
"Broilers and other meat-type chickens sold                farms, 2022",310,-,-,-,-,6,1,5,-,1,5,1,-,-,44,-,-,4,-,2,2,-,-,4,-,22,-,1,6,5,10,42,2,-,-,8,3,13,-,2,1,-,2,23,4,-,-,-,-,2,-,-,8,8,-,-,56,-,6,5,2,2,-,-,2
2017,359,-,4,-,-,-,4,7,2,3,16,-,-,-,29,-,-,8,-,2,12,-,1,3,-,22,-,3,5,12,-,47,-,-,3,12,-,6,-,-,8,4,-,41,-,-,-,-,-,19,1,-,7,-,-,-,56,2,12,2,3,-,-,-,3
"number, 2022","135,838,909",-,-,-,-,180,(D),"3,910,000",-,(D),63,(D),-,-,"17,157,831",-,-,(D),-,(D),(D),-,-,14,-,"10,919,386",-,(D),446,50,82,"25,355,077",(D),-,-,"6,140,032",36,(D),-,(D),(D),-,(D),"26,188,113",60,-,-,-,-,(D),-,-,838,"6,202",-,-,"34,144,914",-,"6,601,000",(D),(D),(D),-,-,(D)
2017,"156,348,601",-,30,-,-,-,85,"3,753,500",(D),"1,800,000","2,144",-,-,-,"14,435,538",-,-,"1,101,050",-,(D),162,-,(D),900,-,"11,466,676",-,225,570,680,-,"31,049,026",-,-,72,"9,846,060",-,"2,814,360",-,-,92,380,-,"38,431,132",-,-,-,-,-,888,(D),-,(D),-,-,-,"31,724,440",(D),"6,598,095",(D),"1,095,000",-,-,-,"1,700,200"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",98,-,-,-,-,6,1,-,-,1,5,1,-,-,-,-,-,3,-,2,2,-,-,4,-,-,-,1,6,5,10,3,2,-,-,2,3,11,-,2,1,-,1,-,4,-,-,-,-,2,-,-,8,5,-,-,-,-,-,4,1,2,-,-,-
"2,000 to 59,999.....................................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",11,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",81,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,17,-,-,-,3,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-
"500,000 or more....................................................................",117,-,-,-,-,-,-,5,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,6,-,-,-,-,-,22,-,-,-,3,-,1,-,-,-,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,33,-,6,-,1,-,-,-,2
"Turkeys sold                                                                      farms, 2022",42,-,-,-,-,1,-,-,5,3,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,4,-,-,6,-,-,3,3,2,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,2,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-
2017,52,-,-,-,-,2,3,-,2,-,6,-,-,-,-,-,1,2,-,3,2,-,1,1,-,-,3,6,-,3,3,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,2,-,-,-,-
"number, 2022",513,-,-,-,-,(D),-,-,43,6,-,(D),-,-,-,-,-,(D),-,-,-,-,-,-,-,12,-,-,63,-,-,108,9,(D),-,-,-,(D),(D),-,-,-,-,-,-,-,-,-,-,(D),-,-,40,-,-,-,-,-,-,-,(D),-,-,-,-
2017,477,-,-,-,-,(D),9,-,(D),-,18,-,-,-,-,-,(D),(D),-,9,(D),-,(D),(D),-,-,30,30,-,30,8,-,(D),-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,30,30,-,-,-,-,-,-,(D),-,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",264,5,4,1,-,1,21,5,5,5,5,1,-,-,3,1,1,20,2,2,-,5,6,-,-,8,-,2,14,4,2,10,5,2,4,5,-,12,2,-,3,-,2,4,4,-,-,-,-,4,2,-,15,15,-,-,8,11,5,9,10,2,-,1,6
2017,326,6,4,-,2,5,1,4,5,9,14,13,-,-,2,-,5,3,5,6,3,-,4,4,3,1,3,9,9,12,3,10,2,1,4,2,-,17,2,-,16,-,8,2,-,-,-,-,-,17,6,-,34,28,-,2,7,8,8,4,5,-,1,3,4
