Item,Minnesota,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,McLeod,Mahnomen,Marshall,Martin,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,St. Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
"3,200 to 9,999.......................................................................",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-
"10,000 to 19,999...................................................................",24,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",24,-,-,-,-,-,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,3,-,-,-,-,-,-,-,-,2,-
"Pullets for laying flock replacement                              farms, 2022",723,10,7,11,14,8,1,8,4,15,9,18,4,24,9,12,-,5,4,16,13,8,3,23,1,20,1,11,13,5,17,6,1,10,5,-,5,7,4,-,8,-,3,11,-,-,4,5,15,35,6,2,2,6,3,16,18,2,15,1,6,8,-,-,6,4,10,-,-,30,10,31,15,35,-,2,-,24,-,6,5,3,4,3,6,6,23,2
2017,615,13,10,6,13,11,1,4,1,10,2,10,5,31,10,9,3,1,12,13,5,9,3,17,2,11,2,1,5,7,4,3,-,15,8,-,4,4,8,6,21,2,4,7,2,2,5,5,10,9,5,6,7,16,2,9,14,-,16,-,6,3,-,-,1,2,13,2,4,22,3,10,4,29,3,-,6,26,2,6,2,4,11,1,-,12,20,2
"number, 2022","4,185,443",156,203,800,707,(D),(D),51,285,110,75,475,64,323,"385,566",292,-,161,32,888,188,167,80,"16,328",(D),535,(D),148,"1,245",66,302,58,(D),275,51,-,225,100,92,-,(D),-,12,165,-,-,74,"1,143,304",457,"315,310",63,(D),(D),540,(D),225,234,(D),231,(D),72,82,-,-,52,(D),87,-,-,441,470,498,210,(D),-,(D),-,"469,885",-,130,50,58,43,180,60,94,(D),(D)
2017,"4,636,614",261,183,104,115,"215,710",(D),56,(D),214,(D),220,53,504,(D),135,60,(D),155,192,60,265,110,"11,436",(D),453,(D),(D),91,154,16,(D),-,117,59,-,230,35,355,84,"2,501",(D),100,101,(D),(D),86,(D),337,"400,154",84,570,"960,046",378,(D),178,202,-,216,-,630,(D),-,-,(D),(D),157,(D),40,642,(D),(D),(D),"176,594",30,-,120,906,(D),126,(D),52,63,(D),-,(D),(D),(D)
"Broilers and other meat-type chickens                         farms, 2022","1,285",13,4,14,30,42,2,5,1,26,10,23,2,40,3,8,-,8,20,27,15,29,4,19,4,36,5,19,9,6,26,21,2,18,17,5,5,6,4,8,13,2,7,15,6,2,15,17,19,111,8,2,1,12,6,13,22,-,37,3,9,10,-,-,2,10,35,7,8,39,13,36,11,83,18,2,6,45,-,4,9,6,5,15,1,21,41,2
2017,"1,290",18,6,17,27,57,2,9,9,22,13,8,3,30,9,8,1,14,18,27,13,4,13,38,9,28,4,6,13,26,10,9,4,10,15,2,3,5,-,9,10,2,5,12,1,8,8,14,22,130,10,8,2,10,-,5,39,-,17,2,16,9,1,2,17,15,31,-,5,49,6,18,19,109,14,-,4,49,2,14,32,3,6,-,-,20,24,1
"number, 2022","7,767,645",834,186,328,"1,349","1,295,994",(D),270,(D),959,212,970,(D),"1,137",(D),"1,180",-,(D),"57,351","2,695","3,592","1,615",80,"1,406",105,"1,945",222,814,"4,312",142,"2,751","1,660",(D),998,461,75,225,"1,503","1,020",400,328,(D),490,455,155,(D),"1,181","1,070",(D),"3,651,676",112,(D),(D),"1,120",153,523,677,-,"1,067",520,272,425,-,-,(D),992,"9,942",152,748,"2,240","1,660",(D),204,"1,987,410","1,170",(D),530,"3,864",-,205,240,95,578,"4,844",(D),"2,975","2,152",(D)
2017,"11,068,267","1,405",60,681,"1,931","2,676,887",(D),553,118,"1,392",525,630,155,"1,959","5,820",860,(D),"148,229","134,787",522,272,225,930,"1,553",470,"1,837",(D),320,313,973,175,207,330,466,408,(D),660,"1,382",-,85,290,(D),325,456,(D),333,488,621,"97,176","4,838,537",352,560,(D),783,-,42,"1,927",-,472,(D),"1,109",(D),(D),(D),"1,788","1,272","1,501",-,560,"4,884",620,"113,085","1,038","2,892,957",86,-,478,"5,078",(D),424,"1,437",(D),"1,520",-,-,"1,052",(D),(D)
"Turkeys                                                                              farms, 2022",623,12,18,5,4,2,2,6,5,2,6,9,9,12,1,2,-,7,9,17,8,1,-,6,8,12,2,11,5,-,15,3,1,5,13,1,-,2,3,5,11,-,4,6,-,-,8,13,2,35,7,2,5,7,1,8,11,4,21,4,12,3,-,-,23,5,12,1,7,12,11,15,15,40,14,-,9,21,-,5,2,7,1,2,-,1,25,2
2017,666,23,5,11,20,-,1,11,5,7,4,2,2,13,6,8,-,4,3,5,14,-,1,10,5,12,1,3,3,8,9,1,1,4,23,-,-,3,5,3,14,-,4,6,-,1,7,11,10,40,6,1,-,9,1,12,20,2,25,1,1,4,1,1,18,5,26,1,5,23,8,4,-,46,10,-,19,20,1,2,7,18,1,7,-,5,23,4
"number, 2022","14,927,734",92,118,"357,337",6,(D),(D),(D),"103,255",(D),43,(D),"109,546",93,(D),(D),-,"126,710",86,(D),(D),(D),-,(D),"59,210",(D),(D),205,(D),-,(D),15,(D),22,"2,441,677",(D),-,(D),40,26,"68,794",-,"506,333",(D),-,-,36,(D),(D),"961,670",(D),(D),5,(D),(D),(D),"880,267",14,109,(D),74,(D),-,-,"350,724","198,652","483,223",(D),(D),65,104,67,76,"1,796,151","190,562",-,"1,219,997","1,231,838",-,25,(D),"181,705",(D),(D),-,(D),260,(D)
2017,"18,110,298",100,29,"578,604",132,-,(D),"131,772","225,034",44,94,(D),(D),138,(D),74,-,"86,045",37,(D),"330,719",-,(D),(D),"113,000","543,043",(D),110,(D),65,(D),(D),(D),47,"2,294,399",-,-,(D),11,9,"101,014",-,"522,333",129,-,(D),"102,010","1,041,083",129,"1,477,183","363,016",(D),-,"186,011",(D),(D),"831,000",(D),206,(D),(D),(D),(D),(D),"552,612","272,511","387,497",(D),"253,000",325,96,36,-,"2,734,124","332,296",-,"1,400,496","899,194",(D),(D),(D),"422,016",(D),(D),-,(D),311,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,873",25,15,13,19,35,9,22,17,39,20,37,6,54,20,16,1,11,20,20,31,34,6,50,8,37,7,20,5,11,59,21,8,45,36,4,13,4,2,1,29,3,8,39,5,13,11,16,37,77,28,1,8,14,2,40,47,6,48,5,19,8,-,-,18,8,32,6,18,69,45,47,30,86,16,4,6,60,-,20,16,18,19,9,6,35,31,9
2017,"1,553",32,13,22,42,14,4,16,7,12,13,22,13,17,17,8,-,2,18,21,28,13,14,18,24,48,2,3,24,22,61,4,11,33,17,4,4,10,8,4,28,10,2,29,3,4,1,18,41,34,31,7,2,4,2,43,50,5,55,9,13,1,-,3,17,3,44,14,3,36,30,25,20,82,8,8,18,45,-,16,20,18,25,10,2,10,55,4
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","4,445",53,40,32,42,70,10,31,43,70,38,71,16,116,51,26,4,32,48,72,40,62,20,86,29,99,7,81,43,28,130,67,25,82,76,6,27,9,19,9,58,3,22,49,8,14,26,61,72,216,64,10,18,36,15,56,127,8,85,16,46,31,-,3,38,28,97,12,39,177,104,90,44,271,33,12,22,180,2,30,44,29,56,24,13,68,149,29
2017,"4,175",60,42,44,78,92,17,54,33,83,27,43,25,98,42,28,10,26,44,62,46,44,12,94,48,113,14,28,41,52,81,48,14,72,57,4,14,10,16,10,53,9,12,48,9,21,25,59,80,220,53,15,21,32,14,52,105,11,82,12,37,31,1,5,45,31,77,16,25,122,71,77,34,276,40,15,32,129,7,47,51,44,64,16,11,49,144,19
"Layers sold                                                                        farms, 2022",664,7,2,-,10,5,2,7,8,16,5,21,3,4,14,2,-,-,14,14,1,11,-,15,3,10,1,16,10,4,11,13,1,13,6,-,1,-,-,-,7,-,3,9,-,-,1,5,6,37,9,1,5,3,3,11,13,-,14,5,20,3,-,-,4,1,21,2,3,26,26,16,9,50,-,-,2,39,1,9,9,1,10,-,4,11,12,3
2017,702,10,5,1,10,6,1,8,5,11,9,12,7,24,8,8,2,3,5,17,3,13,2,12,10,21,3,14,4,6,20,6,1,18,3,-,4,-,-,-,14,1,3,9,-,1,3,15,20,21,11,-,1,7,2,10,10,3,18,2,8,11,-,-,1,4,31,-,5,17,6,7,7,41,9,3,1,29,3,11,3,7,9,-,4,14,24,4
"number, 2022","7,016,481",130,(D),-,211,"30,059",(D),126,315,"1,389",46,894,12,149,(D),(D),-,-,564,"2,520",(D),274,-,"22,759",(D),173,(D),425,426,52,"1,284",207,(D),"9,313",109,-,(D),-,-,-,357,-,(D),279,-,-,(D),"1,572,157",208,"951,221",448,(D),"2,357,913",69,30,121,519,-,160,109,"1,739",(D),-,-,48,(D),"2,013",(D),71,"1,453",864,227,116,"794,462",-,-,(D),"904,848",(D),344,208,(D),513,-,24,"1,093",197,100
2017,"4,223,081",134,80,(D),465,92,(D),447,302,754,133,239,116,"1,046",(D),88,(D),70,61,"1,108",(D),305,(D),"4,164",151,438,80,209,(D),233,248,126,(D),"5,615",80,-,150,-,-,-,379,(D),(D),140,-,(D),80,(D),394,"121,995",423,-,(D),169,(D),156,628,66,(D),(D),172,240,-,-,(D),(D),"1,637",-,42,597,"1,256",92,(D),"802,719",52,169,(D),670,42,163,550,143,192,-,160,(D),744,590
"Pullets for laying flock replacement sold                      farms, 2022",102,-,-,-,1,3,-,-,2,-,-,3,-,-,5,-,-,-,5,2,-,3,-,4,1,2,1,3,-,-,-,2,-,7,2,-,-,-,-,-,3,-,2,3,-,1,-,3,1,7,6,-,1,1,-,-,-,-,-,-,3,-,-,-,-,1,6,-,-,-,-,6,1,3,-,-,-,3,-,-,1,1,-,-,-,1,2,-
2017,93,-,-,-,-,5,-,2,-,2,-,-,-,5,1,4,-,-,-,-,1,2,-,4,-,-,-,3,-,1,-,-,-,3,-,-,2,-,-,-,5,-,-,2,-,-,-,3,1,3,3,-,3,8,-,1,2,-,2,-,-,-,-,-,-,2,-,-,-,4,-,2,1,6,-,-,-,-,-,-,-,1,-,-,-,7,2,-
"number, 2022","8,319,040",-,-,-,(D),(D),-,-,(D),-,-,36,-,-,"1,739,261",-,-,-,45,(D),-,180,-,"1,820",(D),(D),(D),30,-,-,-,(D),-,58,(D),-,-,-,-,-,(D),-,(D),30,-,(D),-,"1,603,938",(D),"1,126,000",36,-,(D),(D),-,-,-,-,-,-,180,-,-,-,-,(D),180,-,-,-,-,60,(D),"384,000",-,-,-,"1,159,743",-,-,(D),(D),-,-,-,(D),(D),-
2017,"9,562,724",-,-,-,-,"215,078",-,(D),-,(D),-,-,-,104,(D),20,-,-,-,-,(D),(D),-,"22,024",-,-,-,250,-,(D),-,-,-,25,-,-,(D),-,-,-,"1,439",-,-,(D),-,-,-,(D),(D),"1,350,000",30,-,"2,060,000",61,-,(D),(D),-,(D),-,-,-,-,-,-,(D),-,-,-,(D),-,(D),(D),"228,030",-,-,-,-,-,-,-,(D),-,-,-,76,(D),-
"Broilers and other meat-type chickens sold                farms, 2022","1,028",11,5,2,9,31,1,4,4,19,3,14,2,13,3,11,1,14,23,10,16,16,6,17,8,27,3,14,3,1,26,25,3,24,8,1,6,1,4,2,23,-,4,10,-,1,6,14,16,91,6,5,4,14,3,14,13,-,14,5,9,8,-,-,3,7,44,6,7,34,11,21,8,76,14,8,5,38,-,5,8,2,4,11,-,21,36,8
2017,"1,049",24,6,-,11,55,-,20,9,25,4,8,5,21,8,6,2,6,18,15,11,17,2,17,2,31,1,9,1,10,19,3,3,17,5,-,3,5,-,4,12,1,3,15,2,9,7,10,22,107,7,4,4,9,1,8,17,-,21,1,14,10,-,1,2,15,30,1,6,19,15,17,5,85,17,7,3,41,1,9,15,4,13,8,-,16,27,5
"number, 2022","41,793,592","1,620",395,(D),301,"7,126,050",(D),790,455,"1,399",36,613,(D),344,200,"1,233",(D),"492,832","348,661","1,923","1,760","2,375",694,"1,432",930,"2,469",160,672,142,(D),"2,162","1,648",145,"4,322",278,(D),"1,070",(D),160,(D),"5,347",-,780,"2,537",-,(D),552,"2,565",(D),"20,650,190",208,530,386,"1,090",(D),456,300,-,"1,238",434,366,(D),-,-,(D),690,"22,101",109,572,"3,397","1,935",(D),350,"11,989,349","1,520",446,275,"2,868",-,246,367,(D),125,"4,224",-,"11,919","2,365","1,900"
2017,"60,397,850","4,362",60,-,"1,475","14,201,235",-,"1,686","461,110","3,834",210,671,228,"1,388",(D),"1,000",(D),"780,070","817,180",795,"6,700","1,920",(D),519,(D),"4,993",(D),"1,405",(D),605,"3,119",256,85,"7,359",470,-,510,"1,978",-,175,"2,790",(D),75,"2,440",(D),411,665,595,"501,435","26,026,113",175,283,800,765,(D),395,"1,881",-,"1,735",(D),"1,210",(D),-,(D),(D),"1,142","1,832",(D),576,"1,090","1,052","554,370",197,"16,427,473","1,012","1,318",420,"6,134",(D),(D),713,240,"1,436",420,-,"1,234",(D),"1,145"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",900,11,5,2,9,8,1,4,4,19,3,14,2,13,3,11,1,11,19,10,16,16,6,17,8,27,3,14,3,1,26,25,3,24,8,1,6,1,4,2,23,-,4,9,-,1,6,14,15,32,6,5,4,14,3,14,13,-,14,5,9,7,-,-,3,7,43,6,7,34,11,20,8,44,14,8,5,38,-,5,8,2,4,11,-,19,36,8
"2,000 to 59,999.....................................................................",11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",100,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",15,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",379,8,4,8,2,-,2,4,7,2,-,5,5,2,2,2,-,4,5,4,4,1,-,3,5,10,1,20,3,-,10,-,2,3,13,-,-,2,-,-,11,-,4,-,-,1,-,7,4,21,1,1,-,1,1,2,14,-,3,1,4,3,-,-,17,3,20,-,5,8,12,10,2,25,7,-,9,12,-,-,1,7,-,2,-,2,14,1
2017,486,15,2,12,-,-,1,9,6,6,2,1,2,6,4,3,1,5,3,2,13,4,-,8,6,10,-,5,1,3,5,-,-,6,15,-,-,2,-,2,10,-,4,-,-,4,6,13,4,35,3,1,-,7,1,2,16,-,6,1,2,1,1,1,13,5,22,-,6,9,8,7,-,37,10,2,12,13,1,-,7,20,-,1,-,2,26,7
"number, 2022","39,460,145","150,042",71,"1,007,488",(D),-,(D),(D),"373,679",(D),-,(D),"258,144",(D),(D),(D),-,"466,100",36,(D),(D),(D),-,(D),"174,000",(D),(D),318,(D),-,(D),-,(D),60,"5,754,490",-,-,(D),-,-,"270,584",-,"1,950,000",-,-,(D),-,(D),61,"2,637,081",(D),(D),-,(D),(D),(D),"2,974,018",-,6,(D),34,(D),-,-,"1,076,278",(D),"1,058,586",-,"690,020",95,125,67,(D),"5,442,631",(D),-,"2,176,635","2,578,868",-,-,(D),"432,025",-,(D),-,(D),200,(D)
2017,"48,194,708",(D),(D),"1,273,399",-,-,(D),"335,528","1,002,765",159,(D),(D),(D),(D),(D),44,(D),"356,227",87,(D),"766,112",20,-,"595,795","345,899","1,199,007",-,297,(D),25,(D),-,-,96,"5,656,936",-,-,(D),-,(D),"300,188",-,"1,948,000",-,-,"405,033","300,000","2,350,217",39,"4,208,015","725,000",(D),-,"588,005",(D),(D),"2,900,118",-,104,(D),(D),(D),(D),(D),"1,455,600","1,162,301","988,534",-,"621,500",87,386,145,-,"6,518,966","991,894",(D),"2,745,787","2,719,685",(D),-,(D),"1,220,203",-,(D),-,(D),"156,318",(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",462,2,-,-,3,8,1,9,4,10,2,9,-,14,10,2,-,5,12,7,9,5,1,8,1,17,-,6,3,2,9,9,5,8,1,-,-,-,1,-,5,1,-,8,2,-,1,7,6,43,3,-,2,2,-,8,11,-,6,-,5,-,-,-,4,-,13,1,7,12,10,12,8,37,6,-,3,20,-,2,2,5,12,2,-,5,6,2
2017,448,9,5,4,11,5,-,2,4,3,7,8,3,5,8,4,-,8,4,6,12,5,1,6,11,6,1,-,2,2,8,1,1,7,2,-,-,-,1,2,5,3,-,13,-,-,1,8,19,22,7,-,1,-,-,8,8,-,18,-,1,1,-,1,-,1,18,-,-,9,12,12,3,32,2,1,2,22,-,5,3,3,6,3,-,3,28,3
