Item,Ohio,Adams,Allen,Ashland,Ashtabula,Athens,Auglaize,Belmont,Brown,Butler,Carroll,Champaign,Clark,Clermont,Clinton,Columbiana,Coshocton,Crawford,Cuyahoga,Darke,Defiance,Delaware,Erie,Fairfield,Fayette,Franklin,Fulton,Gallia,Geauga,Greene,Guernsey,Hamilton,Hancock,Hardin,Harrison,Henry,Highland,Hocking,Holmes,Huron,Jackson,Jefferson,Knox,Lake,Lawrence,Licking,Logan,Lorain,Lucas,Madison,Mahoning,Marion,Medina,Meigs,Mercer,Miami,Monroe,Montgomery,Morgan,Morrow,Muskingum,Noble,Ottawa,Paulding,Perry,Pickaway,Pike,Portage,Preble,Putnam,Richland,Ross,Sandusky,Scioto,Seneca,Shelby,Stark,Summit,Trumbull,Tuscarawas,Union,Van Wert,Vinton,Warren,Washington,Wayne,Williams,Wood,Wyandot
"3,200 to 9,999.......................................................................",10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",54,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1
"20,000 to 49,999...................................................................",67,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,-,-,4,-,-,-,2,-,-,-,1,-,-,-,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,1,-,-,3,-,2,-,-,-,15,-,-,-
"50,000 to 99,999...................................................................",28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,3,-,-,-,-,2,-,-,-
"100,000 or more....................................................................",45,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,10,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2,2,-,-,-,-,-,1,1
"Pullets for laying flock replacement                              farms, 2022","1,556",24,12,36,51,7,7,13,16,22,15,14,19,29,18,42,21,10,4,15,7,25,4,37,5,13,10,24,31,26,8,-,6,15,5,3,21,21,48,10,14,10,24,3,10,32,20,43,13,9,18,2,50,9,14,23,17,29,14,21,13,22,1,3,27,11,14,33,20,1,12,20,6,18,6,6,44,26,26,30,29,5,4,14,21,49,7,8,11
2017,"1,477",26,9,29,21,21,14,16,14,13,8,12,12,27,14,25,17,4,7,22,1,14,3,20,3,15,10,15,36,33,17,10,5,5,9,3,13,24,55,21,2,9,47,1,7,56,26,16,13,16,9,6,41,6,21,15,22,14,19,20,30,6,-,3,33,9,6,32,10,2,22,28,11,14,10,7,36,22,20,29,12,1,2,29,24,64,13,9,4
"number, 2022","11,807,128","22,412",94,"54,555","1,597",67,(D),395,150,517,146,156,285,404,337,(D),"1,015",242,104,"5,987,503",69,894,(D),910,35,660,168,426,"1,914",519,291,-,78,(D),40,45,274,328,"114,938",198,445,114,(D),126,185,(D),(D),"1,488",264,104,311,(D),"1,110",106,"1,223,628",464,457,730,105,(D),281,449,(D),94,935,230,204,873,563,(D),"30,120",306,66,376,380,75,(D),679,326,485,(D),221,168,219,624,(D),860,100,468
2017,"10,759,937",169,572,"236,737",500,385,"380,090",317,191,458,(D),402,137,"1,697",492,(D),580,(D),176,"4,711,999",(D),840,(D),735,120,111,120,262,951,833,298,446,92,170,178,38,650,456,"158,595",413,(D),124,"282,569",(D),78,(D),(D),388,625,308,996,210,"1,409",136,"1,932,967",325,407,239,455,(D),493,324,-,(D),948,140,468,"1,044",282,(D),"30,840",416,342,223,297,83,"116,320",337,382,(D),(D),(D),(D),449,360,(D),271,(D),68
"Broilers and other meat-type chickens                         farms, 2022","1,866",19,7,59,34,9,8,16,14,13,28,20,20,24,15,49,65,8,1,22,6,20,3,24,4,10,13,22,42,21,24,3,14,14,9,6,29,18,158,25,12,9,39,10,4,30,14,48,6,13,36,5,27,5,14,16,14,15,9,37,37,12,-,3,16,13,11,31,17,8,40,20,14,8,9,15,46,15,26,51,21,3,8,23,27,120,-,11,2
2017,"1,773",27,9,57,32,14,4,18,16,29,17,10,13,5,18,39,45,6,-,21,7,19,2,27,3,12,11,9,69,18,18,1,5,17,11,6,13,13,120,28,16,1,56,5,5,46,28,21,4,17,23,17,46,8,4,30,22,13,8,34,30,15,-,1,21,9,9,37,13,3,40,24,4,14,14,8,35,14,19,72,16,8,4,29,17,110,1,10,3
"number, 2022","20,002,853",494,(D),"1,222,973","1,382",462,206,377,335,811,(D),"1,228","4,338","1,157",413,"1,407,593","1,116,817",852,(D),"43,868",895,439,153,"3,754",350,688,772,"1,367","5,197","1,061",495,(D),540,514,"525,218",150,"2,929",315,"4,853,535","943,580",176,239,"1,589,933","1,237",58,765,638,"7,326","1,500",298,"688,673","1,240","1,194",72,147,"1,551",790,"1,149",321,"1,335","871,193",844,-,105,800,306,389,"2,277","1,503","1,548","253,055",385,692,"1,583",324,"2,042",(D),"6,294","1,192","1,384,453",796,350,158,"3,032","10,430","4,367,083",-,276,(D)
2017,"16,604,195",914,236,"497,912",843,599,42,"3,437",392,943,(D),"2,770","1,128",318,761,"756,959","899,730",104,-,"13,173",200,(D),(D),662,610,476,435,313,"2,849","1,193",570,(D),537,702,"327,896",30,471,266,"3,055,593","943,273",472,(D),"1,694,442",(D),76,"3,606","1,130",855,536,"1,043","1,141,410",673,"3,496",240,(D),"3,552",(D),875,111,951,"1,506,304",262,-,(D),830,610,506,"6,653",377,120,"352,236",705,300,"3,273","1,275","2,260","361,324",430,"1,100","1,782,568",206,322,62,"1,663",133,"2,638,660",(D),409,70
"Turkeys                                                                              farms, 2022","1,195",9,8,36,32,3,3,4,9,8,12,20,4,15,6,27,21,4,-,47,3,6,8,22,8,11,2,15,50,24,8,4,9,13,6,3,15,6,30,7,10,7,11,9,5,19,18,13,5,14,31,1,27,10,94,15,13,21,11,15,13,7,7,11,18,15,2,22,23,2,13,5,6,4,2,9,30,17,21,26,16,5,1,15,10,12,5,11,-
2017,"1,139",11,8,18,14,16,8,10,9,9,15,8,14,19,13,13,14,5,-,58,3,20,2,28,5,1,7,7,51,15,11,1,9,5,9,6,11,5,17,6,-,7,23,5,3,38,29,4,4,4,14,2,29,7,110,12,11,18,7,26,18,5,-,7,16,14,14,41,7,7,7,6,6,9,1,2,24,12,18,18,5,10,5,12,15,9,2,14,1
"number, 2022","3,091,927",65,(D),189,194,24,"44,500",9,100,(D),65,82,8,54,168,323,207,80,-,"818,320",10,21,131,306,354,46,(D),218,"2,307",143,40,"1,334",56,(D),18,30,218,36,271,75,64,18,50,111,15,89,91,133,74,51,440,(D),"1,223",60,"1,826,696",66,56,90,115,181,90,14,101,(D),151,68,(D),211,(D),(D),388,10,58,45,(D),21,383,305,176,"2,805",160,"78,408",(D),655,438,195,26,170,-
2017,"3,131,824",57,(D),118,57,88,(D),44,40,"2,072",76,45,107,109,(D),90,130,8,-,"740,259",12,134,(D),241,16,(D),42,41,589,164,43,(D),31,64,44,112,33,75,247,35,-,25,197,(D),7,350,200,36,130,12,472,(D),654,36,"1,885,956",(D),169,"1,536",34,148,170,38,-,(D),186,141,79,876,33,(D),102,46,35,41,(D),(D),426,692,198,113,29,(D),24,219,57,119,(D),79,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","3,109",36,25,72,84,44,18,35,32,46,39,47,24,56,17,64,78,11,16,27,25,40,16,52,19,19,23,13,73,57,30,13,16,34,14,23,45,14,61,32,9,18,43,24,21,80,36,77,25,23,36,5,99,23,9,47,30,41,32,34,55,30,10,12,46,19,15,85,33,16,58,29,16,32,19,27,61,46,58,67,28,12,27,66,41,58,14,16,11
2017,"2,667",51,36,40,53,39,12,18,31,29,54,27,35,61,24,30,32,14,5,30,17,47,10,43,7,37,17,19,53,38,30,10,24,8,21,10,31,21,62,26,6,21,46,10,25,95,41,51,21,16,36,7,85,22,10,40,29,41,14,58,41,13,6,7,32,29,10,73,26,4,40,46,12,21,16,10,70,29,56,43,30,16,7,39,46,56,28,22,13
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","7,792",76,42,180,155,57,40,82,63,88,82,82,86,110,75,185,145,41,21,137,46,118,23,122,26,44,32,72,219,134,76,34,41,72,52,35,113,80,368,90,39,51,167,46,40,184,79,139,34,46,81,24,199,44,162,108,66,99,67,99,133,48,29,25,95,47,40,145,69,31,191,77,37,64,26,50,203,88,99,173,102,20,34,112,109,327,26,38,36
2017,"7,409",76,38,154,110,74,33,82,83,103,71,57,70,98,63,152,124,30,23,157,25,86,32,103,22,53,42,79,189,100,74,18,32,50,62,27,109,59,312,84,37,69,175,24,49,210,83,109,26,48,114,52,172,48,192,97,67,111,56,101,136,63,27,14,86,46,44,166,75,27,135,94,42,58,58,56,193,81,110,168,64,39,18,117,78,295,44,52,27
"Layers sold                                                                        farms, 2022","1,559",8,15,30,38,10,6,22,8,19,12,22,16,16,13,32,23,5,5,18,9,35,1,28,3,7,5,19,41,16,27,13,14,20,17,6,20,11,103,22,12,2,36,14,5,26,24,19,5,8,20,5,36,4,18,9,2,12,4,14,29,8,7,3,29,7,3,36,25,5,48,19,1,6,8,13,68,21,13,28,25,4,2,42,17,65,2,7,8
2017,"1,749",23,14,32,24,13,9,18,19,26,28,17,10,23,10,23,32,1,9,25,10,20,9,24,5,11,17,17,38,12,28,1,9,13,14,8,16,23,76,20,5,13,27,2,11,43,33,22,13,6,25,12,40,6,33,25,6,23,17,33,30,11,9,3,15,16,6,35,18,13,38,25,10,18,18,16,61,20,20,25,16,13,8,25,26,96,14,17,5
"number, 2022","23,533,133","20,672","1,376","267,515","1,535",69,249,846,681,598,127,547,888,"1,653",420,(D),"30,322",126,106,"4,769,827",(D),982,(D),"2,435",(D),967,62,"37,260","1,600","1,646","1,481","2,849",(D),(D),843,56,980,218,"131,901","148,650",242,(D),(D),308,90,(D),(D),"2,273",102,276,(D),48,"1,407","2,424","2,832,714",271,(D),335,61,602,"299,962",110,190,20,435,104,68,650,"1,396",(D),"229,225",(D),(D),543,410,(D),"115,456","2,370",435,"114,940",(D),"355,465",(D),"3,220",279,"302,546",(D),(D),(D)
2017,"22,066,578",625,988,(D),767,120,(D),879,"1,173",833,743,664,362,"1,844","8,063",(D),"8,068",(D),790,"4,335,479",297,374,205,"1,842",97,"2,967",173,969,"1,142",243,747,(D),(D),(D),140,88,"1,726",687,"347,804","213,548",58,228,"46,112",(D),233,(D),460,"1,029",466,(D),"3,080","3,387","2,301","1,437","2,965,043","1,599",116,602,"1,863",767,(D),97,489,218,"1,031",328,270,"7,269","1,005",(D),"124,413",(D),426,544,"2,789",(D),"162,228","1,973",565,(D),(D),(D),153,"2,537",690,"178,167",306,(D),(D)
"Pullets for laying flock replacement sold                      farms, 2022",291,2,-,6,9,-,2,1,-,-,-,6,4,-,6,13,10,-,2,10,2,-,1,4,-,-,-,-,9,7,-,-,-,9,3,-,4,7,33,6,2,-,3,-,-,1,4,2,-,-,2,-,7,-,10,2,-,-,4,1,-,4,-,-,-,1,-,1,7,-,9,6,-,-,-,-,4,8,6,4,10,2,1,-,12,22,-,-,-
2017,298,7,1,16,7,2,4,3,-,-,3,-,-,4,1,10,7,1,5,8,-,2,1,9,-,6,1,-,8,3,-,-,1,-,-,4,2,-,34,-,-,-,10,-,-,3,3,1,-,-,2,-,14,-,21,1,1,-,6,3,4,-,-,1,6,-,2,5,5,-,4,2,-,4,2,-,8,5,-,2,3,-,-,1,1,24,-,4,-
"number, 2022","19,457,256",(D),-,"168,168",403,-,(D),(D),-,-,-,90,118,-,71,(D),692,-,(D),"10,818,168",(D),-,(D),44,-,-,-,-,507,401,-,-,-,(D),18,-,33,104,"333,405",60,(D),-,"406,000",-,-,(D),(D),(D),-,-,(D),-,130,-,"2,740,858",(D),-,-,21,(D),-,131,-,-,-,(D),-,(D),56,-,"349,200",60,-,-,-,-,(D),220,91,"10,032",560,(D),(D),-,116,(D),-,-,-
2017,"17,587,218",221,(D),"391,190",49,(D),"779,700",60,-,-,(D),-,-,41,(D),(D),"2,858",(D),30,"9,822,400",-,(D),(D),340,-,180,(D),-,196,75,-,-,(D),-,-,20,(D),-,"302,424",-,-,-,"840,404",-,-,(D),32,(D),-,-,(D),-,495,-,"3,168,810",(D),(D),-,300,(D),50,-,-,(D),434,-,(D),256,158,-,"84,200",(D),-,100,(D),-,"256,154",115,-,(D),22,-,-,(D),(D),(D),-,60,-
"Broilers and other meat-type chickens sold                farms, 2022","1,510",10,12,60,27,7,6,6,13,9,24,25,17,20,5,44,47,13,1,19,9,15,4,18,-,2,12,3,38,25,10,3,7,8,15,6,34,11,151,26,10,1,31,9,1,25,17,26,20,6,25,4,44,6,2,14,6,12,4,10,34,9,9,6,13,3,2,37,16,4,10,9,7,5,3,11,33,20,23,35,23,1,1,18,15,114,3,7,4
2017,"1,408",8,7,36,20,8,5,11,4,13,17,18,13,10,17,33,61,-,3,21,-,19,4,28,3,9,9,4,49,18,2,6,1,11,9,6,18,5,105,38,-,1,38,3,1,38,24,31,5,12,28,15,39,1,3,27,6,7,3,19,21,11,3,2,12,5,5,38,11,2,19,19,5,10,13,13,45,9,11,60,17,7,-,19,2,84,3,12,-
"number, 2022","123,982,907",51,"1,310","6,989,404","3,807",302,108,(D),420,403,(D),"1,545","6,123",884,95,"11,090,519","7,586,550","1,084",(D),"411,246",915,228,326,"4,204",-,(D),922,111,"6,872","2,325",278,(D),237,328,"2,785,160","1,772","6,314",230,"26,110,709","6,877,920",254,(D),"11,337,309","1,114",(D),"2,288","1,175","7,828","1,845",111,"4,191,089","1,250","8,002",248,(D),"1,440",430,"5,718",58,690,"5,528,284","1,110",373,"8,130","31,420",(D),(D),"3,333","5,015",70,"1,912,105",276,455,148,"1,012","1,997",(D),"7,852",(D),"8,509,521",986,(D),(D),"7,041","10,314","24,989,601","1,200",236,84
2017,"97,878,519",194,483,"3,107,288","1,115",400,190,"1,814",64,439,(D),"3,235","2,106","2,515","4,125","7,505,759","7,270,729",-,18,"15,222",-,"28,423",510,"2,102",610,364,260,70,"3,742","1,206",(D),"3,888",(D),"6,555","1,500,264",386,"2,714",100,"15,917,613","6,923,893",-,(D),"8,407,633",(D),(D),"3,163","1,384","3,666",636,"1,200","7,354,458",323,"3,930",(D),(D),"12,628",(D),"1,164",36,673,"5,434,897",306,100,(D),"2,422",249,252,"2,352","5,741",(D),"2,501,693","1,206",270,"3,169","1,764",820,"2,467,630","3,803",(D),"11,209,261","1,565",49,-,"1,266",(D),"13,091,848",(D),"2,695",-
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................","1,165",10,12,48,27,7,6,6,13,9,22,25,17,20,5,28,25,13,1,14,9,15,4,18,-,2,12,3,38,25,10,3,7,8,9,6,34,11,30,11,10,1,18,9,1,25,17,26,20,6,19,4,42,6,2,14,6,10,4,10,23,9,9,4,5,3,2,37,16,4,5,9,7,5,3,11,30,17,22,11,23,1,1,16,15,50,3,7,4
"2,000 to 59,999.....................................................................",27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,2,8,-,-,-,-,-,1,-,-,-,-,-,1,3,-,-,-,-,-,2,-,1,-,-,-
"60,000 to 99,999...................................................................",18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,-,-,-
"100,000 to 199,999...............................................................",113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,24,-,-,-
"200,000 to 499,999...............................................................",85,-,-,6,-,-,-,-,-,-,-,-,-,-,-,7,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,28,5,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,8,-,-,-,-,-,13,-,-,-
"500,000 or more....................................................................",102,-,-,6,-,-,-,-,-,-,2,-,-,-,-,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,12,8,-,-,10,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,1,6,-,-,-,-,-,24,-,-,-
"Turkeys sold                                                                      farms, 2022",714,3,4,21,21,-,3,3,6,3,6,8,2,3,3,19,5,6,-,43,-,7,5,13,2,2,1,7,33,10,10,5,-,6,12,6,8,2,9,4,6,3,2,9,1,2,2,6,12,4,15,-,24,9,94,2,-,7,2,6,4,1,8,6,12,2,1,19,7,1,4,-,5,9,2,6,20,7,14,14,16,5,-,13,12,10,-,9,-
2017,719,1,4,8,15,12,5,1,-,7,10,6,11,13,6,8,6,-,-,53,-,12,2,18,1,-,4,2,22,10,-,1,4,2,7,6,1,4,16,8,-,4,12,1,-,20,22,13,5,5,11,2,23,-,110,7,3,11,1,13,7,3,3,6,4,4,4,20,6,3,7,2,4,-,-,4,17,10,13,9,6,9,2,7,3,8,-,9,-
"number, 2022","9,538,217",3,(D),252,172,-,"229,500",43,79,(D),37,34,(D),25,18,252,150,94,-,"3,190,982",-,56,(D),118,(D),(D),(D),98,"2,170",132,51,"1,468",-,(D),96,86,210,(D),"36,862",164,24,12,(D),111,(D),(D),(D),240,"1,124",25,196,-,"1,289",87,"5,467,783",(D),-,173,(D),172,16,(D),120,(D),"2,210",(D),(D),190,(D),(D),(D),-,61,175,(D),16,"1,055",356,205,"2,727",214,"187,075",-,659,434,"1,969",-,104,-
2017,"8,785,025",(D),(D),(D),78,110,"256,800",(D),-,"2,882",25,20,123,58,(D),"1,144",52,-,-,"2,539,962",-,245,(D),234,(D),-,19,(D),794,112,-,(D),17,(D),30,102,(D),48,(D),126,-,34,112,(D),-,244,156,518,78,26,462,(D),912,-,"5,362,390",(D),5,"1,576",(D),126,61,18,80,"275,629",(D),35,8,751,241,(D),286,(D),34,-,-,5,"2,055",925,299,63,195,"105,298",(D),111,3,246,-,484,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",843,12,3,32,20,2,5,7,4,7,11,27,13,15,2,24,20,7,5,2,4,15,5,13,2,-,4,9,18,21,12,2,7,6,7,5,11,1,35,15,-,5,15,1,10,10,8,24,9,6,8,2,31,7,1,8,2,12,8,8,14,6,6,7,20,4,3,25,13,-,4,10,2,4,2,5,15,12,12,19,2,-,7,15,12,29,4,3,3
2017,784,11,16,19,9,21,6,8,8,9,2,10,10,11,8,4,15,10,-,7,7,19,7,10,3,18,3,9,14,6,15,-,5,7,9,7,9,2,19,10,-,1,15,-,5,24,13,17,4,2,11,7,26,1,1,11,7,2,-,14,14,3,-,3,3,10,1,11,5,3,9,21,5,5,6,6,23,13,14,9,10,16,2,13,16,24,6,8,1
