Item,Alabama,Autauga,Baldwin,Barbour,Bibb,Blount,Bullock,Butler,Calhoun,Chambers,Cherokee,Chilton,Choctaw,Clarke,Clay,Cleburne,Coffee,Colbert,Conecuh,Coosa,Covington,Crenshaw,Cullman,Dale,Dallas,DeKalb,Elmore,Escambia,Etowah,Fayette,Franklin,Geneva,Greene,Hale,Henry,Houston,Jackson,Jefferson,Lamar,Lauderdale,Lawrence,Lee,Limestone,Lowndes,Macon,Madison,Marengo,Marion,Marshall,Mobile,Monroe,Montgomery,Morgan,Perry,Pickens,Pike,Randolph,Russell,St. Clair,Shelby,Sumter,Talladega,Tallapoosa,Tuscaloosa,Walker,Washington,Wilcox,Winston
100 to 399.............................................................................,130,1,5,3,1,-,-,3,4,2,1,2,-,4,-,-,-,3,-,-,2,-,-,1,4,7,2,-,9,-,1,-,3,1,1,-,2,1,1,3,2,2,1,-,2,6,3,-,-,15,3,-,3,2,-,-,-,1,1,1,-,4,3,3,3,-,6,2
"400 to 3,199..........................................................................",11,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5,-,-,-
"3,200 to 9,999.......................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",116,-,-,-,-,3,-,-,-,-,-,-,-,-,11,3,-,-,-,-,13,-,18,2,-,28,-,-,5,-,2,-,-,-,-,-,2,-,-,4,5,-,2,-,-,-,-,-,4,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,4,-,4
"20,000 to 49,999...................................................................",95,-,-,3,-,1,-,-,-,-,-,-,-,-,3,-,2,1,-,-,6,5,16,4,-,23,-,-,1,-,3,1,-,-,2,-,3,-,-,1,3,-,1,-,-,-,-,-,5,-,-,-,1,-,3,2,1,-,-,-,-,-,-,-,-,2,-,2
"50,000 to 99,999...................................................................",10,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,-,2,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",7,-,1,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",790,6,37,9,8,17,-,6,12,11,13,21,1,14,-,7,5,15,6,-,10,5,52,5,2,31,7,11,21,1,21,18,2,4,4,17,18,14,-,36,19,15,34,1,-,33,13,9,15,24,6,7,34,1,7,2,9,13,1,8,1,13,3,16,17,10,3,9
2017,740,12,19,7,4,19,2,10,9,-,7,19,3,1,1,4,10,11,1,-,11,8,30,6,3,58,26,11,29,6,21,24,1,1,10,4,16,15,1,14,16,17,40,4,14,6,-,7,27,8,2,10,29,3,6,5,8,10,8,23,2,11,1,11,14,7,-,17
"number, 2022","6,491,110",145,"1,203","341,010",66,204,-,"33,493","239,257",113,"1,728",301,(D),240,-,80,(D),151,60,-,"308,530","263,236","774,633","230,035",(D),"1,098,198",(D),273,"267,555",(D),"208,878","267,056",(D),34,132,306,"160,386",207,-,(D),"272,103",148,"404,316",(D),-,570,290,"80,161","407,543",581,225,94,"67,592",(D),"200,005",(D),"159,728",(D),(D),190,(D),106,90,211,292,"25,412",30,(D)
2017,"5,309,588",179,421,91,30,(D),(D),(D),(D),-,66,348,90,(D),(D),(D),(D),483,(D),-,"242,375",(D),"837,143","165,046",75,"681,649",(D),450,571,(D),"219,832","290,116",(D),(D),469,31,"245,046",351,(D),(D),"443,183","9,198","327,402",36,86,225,-,(D),"383,143",(D),(D),145,"110,646",45,"255,005","260,635",110,(D),331,214,(D),169,(D),151,584,"41,059",-,"55,517"
"Broilers and other meat-type chickens                         farms, 2022","2,294",1,41,60,6,123,-,59,37,2,28,-,5,8,61,31,74,8,9,-,36,55,174,60,4,185,10,2,56,8,63,32,6,19,18,9,74,11,5,13,102,12,39,21,2,17,11,70,121,13,4,17,67,5,34,72,74,10,66,17,2,21,15,22,27,11,11,18
2017,"2,246",7,8,33,-,143,5,42,18,3,41,9,2,6,33,35,54,18,4,2,32,76,229,50,8,200,16,2,51,13,69,56,6,13,32,4,56,15,6,22,108,10,36,24,7,12,15,45,141,9,8,18,84,5,27,52,66,9,31,10,2,7,4,32,34,7,5,19
"number, 2022","216,491,903",(D),"1,426","6,666,810",90,"10,178,593",-,"8,726,865","2,381,008",(D),"5,629,627",-,"19,000",256,"6,294,940","3,346,455","11,899,483","592,425",(D),-,"4,412,320","9,880,180","15,623,626","10,591,544",129,"20,216,446",195,(D),"5,650,070",(D),"6,311,290","6,793,459",132,"403,431","2,436,230","748,095","5,376,570","300,255","239,755","1,153,116","10,721,524",206,"2,366,013","2,778,092",(D),683,472,"6,898,937","12,263,954",361,(D),"907,480","3,066,499",90,"3,332,450","9,310,859","7,179,511","578,286","5,131,975",243,(D),"701,132","774,680","1,312,877","2,105,849",(D),245,"221,220"
2017,"209,070,863",(D),313,"3,895,996",-,"12,653,248","416,000","6,062,245","1,964,032",100,"6,341,184",192,(D),300,"4,228,583","5,850,399","8,263,837","1,094,358",(D),(D),"3,436,482","8,578,086","21,492,949","8,448,640",210,"22,554,237",(D),(D),"4,223,585","844,516","6,550,273","4,839,301",230,(D),"5,290,825",(D),"6,553,147",(D),"312,809","915,548","7,882,206","30,110","2,038,192","2,721,698",184,"1,572",495,"6,071,859","12,292,081",(D),(D),"804,636","4,010,832",142,"3,025,483","5,614,367","8,022,827",(D),"2,766,706",84,(D),"849,798","750,000","1,460,287","2,510,960",(D),80,"501,030"
"Turkeys                                                                              farms, 2022",386,-,28,4,4,20,1,-,10,5,-,13,-,6,7,1,2,6,12,1,-,4,12,2,3,9,2,11,5,-,8,3,-,1,6,3,5,4,1,19,13,3,10,3,-,10,6,3,12,8,-,1,13,-,2,2,3,5,4,3,2,16,2,10,19,7,3,8
2017,296,2,14,2,2,15,-,6,1,2,1,3,-,2,-,3,5,3,2,-,5,-,6,4,-,17,5,1,7,8,3,2,-,-,1,17,12,19,-,8,3,7,9,4,-,10,3,5,2,10,2,4,20,-,2,-,3,2,4,8,-,6,2,2,3,-,-,7
"number, 2022","19,134",-,116,48,7,82,(D),-,51,7,-,44,-,54,12,(D),(D),(D),42,(D),-,24,(D),(D),30,17,(D),72,11,-,111,11,-,(D),12,8,24,20,(D),81,(D),8,34,(D),-,113,25,15,90,76,-,(D),96,-,(D),(D),7,30,17,9,(D),156,(D),88,100,56,45,55
2017,(D),(D),104,(D),(D),45,-,42,(D),(D),(D),16,-,(D),-,60,71,180,(D),-,(D),-,26,31,-,99,119,(D),37,16,18,(D),-,-,(D),80,40,64,-,88,28,18,336,(D),-,216,27,5,(D),95,(D),14,893,-,(D),-,7,(D),12,37,-,12,(D),(D),13,-,-,32
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,759",15,52,17,19,43,5,17,32,27,27,41,5,15,34,13,9,20,11,7,30,12,81,31,8,114,19,9,38,1,28,31,-,13,21,19,42,34,8,61,33,23,50,3,8,71,18,26,50,36,10,6,76,12,15,6,33,16,26,42,3,41,15,31,49,22,9,20
2017,"1,573",7,31,9,24,32,6,16,23,11,6,23,11,8,23,14,24,19,7,1,46,12,89,16,5,104,44,19,27,14,45,34,4,1,30,31,28,34,4,50,54,12,42,22,9,40,6,19,59,46,16,12,46,15,10,8,35,5,22,32,14,11,4,19,29,30,2,22
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","4,798",30,90,73,25,166,13,92,84,42,82,62,9,35,99,56,102,46,30,8,92,74,287,86,13,323,36,30,125,25,122,78,5,27,38,50,129,67,21,91,167,55,116,34,23,85,32,87,202,75,19,24,147,20,56,106,134,34,103,66,9,70,34,54,86,39,16,42
2017,"4,419",21,44,49,25,194,9,68,62,10,53,30,18,20,54,64,96,45,11,13,85,93,340,73,16,344,60,20,120,29,95,85,8,22,71,34,95,55,11,94,201,35,107,45,24,77,20,68,203,71,18,45,140,14,45,77,114,31,58,57,6,39,22,76,79,53,11,47
"Layers sold                                                                        farms, 2022",838,13,8,5,5,19,-,7,15,12,24,15,-,4,19,10,17,14,2,-,31,6,48,9,5,75,9,18,24,4,10,6,3,14,10,4,17,8,3,27,28,13,29,5,3,24,13,-,18,12,-,5,25,5,5,3,16,11,9,8,-,16,7,12,21,13,1,16
2017,919,7,12,6,4,20,1,3,13,4,12,12,8,-,9,12,14,7,3,7,34,9,67,9,6,82,23,9,33,1,8,13,-,4,11,4,18,19,6,43,43,20,24,2,2,15,7,3,18,29,2,10,27,-,8,8,26,5,7,17,3,5,7,22,23,23,6,4
"number, 2022","6,769,095",142,(D),"104,100",360,"313,727",-,(D),379,302,(D),"1,612",-,80,"338,124","48,165",(D),(D),(D),-,"388,145","188,795","1,383,839","197,420",41,"1,204,878",79,527,"168,825",(D),"110,044",(D),276,816,(D),13,"156,556",200,49,"71,936","214,223",76,"42,258",425,42,"1,043",363,-,"242,827",843,-,37,(D),50,"101,336",(D),"341,840",133,127,40,-,"1,203",370,390,"2,855","94,977",(D),"94,991"
2017,"7,124,366",153,(D),"156,300",38,"215,633",(D),(D),324,(D),(D),471,"29,060",-,"151,509",(D),"179,089",(D),(D),155,"704,057","212,772","1,008,633","159,432",402,"1,266,171",793,"1,388","158,423",(D),"69,422","48,927",-,600,"117,264",100,"95,642","1,127",125,"210,702","191,205",552,"56,310",(D),(D),823,78,"29,400","278,454","5,204",(D),130,"1,343",-,"245,144","172,110","324,514",162,208,199,(D),129,95,"1,336",(D),"222,703",54,"60,400"
"Pullets for laying flock replacement sold                      farms, 2022",272,1,7,7,-,-,-,2,5,3,9,1,-,-,-,-,1,2,-,-,8,5,27,3,-,24,1,8,14,1,14,8,-,-,-,-,6,2,-,10,14,-,21,-,-,6,5,2,10,6,-,2,6,-,6,1,5,1,-,1,-,-,-,2,-,10,1,4
2017,281,9,2,-,-,1,-,1,3,-,-,4,3,6,-,1,3,2,-,-,6,2,29,3,3,21,9,5,16,1,6,8,-,4,-,-,8,6,-,4,15,-,18,-,-,2,-,7,9,8,-,1,16,3,5,5,-,4,2,6,-,6,-,1,1,3,-,3
"number, 2022","12,474,754",(D),179,"378,000",-,-,-,(D),"449,799",30,"1,493",(D),-,-,-,-,(D),(D),-,-,"519,100","569,708","1,499,000","300,000",-,"2,537,141",(D),180,"267,822",(D),"708,800","566,000",-,-,-,-,"296,010",(D),-,(D),"636,001",-,"634,104",-,-,76,108,(D),"827,410",145,-,(D),"133,094",-,"560,000",(D),"206,000",(D),-,(D),-,-,-,(D),-,"25,922",(D),(D)
2017,"8,948,660",450,(D),-,-,(D),-,(D),(D),-,-,700,60,12,-,(D),(D),(D),-,-,"498,000",(D),"1,291,211","270,000",45,"1,382,848",(D),409,510,(D),"369,800","516,010",-,400,-,-,"492,000",153,-,(D),"600,012",-,"532,023",-,-,(D),-,(D),"448,584",(D),-,(D),"212,782",45,"270,000","441,270",-,(D),(D),180,-,342,-,(D),(D),"81,000",-,"110,800"
"Broilers and other meat-type chickens sold                farms, 2022","2,140",1,11,51,-,115,2,70,29,1,32,3,3,-,66,30,69,7,9,2,34,55,175,68,-,189,-,-,75,11,67,35,3,9,11,10,65,7,2,10,96,8,21,21,3,17,9,63,136,6,5,11,57,-,38,89,72,9,55,6,-,17,10,22,21,7,-,14
2017,"2,021",10,4,35,-,145,5,42,15,-,29,6,2,-,32,37,53,15,2,-,30,72,230,52,-,199,5,2,53,11,61,50,3,12,34,3,42,7,3,11,101,-,34,16,-,6,2,44,131,8,2,17,61,-,27,55,66,2,30,6,-,7,4,21,33,7,-,29
"number, 2022","1,183,808,730",(D),701,"31,654,273",-,"56,575,610",(D),"47,993,145","12,702,313",(D),"33,039,477",360,"37,500",-,"32,480,838","23,406,961","64,673,500","2,786,600",(D),(D),"26,763,670","51,299,488","87,345,796","59,102,166",-,"108,347,266",-,-,"32,172,090","6,080,066","34,785,164","43,077,171",18,"2,016,092","12,282,800","4,040,078","27,193,468","1,200,069",(D),"5,457,500","39,946,260",146,"10,637,727","13,760,459",264,623,(D),"37,454,800","73,280,317",48,(D),"3,211,717","21,684,012",-,"19,936,041","58,485,100","34,998,910","2,941,078","26,481,318",78,-,"3,504,170","3,868,900","6,542,365","12,124,182",(D),-,"1,814,766"
2017,"1,108,822,526",(D),90,"20,634,943",-,"65,996,453","1,936,000","31,807,561","10,929,560",-,"33,253,929",137,(D),-,"21,405,448","32,499,587","42,387,588","5,142,383",(D),-,"19,311,341","46,733,534","114,591,899","46,535,457",-,"121,773,866",(D),(D),"21,997,084","4,118,393","32,363,391","26,759,271",90,(D),"27,707,406",(D),"33,659,562",(D),"1,564,000","4,471,886","36,666,528",-,"10,000,873","14,158,667",-,"1,560",(D),"31,428,824","64,645,457",570,(D),"4,040,598","21,043,836",-,"15,558,819","29,317,868","41,833,716",(D),"15,612,697",36,-,"4,843,990","3,829,000","9,066,493","15,037,514","2,982,210",-,"6,665,675"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",250,-,11,-,-,10,-,3,11,1,6,3,-,-,8,-,-,-,8,2,-,-,6,3,-,3,-,-,14,3,-,3,3,3,-,6,3,5,-,-,1,8,-,-,3,17,9,-,3,6,4,6,10,-,-,9,-,6,14,6,-,10,2,9,2,6,-,4
"2,000 to 59,999.....................................................................",23,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,3,-,-,4,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,4,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",19,-,-,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",192,-,-,-,-,9,-,6,-,-,-,-,-,-,-,-,-,-,-,-,12,-,9,-,-,24,-,-,12,-,8,-,-,-,-,-,31,-,-,-,23,-,-,-,-,-,-,2,17,-,-,-,10,-,5,1,5,-,6,-,-,-,-,-,6,-,-,6
"200,000 to 499,999...............................................................",617,-,-,17,-,47,1,18,7,-,-,-,-,-,21,10,5,5,-,-,4,4,82,10,-,66,-,-,22,1,30,2,-,6,-,-,15,-,-,3,51,-,4,8,-,-,-,14,53,-,-,2,15,-,13,18,29,-,12,-,-,6,5,4,3,-,-,4
"500,000 or more....................................................................","1,039",1,-,30,-,47,1,43,11,-,26,-,-,-,37,20,64,2,1,-,18,49,75,55,-,88,-,-,27,7,27,28,-,-,11,4,15,2,2,7,21,-,14,13,-,-,-,41,59,-,1,3,22,-,20,61,36,3,23,-,-,1,3,9,10,1,-,-
"Turkeys sold                                                                      farms, 2022",104,-,6,-,-,4,-,-,1,-,-,3,-,3,5,-,1,5,-,2,-,-,9,-,-,2,-,-,-,-,-,-,-,-,6,-,-,-,-,5,10,-,3,1,-,6,7,-,-,3,-,-,2,-,-,-,-,-,-,-,-,7,-,6,2,1,-,4
2017,100,-,3,-,2,5,-,-,-,2,-,1,-,2,-,-,2,3,-,-,1,-,3,2,-,4,-,1,-,-,-,-,-,-,1,-,1,1,-,4,-,7,5,1,-,8,-,2,-,10,2,-,5,-,2,-,-,-,3,4,-,6,-,4,3,-,-,-
"number, 2022",(D),-,450,-,-,6,-,-,(D),-,-,21,-,8,10,-,(D),94,-,(D),-,-,"1,710",-,-,(D),-,-,-,-,-,-,-,-,6,-,-,-,-,75,261,-,6,(D),-,85,(D),-,-,(D),-,-,(D),-,-,-,-,-,-,-,-,43,-,42,(D),(D),-,10
2017,(D),-,(D),-,(D),128,-,-,-,(D),-,(D),-,(D),-,-,(D),135,-,-,(D),-,16,(D),-,38,-,(D),-,-,-,-,-,-,(D),-,(D),(D),-,16,-,18,232,(D),-,164,-,(D),-,460,(D),-,(D),-,(D),-,-,-,9,4,-,66,-,54,10,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",627,4,8,5,5,19,-,1,4,14,7,5,-,1,15,7,5,7,3,4,22,7,45,10,5,68,8,10,18,1,14,3,-,2,16,3,17,10,7,27,15,2,16,1,-,16,7,1,18,13,-,4,12,2,3,4,14,2,11,5,1,12,4,7,25,13,-,12
2017,679,3,7,3,8,12,4,1,6,3,5,12,6,2,10,6,11,6,3,2,35,10,56,8,2,81,20,3,7,-,19,16,1,-,15,-,8,7,1,21,13,4,17,3,2,8,1,10,20,16,2,7,22,1,5,8,23,3,-,16,2,9,2,12,23,23,2,5
