Item,Arkansas,Arkansas,Ashley,Baxter,Benton,Boone,Bradley,Calhoun,Carroll,Chicot,Clark,Clay,Cleburne,Cleveland,Columbia,Conway,Craighead,Crawford,Crittenden,Cross,Dallas,Desha,Drew,Faulkner,Franklin,Fulton,Garland,Grant,Greene,Hempstead,Hot Spring,Howard,Independence,Izard,Jackson,Jefferson,Johnson,Lafayette,Lawrence,Lee,Lincoln,Little River,Logan,Lonoke,Madison,Marion,Miller,Mississippi,Monroe,Montgomery,Nevada,Newton,Ouachita,Perry,Phillips,Pike,Poinsett,Polk,Pope,Prairie,Pulaski,Randolph,Stone,Union,Van Buren,Washington,White,Woodruff,Yell,St. Francis,Saline,Scott,Searcy,Sebastian,Sevier,Sharp
"3,200 to 9,999.......................................................................",31,-,-,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,7,-,-,-,-,-,2,-,2,-,-
"10,000 to 19,999...................................................................",135,-,-,-,24,5,2,-,3,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,5,-,1,-,5,-,-,10,-,3,-,1,2,2,-,15,-,3,3,-,2,3,-,-,-,-,1,-,8,7,-,-,12,-,-,-,7,-,-,1,-,-,3,-,2,-,2
"20,000 to 49,999...................................................................",232,-,7,-,7,4,11,-,12,-,1,-,1,3,2,1,-,-,-,-,-,-,6,-,5,-,2,-,-,9,6,15,1,-,-,-,4,-,2,-,4,11,5,-,9,-,5,-,-,2,-,-,-,-,-,20,-,1,-,-,-,23,-,-,-,18,2,-,15,-,-,1,-,5,4,8
"50,000 to 99,999...................................................................",23,-,-,-,1,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",4,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",704,-,4,16,47,12,7,2,19,-,7,7,2,15,3,17,4,6,14,7,5,-,6,24,6,26,9,10,14,9,7,18,15,3,2,4,10,5,2,-,2,1,7,18,23,12,5,-,-,7,9,8,3,1,1,16,-,20,12,6,9,20,6,8,5,39,27,-,12,-,6,17,5,23,3,9
2017,688,8,1,7,26,11,11,3,28,-,5,3,2,3,6,14,3,8,3,2,-,-,3,25,3,14,13,12,2,13,8,22,6,5,4,14,6,-,2,4,3,-,6,21,35,19,3,-,-,9,9,7,10,-,-,15,5,21,12,-,16,16,5,17,9,38,36,-,9,-,4,19,7,20,3,14
"number, 2022","9,989,619",-,41,221,"813,744",(D),"268,666",(D),"1,622,051",-,214,101,(D),"499,400",22,"84,677",134,30,212,260,62,-,"80,060",499,(D),549,112,93,349,"256,525",(D),"800,509","360,107",40,(D),48,"230,170",32,(D),-,(D),(D),462,595,"332,068",183,175,-,-,71,"286,433",83,48,(D),(D),"614,056",-,"509,492",303,60,67,"702,115",310,"344,020",42,"118,790","676,334",-,"313,740",-,75,"272,079",43,"297,655",(D),(D)
2017,"6,522,326",127,(D),74,"379,556",(D),"292,333",45,"319,035",-,530,42,(D),"138,600",36,264,66,127,300,(D),-,-,75,501,100,(D),170,360,(D),"237,416",(D),"639,654",(D),104,200,539,(D),-,(D),80,(D),-,"41,635","1,069","240,464",236,54,-,-,"98,378","175,360",165,112,-,-,"495,743",80,"267,218",(D),-,236,"95,277",237,"301,160",348,"447,377",(D),-,"169,058",-,58,"466,230",46,"331,190",(D),"182,278"
"Broilers and other meat-type chickens                         farms, 2022","2,087",-,2,3,130,40,5,4,91,-,11,21,23,36,9,60,1,22,-,1,-,5,6,13,55,11,10,4,7,122,7,106,58,23,3,5,36,34,28,-,35,37,81,7,86,7,2,-,-,12,32,2,6,15,1,27,-,42,52,2,13,71,36,8,17,131,44,-,101,-,1,41,10,34,92,50
2017,"2,129",-,1,6,121,29,3,2,108,3,4,10,32,50,28,68,8,29,8,-,2,-,4,8,50,22,-,11,8,93,6,127,47,25,5,6,22,48,22,-,29,35,85,8,73,14,5,-,-,9,24,7,6,37,2,26,-,59,62,-,9,35,39,11,6,132,38,2,93,-,10,32,16,57,107,45
"number, 2022","205,552,568",-,(D),48,"22,245,542","2,907,343","688,000",73,"8,635,643",-,"432,482","3,738,800","1,039,646","3,660,328","702,430","5,177,299",(D),"641,110",-,(D),-,500,"716,060",302,"4,186,183","648,047",108,(D),96,"9,757,942",126,"10,660,093","5,374,779","1,889,484","225,000","428,002","3,183,432","3,467,115","3,047,006",-,"2,968,283","2,706,020","9,615,645",108,"10,061,554",(D),(D),-,-,"275,318","2,578,936",(D),"391,457","1,358,100",(D),"2,857,600",-,"5,351,265","4,720,311",(D),"294,188","5,931,897","2,994,123","413,046",(D),"17,099,887","4,128,849",-,"10,455,555",-,(D),"6,919,516",(D),"2,965,886","10,058,932","6,931,870"
2017,"190,345,332",-,(D),420,"19,092,801","2,065,589","314,600",(D),"7,635,830",18,(D),"1,598,214","1,714,030","6,534,294","1,791,696","6,002,306",98,"754,734",230,-,(D),-,(D),158,"5,064,280",714,-,(D),219,"7,807,520","300,210","8,443,340","6,323,046","2,448,770","156,012","1,013,800","1,978,860","3,832,283","2,524,324",-,"3,458,380","2,548,900","7,534,154",360,"8,171,263","216,206","400,400",-,-,"421,200","2,027,426",(D),"503,424","1,653,706",(D),"2,011,940",-,"5,842,390","5,967,626",-,(D),"3,940,644","1,719,852","522,345","212,110","17,547,993","870,347",(D),"10,644,900",-,64,"4,553,060",217,"4,779,489","10,351,083","6,261,440"
"Turkeys                                                                              farms, 2022",497,-,1,11,42,34,3,-,34,-,5,2,6,-,-,10,-,8,6,-,1,-,-,3,18,12,3,8,8,-,7,2,9,-,1,3,20,-,4,-,-,-,21,5,22,10,5,-,-,-,-,14,3,1,-,-,1,6,7,2,5,14,5,-,12,37,10,-,3,1,10,2,14,10,7,9
2017,470,3,-,3,20,30,-,-,47,3,-,1,-,2,4,7,-,19,-,1,2,-,-,24,25,16,2,8,2,-,2,2,-,1,2,2,25,-,2,-,-,-,16,10,36,24,2,-,-,-,-,7,6,4,-,-,2,2,10,-,15,2,3,11,3,16,17,-,3,-,11,2,7,2,1,3
"number, 2022","11,393,027",-,(D),(D),"355,686","2,053,730",11,-,"2,141,322",-,14,(D),14,-,-,"24,202",-,20,72,-,(D),-,-,6,"991,339",136,6,38,30,-,14,(D),33,-,(D),24,"1,372,800",-,4,-,-,-,"1,511,680",30,"691,674","803,067",8,-,-,-,-,"405,009",8,(D),-,-,(D),44,(D),(D),46,38,60,-,73,"414,158",78,-,(D),(D),46,(D),"197,046",71,34,34
2017,"11,499,923",6,-,"325,500","525,762","1,321,667",-,-,"2,874,019",9,-,(D),-,(D),14,81,-,(D),-,(D),(D),-,-,91,"1,213,545",88,(D),18,(D),-,(D),(D),-,(D),(D),(D),"1,104,457",-,(D),-,-,-,"780,686",28,"1,562,055","663,635",(D),-,-,-,-,"196,008",36,(D),-,-,(D),(D),"100,036",-,136,(D),21,168,(D),"471,713",136,-,"214,000",-,75,(D),(D),(D),(D),24
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,835",-,21,23,118,51,25,2,31,5,12,5,31,8,12,31,7,38,15,2,6,7,35,68,22,39,27,30,25,18,53,29,30,23,5,15,25,7,14,-,8,15,45,35,78,18,20,-,-,18,13,24,10,13,1,26,4,26,57,14,42,27,15,16,33,96,74,-,31,1,28,27,17,53,14,21
2017,"1,547",11,2,20,81,46,23,8,40,3,11,10,14,7,30,20,4,34,5,1,2,-,20,61,11,31,29,21,3,11,42,31,17,12,11,11,18,7,6,1,4,2,12,30,71,31,22,-,-,15,15,12,14,15,-,37,6,32,51,4,30,6,24,18,21,119,85,2,24,3,18,22,17,27,12,31
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","5,007",5,29,43,336,121,31,5,210,-,30,31,78,61,23,127,25,74,24,10,10,5,40,106,106,71,51,42,35,152,57,157,94,58,17,23,106,42,41,1,40,61,166,57,175,54,24,10,-,30,74,32,24,42,2,72,4,95,124,16,53,130,57,30,46,314,143,3,161,3,37,65,47,120,132,87
2017,"5,043",9,27,45,318,146,36,16,237,2,15,25,51,69,36,135,21,73,7,12,4,5,24,113,102,83,54,36,13,129,62,192,94,35,23,44,69,65,51,-,45,50,144,53,209,92,25,-,2,47,47,32,32,63,1,89,17,109,140,-,47,66,55,43,53,319,150,2,139,4,43,84,47,104,123,89
"Layers sold                                                                        farms, 2022",975,2,12,6,81,15,18,-,20,-,7,2,12,4,6,25,2,15,12,-,-,-,12,26,16,13,20,10,16,14,22,20,10,8,7,4,24,-,7,-,5,13,22,19,39,13,10,8,-,8,17,4,2,9,1,28,4,22,24,3,10,23,5,2,15,66,24,-,30,-,11,13,4,31,11,11
2017,820,5,13,3,58,26,16,4,13,-,6,7,4,6,6,18,16,11,2,4,-,-,12,27,5,15,7,8,1,17,24,21,9,3,-,4,8,6,1,-,7,1,10,10,36,38,6,-,2,12,7,5,6,1,-,31,-,9,25,-,15,6,2,9,7,61,36,-,16,-,17,20,6,15,3,15
"number, 2022","10,581,673",(D),"240,370",50,"555,703","131,160","640,629",-,"991,448",-,(D),(D),68,"96,000","40,952",(D),(D),258,324,-,-,-,"158,516",566,"227,770","32,901","95,796",321,970,"310,903","367,806","447,313",(D),"25,973",99,16,"284,180",-,"89,820",-,"118,100","357,000","159,208",321,"514,596",373,"230,024","45,130",-,"114,070","186,328",(D),(D),98,(D),"620,656",100,"168,486","79,088",15,110,"1,109,592","5,694",(D),163,"863,743","181,684",-,"447,103",-,181,"82,596",73,"202,972","89,045","152,508"
2017,"9,991,416","1,540",(D),180,"1,077,764","108,411","549,801","96,012",(D),-,"83,050",(D),"64,015","113,495","197,700","70,060",647,114,(D),170,-,-,"203,432",580,"65,230","66,121",(D),680,(D),"405,078","428,848","674,323",(D),(D),-,"180,008","127,549",(D),(D),-,"146,218",(D),"106,340",265,"487,829","1,465","78,502",-,(D),"96,304","153,236",(D),"1,110",(D),-,"868,618",-,"102,430","60,679",-,555,"143,100",(D),240,100,"711,342",(D),-,"297,607",-,536,"225,450",71,"157,972",(D),"268,850"
"Pullets for laying flock replacement sold                      farms, 2022",269,-,-,2,29,3,7,-,14,-,2,-,-,15,-,3,2,1,6,-,-,-,2,2,7,3,-,-,7,8,5,18,7,-,-,-,6,-,-,-,1,-,4,5,6,-,-,5,-,-,7,1,-,-,-,9,-,16,2,-,-,10,-,6,1,7,13,-,11,-,-,2,-,11,1,2
2017,262,5,1,-,25,3,12,1,7,-,3,-,1,7,-,-,2,-,-,-,-,-,-,4,-,1,-,2,-,11,2,23,1,2,-,-,1,-,-,-,3,-,2,3,5,2,1,-,-,5,8,-,-,-,-,19,-,12,5,-,-,3,-,10,-,17,2,-,9,-,-,21,-,16,2,3
"number, 2022","16,573,573",-,-,(D),"1,730,221",(D),"559,000",-,"3,041,000",-,(D),-,-,"1,097,675",-,"168,000",(D),(D),6,-,-,-,(D),(D),(D),"2,700",-,-,162,"395,000",100,"1,356,968","600,012",-,-,-,(D),-,-,-,(D),-,400,200,"619,742",-,-,65,-,-,"775,000",(D),-,-,-,"752,550",-,"752,234",(D),-,-,"938,000",-,"533,000",(D),"217,323","720,255",-,"537,040",-,-,(D),-,"537,831",(D),(D)
2017,"13,538,481",61,(D),-,"759,492",(D),"686,000",(D),"1,121,450",-,(D),-,(D),"599,820",-,-,(D),-,-,-,-,-,-,150,-,(D),-,(D),-,"410,907",(D),"1,394,404",(D),(D),-,-,(D),-,-,-,(D),-,(D),96,"614,000",(D),(D),-,-,"193,000","550,500",-,-,-,-,"1,137,600",-,"486,000",(D),-,-,"284,928",-,"704,000",-,"1,039,536",(D),-,"694,006",-,-,"735,100",-,"470,000",(D),"256,000"
"Broilers and other meat-type chickens sold                farms, 2022","1,924",1,-,1,116,35,5,1,90,-,8,21,23,39,8,68,-,20,-,1,-,-,6,6,51,3,-,4,1,121,9,112,53,17,3,4,25,34,26,1,30,41,77,-,79,1,2,-,-,8,30,2,3,15,-,29,-,48,53,6,7,51,34,3,9,121,30,-,100,-,-,37,7,32,107,49
2017,"2,134",-,-,-,138,22,3,-,112,-,4,10,31,54,19,80,3,19,7,1,2,-,2,7,52,15,-,1,3,95,5,145,53,24,5,6,25,52,22,-,31,39,102,4,74,4,6,-,-,9,25,2,5,43,-,32,-,70,63,-,7,33,33,8,6,133,32,-,99,-,-,40,2,52,116,47
"number, 2022","1,045,855,386",(D),-,(D),"122,249,191","13,546,986","3,440,000",(D),"43,589,392",-,"2,160,200","17,494,400","5,339,906","17,500,799","3,713,200","31,143,660",-,"5,089,444",-,(D),-,-,"3,708,152",149,"20,866,571","3,240,000",-,(D),(D),"50,298,199","2,016","45,603,477","31,101,932","9,917,898","896,000","1,992,000","17,020,200","18,655,333","14,490,280",(D),"16,826,336","14,859,250","35,043,607",-,"48,925,577",(D),(D),-,-,"1,371,500","12,699,448",(D),"1,971,000","6,510,250",-,"13,431,000",-,"30,499,248","28,210,818",54,"1,317,092","30,443,400","14,736,577","2,015,000",(D),"81,652,276","21,712,436",-,"52,787,913",-,-,"37,003,221",(D),"17,519,919","52,392,777","36,346,316"
2017,"1,066,200,182",-,-,-,"110,165,831","10,697,632","1,540,000",-,"40,653,849",-,(D),"7,871,391","10,047,200","33,017,596","8,972,414","37,121,801",18,"4,292,280",725,(D),(D),-,(D),400,"25,085,940","1,015",-,(D),117,"40,260,643","1,650,020","46,399,142","33,342,304","12,007,834","1,604,000","5,319,000","15,209,449","20,962,104","12,383,575",-,"16,156,216","14,723,820","46,185,954",120,"47,877,657","960,020","2,362,000",-,-,"3,075,600","10,156,030",(D),"2,682,000","10,321,581",-,"10,812,700",-,"37,609,032","33,764,729",-,(D),"18,928,745","10,388,576","2,615,300","1,272,520","97,065,615","14,673,625",-,"58,126,995",-,-,"27,973,183",(D),"26,772,585","56,552,078","32,824,152"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",130,1,-,1,3,7,-,1,2,-,2,-,2,-,-,7,-,3,-,1,-,-,2,6,-,-,-,3,1,1,9,-,4,-,-,-,-,-,-,1,-,-,1,-,6,-,-,-,-,-,-,1,-,-,-,-,-,2,1,6,4,-,2,-,7,17,7,-,11,-,-,-,6,2,-,-
"2,000 to 59,999.....................................................................",3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,6,-,3,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-
"100,000 to 199,999...............................................................",180,-,-,-,8,-,-,-,6,-,-,-,8,11,-,11,-,2,-,-,-,-,-,-,3,-,-,-,-,24,-,15,6,-,-,-,2,-,1,-,1,8,9,-,-,-,-,-,-,6,8,-,-,4,-,7,-,3,6,-,-,-,4,-,1,6,-,-,13,-,-,-,-,1,6,-
"200,000 to 499,999...............................................................",747,-,-,-,21,16,-,-,51,-,6,-,12,15,4,18,-,14,-,-,-,-,-,-,28,-,-,1,-,52,-,60,22,3,3,3,9,24,11,-,15,24,41,-,29,1,1,-,-,2,12,-,1,6,-,8,-,22,25,-,3,24,16,-,-,27,-,-,34,-,-,8,-,13,48,14
"500,000 or more....................................................................",834,-,-,-,82,12,5,-,31,-,-,21,1,13,4,31,-,-,-,-,-,-,4,-,14,3,-,-,-,44,-,31,21,11,-,1,14,10,14,-,14,9,22,-,44,-,1,-,-,-,10,1,2,3,-,14,-,20,20,-,-,27,10,3,1,71,23,-,41,-,-,29,1,16,50,35
"Turkeys sold                                                                     farms, 2022",251,-,-,3,11,31,-,-,41,-,-,-,-,-,-,2,-,-,-,-,-,-,2,1,18,4,-,3,4,-,-,3,4,-,1,-,20,-,-,-,-,-,16,-,14,12,-,-,-,-,6,11,-,1,-,-,-,-,1,-,-,2,3,-,1,19,5,-,2,-,5,-,4,1,-,-
2017,304,-,-,3,19,35,-,-,46,-,-,-,-,-,-,7,-,6,-,1,2,-,-,4,26,-,-,-,-,-,-,-,-,-,1,-,19,-,-,-,-,6,11,-,32,15,2,-,-,-,-,5,6,6,-,-,-,2,2,-,3,-,1,6,2,18,5,-,3,-,2,2,3,-,-,3
"number, 2022","28,044,619",-,-,"734,315","703,618","4,399,434",-,-,"6,398,931",-,-,-,-,-,-,(D),-,-,-,-,-,-,(D),(D),"2,367,766",26,-,57,8,-,-,(D),12,-,(D),-,"3,335,440",-,-,-,-,-,"2,652,000",-,"1,588,450","1,990,023",-,-,-,-,12,"1,239,002",-,(D),-,-,-,-,(D),-,-,(D),315,-,(D),"905,342",54,-,(D),-,17,-,"906,000",(D),-,-
2017,"32,721,928",-,-,"850,000","1,538,097","4,426,845",-,-,"9,042,391",-,-,-,-,-,-,(D),-,(D),-,(D),(D),-,-,26,"3,074,034",-,-,-,-,-,-,-,-,-,(D),-,"3,137,700",-,-,-,-,96,"1,865,000",-,"3,464,888","2,286,267",(D),-,-,-,-,"677,001",24,(D),-,-,-,(D),(D),-,80,-,(D),99,(D),"1,131,034",40,-,"480,400",-,(D),(D),(D),-,-,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",700,-,9,10,58,13,18,-,9,-,2,1,2,8,2,13,2,10,6,-,4,5,8,17,11,6,16,6,6,11,14,24,5,7,2,4,12,3,7,-,5,13,12,14,44,9,8,-,-,11,10,3,2,5,-,22,-,21,19,5,5,4,7,-,12,48,22,-,16,1,6,12,4,19,4,6
2017,603,6,2,12,33,14,16,2,13,-,4,1,5,6,9,12,-,8,2,1,2,-,11,20,5,11,8,-,-,11,22,23,1,3,2,9,1,2,1,-,5,1,5,7,38,3,4,-,-,11,7,2,6,2,-,34,-,10,26,-,8,3,3,3,5,44,18,-,15,1,10,20,5,13,2,14
