Item,Florida,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Miami-Dade,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,St. Johns,St. Lucie,Santa Rosa,Sarasota,Seminole,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington
100 to 399.............................................................................,205,6,2,-,-,5,1,-,3,7,5,1,8,-,1,-,-,-,-,1,1,2,-,-,5,2,10,4,12,-,-,4,1,1,13,7,7,2,-,-,1,10,4,11,-,1,-,4,7,-,6,1,2,11,3,-,4,5,5,-,1,1,-,1,8,4,3,1
"400 to 3,199..........................................................................",17,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,2,1,-,1,-,-,1,2,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
"3,200 to 9,999.......................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
"20,000 to 49,999...................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,1,-
"50,000 to 99,999...................................................................",2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",10,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",888,37,14,9,4,24,6,3,9,29,17,6,23,4,6,13,15,-,6,5,15,4,-,6,4,5,18,3,24,11,5,23,13,2,35,23,5,5,-,4,5,60,15,21,-,16,4,9,18,1,42,44,7,35,10,4,9,21,8,10,29,11,3,5,34,11,15,6
2017,984,41,19,9,17,3,8,5,14,22,23,2,30,7,4,17,21,2,-,10,18,-,-,5,1,1,6,6,67,10,4,23,18,2,47,16,1,17,-,4,13,66,13,30,-,26,21,6,20,5,20,40,4,8,12,6,1,13,-,17,29,20,7,10,65,11,15,6
"number, 2022","3,020,429","1,379",(D),96,(D),490,110,36,222,814,223,46,422,68,120,147,216,-,54,230,174,16,-,104,125,(D),421,32,699,(D),85,225,134,(D),734,"1,032",60,66,-,112,163,913,230,508,-,(D),(D),(D),543,(D),792,"2,255,666",125,(D),178,40,258,608,42,"1,260",698,"80,131",18,62,585,"1,305",(D),43
2017,"2,464,009",712,"603,099",268,"220,156","3,600",112,82,246,318,238,(D),649,77,45,418,474,(D),-,166,192,-,-,56,(D),(D),516,155,"2,526","60,048",62,793,166,(D),680,388,(D),263,-,64,143,"1,870",398,712,-,(D),257,(D),"1,705",120,495,(D),30,(D),252,106,(D),127,-,"1,842",389,"53,522",110,538,"2,340",605,(D),83
"Broilers and other meat-type chickens                         farms, 2022",992,35,9,2,11,18,6,4,3,21,18,1,24,2,4,8,6,-,-,10,18,6,2,4,11,4,26,29,41,18,7,22,14,19,32,12,6,17,6,17,7,60,11,34,-,8,14,9,15,6,40,17,2,32,5,1,7,27,7,8,33,56,12,6,28,12,30,12
2017,"1,094",26,6,-,2,14,20,8,5,15,4,10,28,18,14,6,17,1,-,5,17,1,-,10,18,6,10,15,50,7,14,38,8,17,38,27,4,10,-,14,15,67,45,96,-,8,13,-,22,5,46,15,-,14,17,14,2,10,-,3,32,63,3,15,46,3,29,8
"number, 2022","12,259,925","1,550",924,(D),346,918,190,54,36,"3,757",628,(D),(D),(D),205,280,73,-,-,"1,284",322,60,(D),"540,092",165,(D),"1,145",550,"1,574","180,402",73,"376,070",112,"2,486,990","1,939",142,"8,659",293,120,"1,661,299",399,"1,712",223,(D),-,(D),220,437,"3,890",152,"1,151",466,(D),"3,404",58,(D),692,283,764,196,"1,067","4,887,451","766,096",(D),"1,034",396,"874,269",227
2017,"12,893,097","1,842",62,-,(D),"1,310",683,190,(D),216,60,186,"5,390",242,220,300,"1,726",(D),-,82,266,(D),-,"560,084",412,36,(D),224,"1,916","385,493",273,"1,253",102,"1,588,320","1,801","1,190",308,84,-,"1,336,399",202,"1,399","4,053","27,135",-,(D),"60,406",-,"4,895",180,"1,766","3,568",-,"1,796","1,189",864,(D),251,-,21,623,"8,079,816",(D),"1,002",958,"1,500","679,437",242
"Turkeys                                                                              farms, 2022",732,37,17,7,5,18,14,-,8,19,20,3,15,2,6,6,4,1,-,8,16,1,-,2,4,2,18,12,28,5,7,13,7,3,18,20,10,11,2,13,4,44,9,35,-,19,2,9,6,-,30,28,1,18,12,5,4,28,3,11,4,2,10,1,25,6,20,14
2017,854,26,17,3,2,16,6,9,-,26,21,12,12,3,4,9,14,-,-,2,16,1,-,3,12,-,7,13,58,8,4,19,3,-,35,22,1,34,-,9,13,72,13,61,-,3,16,4,10,-,11,29,2,12,20,13,-,17,1,3,29,4,3,4,64,6,11,6
"number, 2022","7,959",304,187,48,40,213,52,-,85,162,502,6,162,(D),52,18,12,(D),-,26,57,(D),-,(D),19,(D),89,46,473,14,46,101,24,(D),228,114,322,45,(D),196,8,297,58,"2,160",-,107,(D),160,31,-,106,206,(D),78,128,21,52,166,18,56,28,(D),50,(D),110,40,110,136
2017,"7,081",128,102,24,(D),90,12,27,-,132,182,38,46,14,14,39,34,-,-,(D),598,(D),-,14,35,-,314,40,899,24,8,129,35,-,329,126,(D),234,-,55,54,500,91,404,-,13,193,28,80,-,40,219,(D),43,139,53,-,116,(D),21,129,45,13,706,278,68,47,14
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,527",110,44,16,27,43,22,11,20,81,37,15,57,13,11,22,28,9,6,32,25,11,-,9,8,8,64,34,100,46,20,31,44,7,92,46,14,36,8,26,35,161,30,118,-,46,18,24,29,24,94,86,13,54,30,12,36,56,21,30,58,56,11,11,112,18,64,47
2017,"2,506",65,22,22,25,28,39,12,21,76,55,28,76,24,10,15,44,6,-,12,49,8,-,15,18,12,44,41,108,28,17,58,48,12,85,71,12,79,2,16,38,161,41,80,-,21,49,14,41,19,73,54,2,49,44,29,28,33,4,33,63,59,19,23,122,23,45,36
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","3,797",153,48,27,30,66,60,18,22,86,64,15,82,37,21,20,42,4,-,37,52,16,2,16,12,12,79,21,136,40,35,58,52,29,144,105,32,63,15,47,53,264,54,200,-,50,37,39,54,27,122,118,13,106,52,12,38,84,35,44,78,124,11,28,173,31,96,56
2017,"3,820",102,24,39,52,44,61,18,20,82,51,35,94,35,13,26,50,8,-,26,37,16,-,19,32,8,68,40,196,56,33,75,75,30,153,98,32,81,6,24,46,283,88,183,-,33,88,16,81,24,107,115,12,51,70,39,30,57,6,37,79,123,26,30,191,32,74,40
"Layers sold                                                                        farms, 2022",844,34,9,7,-,12,12,-,6,23,11,4,25,16,1,-,15,-,-,4,14,5,-,1,1,3,21,4,43,10,10,8,7,5,31,10,12,17,-,9,13,54,19,40,-,9,6,3,12,12,39,39,6,21,17,2,11,11,4,12,20,13,1,-,53,12,16,9
2017,946,19,6,3,13,5,8,6,9,24,11,5,25,15,2,2,22,2,-,7,14,4,-,9,11,5,7,8,59,15,2,12,24,5,57,13,12,12,-,8,17,77,9,37,-,5,13,1,19,5,23,17,4,13,17,8,1,16,-,20,31,27,8,9,57,12,25,14
"number, 2022","7,333,199",765,117,170,-,"3,628",421,-,184,537,305,34,(D),"2,327",(D),-,288,-,-,(D),272,60,-,(D),(D),(D),874,(D),"3,042",166,130,236,245,"95,040",(D),343,294,126,-,(D),469,902,267,"10,388",-,"5,521",69,(D),295,854,"1,404","1,473,890",12,(D),111,(D),512,258,24,"1,852",(D),"149,625",(D),-,"2,424",395,(D),691
2017,"4,086,678","1,764",138,88,918,"2,460","1,496",60,350,536,252,(D),(D),"2,874",(D),(D),"1,584",(D),-,(D),209,114,-,354,68,(D),655,"1,433","3,504",142,(D),129,828,"98,785",(D),"1,132",197,258,-,"40,549",221,"1,810",740,"2,197",-,(D),400,(D),"7,578",(D),"5,857",(D),12,(D),"1,315",840,(D),285,-,"2,101",(D),"63,084",(D),410,"5,060","1,754",(D),584
"Pullets for laying flock replacement sold                      farms, 2022",119,10,1,1,1,5,-,-,-,-,4,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,2,3,1,6,6,-,4,1,6,-,-,-,-,6,2,8,-,1,1,-,-,-,5,5,1,-,-,-,-,-,-,3,3,3,-,-,11,-,2,3
2017,222,8,6,-,10,3,6,-,-,7,2,-,2,6,-,-,11,-,-,-,7,1,-,2,-,-,-,3,6,6,-,15,7,-,26,4,-,2,-,-,-,2,-,7,-,1,3,-,-,-,-,5,-,-,6,-,-,4,-,3,6,4,2,7,17,5,3,7
"number, 2022","795,993",728,(D),(D),(D),391,-,-,-,-,20,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-,275,-,(D),(D),(D),404,30,-,104,(D),30,-,-,-,-,120,(D),170,-,(D),(D),-,-,-,200,"3,930",(D),-,-,-,-,-,-,"2,100",83,"240,000",-,-,466,-,(D),(D)
2017,"3,480,929",211,"1,499,040",-,"500,213","3,600",252,-,-,56,(D),-,(D),42,-,-,432,-,-,-,225,(D),-,(D),-,-,-,110,"2,020","180,000",-,920,352,-,381,250,-,(D),-,-,-,(D),-,160,-,(D),60,-,-,-,-,61,-,-,316,-,-,50,-,"1,800",30,"160,040",(D),105,"1,025",425,(D),320
"Broilers and other meat-type chickens sold                farms, 2022",415,17,-,-,-,5,7,-,3,14,6,1,6,8,-,-,3,-,-,-,8,-,-,3,-,4,12,1,18,2,4,6,5,16,7,17,3,6,-,8,2,23,10,16,-,2,-,10,11,2,27,3,1,14,1,1,7,3,-,7,3,50,6,-,11,5,10,-
2017,610,11,2,2,1,9,6,-,-,7,4,-,4,10,-,-,8,-,-,3,4,2,-,3,1,-,7,4,43,10,7,20,10,17,37,19,3,-,-,7,4,26,40,46,-,3,10,-,14,3,18,16,-,14,5,11,1,6,1,-,12,54,1,11,22,3,21,7
"number, 2022","64,995,839","1,324",-,-,-,451,233,-,87,"3,575",182,(D),(D),"4,830",-,-,45,-,-,-,"1,415",-,-,"4,500,000",-,252,690,(D),(D),(D),60,"1,875,750",73,"13,048,500","1,267","2,136","8,613",200,-,"8,797,000",(D),958,107,(D),-,(D),-,(D),(D),(D),"1,259",32,(D),581,(D),(D),"1,220",36,-,906,(D),"25,329,935","3,863,000",-,382,366,"4,618,000",-
2017,"65,698,665",589,(D),(D),(D),"1,110",144,-,-,210,120,-,"6,015",422,-,-,175,-,-,(D),"2,100",(D),-,"2,800,000",(D),-,450,112,"3,072","1,927,542",165,"1,864",240,"8,279,740","2,118",434,30,-,-,"6,531,200",32,"3,832","2,020",(D),-,(D),"301,035",-,"12,886",300,981,"16,342",-,"1,245",159,588,(D),351,(D),-,396,"41,137,423",(D),665,"1,487","1,500","3,939,440",800
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",317,17,-,-,-,5,7,-,3,14,6,1,5,8,-,-,3,-,-,-,8,-,-,-,-,4,12,1,17,-,4,3,5,-,7,17,1,6,-,-,1,23,10,14,-,1,-,9,10,2,27,3,1,14,1,1,7,3,-,7,3,10,-,-,11,5,-,-
"2,000 to 59,999.....................................................................",7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,4,-
"200,000 to 499,999...............................................................",20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,1,-,-,-,2,-
"500,000 or more....................................................................",58,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,-,12,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,5,-,-,-,4,-
"Turkeys sold                                                                      farms, 2022",227,2,-,1,5,2,2,-,2,11,10,-,7,2,-,-,-,-,-,-,3,-,-,-,1,2,15,-,10,-,2,4,3,3,8,3,2,7,-,1,2,15,7,9,-,3,-,3,-,-,7,12,-,4,6,5,2,3,-,9,1,2,2,-,10,5,7,5
2017,239,1,5,3,4,-,-,-,-,10,8,-,4,1,2,6,2,-,-,1,5,3,-,-,1,-,8,2,36,-,-,11,2,-,8,12,-,6,-,1,1,16,2,14,-,3,10,1,3,-,1,3,-,-,6,-,-,4,1,3,8,1,-,2,11,2,2,3
"number, 2022","4,974",(D),-,(D),20,(D),(D),-,(D),162,78,-,121,(D),-,-,-,-,-,-,33,-,-,-,(D),(D),88,-,361,-,(D),78,12,(D),158,32,(D),20,-,(D),(D),89,44,(D),-,50,-,(D),-,-,26,178,-,22,33,14,(D),9,-,185,(D),(D),(D),-,228,46,87,246
2017,"5,139",(D),55,52,7,-,-,-,-,30,64,-,18,(D),(D),32,(D),-,-,(D),425,165,-,-,(D),-,52,(D),580,-,-,43,(D),-,53,38,-,42,-,(D),(D),202,(D),71,-,5,80,(D),175,-,(D),18,-,-,51,-,-,37,(D),21,96,(D),-,(D),102,(D),(D),6
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",604,37,3,6,8,13,6,-,3,19,9,-,3,5,7,1,8,-,-,4,4,7,-,3,2,1,15,4,22,2,5,4,22,5,17,15,-,5,-,13,9,28,10,22,-,15,4,9,4,6,20,32,11,7,13,3,8,14,2,9,15,21,2,5,25,9,12,11
2017,732,9,11,14,8,-,14,2,4,32,10,1,28,12,2,-,15,-,-,-,10,2,-,5,4,4,20,4,42,-,3,12,15,10,26,26,3,27,-,6,9,44,17,22,-,8,22,3,23,8,7,8,-,11,14,10,4,13,3,14,6,6,7,10,47,6,26,3
