Item,California,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
100 to 399.............................................................................,187,1,-,-,5,5,-,-,-,13,1,4,8,-,1,7,-,-,1,2,3,4,2,3,-,-,-,6,9,8,1,1,2,15,9,-,8,9,-,-,8,10,4,-,2,3,-,1,4,13,3,2,-,-,1,-,-,2,6
"400 to 3,199..........................................................................",56,-,-,-,-,-,-,4,-,1,-,1,-,-,-,-,-,1,-,-,-,6,-,2,1,-,-,2,1,-,-,-,-,1,1,4,2,4,-,2,2,1,2,4,-,-,-,-,1,6,-,-,-,-,1,-,2,4,-
"3,200 to 9,999.......................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
"10,000 to 19,999...................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",16,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,5,3,-,1,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-
"50,000 to 99,999...................................................................",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,6,-,-,-,-,-,-,-,-,2,-,-,3,1,-,4,-,-,-,-,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",906,-,-,3,27,14,2,5,7,30,24,13,8,-,-,28,13,11,13,22,6,6,6,16,8,11,-,11,13,28,2,43,15,48,29,4,10,51,-,37,41,7,9,12,18,49,-,9,24,48,17,7,24,5,11,19,8,10,24
2017,"1,025",2,-,7,37,22,3,12,8,48,29,11,33,2,-,27,7,8,11,9,9,16,17,24,20,6,-,7,10,46,1,35,15,55,21,7,45,62,-,32,56,-,1,9,10,37,-,6,5,69,21,5,14,8,7,11,8,11,43
"number, 2022","3,794,018",-,-,12,520,373,(D),250,180,227,"12,354",450,189,-,-,(D),251,71,200,278,(D),"3,400",137,605,"972,917",161,-,161,163,395,(D),645,450,(D),573,"3,602","107,090",(D),-,"248,417","2,308",282,"1,126",129,138,"3,736",-,230,(D),(D),"425,127",120,229,50,237,(D),213,"8,307",407
2017,"4,484,233",(D),-,68,640,252,30,605,156,640,(D),277,582,(D),-,(D),356,272,205,68,102,"2,250",213,502,"1,132,909",36,-,266,71,731,(D),778,322,"394,089",440,28,"84,167",(D),-,"370,855","2,648",-,(D),102,(D),472,-,78,"8,632",(D),"697,485",70,185,186,449,150,164,"1,305",421
"Broilers and other meat-type chickens                         farms, 2022",700,-,-,7,25,18,-,10,-,32,37,8,10,-,2,8,11,9,9,19,16,9,1,12,5,9,2,13,2,10,-,19,9,32,28,7,16,24,-,20,24,-,13,8,4,33,-,13,2,15,25,11,7,5,22,27,11,10,31
2017,702,2,-,6,23,-,2,7,2,37,41,6,19,-,1,14,3,7,-,16,20,5,-,5,20,2,-,16,6,15,-,37,11,33,30,2,19,42,-,26,23,7,9,2,3,12,-,2,5,31,16,3,15,9,25,34,16,3,12
"number, 2022","50,781,157",-,-,748,480,449,-,283,-,"1,656","15,673,618","1,060",364,-,(D),250,"180,415",82,318,313,(D),"2,240",(D),200,(D),90,(D),"1,342",(D),366,-,(D),87,855,"723,101","3,715",354,"15,655",-,"1,536,083","2,580",-,545,150,(D),883,-,269,(D),(D),"5,981,701",524,246,140,(D),682,287,"2,208","1,482"
2017,"44,695,175",(D),-,105,"2,161",-,(D),148,(D),943,"21,434,530",126,"1,269",-,(D),156,(D),110,-,250,"216,494","1,312",-,126,(D),(D),-,210,130,788,-,(D),210,"1,547","952,627",(D),"1,240",(D),-,"403,466",571,(D),(D),(D),(D),168,-,(D),"3,800",(D),"6,257,773",140,(D),903,(D),721,941,(D),784
"Turkeys                                                                              farms, 2022",524,1,-,4,18,15,-,3,5,30,21,9,6,-,1,17,6,13,5,18,3,3,8,11,2,3,1,12,5,19,2,8,-,36,35,2,12,31,-,10,15,2,10,-,2,23,-,3,2,27,11,9,4,6,2,9,8,-,16
2017,623,1,-,9,26,14,3,8,2,42,28,8,16,-,1,14,9,2,-,13,6,3,8,12,8,7,-,5,7,17,1,16,8,37,29,9,22,37,-,11,13,1,9,2,-,30,-,3,12,37,6,5,5,17,4,6,10,6,18
"number, 2022","2,186,868",(D),-,10,153,"58,095",-,360,17,268,(D),12,84,-,(D),418,72,37,34,105,(D),330,48,40,(D),15,(D),266,63,386,(D),68,-,284,(D),(D),210,581,-,54,77,(D),"2,112",-,(D),62,-,28,(D),900,(D),58,30,31,(D),(D),176,-,140
2017,"3,756,534",(D),-,67,157,"87,108",108,114,(D),288,"1,080,017",16,77,-,(D),60,"257,406",(D),-,49,"170,012",550,28,16,"817,473",52,-,37,116,212,(D),296,10,336,(D),(D),"229,031",356,-,142,276,(D),70,(D),-,308,-,21,60,(D),"775,904",56,70,166,(D),(D),168,194,84
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,120",13,-,34,66,55,9,4,5,105,63,15,27,1,-,53,15,15,23,71,24,7,31,32,11,7,8,20,32,58,3,118,11,101,71,1,39,153,-,62,98,18,18,27,29,99,-,27,40,105,82,11,40,13,39,21,20,24,46
2017,"1,972",11,-,25,65,41,7,48,4,79,62,14,39,4,-,57,19,9,11,81,19,6,16,53,34,5,7,12,24,65,5,34,7,109,78,15,58,118,-,28,69,16,16,25,22,63,-,27,18,106,66,6,57,19,44,40,43,27,39
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","3,796",21,2,63,107,79,13,32,13,193,100,23,59,7,2,89,28,34,53,93,34,29,47,68,52,21,10,41,61,99,11,181,28,158,147,33,76,191,-,107,177,32,57,51,43,175,-,55,66,197,128,24,57,26,57,44,57,56,89
2017,"3,976",15,2,51,129,73,14,46,18,169,136,38,88,16,1,73,40,28,31,71,43,38,33,73,66,35,11,41,54,117,8,136,19,170,155,30,108,233,-,82,155,25,35,53,46,190,-,49,59,278,117,22,89,32,83,57,72,44,79
"Layers sold                                                                        farms, 2022",809,5,2,10,18,25,-,10,2,45,13,2,15,3,-,25,9,7,9,1,7,11,8,5,26,9,3,12,7,30,2,42,12,31,43,9,16,43,-,23,42,5,6,10,3,40,-,8,8,35,14,5,12,8,9,13,11,15,25
2017,891,1,-,12,34,32,1,12,10,27,34,7,17,-,-,11,4,5,8,15,10,7,4,17,13,5,-,8,9,31,-,30,-,66,46,12,24,40,-,26,29,7,9,18,13,38,-,4,5,70,28,7,13,4,16,7,14,13,18
"number, 2022","2,785,449",19,(D),571,701,496,-,"3,380",(D),"1,348",614,(D),294,60,-,"1,279",300,126,76,(D),(D),"8,429",108,"1,885","950,253",38,15,149,320,737,(D),571,240,"221,452","2,005",(D),"285,609","48,742",-,(D),"3,150",540,60,148,22,"4,265",-,113,(D),"317,086","398,261",70,396,64,38,164,100,763,"1,689"
2017,"6,245,446",(D),-,"1,107","1,321",534,(D),508,242,575,"2,135",108,"5,699",-,-,(D),26,46,154,618,220,"9,160",44,550,"1,776,575",33,-,198,162,"1,054",-,"4,343",-,"263,083","1,082",(D),"711,998",(D),-,(D),"1,306",223,(D),300,"1,267",583,-,78,(D),"414,905","1,142,279",224,(D),12,519,"20,280",912,"5,714",132
"Pullets for laying flock replacement sold                      farms, 2022",100,-,-,1,-,4,-,-,-,9,3,1,-,-,-,7,1,-,-,-,2,1,4,3,2,-,-,-,-,8,2,1,-,8,-,-,6,2,-,8,10,-,-,-,-,6,-,1,-,1,-,-,5,-,2,1,1,-,-
2017,132,-,-,4,4,-,-,-,-,-,4,3,3,-,-,5,3,3,-,4,2,9,-,-,9,-,-,-,-,12,1,10,-,7,-,1,6,3,-,1,7,-,-,4,-,5,-,-,-,4,1,1,-,2,3,2,2,5,2
"number, 2022","1,358,912",-,-,(D),-,20,-,-,-,102,900,(D),-,-,-,137,(D),-,-,-,(D),(D),48,30,(D),-,-,-,-,162,(D),(D),-,180,-,-,"307,750",(D),-,360,"1,030",-,-,-,-,"2,476",-,(D),-,(D),-,-,25,-,(D),(D),(D),-,-
2017,"2,040,259",-,-,654,40,-,-,-,-,-,(D),(D),26,-,-,200,60,600,-,100,(D),960,-,-,"121,484",-,-,-,-,236,(D),171,-,379,-,(D),(D),(D),-,(D),"1,030",-,-,152,-,145,-,-,-,50,(D),(D),-,(D),106,(D),(D),350,(D)
"Broilers and other meat-type chickens sold                farms, 2022",460,-,-,6,12,11,-,5,-,29,37,2,9,-,1,10,5,-,9,-,12,10,-,13,4,2,-,14,2,22,-,15,9,13,29,7,11,11,-,19,12,1,8,-,2,23,-,3,-,11,20,3,1,6,11,13,2,9,6
2017,366,1,1,3,19,1,-,1,-,11,31,2,9,-,-,6,3,3,1,15,6,8,1,7,9,5,-,6,1,10,-,11,4,12,12,2,6,19,-,15,9,1,3,4,3,14,-,1,5,15,12,6,10,10,2,16,8,3,3
"number, 2022","313,662,311",-,-,(D),482,(D),-,270,-,"1,441","93,956,101",(D),"1,940",-,(D),(D),"721,310",-,167,-,(D),"8,800",-,"3,206",(D),(D),-,"1,175",(D),471,-,(D),915,"1,717","5,448,505","28,815","1,018","25,161",-,"2,701,260","2,224",(D),"1,100",-,(D),522,-,109,-,(D),"50,162,642",90,(D),530,(D),424,(D),"4,818",630
2017,"288,000,313",(D),(D),35,"5,336",(D),-,(D),-,210,(D),(D),795,-,-,30,(D),450,(D),865,(D),"1,892",(D),585,(D),10,-,60,(D),(D),-,(D),300,906,"5,653,925",(D),824,(D),-,"2,101,138","3,456",(D),(D),120,(D),181,-,(D),(D),(D),"51,500,576",165,(D),980,(D),358,"1,420",750,530
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",379,-,-,5,12,10,-,5,-,29,16,-,9,-,1,9,2,-,9,-,8,8,-,13,-,2,-,14,2,22,-,14,9,13,25,3,11,7,-,8,12,-,8,-,1,23,-,3,-,8,12,3,-,6,7,13,2,9,6
"2,000 to 59,999.....................................................................",17,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"60,000 to 99,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",12,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",25,-,-,-,-,1,-,-,-,-,5,-,-,-,-,-,3,-,-,-,3,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",25,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,3,-,-,-,-
"Turkeys sold                                                                      farms, 2022",270,1,-,3,12,15,-,3,-,19,9,-,11,-,1,13,6,-,9,3,1,3,-,1,2,-,1,9,1,14,1,7,-,22,20,5,9,7,-,-,3,-,5,-,-,6,-,1,-,10,3,5,-,4,2,9,2,6,6
2017,291,1,-,-,7,4,-,6,-,18,21,5,11,-,-,2,11,-,-,7,-,6,-,2,8,2,-,5,1,14,1,9,3,11,17,1,6,13,-,2,17,-,2,2,-,11,-,3,9,17,4,3,5,8,2,1,3,4,6
"number, 2022","6,322,236",(D),-,(D),57,"160,037",-,360,-,124,(D),-,485,-,(D),831,72,-,58,9,(D),195,-,(D),(D),-,(D),(D),(D),229,(D),20,-,435,(D),(D),157,197,-,-,12,-,"1,442",-,-,18,-,(D),-,721,(D),5,-,80,(D),(D),(D),60,16
2017,"12,735,049",(D),-,-,55,"243,877",-,42,-,164,"3,493,098",24,43,-,-,(D),"779,458",-,-,29,-,881,-,(D),"3,130,173",(D),-,28,(D),112,(D),211,6,98,(D),(D),"824,270",134,-,(D),314,-,(D),(D),-,245,-,(D),43,(D),"2,987,469",38,210,84,(D),(D),70,27,6
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",545,1,-,7,15,9,4,2,-,26,16,3,5,1,-,9,7,6,4,16,6,3,2,10,2,3,-,6,3,17,-,22,13,19,20,1,12,34,-,22,25,3,5,2,4,27,-,5,4,27,57,-,12,7,7,17,2,10,5
2017,526,2,-,17,10,3,1,7,5,20,29,6,2,3,-,8,9,-,-,22,6,10,3,12,11,-,-,1,6,22,-,15,5,24,32,7,24,14,-,10,15,4,-,10,3,20,-,5,17,38,31,-,5,4,4,11,5,6,2
