Item,Kansas,Allen,Anderson,Atchison,Barber,Barton,Bourbon,Brown,Butler,Chase,Chautauqua,Cherokee,Cheyenne,Clark,Clay,Cloud,Coffey,Comanche,Cowley,Crawford,Decatur,Dickinson,Doniphan,Douglas,Edwards,Elk,Ellis,Ellsworth,Finney,Ford,Franklin,Geary,Gove,Graham,Grant,Gray,Greeley,Greenwood,Hamilton,Harper,Harvey,Haskell,Hodgeman,Jackson,Jefferson,Jewell,Johnson,Kearny,Kingman,Kiowa,Labette,Lane,Leavenworth,Lincoln,Linn,Logan,Lyon,McPherson,Marion,Marshall,Meade,Miami,Mitchell,Montgomery,Morris,Morton,Nemaha,Neosho,Ness,Norton,Osage,Osborne,Ottawa,Pawnee,Phillips,Pottawatomie,Pratt,Rawlins,Reno,Republic,Rice,Riley,Rooks,Rush,Russell,Saline,Scott,Sedgwick,Seward,Shawnee,Sheridan,Sherman,Smith,Stafford,Stanton,Stevens,Sumner,Thomas,Trego,Wabaunsee,Wallace,Washington,Wichita,Wilson,Woodson,Wyandotte
100 to 399.............................................................................,76,-,2,4,-,-,2,-,-,-,-,-,-,-,1,2,-,-,-,2,-,3,-,-,-,-,-,-,-,-,3,2,-,3,-,-,-,-,1,-,-,-,-,-,3,-,3,-,-,-,-,-,4,-,1,-,-,2,-,-,-,3,-,-,-,-,-,3,-,-,-,-,-,-,-,2,-,-,5,-,-,2,-,1,-,1,-,1,-,13,1,-,3,-,-,1,-,-,-,-,-,-,-,-,-,2
"400 to 3,199..........................................................................",9,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",564,9,1,5,-,-,9,11,23,-,3,9,3,2,8,5,5,2,14,12,-,6,2,25,-,1,6,1,2,-,18,4,2,5,3,3,-,4,2,4,11,-,3,7,13,1,20,4,10,5,9,-,29,1,8,-,4,11,1,2,3,21,-,6,7,-,14,5,-,4,10,-,2,-,9,3,1,-,13,-,1,2,3,-,-,4,2,25,1,17,1,6,3,2,-,4,21,-,-,10,-,1,3,4,-,8
2017,517,8,2,1,-,3,3,2,11,-,1,4,9,-,2,3,3,-,4,10,-,13,7,16,2,1,4,-,-,1,20,1,2,2,-,-,-,2,-,5,22,-,3,11,32,-,14,3,8,-,11,2,23,2,5,-,13,10,1,6,-,33,3,19,3,-,5,2,-,-,14,4,9,1,5,11,-,1,9,3,1,-,1,-,2,2,-,13,2,14,6,3,2,2,-,-,-,4,-,7,-,9,-,1,-,18
"number, 2022",(D),48,(D),97,-,-,92,144,401,-,26,145,32,(D),60,73,69,(D),133,266,-,65,(D),296,-,(D),64,(D),(D),-,295,40,(D),118,15,105,-,48,(D),140,53,-,60,118,192,(D),263,63,144,70,117,-,484,(D),404,-,58,146,(D),(D),12,236,-,44,58,-,192,105,-,300,430,-,(D),-,377,(D),(D),-,510,-,(D),(D),(D),-,-,30,(D),319,(D),556,(D),58,90,(D),-,155,265,-,-,200,-,(D),75,100,-,170
2017,(D),101,(D),(D),-,815,17,(D),193,-,(D),136,82,-,(D),40,40,-,33,66,-,490,155,291,(D),(D),36,-,-,(D),162,(D),(D),(D),-,-,-,(D),-,28,525,-,30,174,501,-,510,167,98,-,261,(D),722,(D),553,-,88,172,(D),101,-,334,135,367,48,-,160,(D),-,-,259,600,180,(D),174,(D),-,(D),291,22,(D),-,(D),-,(D),(D),-,387,(D),338,401,60,(D),(D),-,-,-,24,-,114,-,222,-,(D),-,472
"Broilers and other meat-type chickens                         farms, 2022",380,-,6,8,2,2,13,6,9,-,2,2,-,-,5,-,3,2,10,6,-,6,1,11,-,-,2,3,-,6,8,1,3,1,-,2,-,2,2,4,7,-,7,3,5,10,16,2,-,-,3,-,15,2,11,1,5,3,11,3,1,18,8,9,4,-,2,2,1,-,10,-,2,-,1,4,1,-,15,-,4,2,-,-,-,2,-,4,-,12,2,3,2,1,-,-,18,2,-,5,2,2,-,3,2,4
2017,425,4,1,3,1,-,14,3,29,-,6,5,4,-,-,2,9,-,3,14,1,7,4,20,-,2,5,3,4,-,8,-,2,6,3,6,-,4,-,4,11,-,1,6,16,-,5,1,-,-,9,-,13,1,1,1,10,12,7,2,-,19,-,10,2,-,9,2,-,-,5,-,1,1,4,3,2,2,22,2,-,9,-,2,3,-,-,8,1,6,3,1,4,-,-,-,12,2,-,-,5,1,4,4,-,3
"number, 2022","19,300",-,378,115,(D),(D),443,201,154,-,(D),(D),-,-,74,-,145,(D),167,426,-,168,(D),710,-,-,(D),45,-,71,"3,205",(D),120,(D),-,(D),-,(D),(D),320,94,-,425,70,(D),186,"1,110",(D),-,-,(D),-,640,(D),190,(D),118,45,474,120,(D),598,168,117,21,-,(D),(D),(D),-,197,-,(D),-,(D),73,(D),-,419,-,82,(D),-,-,-,(D),-,490,-,287,(D),18,(D),(D),-,-,493,(D),-,475,(D),(D),-,45,(D),17
2017,"45,067",102,(D),90,(D),-,710,17,656,-,28,36,74,-,-,(D),229,-,(D),133,(D),361,13,"1,018",-,(D),38,51,32,-,159,-,(D),106,(D),160,-,34,-,285,"30,015",-,(D),175,825,-,640,(D),-,-,82,-,714,(D),(D),(D),116,674,744,(D),-,268,-,174,(D),-,155,(D),-,-,145,-,(D),(D),300,14,(D),(D),"1,100",(D),-,410,-,(D),16,-,-,38,(D),245,800,(D),910,-,-,-,277,(D),-,-,10,(D),152,26,-,9
"Turkeys                                                                              farms, 2022",254,-,1,11,-,2,4,-,9,-,1,7,-,-,2,-,2,-,5,3,-,4,5,19,-,-,-,1,-,-,9,-,-,-,3,-,-,3,-,-,2,-,-,2,6,8,10,-,9,-,2,-,16,-,10,-,3,2,1,1,-,2,-,-,-,6,2,2,-,2,3,1,2,-,-,6,-,-,1,1,4,3,-,-,-,2,2,7,-,14,-,-,4,-,-,2,2,8,-,3,2,2,-,2,1,5
2017,280,-,-,2,1,-,2,2,9,-,3,8,-,-,-,1,1,-,2,5,-,13,2,9,-,-,-,-,-,1,13,4,-,-,1,-,-,-,-,-,5,-,-,6,7,-,5,1,-,-,10,2,23,3,5,-,7,9,6,8,-,10,-,10,2,-,5,-,-,2,6,5,2,1,-,4,-,-,1,3,-,3,-,-,-,2,1,18,2,5,1,3,-,-,-,-,8,3,-,2,-,2,3,-,-,-
"number, 2022","370,554",-,(D),99,-,(D),27,-,39,-,(D),(D),-,-,(D),-,(D),-,10,(D),-,216,10,40,-,-,-,(D),-,-,78,-,-,-,51,-,-,17,-,-,(D),-,-,(D),23,105,76,-,60,-,(D),-,46,-,22,-,28,(D),(D),(D),-,(D),-,-,-,24,(D),(D),-,(D),14,(D),(D),-,-,165,-,-,(D),(D),17,57,-,-,-,(D),(D),25,-,59,-,-,(D),-,-,(D),(D),40,-,23,(D),(D),-,(D),(D),13
2017,"192,514",-,-,(D),(D),-,(D),(D),42,-,6,"165,763",-,-,-,(D),(D),-,(D),13,-,27,(D),39,-,-,-,-,-,(D),378,16,-,-,(D),-,-,-,-,-,(D),-,-,26,24,-,82,(D),-,-,37,(D),106,3,64,-,70,"5,130",29,33,-,30,-,31,(D),-,(D),-,-,(D),40,15,(D),(D),-,11,-,-,(D),18,-,10,-,-,-,(D),(D),75,(D),15,(D),54,-,-,-,-,102,12,-,(D),-,(D),90,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,488",6,19,37,-,8,19,7,75,2,7,16,5,5,11,3,17,-,34,24,3,18,8,61,-,6,16,5,7,9,48,12,3,10,3,11,-,22,-,13,21,-,4,31,37,11,24,6,24,5,30,-,51,4,23,9,31,10,16,2,7,70,11,37,17,14,3,19,3,5,34,6,8,5,8,26,12,2,29,6,9,14,3,6,3,11,3,44,3,31,5,3,12,10,1,8,52,11,3,17,2,3,4,2,4,13
2017,"1,270",13,16,2,8,9,13,7,81,-,2,16,8,-,6,17,12,2,9,26,8,19,4,30,2,2,20,6,4,7,57,8,7,3,-,4,1,9,-,4,22,2,2,19,42,5,36,5,11,2,21,2,73,7,28,-,24,21,28,11,1,70,3,19,11,6,6,8,-,7,25,12,6,1,-,25,7,1,33,8,6,18,1,5,5,11,2,51,2,26,1,4,4,2,2,3,22,6,1,8,-,15,4,10,2,7
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","2,606",5,34,35,3,8,38,22,109,2,18,33,8,7,14,8,31,2,40,59,3,30,11,115,5,17,24,10,21,11,65,13,6,12,4,16,-,26,1,7,47,6,1,42,76,15,81,16,24,12,55,-,121,8,39,14,50,43,24,10,7,136,19,37,18,2,25,42,1,13,62,7,15,7,17,60,10,5,67,6,13,27,2,9,4,32,11,67,11,76,6,10,17,3,-,6,64,27,6,37,4,8,4,18,13,18
2017,"2,384",17,37,25,8,17,38,15,138,3,27,43,11,3,9,17,15,-,32,46,9,23,13,87,8,6,18,11,7,8,79,11,9,5,3,8,1,14,2,12,69,2,4,43,80,13,56,6,15,2,46,4,122,12,44,3,38,62,42,25,2,119,9,36,15,6,15,21,1,11,39,7,13,5,13,35,11,6,75,8,11,33,5,5,8,21,2,92,7,49,8,14,14,3,1,4,18,11,2,31,5,17,4,7,9,33
"Layers sold                                                                        farms, 2022",455,-,4,19,-,2,4,8,11,-,1,5,-,2,6,2,5,-,9,15,1,10,1,7,-,1,2,-,4,1,11,5,1,3,-,-,-,3,-,-,18,6,-,16,5,2,14,9,-,1,4,-,26,1,3,-,2,9,1,3,-,20,4,2,-,2,9,9,-,4,15,-,3,2,-,22,-,-,21,2,1,7,-,2,-,5,1,3,4,14,1,2,2,-,-,-,5,5,-,11,2,2,-,1,-,9
2017,459,7,9,6,-,-,9,2,18,-,6,8,2,-,5,-,3,-,3,16,1,6,1,25,6,-,2,-,2,2,13,-,-,2,2,-,-,4,-,-,8,-,-,7,14,2,10,-,5,1,6,-,32,-,10,-,11,20,16,2,-,20,-,7,-,-,5,2,1,2,6,4,2,-,-,12,-,-,25,4,3,6,-,2,2,1,-,11,1,6,1,-,3,-,-,-,3,2,-,7,5,4,-,-,2,6
"number, 2022","1,222,564",-,(D),316,-,(D),56,210,425,-,(D),886,-,(D),374,(D),30,-,"20,070",554,(D),236,(D),109,-,(D),(D),-,32,(D),392,605,(D),12,-,-,-,33,-,-,(D),30,-,445,131,(D),102,435,-,(D),208,-,"1,743",(D),(D),-,(D),"46,053",(D),70,-,181,160,(D),-,(D),114,104,-,60,308,-,80,(D),-,(D),-,-,(D),(D),(D),294,-,(D),-,73,(D),60,56,601,(D),(D),(D),-,-,-,59,58,-,125,(D),(D),-,(D),-,139
2017,(D),61,248,146,-,-,45,(D),117,-,144,72,(D),-,(D),-,830,-,26,256,(D),196,(D),"1,493",60,-,(D),-,(D),(D),128,-,-,(D),(D),-,-,299,-,-,(D),-,-,148,253,(D),188,-,203,(D),112,-,"1,393",-,468,-,170,"30,470",400,(D),-,318,-,384,-,-,115,(D),(D),(D),165,416,(D),-,-,(D),-,-,"31,100",212,(D),116,-,(D),(D),(D),-,407,(D),"2,595",(D),-,258,-,-,-,"4,380",(D),-,336,10,124,-,-,(D),870
"Pullets for laying flock replacement sold                      farms, 2022",39,-,-,-,-,2,3,-,-,-,1,-,-,-,4,-,-,-,-,-,-,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,6,-,-,-,-,1,-,1,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
2017,52,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,1,-,-,-,2,-,2,-,-,2,-,-,-,-,-,8,-,-,2,-,-,-,-,4,-,-,-,-,-,-,3,-,-,2,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,3
"number, 2022",713,-,-,-,-,(D),54,-,-,-,(D),-,-,-,4,-,-,-,-,-,-,(D),-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,42,-,-,-,-,(D),-,(D),-,-,-,-,-,-,(D),-,-,(D),(D),-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-
2017,"3,612",-,-,-,-,-,-,-,-,-,-,(D),-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,94,-,-,-,(D),-,-,-,(D),-,(D),-,-,(D),-,-,-,-,-,50,-,-,(D),-,-,-,-,216,-,-,-,-,-,-,36,-,-,(D),-,-,-,-,-,94,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,21
"Broilers and other meat-type chickens sold                farms, 2022",252,-,9,-,-,2,1,6,5,-,1,-,-,-,1,-,-,-,7,3,-,8,-,9,3,-,2,-,-,-,4,2,-,-,-,2,-,-,-,2,7,-,-,6,13,2,12,5,2,5,6,-,14,-,5,2,8,2,6,-,1,9,2,1,-,-,-,-,-,5,11,1,2,-,-,9,6,-,10,1,1,2,-,-,-,1,-,4,-,3,1,-,1,1,-,-,1,2,2,5,2,-,3,2,1,-
2017,214,3,4,3,-,-,2,-,9,2,-,9,1,-,-,2,-,-,1,3,-,2,-,5,-,3,-,-,2,1,5,1,-,2,-,4,-,3,-,2,6,-,1,7,13,2,5,1,3,-,-,2,12,-,6,1,2,7,5,2,-,11,-,2,-,-,3,-,-,-,1,-,1,-,4,-,-,1,15,4,-,-,-,-,2,2,-,4,-,-,3,-,3,-,-,-,2,4,-,-,5,-,-,-,-,3
"number, 2022","33,822",-,"4,574",-,-,(D),(D),900,46,-,(D),-,-,-,(D),-,-,-,334,300,-,458,-,"1,276",300,-,(D),-,-,-,461,(D),-,-,-,(D),-,-,-,(D),910,-,-,"1,250","1,178",(D),"3,078",307,(D),125,122,-,"1,156",-,(D),(D),239,(D),309,-,(D),366,(D),(D),-,-,-,-,-,15,213,(D),(D),-,-,103,345,-,(D),(D),(D),(D),-,-,-,(D),-,50,-,(D),(D),-,(D),(D),-,-,(D),(D),(D),475,(D),-,240,(D),(D),-
2017,"22,153",(D),385,165,-,-,(D),-,339,(D),-,72,(D),-,-,(D),-,-,(D),90,-,(D),-,(D),-,600,-,-,(D),(D),150,(D),-,(D),-,32,-,71,-,(D),(D),-,(D),646,575,(D),840,(D),182,-,-,(D),524,-,"1,475",(D),(D),659,"1,675",(D),-,240,-,(D),-,-,45,-,-,-,(D),-,(D),-,120,-,-,(D),"5,328",24,-,-,-,-,(D),(D),-,200,-,-,(D),-,900,-,-,-,(D),140,-,-,10,-,-,-,-,30
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",249,-,9,-,-,2,1,6,5,-,1,-,-,-,1,-,-,-,7,3,-,8,-,9,3,-,2,-,-,-,4,2,-,-,-,2,-,-,-,2,7,-,-,6,13,2,12,5,2,5,6,-,14,-,5,2,8,2,6,-,1,9,2,1,-,-,-,-,-,5,11,-,2,-,-,9,6,-,9,1,1,2,-,-,-,1,-,4,-,3,1,-,-,1,-,-,1,2,2,5,2,-,3,2,1,-
"2,000 to 59,999.....................................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",74,-,1,5,-,2,-,-,1,-,-,5,-,-,-,-,-,-,-,3,-,2,-,5,-,-,-,-,-,-,6,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,7,-,1,-,-,-,6,-,6,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,1,1,-,-,-,-,-,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,2,1,-,-,-,-
2017,77,-,-,-,-,-,-,-,1,-,-,7,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-,2,-,8,-,1,-,5,4,5,1,-,2,-,6,-,-,1,-,-,-,2,1,-,1,-,3,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,2,-,-,-,2,-,-,-,-
"number, 2022","577,583",-,(D),58,-,(D),-,-,(D),-,-,"453,200",-,-,-,-,-,-,-,(D),-,(D),-,(D),-,-,-,-,-,-,30,(D),-,-,-,-,-,-,-,-,(D),-,-,-,(D),-,57,-,(D),-,-,-,67,-,37,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,150,-,-,(D),(D),-,-,-,-,-,-,-,-,-,35,-,-,(D),-,-,-,-,-,-,-,(D),(D),-,-,-,-
