Item,Pennsylvania,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,McKean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York
100 to 399.............................................................................,457,9,-,11,3,1,32,-,5,22,11,2,-,2,6,22,4,-,3,3,6,16,7,-,-,1,1,2,20,10,1,3,10,1,-,3,76,7,4,6,4,1,-,5,3,9,11,1,10,5,1,-,1,4,8,12,12,-,5,3,5,1,-,2,4,7,-,33
"400 to 3,199..........................................................................",140,2,1,-,-,1,4,1,-,5,2,-,-,-,-,7,-,-,-,2,2,1,5,-,-,1,2,-,12,-,-,-,-,-,3,1,47,-,7,-,-,6,-,1,-,-,4,-,-,15,-,-,-,-,1,-,-,-,-,-,1,-,-,2,2,-,-,2
"3,200 to 9,999.......................................................................",119,-,-,-,-,-,7,-,-,1,-,-,-,-,-,1,-,-,3,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,4,-,34,-,-,-,-,2,-,-,7,-,-,1,-,7,1,-,-,-,3,8,-,-,-,-,24,-,-,-,-,-,-,3
"10,000 to 19,999...................................................................",84,1,-,-,-,-,6,1,-,-,-,-,-,-,-,2,-,-,5,-,-,2,9,-,-,-,-,-,1,-,-,1,-,-,2,-,29,-,5,-,-,1,-,-,-,-,-,2,-,1,4,-,-,-,-,2,-,-,-,-,9,-,-,-,-,1,-,-
"20,000 to 49,999...................................................................",113,2,-,-,-,1,5,1,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,7,1,-,-,-,-,5,-,37,-,11,-,-,-,-,-,1,-,-,2,-,3,4,-,-,-,5,13,-,-,-,1,8,-,-,-,-,-,-,1
"50,000 to 99,999...................................................................",60,1,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,6,-,-,-,-,-,-,-,14,-,11,3,-,-,-,-,1,-,-,1,-,1,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,7
"100,000 or more....................................................................",36,1,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,-,-,-,-,1,-,13,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,163",22,10,25,12,23,54,16,20,45,18,10,-,13,21,49,16,20,8,18,59,23,8,5,3,16,18,4,32,7,4,9,22,11,16,4,141,7,30,3,6,9,10,15,7,2,10,3,9,6,13,-,-,10,29,29,25,-,9,12,12,11,7,37,8,25,-,37
2017,"1,150",18,7,27,25,21,32,2,18,29,20,14,-,3,16,54,13,12,4,9,26,19,13,3,5,22,16,3,21,5,5,11,30,6,19,5,129,7,48,14,8,13,6,32,22,9,12,1,19,4,20,2,9,11,17,28,27,4,25,5,14,9,16,34,13,30,4,25
"number, 2022","13,800,765",(D),(D),"1,146",278,886,"1,016,046",179,299,"3,071",370,160,-,206,"64,336","425,830",420,220,99,103,959,"165,551","317,219",15,330,253,603,32,"442,113",204,28,278,641,300,"778,681",107,"6,976,381",194,"1,772,687",18,98,"64,085",135,923,85,(D),181,(D),61,"106,783","218,497",-,-,540,"266,621","595,107","1,156",-,111,(D),"187,102",134,162,836,334,662,-,"146,845"
2017,"9,806,150","261,281","3,324",568,857,348,"842,470",(D),512,"1,533",604,366,-,38,"16,269","335,713",320,690,60,82,(D),"75,422","267,567",52,232,286,389,36,"587,666",39,46,117,582,144,"472,758",360,"4,283,439",110,"1,063,824",469,140,(D),170,"4,276",(D),95,554,(D),285,"66,000","283,402",(D),252,420,(D),"366,205","1,184",130,383,(D),"124,517",120,445,663,506,599,80,(D)
"Broilers and other meat-type chickens                         farms, 2022","1,595",32,2,7,17,20,79,16,35,34,15,16,-,5,16,36,22,15,17,11,33,47,17,3,6,9,12,1,23,11,6,23,32,11,54,9,297,8,78,4,11,36,5,27,18,4,23,10,8,27,33,-,3,4,30,56,32,3,9,15,50,10,16,21,15,3,3,44
2017,"1,626",11,12,22,22,13,86,14,33,32,24,13,1,6,25,26,10,4,13,17,43,55,19,-,11,24,13,-,36,3,4,12,16,5,49,12,256,21,79,13,14,32,7,33,23,4,22,14,5,35,32,-,6,4,37,66,50,1,9,12,63,12,12,9,12,18,-,39
"number, 2022","39,986,947","241,439",(D),135,"4,199",(D),"5,194,324","1,005","18,359","10,081","1,780",681,-,164,"1,377","250,525","1,091",199,"12,786","205,985","1,411","294,545","852,133",15,576,331,456,(D),"213,487",454,140,499,"4,981",211,"1,918,349",380,"10,386,827",385,"8,575,547",300,560,"11,207",102,"5,537","147,852","4,000","41,173","493,009",905,"1,073,305","842,208",-,"1,100",250,"2,161,966","2,874,575","1,543",30,769,843,"2,237,341",195,631,"6,459","1,272",107,(D),"1,620,715"
2017,"34,729,977",(D),136,"1,141",534,(D),"2,742,038",436,"1,732","2,893","1,706",349,(D),300,"124,509","297,852",65,125,349,"323,838","1,826","957,900","847,299",-,"3,431",571,955,-,"632,389",61,70,(D),"1,296",145,"1,702,244","24,351","11,268,322","10,000","4,837,896","2,135",576,"131,204",135,"2,364","156,944",64,"1,745","1,041,069",27,"761,763","740,716",-,275,99,"1,169,687","3,621,433","2,905",(D),160,"1,988","2,084,314",899,385,805,"1,562",601,-,"895,918"
"Turkeys                                                                              farms, 2022",942,42,6,10,16,20,31,4,21,29,22,5,-,2,19,56,7,5,3,8,32,15,14,-,4,15,15,2,30,8,9,26,14,1,11,1,91,5,9,4,12,5,8,11,12,2,24,2,7,9,20,-,3,9,10,32,18,-,7,10,17,6,7,27,8,10,10,44
2017,"1,029",42,9,10,10,29,31,-,27,18,10,10,-,5,10,46,11,11,6,15,27,19,8,-,7,19,23,2,32,7,2,15,12,4,11,2,98,8,36,5,10,2,11,45,22,1,26,4,8,15,29,2,2,10,16,26,29,2,9,4,11,6,11,25,15,10,8,33
"number, 2022","2,721,982","394,532",(D),86,198,192,"8,512",14,"6,114",(D),(D),30,-,(D),(D),"102,780",69,26,(D),(D),273,"84,557",(D),-,52,80,139,(D),"308,370","67,697",32,(D),496,(D),"119,181",(D),"235,758",102,"73,113",(D),688,(D),50,710,"147,292",(D),232,(D),100,(D),"121,236",-,25,87,(D),"177,194",613,-,41,64,"343,005",50,34,432,54,84,69,"153,985"
2017,"3,098,598","371,291","4,375",76,148,482,"6,125",-,335,(D),(D),191,-,38,(D),"67,372",281,140,68,(D),162,(D),(D),-,425,68,120,(D),"471,918",(D),(D),"59,172","1,752",10,(D),(D),"139,277",272,"80,168",(D),31,(D),60,843,"138,649",(D),295,"112,504",54,"193,303","435,572",(D),(D),50,(D),"165,444",163,(D),233,13,"43,132",54,57,188,107,138,370,"150,875"
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,828",68,32,40,36,44,107,28,57,67,73,23,2,11,43,114,28,19,14,30,94,73,58,8,12,56,25,7,77,31,20,36,56,20,25,8,240,37,42,29,37,43,26,62,24,12,50,17,20,39,22,2,6,21,36,75,50,-,25,51,45,7,17,109,25,70,20,127
2017,"2,707",56,34,62,44,68,84,21,72,70,52,43,7,22,58,73,24,37,12,42,62,69,40,1,14,51,47,7,66,33,19,24,59,11,35,11,202,19,67,26,33,22,20,56,32,15,48,11,32,32,43,2,8,19,21,54,59,21,27,28,30,9,31,79,49,67,9,106
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","7,072",155,45,80,65,112,302,67,128,179,125,49,2,20,107,240,83,50,39,72,141,157,127,3,13,98,85,9,242,48,35,62,132,38,109,24,"1,091",64,221,65,56,81,26,132,70,25,117,28,74,118,98,2,10,78,124,181,154,7,56,84,134,35,29,145,69,127,35,293
2017,"7,346",126,75,83,83,122,283,77,129,169,121,55,8,41,116,243,58,47,57,72,131,193,101,5,21,126,99,4,238,53,34,73,111,25,115,38,"1,126",63,238,57,51,83,25,158,105,18,102,50,87,114,137,2,23,55,106,189,141,36,92,74,149,37,55,170,82,110,37,242
"Layers sold                                                                        farms, 2022","1,509",31,7,12,1,20,83,22,23,34,28,3,-,2,32,47,7,7,10,12,27,48,24,-,-,27,27,2,44,14,4,24,13,7,21,4,258,15,45,5,12,10,7,30,21,2,10,6,25,35,15,2,3,16,28,38,40,-,10,14,44,4,4,39,6,27,7,64
2017,"1,768",32,11,19,20,28,91,23,29,38,23,15,3,14,34,49,10,9,25,16,27,61,18,4,5,31,15,2,78,15,9,25,18,5,11,11,306,21,47,14,3,20,2,32,33,2,17,10,21,28,39,-,12,13,28,47,29,4,22,13,34,9,8,49,6,21,3,51
"number, 2022","13,529,442","200,691",(D),446,(D),(D),"859,259","88,685",335,"4,944","1,622",58,-,(D),"10,844","56,461",487,72,"37,482",557,568,"534,655","345,622",-,-,344,"1,177",(D),"864,192",265,44,(D),"2,341",152,"183,627",66,"6,214,613",296,"1,198,421","150,006",356,(D),174,"1,161","79,847",(D),408,"168,419","1,291","176,399","255,869",(D),75,"1,890","369,511","548,070","3,295",-,130,(D),"453,085",101,64,"2,422",(D),"15,680",133,"561,122"
2017,"9,332,945","239,123",246,853,306,"29,060","804,575","80,660",405,"3,813",633,306,9,388,"1,078","56,123",332,172,"103,302",(D),(D),"182,539","328,564",164,83,989,446,(D),"1,266,711",649,669,(D),"12,333",193,"186,581","2,195","2,281,157",254,"815,530","1,796",60,(D),(D),"2,053","125,000",(D),(D),(D),"3,470","559,405","366,310",-,686,331,"443,136","398,418",623,200,"1,137",282,"574,899",106,93,"3,673",92,470,70,"118,041"
"Pullets for laying flock replacement sold                      farms, 2022",354,10,-,-,3,6,18,1,2,10,3,-,-,2,2,9,-,-,2,4,-,11,5,-,-,3,2,-,20,-,-,3,5,4,16,-,96,-,25,-,2,2,-,-,1,-,5,1,-,7,6,-,-,13,10,12,1,-,-,3,9,-,-,5,2,2,-,11
2017,346,8,-,1,-,-,19,-,-,1,6,6,-,-,7,14,2,-,2,-,6,8,10,2,2,-,4,-,15,2,-,-,8,1,10,-,81,-,25,-,-,4,-,4,5,4,-,-,6,4,14,-,3,-,9,15,2,-,8,-,8,2,3,-,3,6,-,6
"number, 2022","23,167,730","1,257,707",-,-,"1,650",70,"1,378,423",(D),(D),100,300,-,-,(D),(D),"806,201",-,-,(D),20,-,"244,187","961,000",-,-,82,(D),-,"666,482",-,-,150,42,44,"1,651,200",-,"9,244,670",-,"3,443,000",-,(D),(D),-,-,(D),-,216,(D),-,"345,000","699,000",-,-,"1,250","553,983","788,466",(D),-,-,(D),"310,812",-,-,70,(D),(D),-,(D)
2017,"17,918,701","395,334",-,(D),-,-,"1,301,206",-,-,(D),169,30,-,-,"16,162","628,572",(D),-,(D),-,68,"226,424","806,000",(D),(D),-,36,-,"633,000",(D),-,-,426,(D),"794,561",-,"6,883,450",-,"2,663,907",-,-,"134,914",-,94,(D),260,-,-,150,"132,000","666,454",-,180,-,"680,649","655,078",(D),-,140,-,"215,500",(D),90,-,(D),120,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022","1,493",22,4,4,14,38,105,10,30,22,13,9,-,3,33,34,10,6,3,21,14,35,22,-,2,12,4,-,17,6,-,21,11,2,59,8,338,4,91,3,8,20,-,21,9,4,20,10,3,32,31,-,-,12,41,54,27,2,3,18,53,7,1,17,15,7,1,47
2017,"1,568",12,-,15,14,18,88,8,30,25,16,5,1,2,24,37,10,4,4,21,31,40,24,2,6,28,6,2,31,6,4,3,14,2,47,20,290,18,83,19,12,26,2,34,8,4,16,17,15,35,39,-,7,15,37,60,27,3,8,12,69,9,17,21,17,16,-,32
"number, 2022","229,556,622","2,046,620",330,310,"4,120",(D),"30,432,551",652,"12,895",(D),"4,558","1,992",-,(D),"2,883","1,208,630","13,760",96,"1,512","1,354,145",569,"2,178,684","4,128,417",-,(D),395,430,-,"2,101,870",255,-,495,"1,035",(D),"9,761,678",374,"61,240,061",90,"48,764,569",500,565,"9,669",-,"4,735","1,250,602","4,000","40,907","3,164,496",250,"6,074,451","4,690,135",-,-,"2,450","13,917,016","14,493,516","13,904",(D),(D),"1,547","11,863,152",169,(D),"9,162","1,861",200,(D),"9,215,037"
2017,"183,894,324",(D),-,"5,690","1,120",(D),"16,661,358",149,"1,202",(D),"4,968",152,(D),(D),"632,420","1,664,133","3,320",72,125,"1,888,895","1,064","3,648,057","4,342,934",(D),"16,112",991,890,(D),"3,486,611",491,195,(D),"1,092",(D),"9,534,305","24,975","55,606,648","28,707","26,962,357","3,225",960,"1,022,992",(D),"7,312","867,507","2,400","1,263","6,229,052","2,388","4,458,739","4,144,794",-,340,"1,485","7,285,831","18,079,663","2,106",150,"3,772","1,646","10,415,342",880,"5,190","6,820","2,066","1,040",-,"4,924,806"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",873,16,4,4,14,36,50,10,27,21,12,9,-,3,33,29,8,6,3,17,14,25,13,-,2,12,4,-,9,6,-,21,11,2,22,8,117,4,18,3,8,17,-,20,4,4,18,4,3,14,18,-,-,12,13,12,24,2,3,18,11,7,1,16,15,7,-,29
"2,000 to 59,999.....................................................................",138,2,-,-,-,-,1,-,3,1,1,-,-,-,-,1,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,4,-,96,-,2,-,-,3,-,1,-,-,2,1,-,2,-,-,-,-,1,1,3,-,-,-,2,-,-,1,-,-,-,6
"60,000 to 99,999...................................................................",25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,1,-,-,-,-,-,2,-,12,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,2,-,-,-,-,-,1,-,-,-,-,-,7,-,19,-,15,-,-,-,-,-,1,-,-,-,-,2,3,-,-,-,2,12,-,-,-,-,16,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",198,1,-,-,-,1,21,-,-,-,-,-,-,-,-,3,-,-,-,1,-,7,-,-,-,-,-,-,4,-,-,-,-,-,19,-,60,-,19,-,-,-,-,-,4,-,-,2,-,7,6,-,-,-,10,17,-,-,-,-,15,-,-,-,-,-,-,1
"500,000 or more....................................................................",175,3,-,-,-,1,33,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,-,-,-,-,-,1,-,-,-,-,-,5,-,34,-,35,-,-,-,-,-,-,-,-,3,-,6,3,-,-,-,15,10,-,-,-,-,8,-,-,-,-,-,1,11
"Turkeys sold                                                                      farms, 2022",567,36,1,1,5,22,26,-,12,14,19,8,-,-,16,30,9,-,3,9,4,13,11,-,-,3,6,2,24,7,2,5,8,-,3,-,56,2,10,5,6,2,1,12,10,-,4,2,6,10,21,-,-,1,5,18,6,2,3,11,14,7,2,10,7,4,3,28
2017,629,40,8,-,5,10,37,4,14,9,5,3,-,-,10,18,9,4,-,17,7,7,10,2,4,14,8,2,30,5,2,4,7,1,8,4,52,7,18,5,-,2,3,17,13,-,19,3,8,17,22,-,-,6,4,12,13,5,4,-,6,6,9,16,12,11,6,25
"number, 2022","7,885,137","1,014,564",(D),(D),149,312,"8,542",-,(D),(D),(D),75,-,-,"38,158","299,902",649,-,(D),(D),8,"204,457",(D),-,-,11,43,(D),"768,321","137,136",(D),(D),440,-,"227,012",-,"645,160",(D),"189,600",(D),540,(D),(D),537,"316,227",-,64,(D),68,(D),"625,371",-,-,(D),(D),"547,389","1,758",(D),(D),134,"715,866",53,(D),173,82,"8,076",14,"529,799"
2017,"7,305,370","838,655","4,362",-,159,149,"26,167",21,150,(D),(D),28,-,-,"37,866","256,752",520,23,-,(D),25,"221,175",(D),(D),410,60,134,(D),"1,168,248",(D),(D),"211,006","1,410",(D),"221,824",(D),"357,608",240,"263,374",(D),-,(D),28,631,"314,450",-,338,"140,760",68,"220,697","690,309",-,-,52,(D),"356,590",539,49,248,-,"139,011",34,78,379,78,(D),318,"480,340"
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",991,35,3,5,7,12,34,17,21,23,18,9,-,-,6,36,6,5,1,5,33,47,27,-,2,12,4,4,26,9,2,13,9,7,13,3,191,4,17,3,8,12,5,20,12,4,18,4,6,18,5,-,-,6,13,34,8,2,6,5,35,3,1,32,13,9,-,43
2017,942,19,4,5,8,24,35,15,8,19,11,18,-,7,13,23,8,18,4,10,19,32,22,2,-,11,5,2,20,5,9,8,24,2,10,5,166,6,26,15,1,4,3,16,11,3,6,7,9,10,20,-,3,-,14,44,12,5,10,1,26,3,9,15,24,12,1,35
