Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,Cocke,Coffee,Crockett,Cumberland,Davidson,Decatur,DeKalb,Dickson,Dyer,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,Lake,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,McMinn,McNairy,Macon,Madison,Marion,Marshall,Maury,Meigs,Monroe,Montgomery,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,Putnam,Rhea,Roane,Robertson,Rutherford,Scott,Sequatchie,Sevier,Shelby,Smith,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,Union,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson
100 to 399.............................................................................,180,4,1,3,1,6,6,-,-,-,-,5,-,-,1,2,6,-,1,3,2,1,1,2,2,-,-,-,3,4,3,1,1,1,-,-,3,3,-,2,1,2,3,-,5,5,-,7,-,-,4,4,1,-,6,2,-,3,1,5,2,-,2,2,-,1,1,4,-,1,-,-,2,5,4,6,-,-,1,1,1,-,-,6,1,-,-,1,4,4,3,-,1,2,2,6
"400 to 3,199..........................................................................",22,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"3,200 to 9,999.......................................................................",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"10,000 to 19,999...................................................................",35,-,-,-,3,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-
"20,000 to 49,999...................................................................",56,-,1,-,8,-,5,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,7,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,14,4,-,-,-
"50,000 to 99,999...................................................................",2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,405",4,19,12,14,20,16,7,15,11,6,9,9,20,2,11,13,4,41,10,17,10,30,-,22,11,7,4,35,26,37,5,7,19,5,6,12,31,4,10,20,22,10,15,20,17,8,20,-,5,34,8,20,29,23,14,7,12,8,25,43,6,15,24,7,17,4,32,8,-,8,23,8,12,18,29,4,4,4,13,16,15,24,19,6,6,3,16,12,18,32,11,3,14,29,44
2017,"1,457",34,21,2,17,38,11,5,14,10,9,8,10,14,6,31,16,1,27,10,21,9,21,-,9,5,17,17,28,13,42,12,15,32,5,12,10,32,1,23,15,20,3,22,25,15,16,11,-,3,29,21,21,13,21,13,25,-,2,18,39,2,14,26,4,8,4,10,20,-,6,19,6,26,23,45,9,7,16,14,22,18,23,29,6,4,2,11,2,12,21,15,11,23,19,40
"number, 2022","1,724,806",60,"1,782",172,"147,366",280,"136,350",44,184,256,58,122,137,405,(D),119,450,44,645,271,412,146,449,-,224,123,106,(D),"327,153",342,516,290,139,(D),84,144,166,630,47,(D),474,251,425,355,339,254,70,356,-,47,"299,949",170,646,604,269,355,(D),414,155,(D),405,292,398,"1,781","127,177",(D),"144,010",(D),131,-,(D),549,188,156,(D),233,"52,006",(D),51,185,185,280,244,(D),81,277,36,161,675,"23,351",589,(D),42,147,472,811
2017,"1,265,181",695,"94,669",(D),"129,004",638,"108,133",162,122,372,107,261,128,170,106,341,410,(D),"1,275",358,329,134,363,-,110,129,282,141,"93,819",109,566,440,318,(D),44,227,256,437,(D),248,275,547,44,427,401,331,242,481,-,11,"268,701",494,255,82,218,253,"91,253",-,(D),"46,160",555,(D),203,"2,198",(D),(D),(D),(D),748,-,(D),294,122,277,(D),989,84,156,231,136,271,322,792,(D),194,46,(D),184,(D),447,446,(D),934,367,305,733
"Broilers and other meat-type chickens                         farms, 2022","1,150",9,26,9,9,20,42,6,18,9,14,4,12,11,17,17,12,8,20,12,3,14,26,1,6,18,15,1,15,6,42,7,14,14,1,12,7,32,-,8,22,10,4,10,9,6,4,27,-,-,19,12,20,6,15,3,14,-,20,13,16,5,16,7,2,8,10,10,-,7,21,19,1,3,12,24,6,4,11,-,6,18,19,23,3,12,3,7,11,12,18,6,24,11,22,42
2017,"1,182",7,48,1,11,23,36,-,14,9,6,10,8,3,20,22,16,-,20,7,1,4,10,6,13,13,19,7,18,17,37,9,3,21,2,9,7,21,-,1,11,4,9,12,13,19,7,7,-,-,24,7,17,7,10,4,24,10,12,23,37,1,5,14,5,14,10,16,19,9,23,19,13,19,9,41,2,5,7,12,27,10,17,17,11,4,1,-,7,15,18,11,22,19,8,16
"number, 2022","35,712,972",171,"3,969,134",173,737,"1,828","4,534,305",113,526,"242,157",511,88,229,296,"1,466,461","1,085,096",(D),346,772,396,52,160,703,(D),95,"1,107,487","1,949,280",(D),514,263,"581,588","625,540",(D),"957,808",(D),217,220,"370,844",-,309,"440,842",284,115,173,(D),(D),38,"2,519",-,-,787,461,"3,673,394",44,"1,916,202",(D),"714,323",-,"918,298","2,390,168","3,660",650,"47,319",95,(D),"270,072","1,123,046",402,-,"593,000","2,361,445",336,(D),435,239,"2,413",74,155,291,-,(D),"1,250",225,372,56,137,80,276,262,(D),899,534,"2,673,009",189,"1,056","1,504"
2017,"30,527,836",74,"5,494,471",(D),255,656,"4,148,659",-,394,338,"6,122",416,80,41,"3,219,869","975,378",(D),-,310,"1,512",(D),43,333,55,152,"873,558","572,857",(D),"1,077",966,"916,620","625,159",(D),"1,032,280",(D),272,920,(D),-,(D),456,(D),622,170,242,(D),45,62,-,-,"3,215",194,"2,899,107",129,"581,630",(D),"340,281","3,023","545,287",(D),"5,272",(D),55,452,(D),(D),"698,025",359,151,"745,600","1,635,514",167,328,252,85,"1,636",(D),148,68,142,(D),495,267,"1,514",198,(D),(D),-,107,"1,249,850",(D),345,"1,470,907",640,"1,216",213
"Turkeys                                                                              farms, 2022",683,14,12,4,12,12,4,2,11,5,9,3,7,16,5,10,12,2,12,2,8,3,14,-,9,1,7,-,11,6,35,8,4,5,3,2,8,16,-,1,3,3,-,-,6,5,-,23,-,7,12,4,8,6,18,6,5,2,11,18,24,9,14,14,-,5,1,10,4,-,1,6,4,15,10,10,-,3,3,11,3,-,8,9,5,-,-,2,9,6,19,2,7,12,13,12
2017,662,16,14,-,4,15,9,-,4,7,10,5,5,7,3,17,7,-,14,3,4,2,14,2,2,5,2,7,6,2,14,5,7,11,-,11,3,38,2,3,14,7,-,10,11,13,-,2,-,-,7,5,18,15,-,2,17,-,2,7,15,3,6,26,-,10,3,8,11,-,1,2,4,6,4,11,1,5,3,4,8,4,17,14,6,2,1,3,10,2,22,2,13,5,10,10
"number, 2022","5,103",108,63,18,52,69,40,(D),70,12,60,8,62,128,38,51,54,(D),67,(D),79,31,70,-,52,(D),101,-,76,35,162,54,15,35,57,(D),40,199,-,(D),11,12,-,-,61,29,-,150,-,13,51,6,45,8,177,76,23,(D),35,171,266,161,119,74,-,32,(D),56,42,-,(D),89,93,151,74,25,-,60,14,153,9,-,58,46,61,-,-,(D),153,21,137,(D),21,66,60,85
2017,"4,532",118,94,-,40,66,46,-,12,21,139,12,24,34,34,153,43,-,43,15,24,(D),90,(D),(D),15,(D),9,89,(D),59,24,39,82,-,86,37,207,(D),7,167,8,-,16,127,22,-,(D),-,-,34,19,104,46,-,(D),95,-,(D),56,229,30,42,109,-,233,(D),200,71,-,(D),(D),114,12,27,86,(D),14,14,21,74,11,49,205,26,(D),(D),12,42,(D),107,(D),64,26,38,106
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","3,200",32,54,19,36,54,48,18,27,27,23,19,13,44,11,30,39,14,63,23,23,21,46,6,52,19,24,19,59,26,106,31,17,53,10,31,23,65,5,27,30,44,20,40,42,29,19,60,-,11,95,21,73,58,67,28,22,20,18,69,83,14,38,44,19,22,2,37,13,2,21,37,24,40,57,63,12,4,32,37,31,13,47,48,16,19,7,22,28,38,57,56,18,46,55,75
2017,"3,002",49,57,6,27,53,62,6,29,25,20,27,11,47,9,33,40,11,48,19,18,16,71,11,24,28,12,38,43,26,63,17,30,55,9,18,20,65,3,23,38,46,16,54,34,46,29,65,-,4,56,26,42,17,38,49,43,21,12,40,64,9,20,55,8,31,20,30,16,3,18,42,17,60,28,77,4,15,25,23,35,20,41,66,26,13,2,11,25,44,61,41,42,43,51,71
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","5,653",46,95,71,54,121,97,32,65,43,34,52,30,59,32,50,60,15,105,52,29,34,121,17,62,53,56,24,95,54,154,39,31,78,25,40,35,118,7,38,65,80,23,57,51,69,34,94,-,13,130,39,100,77,111,36,40,34,40,87,158,19,61,67,30,42,24,77,30,19,45,85,51,80,96,161,21,23,41,52,45,30,92,113,29,23,14,47,50,83,104,50,48,59,107,174
2017,"5,706",79,121,24,67,125,120,24,67,41,29,44,15,62,46,68,80,16,85,45,34,48,113,14,41,41,48,62,90,52,138,29,53,90,21,44,37,116,9,32,43,77,32,102,49,72,57,102,-,9,134,39,108,44,79,51,80,26,56,76,133,22,57,95,20,72,37,56,18,13,51,89,40,104,75,162,29,25,40,54,53,37,68,116,32,22,9,36,34,72,113,67,79,59,91,120
"Layers sold                                                                        farms, 2022","1,254",7,10,17,26,16,19,4,13,13,12,10,8,12,4,6,19,-,17,15,15,9,25,2,6,10,6,6,25,10,36,9,4,23,5,12,4,15,1,6,19,12,4,11,7,10,4,24,-,1,43,2,19,10,20,5,10,12,6,22,29,6,12,8,8,10,1,18,14,6,5,32,11,25,40,40,2,2,14,5,3,6,25,21,2,5,5,7,26,20,23,28,13,16,25,43
2017,"1,504",19,28,8,19,29,25,6,25,6,17,9,-,19,13,19,27,-,25,13,4,15,33,3,12,17,7,25,28,16,30,15,14,26,1,15,9,37,2,4,19,14,4,23,6,8,18,27,-,7,45,9,32,10,6,8,15,7,6,21,35,6,20,19,5,15,9,21,5,1,9,15,9,32,22,29,2,3,10,15,15,11,21,17,10,4,1,11,13,27,42,34,21,26,21,43
"number, 2022","2,558,152",105,(D),349,"520,422",434,"163,600",33,"18,117","111,817",181,468,304,(D),(D),434,418,-,581,483,238,285,466,(D),154,910,(D),"9,050","152,447",538,"1,607",(D),(D),(D),39,898,357,"1,648",(D),80,"44,563",122,304,291,729,444,(D),"1,271",-,(D),"384,793",(D),(D),89,"1,209",(D),(D),182,(D),889,539,202,115,150,(D),(D),(D),352,214,108,"40,024","1,681",(D),364,823,"1,136",(D),(D),769,45,32,131,"1,149",700,(D),51,66,131,"21,475","16,210",200,"477,741","121,736",639,321,941
2017,"2,011,797",858,(D),445,"385,314",430,"186,578",108,(D),199,308,558,-,478,"56,913",415,"3,474",-,"1,425","2,978",32,207,798,38,259,(D),(D),522,"96,635",319,"1,470",(D),305,(D),(D),"1,047","6,355","3,752",(D),67,"34,402",665,53,225,102,321,"4,646",665,-,100,"188,655",61,(D),143,(D),150,"98,421",349,282,360,390,70,195,(D),18,(D),"55,462",896,184,(D),351,232,"96,278",781,232,960,(D),47,337,(D),261,"2,103","1,592",862,"2,157",8,(D),368,"29,353",376,"3,385","393,206","79,324",614,"2,742","6,903"
"Pullets for laying flock replacement sold                      farms, 2022",222,1,1,7,5,-,5,-,2,1,-,-,-,1,-,-,1,-,-,1,1,3,5,-,2,-,-,2,15,8,6,-,-,1,-,1,-,1,-,-,4,-,-,8,2,1,2,-,-,-,16,-,6,5,5,2,3,3,4,1,3,3,1,5,6,6,3,2,1,-,2,5,1,3,3,8,-,-,2,-,2,2,2,2,-,-,3,-,6,6,5,4,-,-,4,-
2017,215,-,5,1,7,2,3,-,2,-,3,-,-,-,-,5,3,-,-,1,4,2,4,-,5,-,2,6,10,4,2,3,2,4,-,3,1,5,-,1,2,4,-,2,1,-,6,2,-,-,9,-,3,2,-,-,5,-,-,4,9,2,-,-,5,10,3,6,-,-,2,2,-,1,2,-,-,-,3,1,-,3,6,1,1,-,-,-,1,7,5,4,-,3,-,8
"number, 2022","3,169,112",(D),(D),72,"336,700",-,"268,450",-,(D),(D),-,-,-,(D),-,-,(D),-,-,(D),(D),46,70,-,(D),-,-,(D),"718,317",162,48,-,-,(D),-,(D),-,(D),-,-,106,-,-,231,(D),(D),(D),-,-,-,"490,655",-,140,192,130,(D),(D),29,42,(D),40,255,(D),"4,087","270,830",(D),"216,000",(D),(D),-,(D),70,(D),52,(D),125,-,-,(D),-,(D),(D),(D),(D),-,-,60,-,"1,165","61,533",50,(D),-,-,218,-
2017,"2,597,768",-,"211,060",(D),"406,074",(D),"216,000",-,(D),-,(D),-,-,-,-,35,"1,202",-,-,(D),8,(D),147,-,288,-,(D),40,"212,455",104,(D),(D),(D),(D),-,30,(D),(D),-,(D),(D),177,-,(D),(D),-,120,(D),-,-,"434,000",-,12,(D),-,-,"270,160",-,-,"85,430","1,042",(D),-,-,(D),(D),(D),(D),-,-,(D),(D),-,(D),(D),-,-,-,100,(D),-,186,250,(D),(D),-,-,-,(D),(D),190,(D),-,74,-,596
"Broilers and other meat-type chickens sold                farms, 2022",664,1,21,8,5,9,38,1,15,5,7,5,-,12,16,8,6,-,9,7,2,3,9,-,2,13,9,3,5,3,19,7,5,6,3,3,2,12,-,2,18,2,-,-,2,6,-,16,-,-,3,5,10,1,14,4,16,4,16,13,23,4,4,3,1,6,9,7,-,7,22,9,2,8,4,18,3,3,3,8,4,5,5,8,-,2,3,8,15,2,3,2,21,5,8,18
2017,713,22,34,-,6,7,40,-,2,2,5,4,-,1,22,20,12,-,8,14,1,1,10,3,4,10,13,11,5,14,25,5,3,17,2,1,3,12,-,4,5,3,7,11,6,5,2,8,-,-,13,2,11,1,8,2,17,3,8,3,16,1,1,-,3,7,11,-,3,9,26,5,6,5,8,13,-,-,9,6,11,7,6,10,2,5,-,-,7,12,11,7,22,16,5,5
"number, 2022","189,393,169",(D),"20,869,909",17,(D),"1,013","25,483,204",(D),470,"1,202,012",70,(D),-,524,"6,943,212","6,076,500",(D),-,"1,012",275,(D),660,183,-,(D),"5,736,096","9,130,052",(D),(D),75,"3,024,471","3,477,881",(D),"4,785,330",22,(D),(D),"1,850,930",-,(D),"4,120,660",(D),-,-,(D),(D),-,"1,285",-,-,(D),166,"18,859,135",(D),"10,772,100","1,040","2,602,610",200,"5,458,466","13,091,330","3,565",475,"230,920",(D),(D),"1,350,046","5,903,990",267,-,"2,549,000","13,414,675",513,(D),"1,811","1,112","1,248",90,104,"2,100",634,(D),586,(D),67,-,(D),60,158,"2,220",(D),20,(D),"12,743,413",674,"1,585",(D)
2017,"169,503,820",715,"27,657,816",-,820,380,"24,424,884",-,(D),(D),"6,104",365,-,(D),"15,738,105","6,554,171",(D),-,156,"3,205",(D),(D),272,7,170,"4,626,794","4,318,096","15,126",(D),430,"4,907,255","3,476,250",(D),"4,685,304",(D),(D),148,(D),-,"9,005",348,96,620,115,201,(D),(D),310,-,-,"9,355",(D),"17,157,258",(D),"7,834,060",(D),"2,380,158",15,"2,914,277",(D),"3,301",(D),(D),-,(D),(D),"4,327,702",-,20,"3,228,000","8,486,765",45,120,271,"1,569",776,-,-,238,(D),(D),186,480,"2,650",(D),33,-,-,328,"6,247,454",(D),270,"7,607,797",462,"1,905",240
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",443,1,5,8,4,9,1,1,15,2,7,4,-,12,4,-,5,-,9,7,2,3,9,-,2,1,1,2,3,3,12,3,3,2,3,3,2,9,-,1,14,2,-,-,1,5,-,16,-,-,3,5,4,1,5,4,10,4,5,9,22,4,2,3,-,3,-,7,-,-,6,9,2,8,4,18,3,3,3,8,3,5,5,8,-,2,3,8,15,1,3,2,7,5,8,17
"2,000 to 59,999.....................................................................",10,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",12,-,-,-,-,-,2,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",70,-,6,-,-,-,12,-,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,-,6,6,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,4,-,9,-,-,-,-,-,-,2,2,-,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",129,-,10,-,-,-,23,-,-,2,-,-,-,-,4,6,1,-,-,-,-,-,-,-,-,4,2,1,1,-,4,3,1,4,-,-,-,3,-,-,4,-,-,-,1,-,-,-,-,-,-,-,6,-,7,-,2,-,2,4,-,-,-,-,-,1,7,-,-,1,9,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,14,-,-,-
"Turkeys sold                                                                      farms, 2022",221,5,6,-,3,5,1,3,6,-,1,1,5,5,-,2,1,-,6,-,-,2,-,1,1,1,-,-,3,1,6,3,-,3,4,-,2,1,-,2,2,2,-,2,2,1,-,6,-,-,1,-,2,-,3,2,3,1,3,9,6,6,6,5,-,3,-,6,4,-,1,5,1,4,2,3,-,1,-,7,1,-,6,7,-,1,-,2,10,1,1,1,-,7,-,5
2017,156,8,3,-,1,4,-,-,2,-,4,1,2,-,2,1,6,-,3,-,-,-,3,-,1,-,2,8,2,1,1,1,-,5,-,2,1,7,-,1,11,2,-,-,3,6,-,1,-,-,2,-,6,-,-,-,-,-,-,3,4,1,-,2,-,-,1,2,2,-,3,-,-,3,3,2,-,-,-,-,4,-,6,1,-,-,-,-,2,3,-,-,4,3,-,4
"number, 2022","5,236",66,112,-,36,204,(D),15,126,-,(D),(D),11,49,-,(D),(D),-,108,-,-,(D),-,(D),(D),(D),-,-,(D),(D),376,(D),-,17,8,-,(D),(D),-,(D),(D),(D),-,(D),(D),(D),-,42,-,-,(D),-,(D),-,12,(D),64,(D),9,118,(D),133,51,18,-,129,-,28,30,-,(D),12,(D),(D),(D),115,-,(D),-,114,(D),-,54,45,-,(D),-,(D),433,(D),(D),(D),-,347,-,109
2017,"3,915",42,(D),-,(D),20,-,-,(D),-,94,(D),(D),-,(D),(D),97,-,8,-,-,-,6,-,(D),-,(D),610,(D),(D),(D),(D),-,46,-,(D),(D),129,-,(D),76,(D),-,-,60,6,-,(D),-,-,(D),-,40,-,-,-,-,-,-,18,(D),(D),-,(D),-,-,(D),(D),(D),-,11,-,-,3,126,(D),-,-,-,-,420,-,108,(D),-,-,-,-,(D),120,-,-,(D),31,-,40
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",848,14,13,9,19,17,10,5,9,9,11,3,6,7,4,3,10,1,21,6,12,9,4,-,4,4,7,4,13,8,18,5,1,12,1,5,4,12,1,8,15,9,5,3,6,12,2,17,-,-,42,10,11,8,19,5,7,1,4,23,21,3,7,16,5,6,2,6,5,4,6,9,6,14,10,12,4,2,7,10,6,4,14,14,6,1,2,2,17,13,13,34,9,6,14,30
