Item,Michigan,Alcona,Alger,Allegan,Alpena,Antrim,Arenac,Baraga,Barry,Bay,Benzie,Berrien,Branch,Calhoun,Cass,Charlevoix,Cheboygan,Chippewa,Clare,Clinton,Crawford,Delta,Dickinson,Eaton,Emmet,Genesee,Gladwin,Gogebic,Grand Traverse,Gratiot,Hillsdale,Houghton,Huron,Ingham,Ionia,Iosco,Iron,Isabella,Jackson,Kalamazoo,Kalkaska,Kent,Keweenaw,Lake,Lapeer,Leelanau,Lenawee,Livingston,Luce,Mackinac,Macomb,Manistee,Marquette,Mason,Mecosta,Menominee,Midland,Missaukee,Monroe,Montcalm,Montmorency,Muskegon,Newaygo,Oakland,Oceana,Ogemaw,Ontonagon,Osceola,Oscoda,Otsego,Ottawa,Presque Isle,Roscommon,Saginaw,St. Clair,St. Joseph,Sanilac,Schoolcraft,Shiawassee,Tuscola,Van Buren,Washtenaw,Wayne,Wexford
100 to 399.............................................................................,290,1,-,6,3,3,-,1,2,-,-,4,3,5,4,5,6,3,3,8,-,1,-,1,1,6,1,-,4,1,8,4,2,16,3,-,-,-,10,3,2,5,-,6,4,2,3,6,-,-,8,9,3,-,16,1,3,4,10,2,2,4,10,4,5,-,-,2,-,2,7,3,-,2,2,6,5,-,-,1,8,25,-,-
"400 to 3,199..........................................................................",45,-,1,-,1,-,-,-,-,-,-,-,-,5,-,-,-,-,1,1,-,-,-,-,5,-,-,-,-,-,-,-,-,2,-,-,-,1,3,-,-,-,-,-,-,-,2,-,-,-,-,3,4,-,1,-,-,-,2,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,-,2,1,-,-
"3,200 to 9,999.......................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",7,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,097",5,3,16,6,9,-,3,20,-,12,13,19,14,17,13,7,11,8,27,2,4,3,26,14,35,21,1,5,7,29,2,4,24,17,3,-,9,21,13,8,22,-,2,42,9,18,21,5,3,13,12,19,10,24,6,28,5,18,13,3,5,29,30,15,4,-,16,2,5,20,7,-,16,39,25,15,1,18,30,11,70,1,14
2017,"1,159",6,11,40,7,3,8,5,29,3,-,16,46,24,13,15,26,17,12,13,5,11,5,22,12,25,14,4,9,6,7,13,8,32,15,2,6,5,24,16,8,16,-,1,18,10,24,28,8,-,13,15,7,7,35,16,11,16,15,15,-,21,12,23,22,11,4,6,4,4,14,4,-,15,17,37,28,-,21,28,24,48,6,12
"number, 2022","4,829,282",90,16,"1,600,737",145,209,-,70,188,-,166,153,455,151,580,263,210,244,145,"1,364",(D),82,90,296,724,617,597,(D),44,(D),451,(D),(D),"3,411",(D),75,-,128,971,152,120,334,-,(D),671,197,(D),360,97,30,820,273,287,184,"4,627",148,739,30,456,242,45,97,482,486,162,104,-,391,(D),730,(D),160,-,316,880,523,487,(D),340,(D),722,"1,283",(D),134
2017,"4,933,440",221,133,"1,996,933",56,15,66,490,443,27,-,310,"1,164",499,"3,935",362,393,334,168,173,58,233,150,918,"1,542",780,596,36,390,(D),90,120,(D),637,(D),(D),48,102,"2,159",352,81,568,-,(D),365,198,"1,059",493,160,-,374,668,74,170,"8,935",476,320,"3,727",519,296,-,410,130,404,282,726,25,97,100,56,(D),43,-,315,294,731,602,-,522,(D),"2,229",684,212,214
"Broilers and other meat-type chickens                         farms, 2022","1,566",10,1,32,19,12,1,4,26,15,9,7,28,24,22,10,14,28,12,42,2,12,7,34,27,33,26,-,12,13,13,7,16,35,26,2,6,13,30,18,5,46,-,8,55,29,19,20,9,-,23,8,18,8,38,3,26,8,27,46,8,15,34,23,7,16,-,8,8,11,13,22,1,15,50,45,47,-,28,58,18,55,14,26
2017,"1,515",8,4,43,19,8,9,3,23,8,8,15,25,21,23,15,19,21,19,17,8,7,4,18,20,31,32,1,8,4,23,2,25,34,16,1,6,16,21,15,29,28,-,1,34,3,26,45,9,2,2,16,9,16,34,7,7,27,33,23,8,23,43,16,22,8,2,11,13,4,27,14,-,20,58,69,38,2,46,28,37,46,15,14
"number, 2022","2,277,900",286,(D),(D),"1,935",462,(D),123,"1,214",568,525,(D),"572,653","1,748",843,304,"1,432","2,550",268,"3,977",(D),149,488,843,"2,563","1,418",789,-,745,703,"1,740",166,612,"1,797","1,741",(D),76,434,"1,366",539,170,"2,973",-,324,"3,977","1,900",619,990,402,-,"2,216",310,"1,400",99,"4,437",300,714,700,772,"1,925",295,357,"2,872","1,087",210,642,-,"3,718",332,"3,474",(D),875,(D),"5,358","1,412","1,031,943","3,099",-,"1,134","2,426",375,"2,768",298,"1,134"
2017,"1,609,545",110,"1,560","262,252","1,604",466,314,125,"1,298",830,204,401,(D),796,"19,502",739,412,617,567,634,114,365,90,"1,929","1,785","4,349","1,201",(D),249,"2,450",556,(D),"1,719","2,088",405,(D),57,576,393,"1,171","1,308",479,-,(D),"5,053",42,"1,317","1,738",636,(D),(D),655,724,610,"7,314",317,120,"1,223","1,880",772,105,"1,494","1,871",329,486,102,(D),216,846,160,(D),627,-,338,(D),"972,127","3,327",(D),"3,672",851,"1,150","4,783",660,189
"Turkeys                                                                              farms, 2022",896,9,2,14,3,1,3,1,29,12,14,2,9,22,3,4,9,17,4,29,1,1,1,16,15,32,19,-,6,11,13,3,13,13,19,2,1,8,14,4,10,22,-,3,36,7,6,25,1,-,10,1,10,9,16,3,8,16,38,14,-,3,19,30,9,3,-,1,2,2,13,-,2,11,27,10,22,-,10,39,2,45,14,18
2017,"1,036",5,5,26,8,1,6,3,15,11,-,9,28,28,17,8,11,16,8,13,8,-,2,24,2,20,12,-,2,1,14,5,9,25,10,3,1,2,23,10,9,22,-,4,37,12,13,23,-,8,5,7,7,13,8,12,6,14,29,29,-,23,15,9,10,6,2,7,6,4,19,11,-,27,36,18,33,2,34,37,30,38,11,9
"number, 2022","1,975,551",141,(D),"325,031",14,(D),23,(D),(D),12,95,(D),134,123,279,36,33,166,66,423,(D),(D),(D),91,47,513,161,-,16,"54,027",99,14,71,369,97,(D),(D),(D),253,34,128,"105,208",-,11,609,36,89,272,(D),-,148,(D),179,(D),715,9,27,454,260,67,-,18,258,387,(D),9,-,(D),(D),(D),"1,316,963",-,(D),336,191,146,495,-,105,406,(D),660,(D),208
2017,"2,279,108",42,35,"312,229",65,(D),24,300,(D),117,-,62,166,143,419,46,92,74,26,48,14,-,(D),186,(D),417,82,-,(D),(D),126,39,81,552,57,53,(D),(D),127,122,34,"67,772",-,32,273,379,98,414,-,28,25,37,143,468,704,983,80,154,308,233,-,287,162,174,(D),38,(D),375,37,13,"1,641,912",208,-,214,265,167,"1,012",(D),482,486,208,"1,144",(D),141
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,812",17,10,77,10,24,11,4,72,17,10,40,27,35,27,16,26,31,9,94,2,12,9,65,24,93,30,2,41,13,66,16,35,77,57,14,5,26,74,24,13,78,-,22,107,36,47,40,5,6,31,26,33,27,37,17,40,22,93,32,3,18,71,35,42,8,8,20,7,17,49,12,4,47,77,43,25,11,36,74,54,153,12,32
2017,"2,320",4,24,64,11,14,2,6,49,12,16,31,37,48,40,11,29,26,25,29,16,20,9,63,14,48,33,7,22,10,30,22,19,66,29,17,18,29,51,31,16,48,-,3,72,21,46,57,6,2,24,22,14,25,11,20,33,31,47,39,10,51,54,32,39,15,7,15,11,13,47,6,3,27,72,30,30,5,39,53,65,81,29,17
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","5,793",16,11,139,45,55,12,15,147,18,30,66,77,114,47,32,23,61,32,148,5,28,15,115,83,168,60,16,85,53,126,38,41,130,113,36,21,54,157,77,27,138,-,33,178,77,102,117,21,9,76,48,66,56,104,16,73,42,128,109,15,46,122,128,50,28,6,68,28,33,107,37,3,104,171,107,136,8,80,137,100,243,49,58
2017,"5,300",13,44,121,42,39,24,11,117,38,38,69,92,102,57,43,73,62,57,107,14,42,15,80,56,95,65,19,43,25,70,41,57,154,80,14,16,65,137,79,45,132,-,24,130,54,97,135,23,12,45,45,38,59,118,46,70,45,78,86,26,99,101,73,49,28,9,57,31,27,92,32,14,70,149,144,107,6,108,101,108,187,50,34
"Layers sold                                                                        farms, 2022","1,168",-,-,14,1,8,-,8,24,2,4,23,17,39,2,8,8,7,12,12,1,3,2,27,15,26,23,7,14,7,24,12,7,41,6,11,7,7,31,8,12,29,-,7,33,15,23,16,4,-,24,5,6,10,18,2,20,3,11,18,-,3,36,40,9,6,2,20,8,18,27,1,-,24,40,28,32,1,13,28,25,67,15,1
2017,"1,235",2,9,37,8,11,2,5,33,2,8,17,15,34,9,16,6,11,15,39,2,19,6,29,6,17,10,3,14,3,17,3,7,51,8,3,-,28,35,15,13,41,-,9,33,15,23,30,3,-,11,8,7,11,22,5,23,5,31,30,-,19,16,22,12,9,4,18,1,5,34,4,2,8,22,42,25,-,11,16,24,51,7,8
"number, 2022","5,974,805",-,-,"3,161,047",(D),"3,300",-,(D),280,(D),66,836,"2,194","3,787",(D),817,231,148,278,219,(D),18,(D),"1,217","1,620","4,897",357,35,"1,210",136,818,164,(D),"5,311",(D),168,101,63,"2,315",139,210,378,-,94,632,464,"1,802","2,438",283,-,"1,237",80,"1,786",170,867,(D),593,46,118,"4,157",-,"17,545",765,865,195,224,(D),257,42,800,(D),(D),-,623,"3,171","40,750","3,145",(D),115,477,"2,356","9,866",97,(D)
2017,"5,036,819",(D),84,"4,095,747",517,"3,301",(D),"6,300","2,212",(D),92,387,259,(D),(D),113,179,286,233,621,(D),552,192,"2,290",323,318,160,74,904,"36,000","7,308",38,(D),"4,746",260,81,-,"4,100","1,659",110,569,"1,025",-,109,"1,606",174,691,"1,094",15,-,485,276,174,354,"2,910",402,167,93,"1,571","4,815",-,762,331,"3,610",344,682,69,464,(D),747,"546,187",137,(D),164,971,"2,339","1,410",-,276,874,"2,452","2,605",175,414
"Pullets for laying flock replacement sold                      farms, 2022",117,-,1,3,-,1,-,1,-,-,-,3,1,-,-,8,-,-,-,4,-,-,2,1,3,6,6,2,3,1,5,-,1,-,4,-,-,2,4,-,2,-,-,-,9,-,1,-,1,-,2,-,-,1,1,-,-,-,-,5,-,-,6,2,5,-,-,3,-,-,2,-,-,-,5,3,-,-,3,4,-,-,-,-
2017,132,-,-,5,-,-,-,3,5,2,-,-,5,3,-,-,-,1,-,-,-,-,-,3,2,-,1,-,2,3,1,2,-,8,-,-,-,-,3,-,3,9,-,-,-,-,-,5,6,-,-,6,-,2,12,-,2,-,-,-,-,2,-,-,1,6,-,-,-,-,-,-,-,5,6,7,-,-,2,2,-,7,-,-
"number, 2022","6,183,798",-,(D),(D),-,(D),-,(D),-,-,-,75,(D),-,-,148,-,-,-,245,-,-,(D),(D),"1,500",60,144,(D),75,(D),50,-,(D),-,24,-,-,(D),610,-,(D),-,-,-,66,-,(D),-,(D),-,(D),-,-,(D),(D),-,-,-,-,850,-,-,120,(D),150,-,-,32,-,-,(D),-,-,-,"2,250",214,-,-,120,(D),-,-,-,-
2017,"6,573,536",-,-,(D),-,-,-,150,74,(D),-,-,54,120,-,-,-,(D),-,-,-,-,-,30,(D),-,(D),-,(D),(D),(D),(D),-,58,-,-,-,-,"2,008",-,39,"1,836",-,-,-,-,-,70,60,-,-,162,-,(D),"7,408",-,(D),-,-,-,-,(D),-,-,(D),468,-,-,-,-,-,-,-,50,60,110,-,-,(D),(D),-,54,-,-
"Broilers and other meat-type chickens sold                farms, 2022","1,332",2,4,35,7,5,-,4,24,7,9,15,17,43,23,12,8,15,4,28,2,10,8,19,27,20,8,-,18,8,20,5,2,40,25,2,6,5,28,2,12,38,-,9,56,30,23,41,13,1,27,16,28,16,29,8,12,9,20,21,-,8,27,15,5,5,2,10,18,12,24,8,-,9,39,20,34,-,27,42,7,65,13,16
2017,"1,582",5,14,48,15,12,8,3,30,14,22,5,26,24,13,18,18,19,22,47,11,6,6,23,23,18,12,3,1,12,12,13,24,58,7,2,1,27,39,24,25,42,-,1,26,15,27,49,9,4,12,11,6,14,36,7,16,17,37,19,6,36,25,20,28,8,-,20,11,11,31,10,6,9,56,36,24,2,45,33,25,56,19,7
"number, 2022","12,609,876",(D),435,"2,282,346","1,142","1,555",-,101,"1,912",400,411,(D),"3,551,150","8,366","20,558",912,"1,360","1,483",270,(D),(D),146,144,"1,241","3,165","1,561",323,-,"1,012",467,"3,442",308,(D),"1,947","1,502",(D),123,392,"8,366",(D),812,"3,253",-,394,"4,990",878,837,"6,166",916,(D),"7,510","1,002","3,680","1,080","6,644",264,801,"3,200","1,559","1,192",-,699,"1,554","2,920",402,(D),(D),"23,914","1,218","5,209",(D),382,-,897,"3,519","5,683,580","6,556",-,"2,713","3,408",488,"10,641","2,345","1,562"
2017,"8,868,690",666,"2,580","1,390,508","4,970","4,112",440,90,"2,412",510,"6,404",420,(D),"1,415","19,055",979,951,688,700,"2,696","1,314",138,60,"2,544","1,304","4,274",706,46,(D),"25,439",390,"4,373","4,564","6,280",321,(D),(D),"11,991","5,970","1,656","1,115","3,042",-,(D),"2,509","3,470","4,824","3,137",636,93,"1,350","1,087",704,"2,862","10,468","1,640","5,548","9,918","2,306",446,600,"2,554","1,373",608,"1,021",92,-,368,349,(D),(D),407,"3,600",178,"2,572","5,562,544","18,943",(D),"2,942","4,636","1,361","7,591","1,581",138
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................","1,288",2,4,30,7,5,-,4,24,7,9,14,10,43,19,12,8,15,4,26,2,10,8,19,27,20,8,-,18,8,20,5,2,40,25,2,6,5,28,2,12,38,-,9,56,30,23,41,13,1,25,16,28,16,27,8,12,8,20,21,-,8,27,15,5,5,2,8,18,12,22,8,-,9,39,6,34,-,27,42,7,63,13,16
"2,000 to 59,999.....................................................................",19,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,2,-,-,-,-,-,2,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",14,-,-,5,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",9,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",556,5,2,8,12,4,-,1,10,-,9,6,4,10,7,4,3,7,-,19,1,1,-,13,2,27,20,-,4,10,8,3,15,14,7,-,-,2,14,-,2,8,-,-,10,1,9,31,1,-,14,4,13,7,16,3,5,6,16,-,-,-,13,10,1,-,2,4,-,8,10,-,-,8,17,2,15,-,16,10,-,24,12,6
2017,767,7,14,23,3,4,6,3,6,2,12,13,15,18,11,-,7,15,12,11,9,-,-,10,5,14,10,2,-,9,6,5,1,41,3,1,1,6,25,16,2,16,-,2,17,14,8,26,-,-,7,5,4,7,7,8,5,15,24,8,-,13,5,15,5,2,-,14,4,5,23,7,-,9,23,2,13,2,18,26,7,40,13,-
"number, 2022","5,218,772",27,(D),"985,009",249,"12,206",-,(D),(D),-,45,76,33,55,"1,020",56,15,38,-,299,(D),(D),-,59,(D),340,146,-,12,"150,023",70,15,39,463,52,-,-,(D),226,-,(D),"240,268",-,-,488,(D),186,"1,465",(D),-,"2,000",24,299,132,672,3,686,390,128,-,-,-,253,276,(D),-,(D),42,-,632,"3,456,041",-,-,357,80,(D),319,-,176,56,-,774,(D),36
2017,"5,186,242",171,83,"864,930",(D),"17,800",12,60,(D),(D),300,255,130,269,367,-,57,48,84,76,609,-,-,81,43,355,52,(D),-,(D),106,155,(D),797,33,(D),(D),"1,614",981,116,(D),(D),-,(D),"2,180",400,112,516,-,-,112,15,70,244,"12,180",396,26,637,210,44,-,168,143,176,(D),(D),-,336,22,"2,108","3,746,647",196,-,36,506,(D),964,(D),342,499,92,795,(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",833,2,-,10,3,9,-,1,7,1,3,12,10,14,9,7,9,2,2,15,2,1,-,16,20,10,6,-,11,-,23,2,3,28,16,2,4,10,30,-,9,27,-,16,32,7,19,16,3,2,8,11,3,21,2,2,19,9,24,6,-,4,33,23,9,1,-,4,-,-,23,4,-,18,37,11,6,-,7,30,23,41,7,16
2017,656,2,18,22,2,3,2,3,18,6,14,10,4,14,8,3,6,12,10,6,6,9,-,14,-,7,18,1,-,-,12,8,4,20,6,-,-,8,20,13,3,29,-,-,25,8,8,11,6,2,2,6,2,6,4,7,11,12,19,6,-,21,3,11,15,2,-,5,-,2,11,1,-,8,12,-,11,-,10,14,19,19,9,7
