Item,Iowa,Adair,Adams,Allamakee,Appanoose,Audubon,Benton,Black Hawk,Boone,Bremer,Buchanan,Buena Vista,Butler,Calhoun,Carroll,Cass,Cedar,Cerro Gordo,Cherokee,Chickasaw,Clarke,Clay,Clayton,Clinton,Crawford,Dallas,Davis,Decatur,Delaware,Des Moines,Dickinson,Dubuque,Emmet,Fayette,Floyd,Franklin,Fremont,Greene,Grundy,Guthrie,Hamilton,Hancock,Hardin,Harrison,Henry,Howard,Humboldt,Ida,,Jackson,Jasper,Jefferson,Johnson,Jones,Keokuk,Kossuth,Lee,Linn,Louisa,Lucas,Lyon,Madison,Mahaska,Marion,Marshall,Mills,Mitchell,Monona,Monroe,Montgomery,Muscatine,O'Brien,Osceola,Page,Palo Alto,Plymouth,Pocahontas,Polk,Pottawattamie,Poweshiek,Ringgold,Sac,Scott,Shelby,Sioux,Story,Tama,Taylor,Union,Van Buren,Wapello,Warren,Washington,Wayne,Webster,Winnebago,Winneshiek,Woodbury,Worth,Wright
100 to 399.............................................................................,170,2,-,-,3,1,2,-,3,8,2,2,2,-,9,2,-,2,-,-,-,-,1,2,2,5,1,1,2,4,2,5,-,1,2,1,-,-,-,4,-,-,-,-,-,-,-,1,,2,7,2,6,-,2,2,1,6,-,1,3,3,-,4,-,3,1,-,-,1,-,-,-,-,-,-,2,1,5,-,4,-,3,6,1,3,1,-,-,4,-,10,2,-,-,-,1,-,7,-
"400 to 3,199..........................................................................",29,-,-,-,-,-,-,-,-,-,3,-,1,-,-,2,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,,1,1,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",51,-,-,3,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,10,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",59,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,4,-,-,7,-,-,-,-,-,-,-,-,4,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,5,-,-,-,1,-,-,-
"20,000 to 49,999...................................................................",25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,4,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,3,-,-,,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-
"50,000 to 99,999...................................................................",10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",33,1,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,1,-,3,1,-,-,-,2,-,,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,1,-,-,-,-,3,-,-,1,-,-,-,-,-,-,1,1,-,-,-,4
"Pullets for laying flock replacement                              farms, 2022",669,3,2,8,15,4,6,13,10,4,6,5,6,-,6,4,11,6,1,3,-,2,12,14,7,16,10,2,4,-,4,7,2,7,9,9,-,-,-,7,6,5,4,3,7,10,-,4,,13,8,14,25,3,-,5,13,8,3,5,9,11,1,11,10,3,6,2,5,2,3,2,3,-,2,7,1,16,12,9,5,5,11,1,18,11,3,6,9,11,9,20,27,8,17,2,13,8,2,4
2017,636,10,8,12,7,2,9,12,17,4,16,12,9,7,10,6,15,2,-,2,11,8,4,7,2,6,10,-,6,-,3,1,2,10,10,3,-,2,-,9,6,1,3,4,14,14,1,-,,3,6,4,32,16,1,6,9,14,3,3,2,7,3,8,6,4,10,6,-,3,-,-,7,-,1,5,5,17,3,3,-,13,11,4,13,4,-,1,1,11,3,14,16,7,11,1,12,4,6,8
"number, 2022","14,559,246",(D),(D),"1,439",328,160,65,172,181,58,(D),(D),49,-,505,200,137,216,(D),40,-,(D),159,332,454,"177,326",208,(D),75,-,85,332,(D),(D),(D),(D),-,-,-,36,(D),(D),98,52,107,"112,171",-,115,,"41,856",229,100,"109,982",(D),-,61,164,111,90,150,595,(D),(D),288,128,38,(D),(D),96,(D),47,(D),(D),-,(D),180,(D),119,250,(D),112,64,228,(D),(D),(D),35,(D),"12,394",297,225,729,"434,203",121,(D),(D),330,202,(D),(D)
2017,"13,707,291",(D),132,138,58,(D),212,143,508,68,"8,368",(D),552,53,60,72,430,(D),-,(D),173,"2,599,080",172,253,(D),"84,354",(D),-,(D),-,54,(D),(D),(D),"1,000",(D),-,(D),-,360,118,(D),39,45,336,"1,412",(D),-,,(D),172,62,"78,412",306,(D),6,128,"1,075",410,75,(D),(D),28,166,480,210,"62,183",60,-,(D),-,-,(D),-,(D),95,20,559,73,40,-,381,158,496,(D),(D),-,(D),(D),303,75,211,"159,579",71,(D),(D),345,74,90,"3,057,796"
"Broilers and other meat-type chickens                         farms, 2022",782,9,3,15,7,6,7,18,10,2,30,4,13,10,5,12,10,12,-,9,13,4,16,9,6,5,15,5,4,2,6,18,2,9,8,3,-,10,9,3,7,3,6,13,6,7,1,2,,14,17,9,16,5,-,9,4,9,-,10,7,26,3,5,4,7,9,7,3,4,6,3,1,3,8,10,1,6,18,9,11,4,7,3,10,19,11,2,9,8,-,23,9,14,10,3,15,2,8,1
2017,884,14,3,17,8,7,20,9,11,3,29,2,16,2,7,4,22,8,1,17,1,1,13,18,1,12,16,-,9,-,9,5,1,3,11,6,2,8,8,17,8,1,9,8,-,24,6,1,,5,4,3,30,3,6,8,15,13,1,4,3,6,8,11,4,11,21,6,7,2,5,8,-,2,3,7,3,27,6,6,1,12,22,5,37,5,6,4,28,17,13,27,10,5,15,2,6,4,5,5
"number, 2022","2,914,861","1,036",80,(D),241,"1,061",83,945,251,(D),"11,743",131,(D),166,680,(D),676,268,-,833,"1,063",77,765,520,588,77,475,135,139,(D),150,"1,155",(D),144,"1,160",90,-,252,(D),202,520,9,"1,272","994,490",91,195,(D),(D),,(D),577,450,"10,590",45,-,880,154,212,-,210,440,704,52,"1,008",180,580,320,810,100,150,"1,160",164,(D),241,463,226,(D),400,"170,642",300,215,(D),582,150,"180,598",692,710,(D),(D),293,-,"2,221",(D),398,979,50,(D),(D),896,(D)
2017,"3,447,238",360,9,"1,090","13,392",350,781,353,402,108,"110,697",(D),(D),(D),184,"420,150","1,580",229,(D),877,(D),(D),"64,330","1,338",(D),661,462,-,(D),-,469,81,(D),(D),"75,664","1,800",(D),"1,233","1,350","1,337",136,(D),"180,088","1,903",-,(D),240,(D),,(D),275,9,"41,656","2,940",72,552,794,237,(D),"1,525",31,37,354,195,650,"2,772","4,694",582,350,(D),"1,553",(D),-,(D),220,229,21,"3,910",205,113,(D),912,590,(D),"1,123,610",237,212,"330,000","364,273",450,131,"1,791","14,698",79,156,(D),(D),131,86,"1,610"
"Turkeys                                                                              farms, 2022",444,2,1,4,5,2,1,4,5,7,2,20,5,3,5,2,6,8,11,-,-,1,7,2,-,-,7,1,3,-,-,11,-,3,3,5,-,-,3,5,18,1,1,7,11,8,-,-,,10,9,8,4,3,-,1,2,6,1,-,7,9,-,6,5,7,6,2,5,-,9,4,2,-,4,-,4,4,17,2,3,19,7,1,7,29,-,-,1,4,6,16,11,3,-,-,5,1,2,-
2017,462,7,9,6,3,3,-,13,4,3,11,23,8,3,2,2,14,9,9,-,3,-,16,11,-,4,1,4,-,-,-,6,-,3,7,3,-,2,-,-,12,-,-,-,17,5,-,1,,1,4,2,11,17,-,-,5,4,3,1,-,-,8,4,2,5,4,6,9,-,9,1,1,-,2,1,3,12,-,10,1,18,4,-,7,11,-,-,-,5,2,11,23,2,-,1,5,12,3,-
"number, 2022","5,069,831",(D),(D),616,83,(D),(D),8,12,"293,030",(D),"750,272",56,(D),(D),(D),55,76,"628,354",-,-,(D),(D),(D),-,-,97,(D),45,-,-,23,-,14,19,17,-,-,9,42,"1,138,277",(D),(D),47,"351,600",91,-,-,,168,34,45,(D),30,-,(D),(D),126,(D),-,38,24,-,31,50,73,(D),(D),10,-,"59,930",22,(D),-,(D),-,"198,000",126,131,(D),13,"693,151",(D),(D),31,(D),-,-,(D),25,16,169,"406,036",90,-,-,47,(D),(D),-
2017,"4,793,219",18,66,42,20,6,-,51,33,(D),56,"1,015,932",76,"139,167",(D),(D),139,43,"491,336",-,6,-,(D),261,-,8,(D),37,-,-,-,13,-,16,69,24,-,(D),-,-,"897,935",-,-,-,"435,460",53,-,(D),,(D),23,(D),"58,232",98,-,-,41,33,(D),(D),-,-,19,18,(D),186,30,48,49,-,(D),(D),(D),-,(D),(D),"148,000",822,-,82,(D),"546,189",(D),-,20,"220,024",-,-,-,44,(D),54,"358,278",(D),-,(D),(D),91,(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,469",13,9,21,8,5,22,31,18,26,27,11,24,6,19,1,22,11,14,10,8,8,20,20,13,30,16,8,16,1,5,39,7,20,19,15,2,1,8,11,12,10,11,14,3,20,3,2,,16,38,19,31,8,5,8,13,31,-,12,17,55,12,19,11,23,14,10,11,10,9,5,8,1,4,8,12,39,35,8,3,5,16,12,23,42,8,6,13,12,8,65,12,8,16,8,18,13,13,17
2017,"1,298",10,4,6,5,14,8,17,39,13,28,12,22,6,33,14,23,5,5,8,9,4,18,14,20,31,23,5,14,3,3,13,4,13,13,14,7,16,-,8,13,2,7,11,18,21,8,2,,15,24,7,9,29,2,10,14,48,8,16,11,25,18,29,15,8,16,1,6,2,10,3,8,7,3,16,5,27,13,17,3,6,15,6,12,29,7,1,21,7,6,46,14,8,11,9,24,21,18,8
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","3,753",30,13,38,40,19,49,60,34,62,52,36,37,23,33,27,57,34,29,20,24,17,62,33,28,63,68,24,46,20,17,75,16,44,48,24,2,32,25,26,33,29,30,41,40,37,11,12,,50,69,45,116,34,14,24,32,86,21,37,45,119,29,49,36,29,49,11,21,18,42,30,18,1,20,29,18,91,64,24,28,29,41,25,60,69,27,20,49,41,27,118,79,27,25,14,59,29,26,30
2017,"3,443",20,9,43,29,27,43,47,64,38,65,39,40,31,27,27,51,23,12,30,26,14,77,49,14,67,68,14,36,6,15,39,7,35,54,35,15,25,22,21,29,12,28,32,37,56,21,13,,42,30,35,122,41,19,22,26,79,12,26,35,58,44,39,42,35,46,8,17,11,32,25,14,2,14,24,11,65,29,59,18,42,51,17,82,77,20,10,46,40,29,84,60,33,15,17,60,48,20,26
"Layers sold                                                                        farms, 2022",673,4,-,2,4,1,3,10,8,13,6,2,6,3,6,14,8,-,1,2,7,6,6,2,2,17,21,7,7,3,1,12,2,8,8,5,-,2,-,12,3,2,4,6,13,5,2,5,,14,13,12,36,5,6,6,6,29,6,10,6,23,2,8,8,4,14,-,1,8,14,5,1,-,3,4,-,24,2,3,4,3,2,1,13,5,-,2,12,3,4,27,25,4,5,3,11,-,2,7
2017,790,2,2,7,3,10,8,5,13,13,21,2,8,12,-,-,14,-,-,14,9,2,19,6,-,15,18,2,15,1,-,8,4,9,8,8,6,8,-,7,4,4,2,2,4,13,2,3,,14,4,8,43,11,8,4,2,33,3,1,4,20,6,11,19,6,11,1,-,-,5,-,1,1,2,7,2,22,5,28,7,16,10,2,20,24,2,-,3,10,4,21,15,9,3,2,12,8,4,11
"number, 2022","32,066,166",(D),-,(D),24,(D),75,174,(D),499,"9,377",(D),285,6,679,(D),144,-,(D),(D),72,"245,586",104,(D),(D),"124,655","112,686","37,080",36,312,(D),511,(D),(D),"68,590",109,-,(D),-,(D),(D),(D),(D),(D),89,"93,576",(D),20,,"97,566",153,(D),"88,122","1,291",175,"5,225",104,"1,087",48,478,(D),(D),(D),224,212,160,"137,020",-,(D),"62,064","2,093",41,(D),-,(D),90,-,436,(D),(D),70,60,(D),(D),(D),(D),-,(D),"98,469",257,32,353,"103,926",80,(D),(D),(D),-,(D),(D)
2017,"30,493,089",(D),(D),"14,260",66,201,173,83,(D),723,"12,148",(D),234,193,-,-,364,-,-,214,133,(D),"21,689",(D),-,"181,721","77,953",(D),237,(D),-,400,(D),(D),"54,530",(D),78,623,-,(D),50,(D),(D),(D),92,(D),(D),48,,"136,212",142,(D),"156,639",213,"19,994",(D),(D),"1,120",441,(D),(D),(D),(D),750,"1,042",130,"199,082",(D),-,-,86,-,(D),(D),(D),24,(D),992,61,(D),157,475,377,(D),(D),"1,156",(D),-,"55,306",430,28,802,"91,280",120,(D),(D),"135,797",130,66,"5,345,991"
"Pullets for laying flock replacement sold                      farms, 2022",115,1,-,2,-,-,-,-,2,-,-,3,-,-,1,-,-,-,-,-,-,2,-,-,-,8,-,-,-,-,1,2,1,2,-,3,-,-,-,1,2,1,-,-,-,3,-,-,,8,1,1,7,1,2,-,1,4,-,3,3,1,-,-,-,-,4,-,-,-,-,-,-,-,2,-,-,2,-,3,2,1,-,-,1,-,-,1,2,-,-,6,21,-,1,-,-,-,-,2
2017,126,1,-,4,-,-,1,-,9,-,5,2,6,-,-,-,-,-,-,-,-,5,-,-,-,8,1,-,1,-,-,-,-,1,-,2,-,1,-,6,3,1,-,-,2,1,1,-,,2,-,2,8,-,1,-,1,-,2,-,-,1,2,-,-,-,4,-,-,1,-,-,1,-,1,-,-,-,-,-,-,1,6,-,3,1,1,-,-,-,-,6,10,-,1,-,-,6,-,4
"number, 2022","24,829,960",(D),-,(D),-,-,-,-,(D),-,-,"3,467,932",-,-,(D),-,-,-,-,-,-,(D),-,-,-,"191,006",-,-,-,-,(D),(D),(D),(D),-,(D),-,-,-,(D),(D),(D),-,-,-,"166,906",-,-,,"209,420",(D),(D),"155,840",(D),(D),-,(D),160,-,30,150,(D),-,-,-,-,"131,500",-,-,-,-,-,-,-,(D),-,-,(D),-,(D),(D),(D),-,-,(D),-,-,(D),(D),-,-,580,"829,476",-,(D),-,-,-,-,(D)
2017,"29,152,546",(D),-,40,-,-,(D),-,236,-,255,(D),360,-,-,-,-,-,-,-,-,"7,132,000",-,-,-,"176,255",(D),-,(D),-,-,-,-,(D),-,(D),-,(D),-,300,33,(D),-,-,(D),(D),(D),-,,(D),-,(D),"65,320",-,(D),-,(D),-,(D),-,-,(D),(D),-,-,-,"42,050",-,-,(D),-,-,(D),-,(D),-,-,-,-,-,-,(D),6,-,(D),(D),(D),-,-,-,-,260,"438,002",-,(D),-,-,480,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",693,10,-,5,3,5,6,20,4,13,12,1,10,-,9,10,11,13,1,6,3,2,13,7,4,2,6,-,-,6,2,14,4,12,9,7,2,-,10,5,2,8,11,15,3,8,3,2,,12,14,6,18,5,-,9,2,20,2,3,12,21,2,7,7,8,13,2,-,4,18,3,1,-,10,11,-,8,20,2,5,3,9,6,12,17,6,2,7,2,-,31,6,10,5,2,12,1,8,2
2017,"1,041",7,-,24,7,11,14,19,35,9,31,2,19,18,12,10,19,12,-,7,3,-,21,20,-,10,10,1,9,-,2,10,2,1,26,13,5,12,8,13,1,4,3,14,7,13,8,-,,2,9,6,46,24,1,9,10,21,-,5,2,7,14,-,17,19,22,6,7,2,5,18,6,-,6,2,-,24,4,19,3,7,20,5,42,25,3,4,25,9,9,18,8,6,-,6,11,12,8,10
"number, 2022","16,718,903",810,-,(D),90,980,646,895,365,"2,075","17,290",(D),(D),-,694,(D),243,"1,776",(D),215,(D),(D),"1,041",650,"1,480",(D),420,-,-,200,(D),929,252,335,(D),668,(D),-,(D),104,(D),"1,050","1,291","5,430,646",230,"12,115",(D),(D),,(D),"1,465",248,"65,943",141,-,760,(D),"1,634",(D),36,"1,485",897,(D),"1,153","1,524",720,"74,946",(D),-,168,"13,102",470,(D),-,670,510,-,853,"848,503",(D),280,(D),"1,063",595,"1,802,014","3,307",370,(D),(D),(D),-,"3,170",(D),348,770,(D),(D),(D),"4,246",(D)
2017,"21,981,704",310,-,"2,530","28,590","1,026","1,615","1,031","3,726","2,250","320,772",(D),(D),"2,825",299,"1,044,750","1,118","2,490",-,216,165,-,"163,421","1,030",-,420,"8,160",(D),(D),-,(D),760,(D),(D),"486,102","2,116","1,500","1,908","1,350",902,(D),234,"900,000","2,720",988,(D),"1,244",-,,(D),560,186,"165,082","2,526",(D),"1,270",557,"2,124",-,"6,012",(D),495,570,-,"2,918","4,610","253,968",480,610,(D),"9,018","4,218,569",480,-,240,(D),-,"16,914",111,"2,560",(D),"1,125",543,332,"7,626,903","2,473",97,"1,750,000","1,814,300",439,204,504,"72,185",660,-,360,(D),"1,080","1,250","1,634"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",651,10,-,4,3,5,6,20,4,13,10,1,9,-,9,9,11,13,1,6,2,2,13,7,4,2,6,-,-,6,2,14,4,12,8,7,2,-,9,5,2,8,11,10,3,6,3,2,,11,14,6,14,5,-,9,2,20,2,3,12,21,2,7,7,8,9,2,-,4,14,3,1,-,10,11,-,8,18,2,5,3,9,6,7,16,6,-,5,2,-,31,5,10,5,2,11,1,8,2
"2,000 to 59,999.....................................................................",19,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",12,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,5,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",10,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,5,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-
"Turkeys sold                                                                      farms, 2022",254,-,-,2,4,1,2,-,1,14,-,19,-,2,1,2,7,6,9,-,-,1,5,-,-,-,-,-,3,-,2,-,-,2,-,-,-,-,4,6,13,1,1,3,11,-,-,2,,5,2,-,5,2,-,1,-,3,1,-,5,4,-,3,3,3,1,2,-,-,4,-,1,-,2,-,4,3,11,-,-,17,6,-,-,13,-,-,-,1,-,6,10,-,-,-,2,-,6,1
2017,262,8,-,-,-,-,1,6,4,11,1,21,7,3,5,-,10,-,7,-,-,-,11,3,-,4,-,-,-,-,-,3,-,-,3,-,-,-,-,-,12,-,1,-,15,-,-,1,,1,1,2,14,-,-,1,-,6,1,-,-,1,-,-,2,3,2,6,-,-,2,-,1,-,-,-,3,12,-,7,1,15,3,-,3,9,-,-,-,-,-,-,14,2,-,-,4,-,1,-
"number, 2022","14,967,518",-,-,(D),17,(D),(D),-,(D),"711,971",-,"2,731,773",-,(D),(D),(D),73,44,"3,492,000",-,-,(D),(D),-,-,-,-,-,45,-,(D),-,-,(D),-,-,-,-,36,37,"2,150,191",(D),(D),7,"654,601",-,-,(D),,101,(D),-,(D),(D),-,(D),-,144,(D),-,28,74,-,48,18,42,(D),(D),-,-,(D),-,(D),-,(D),-,"588,700",56,98,-,-,"2,002,115",(D),-,-,(D),-,-,-,(D),-,49,"753,658",-,-,-,(D),-,270,(D)
