Item,North Carolina,Alamance,Alexander,Alleghany,Anson,Ashe,Avery,Beaufort,Bertie,Bladen,Brunswick,Buncombe,Burke,Cabarrus,Caldwell,Camden,Carteret,Caswell,Catawba,Chatham,Cherokee,Chowan,Clay,Cleveland,Columbus,Craven,Cumberland,Currituck,Dare,Davidson,Davie,Duplin,Durham,Edgecombe,Forsyth,Franklin,Gaston,Gates,Graham,Granville,Greene,Guilford,Halifax,Harnett,Haywood,Henderson,Hertford,Hoke,Hyde,Iredell,Jackson,Johnston,Jones,Lee,Lenoir,Lincoln,McDowell,Macon,Madison,Martin,Mecklenburg,Mitchell,Montgomery,Moore,Nash,New Hanover,Northampton,Onslow,Orange,Pamlico,Pasquotank,Pender,Perquimans,Person,Pitt,Polk,Randolph,Richmond,Robeson,Rockingham,Rowan,Rutherford,Sampson,Scotland,Stanly,Stokes,Surry,Swain,Transylvania,Tyrrell,Union,Vance,Wake,Warren,Washington,Watauga,Wayne,Wilkes,Wilson,Yadkin,Yancey
100 to 399.............................................................................,236,7,-,-,-,4,1,3,-,1,6,9,-,2,5,-,1,8,2,3,4,-,2,2,6,6,8,4,-,2,-,1,11,-,4,6,1,2,-,-,-,2,-,6,1,3,-,2,-,8,-,1,-,-,1,2,-,-,1,-,2,-,4,1,-,-,3,8,10,-,-,1,-,-,2,-,3,-,-,6,6,2,1,-,2,7,5,-,5,-,4,-,10,5,1,3,1,2,-,-,4
"400 to 3,199..........................................................................",25,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,4,-,-,-,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-
"3,200 to 9,999.......................................................................",20,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
"10,000 to 19,999...................................................................",47,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,-,-,-,-,2,-,-,-,1,4,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,11,-
"20,000 to 49,999...................................................................",197,6,20,-,6,-,-,-,1,1,-,-,2,-,1,-,-,7,2,3,-,-,-,1,-,-,-,-,-,6,2,17,-,1,-,3,-,-,-,-,-,-,5,-,-,-,-,-,-,6,-,-,-,-,3,1,-,-,-,-,-,-,2,-,1,-,-,-,5,-,-,3,-,-,-,-,28,2,-,2,1,1,2,-,-,3,15,-,-,-,2,-,-,-,-,-,1,4,1,30,-
"50,000 to 99,999...................................................................",29,1,1,-,3,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3,-,-,-,4,-,-,-,-,-,-,-,-,-,-,3,-,4,-
"100,000 or more....................................................................",10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,3,-
"Pullets for laying flock replacement                              farms, 2022",911,16,43,3,15,8,-,3,-,5,11,20,6,11,19,-,2,3,13,29,2,1,1,4,6,14,22,9,-,12,15,7,8,-,9,20,9,-,3,9,6,12,3,15,17,10,-,4,1,41,2,20,-,-,10,6,7,13,18,-,9,8,1,25,9,3,-,15,34,2,-,5,-,11,4,3,29,3,1,10,15,10,10,4,6,9,19,2,11,-,23,2,17,-,-,5,12,18,7,15,11
2017,"1,054",10,47,9,4,13,5,-,-,5,7,37,15,19,12,-,9,7,20,28,9,-,3,22,10,10,18,3,-,21,13,9,13,2,9,15,10,-,-,18,-,21,3,22,23,21,-,-,1,34,2,35,3,18,5,18,8,4,24,3,8,3,14,-,18,9,-,13,29,-,-,4,-,4,9,4,37,7,8,8,10,19,19,-,7,10,14,1,17,-,17,2,30,2,-,4,16,14,1,13,6
"number, 2022","7,743,795","296,711","1,077,036",12,"270,716",621,-,45,-,107,410,388,"162,040",148,356,-,(D),205,199,"367,447",(D),(D),(D),14,101,115,267,132,-,213,(D),"155,025",390,-,388,356,149,-,28,105,"294,685",(D),(D),347,267,58,-,(D),(D),"852,322",(D),210,-,-,"100,080",61,122,173,201,-,51,122,(D),334,"111,390",24,-,260,"1,168",(D),-,117,-,103,"104,035",37,"878,439",15,(D),232,(D),141,"488,028",(D),48,68,"484,081",(D),375,-,"378,646",(D),374,-,-,328,"166,049","302,767",107,"130,476",188
2017,"7,238,854","205,072","1,123,305",341,"86,005",163,30,-,-,92,83,"1,256",(D),(D),"276,112",-,175,65,499,"329,329",(D),-,55,"120,218",259,246,274,18,-,(D),"180,400","188,157",239,(D),100,(D),441,-,-,680,-,(D),"71,333",948,535,448,-,-,(D),"632,761",(D),(D),40,420,"106,540",254,(D),46,459,37,38,18,132,-,"370,590",360,-,(D),979,-,-,15,-,33,(D),124,"643,642",72,120,264,(D),754,"318,338",-,(D),138,"240,509",(D),321,-,"417,330",(D),438,(D),-,78,"414,970","319,100",(D),"156,859",30
"Broilers and other meat-type chickens                         farms, 2022","2,158",7,61,1,61,3,-,-,71,34,9,18,22,31,19,-,-,-,41,81,4,5,1,57,14,10,22,3,-,18,4,123,1,25,5,14,18,20,-,7,15,8,5,31,9,7,9,13,-,16,9,29,14,12,10,24,14,2,13,5,8,10,52,82,9,-,10,21,29,-,2,12,13,10,17,-,112,68,67,11,29,40,114,32,17,14,71,2,9,-,65,3,14,1,1,2,22,93,4,28,9
2017,"2,109",7,53,1,69,1,2,12,67,19,2,16,54,16,24,-,7,2,40,82,4,2,-,48,9,-,13,1,-,28,7,89,6,20,6,21,16,20,2,12,7,16,3,44,19,13,25,14,-,9,6,34,16,14,15,28,18,11,26,6,6,8,53,55,22,6,18,24,2,4,-,21,26,-,23,10,92,49,63,10,15,35,43,20,23,10,56,7,16,-,103,2,22,-,-,2,25,98,4,21,13
"number, 2022","193,951,790","275,066","6,748,356",(D),"9,272,272","1,700",-,-,"8,577,849","3,609,896",393,706,"1,483,532","415,310","915,070",-,-,-,"1,638,740","6,056,926",52,"169,181",(D),"4,506,753","962,280",249,"891,741",300,-,"716,220",70,"20,844,828",(D),"2,042,780",186,"111,512","388,788","2,027,369",-,364,"1,490,080","9,215","326,002","2,375,525",205,350,"865,004","3,237,900",-,"794,022",211,"955,356","2,664,194","1,076,604","1,520,632","2,014,488","153,810",(D),371,"176,024",(D),190,"7,247,030","5,938,485","497,052",-,"1,508,000","357,974","1,082",-,(D),"1,906,685","1,192,360",480,"2,962,174",-,"9,067,771","8,434,328","9,348,864",631,"617,835","2,816,568","18,230,713","4,243,759","620,878",(D),"6,545,335",(D),495,-,"8,688,779",6,"1,725",(D),(D),(D),"1,910,090","10,409,742",(D),"1,082,403",149
2017,"160,376,938","252,512","4,460,440",(D),"9,028,434",(D),(D),(D),"5,863,743","3,715,465",(D),"2,944","2,030,658","758,015","1,390,740",-,"1,805",(D),"1,770,054","4,068,523",(D),(D),-,"3,995,709","440,305",-,"468,985",(D),-,"783,693",145,"15,943,541",240,"2,367,650",25,"164,848","611,532","1,474,245",(D),400,"602,000",(D),(D),"4,245,420",510,225,"2,140,814","758,230",-,"331,605",110,"1,136,404","2,354,080","1,526,113","1,599,628","1,219,121","356,646","1,260","3,016","356,638",114,260,"5,012,406","5,173,280","1,219,115",180,"1,514,480","533,004",(D),48,-,"1,572,741","1,243,836",-,"2,738,386",170,"6,999,828","6,008,868","6,953,832",330,"687,522","1,921,650","5,969,281","3,319,166","1,319,912","720,031","6,206,473",13,"1,550",-,"9,119,297",(D),"5,509",-,-,(D),"2,046,595","11,112,089",(D),"1,654,782",798
"Turkeys                                                                              farms, 2022",791,9,5,4,18,4,1,-,-,12,3,11,8,9,5,1,-,2,5,21,8,3,1,9,3,4,17,-,-,6,2,47,4,4,19,10,-,6,-,8,12,4,1,9,2,7,-,-,-,7,-,25,6,14,28,10,-,7,12,-,3,5,-,24,3,-,4,35,12,-,-,10,-,9,2,2,23,6,5,3,8,14,79,-,10,5,6,-,-,-,30,7,13,1,-,-,37,2,5,6,9
2017,822,3,6,6,18,7,2,5,-,8,3,7,20,12,12,-,1,1,11,17,10,1,4,4,4,-,25,2,-,6,-,45,12,2,6,10,9,2,-,6,12,8,-,2,5,10,-,5,-,7,2,28,12,2,23,22,2,3,9,1,-,-,8,4,7,6,-,26,10,-,-,8,-,3,3,1,25,5,1,6,10,17,83,-,11,-,5,-,-,-,42,4,35,7,-,-,46,6,1,2,-
"number, 2022","15,746,889",43,11,8,"855,150",119,(D),-,-,"396,541",67,75,64,58,28,(D),-,(D),(D),537,36,15,(D),(D),(D),64,"503,772",-,-,26,(D),"2,152,073",35,62,65,33,-,12,-,42,"444,353",8,(D),44,(D),29,-,-,-,57,-,"110,090","295,400",170,"870,025",36,-,44,109,-,31,29,-,(D),5,-,12,"982,646",205,-,-,"86,051",-,38,(D),(D),180,102,(D),13,79,53,"3,290,350",-,"125,699",36,69,-,-,-,"1,366,901",128,171,(D),-,-,"4,034,035",(D),15,33,56
2017,"15,933,732",18,30,300,"540,949",22,(D),11,-,"369,800",90,14,127,(D),46,-,(D),(D),(D),(D),77,(D),4,"116,252",(D),-,"242,686",(D),-,39,-,"1,977,668",122,(D),10,43,36,(D),-,36,"461,100",48,-,(D),13,84,-,"68,900",-,52,(D),"262,048","185,359",(D),"570,035",618,(D),11,88,(D),-,-,16,16,41,6,-,"851,652",166,-,-,"143,166",-,12,(D),(D),117,39,(D),15,76,157,"4,594,777",-,"416,636",-,16,-,-,-,"2,750,994",44,"1,992",48,-,-,"2,102,845",14,(D),(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,443",43,61,12,18,30,11,10,2,14,13,61,27,55,24,-,2,21,27,63,16,3,4,50,24,15,42,13,2,41,23,23,34,11,26,62,13,13,4,38,1,42,7,45,31,27,-,5,-,60,13,69,3,26,9,28,17,33,46,6,9,11,4,57,28,10,3,28,48,5,2,27,-,34,21,12,75,34,17,30,44,42,33,3,34,42,67,5,14,1,29,9,50,6,1,21,25,31,15,75,22
2017,"2,327",13,57,15,17,17,3,4,2,14,12,75,39,31,25,9,12,36,42,71,25,1,2,29,16,10,41,2,-,36,15,12,50,21,8,64,23,13,10,38,1,33,4,44,12,26,-,20,-,45,6,83,14,31,9,51,19,10,45,1,13,10,18,32,14,6,1,26,65,12,9,27,1,25,12,19,65,10,43,40,33,44,21,-,22,20,28,3,10,-,39,29,69,12,10,20,23,36,11,69,16
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","6,077",71,173,17,113,37,20,16,78,69,26,109,72,98,75,10,7,38,90,206,18,9,8,126,38,39,65,19,2,83,35,207,50,47,64,69,62,35,9,50,33,67,16,85,68,58,19,29,1,133,17,103,25,55,57,66,37,43,75,14,20,22,70,157,43,14,21,80,100,4,7,78,16,46,39,20,242,107,91,69,78,99,212,39,48,53,160,10,22,1,171,24,96,11,4,23,95,148,19,113,44
2017,"6,099",68,168,19,94,36,11,21,78,57,29,168,81,63,58,15,16,45,86,187,32,4,2,116,50,34,57,5,-,97,47,165,49,34,58,57,81,32,17,59,21,61,16,121,52,83,26,32,1,116,9,120,38,47,53,127,57,38,71,9,40,18,75,122,74,10,20,67,102,12,9,51,23,23,59,40,219,73,102,63,84,92,170,23,60,64,123,14,18,-,226,29,112,18,10,51,112,161,9,110,17
"Layers sold                                                                        farms, 2022","1,043",13,54,1,9,24,-,3,1,10,2,19,6,14,23,2,1,21,12,30,3,-,3,20,1,10,10,4,-,25,7,19,19,1,15,27,18,1,2,4,1,15,4,2,13,17,-,7,1,39,5,19,-,11,5,9,6,17,12,2,2,2,-,24,3,1,7,11,16,3,2,21,-,-,7,3,42,6,7,12,17,16,8,-,8,9,40,-,4,1,24,11,13,2,2,3,7,15,3,60,12
2017,"1,284",21,57,7,8,11,6,6,1,5,6,68,8,11,3,-,3,13,18,33,7,1,-,20,9,1,14,-,-,33,15,17,25,4,7,24,18,1,1,15,-,8,3,21,27,24,-,15,1,38,-,40,8,16,10,33,14,13,14,2,15,5,12,22,15,-,1,19,39,4,6,1,-,12,7,3,25,9,4,17,16,15,17,-,4,12,28,5,3,-,24,10,32,5,-,4,7,31,5,60,6
"number, 2022","12,154,046","214,881","741,232",(D),"333,500",642,-,195,(D),(D),(D),370,"48,020",(D),"42,301",(D),(D),"200,963","79,658","237,651",(D),-,(D),"55,133",(D),745,482,29,-,"228,142",(D),"726,123",806,(D),618,"82,064",533,(D),(D),"15,615",(D),(D),"135,300",(D),160,728,-,287,(D),"290,356",25,"2,640",-,(D),"85,010",(D),(D),516,(D),(D),(D),(D),-,"1,644",(D),(D),992,62,"99,306",22,(D),"311,293",-,-,206,22,"709,422","70,102",(D),(D),(D),"92,206","401,401",-,461,"83,054","674,143",-,90,(D),(D),61,"1,164",(D),(D),68,(D),"412,878",(D),"1,700,110",290
2017,"10,869,269","368,034","814,788",145,"294,900",504,755,72,(D),(D),551,"15,794",(D),(D),39,-,54,"221,362","65,928","194,409",(D),(D),-,"83,934",665,(D),405,-,-,"114,325","108,650","409,600","7,268","90,400",256,"135,801",246,(D),(D),473,-,"293,140","89,000",841,634,305,-,(D),(D),"500,127",-,(D),195,(D),"115,070",940,(D),422,733,(D),135,38,"103,595",(D),"268,197",-,(D),"1,966","130,478",96,180,(D),-,711,16,104,"391,312",(D),80,(D),"60,139","58,499","322,751",-,(D),"107,049","524,675",102,60,-,"620,934","7,756","3,741",(D),-,(D),(D),"535,979",115,"1,597,073",90
"Pullets for laying flock replacement sold                      farms, 2022",295,8,40,-,12,-,-,-,-,1,2,6,3,1,3,-,-,-,1,19,-,-,2,3,-,3,5,-,-,4,3,6,1,-,2,4,6,-,-,1,6,1,3,1,6,-,-,1,1,36,-,1,-,-,4,1,1,-,3,-,-,2,-,7,2,-,-,-,2,-,-,-,-,1,2,-,22,-,2,1,4,-,5,1,-,2,10,-,-,-,5,-,-,-,-,-,6,5,-,12,3
2017,380,4,41,6,3,-,-,-,-,-,-,14,1,4,7,-,1,-,6,18,-,-,-,6,1,-,11,-,-,8,9,8,1,-,-,7,4,-,-,-,-,4,3,2,-,1,-,-,1,25,-,10,1,6,3,9,1,-,-,-,-,3,6,-,18,-,-,5,6,-,-,-,-,6,1,-,28,3,-,1,5,-,12,-,8,-,7,-,-,-,7,-,2,-,-,-,16,5,-,9,6
"number, 2022","16,088,481","630,210","2,097,926",-,"608,000",-,-,-,-,(D),(D),"18,860","313,920",(D),215,-,-,-,(D),"847,800",-,-,(D),60,-,12,81,-,-,29,(D),"332,000",(D),-,(D),117,257,-,-,(D),"614,010",(D),(D),(D),66,-,-,(D),(D),"1,730,955",-,(D),-,-,"260,000",(D),(D),-,960,-,-,(D),-,417,(D),-,-,-,(D),-,-,-,-,(D),(D),-,"1,932,000",-,(D),(D),(D),-,"629,000",(D),-,(D),"852,000",-,-,-,"300,500",-,-,-,-,-,"282,812","620,200",-,"491,042",75
2017,"15,772,714","450,000","2,172,984",300,"172,000",-,-,-,-,-,-,934,(D),(D),"552,040",-,(D),-,120,"714,625",-,-,-,"240,000",(D),-,233,-,-,(D),"441,000","513,257",(D),-,-,(D),220,-,-,-,-,(D),"154,000",(D),-,(D),-,-,(D),"1,220,650",-,(D),(D),168,"213,000",226,(D),-,-,-,-,54,60,-,"721,590",-,-,(D),172,-,-,-,-,130,(D),-,"1,382,750",12,-,(D),(D),-,"677,763",-,(D),-,"481,010",-,-,-,"468,000",-,(D),-,-,-,"826,725","631,000",-,"434,400",90
"Broilers and other meat-type chickens sold                farms, 2022","2,058",10,64,-,66,2,-,2,73,40,8,9,29,25,8,-,1,-,35,85,-,5,-,51,12,11,12,3,-,15,4,127,2,39,7,16,17,28,-,6,15,6,5,35,-,2,17,13,-,21,-,30,14,16,8,24,6,-,-,5,4,-,56,70,11,-,10,15,16,-,1,10,16,18,13,-,115,73,69,15,17,27,113,33,19,1,61,-,7,-,72,5,12,1,-,-,20,104,2,18,5
2017,"1,958",6,58,7,65,1,-,1,77,23,-,12,38,16,21,-,6,2,35,77,1,3,-,53,6,-,11,1,-,13,-,90,6,19,2,7,22,16,-,4,7,12,1,48,3,5,25,12,-,5,2,37,16,14,15,32,6,12,22,6,6,-,54,65,18,-,18,10,7,-,-,16,16,-,19,9,118,63,57,5,14,35,49,23,20,7,56,1,7,-,98,-,25,2,-,-,29,100,4,18,10
"number, 2022","972,408,186","1,325,496","32,574,024",-,"50,443,510",(D),-,(D),"38,573,708","24,927,016",126,(D),"8,415,522","1,957,126","4,573,000",-,(D),-,"7,438,510","26,831,803",-,"1,841,105",-,"22,529,904","5,018,250","1,837","4,259,973",154,-,"4,979,512",660,"105,578,798",(D),"18,214,600","6,546","581,145","1,703,398","12,496,513",-,254,"7,237,200","46,048","1,850,000","14,168,408",-,(D),"5,590,936","15,589,415",-,"3,866,113",-,"6,919,157","12,951,030","5,988,006","6,948,800","9,422,820","768,000",-,-,"976,000","1,070",-,"26,301,336","27,313,590","3,545,641",-,"7,319,000","1,570,862","6,246",-,(D),"9,134,708","5,987,800","2,620","15,552,654",-,"40,541,273","44,993,577","52,910,342",188,"3,017,878","11,991,904","85,064,871","22,428,195","4,031,728",(D),"31,938,419",-,389,-,"38,568,287",806,"3,107",(D),-,-,"8,392,150","54,632,667",(D),"5,024,060",267
2017,"832,869,502","1,229,500","25,068,105","3,005","49,637,971",(D),-,(D),"38,149,383","21,605,819",-,"4,666","9,822,200","3,238,325","7,118,099",-,714,(D),"9,766,530","18,531,654",(D),"1,260,000",-,"20,671,816","2,760,115",-,"2,020,170",(D),-,"4,155,014",-,"78,902,390",192,"11,225,000",(D),"848,188","3,140,910","8,717,800",-,570,"3,202,000",(D),(D),"20,795,370",170,(D),"10,579,596","3,726,280",-,"1,579,100",(D),"5,804,570","11,128,204","7,298,028","7,997,686","6,191,466","1,611,600","1,500","3,888","1,783,191",30,-,"23,889,450","26,859,040","6,234,162",-,"7,513,402","2,660,150","4,209",-,-,"7,843,633","6,663,200",-,"15,382,272",470,"35,079,278","31,860,170","38,041,660",161,"3,280,260","8,246,740","34,654,039","18,794,828","7,337,760","3,600,016","30,006,482",(D),"1,465",-,"45,485,421",-,"20,183",(D),-,-,"9,874,135","58,113,138",(D),"6,941,400","2,388"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",370,5,-,-,-,2,-,-,-,9,8,8,8,22,-,-,-,-,6,18,-,-,-,-,6,11,6,3,-,5,4,1,2,1,7,14,9,2,-,6,4,4,-,5,-,2,-,1,-,9,-,15,-,2,1,2,-,-,-,-,4,-,-,8,-,-,-,11,15,-,-,1,-,18,-,-,9,-,5,15,7,2,3,-,7,-,5,-,7,-,11,5,12,1,-,-,3,5,-,3,5
"2,000 to 59,999.....................................................................",30,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,1,1,-,-,1,-,-,-,-,2,2,-,-,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,5,-,-,-
"60,000 to 99,999...................................................................",21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-
"100,000 to 199,999...............................................................",163,2,3,-,4,-,-,-,6,-,-,-,-,-,-,-,-,-,11,10,-,-,-,7,-,-,-,-,-,-,-,10,-,7,-,-,6,2,-,-,2,-,2,7,-,-,7,-,-,2,-,-,-,-,-,2,6,-,-,-,-,-,4,5,-,-,-,-,-,-,-,1,1,-,-,-,15,4,1,-,-,5,-,1,1,-,7,-,-,-,8,-,-,-,-,-,-,9,-,5,-
"200,000 to 499,999...............................................................",691,3,29,-,19,-,-,2,32,4,-,-,16,2,5,-,-,-,8,38,-,3,-,33,-,-,3,-,-,7,-,22,-,15,-,2,2,15,-,-,4,-,2,8,-,-,7,-,-,10,-,10,4,10,2,11,-,-,-,4,-,-,26,33,9,-,3,1,-,-,1,1,9,-,2,-,64,32,27,-,6,12,33,3,8,-,19,-,-,-,21,-,-,-,-,-,9,32,-,8,-
