Item,Maryland,Allegany,Anne Arundel,Baltimore,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,St. Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
"Layers sold                                                                        farms, 2022",291,2,12,27,16,8,27,10,7,-,27,15,14,1,8,18,14,11,37,-,1,30,4,2
2017,331,6,8,34,11,6,37,6,20,2,41,8,16,11,6,16,18,8,29,3,6,27,9,3
"number, 2022","1,003,171",(D),74,"2,790",662,232,(D),(D),141,-,(D),440,"3,934",(D),440,574,"3,596","6,305","2,034",-,(D),(D),"2,404",(D)
2017,"397,300",133,"3,066","2,869",686,558,(D),(D),"8,970",(D),"67,207","1,181","2,504",(D),283,210,(D),144,"1,298",(D),747,"61,991",662,(D)
"Pullets for laying flock replacement sold                      farms, 2022",44,-,-,-,2,-,6,-,-,-,5,2,5,3,1,1,-,-,8,-,-,1,4,6
2017,40,1,-,1,-,-,5,-,6,-,-,2,3,1,-,2,3,4,6,-,-,4,-,2
"number, 2022","505,660",-,-,-,(D),-,58,-,-,-,22,(D),(D),150,(D),(D),-,-,(D),-,-,(D),360,"490,000"
2017,"262,697",(D),-,(D),-,-,(D),-,36,-,-,(D),(D),(D),-,(D),65,38,"2,284",-,-,(D),-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",682,4,3,12,12,120,12,8,4,70,30,13,5,5,29,6,8,42,17,90,23,13,85,71
2017,823,-,11,10,8,139,14,9,3,68,33,14,12,7,19,2,19,59,28,92,25,17,123,111
"number, 2022","277,949,940",(D),"3,500",(D),"510,540","54,254,745","120,933","6,040",(D),"41,470,106","14,933",772,"3,000","1,650","9,655,020",366,"6,897","27,022,326",(D),"43,310,068","7,125,165","1,681","49,917,462","44,436,121"
2017,"307,690,339",-,"3,125",(D),883,"59,634,292",815,(D),980,"26,211,994","41,688",528,"21,820","3,155","5,121,602",(D),"8,214","25,181,774","19,970","62,226,553","6,864,628","3,645","57,869,664","63,739,795"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",151,4,2,10,10,3,10,8,3,1,28,13,5,5,1,6,6,1,16,3,2,13,1,-
"2,000 to 59,999.....................................................................",22,-,1,2,-,6,-,-,1,2,2,-,-,-,2,-,2,3,1,-,-,-,-,-
"60,000 to 99,999...................................................................",19,-,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,4,2
"100,000 to 199,999...............................................................",70,-,-,-,-,17,-,-,-,7,-,-,-,-,7,-,-,-,-,18,4,-,10,7
"200,000 to 499,999...............................................................",214,-,-,-,2,55,-,-,-,32,-,-,-,-,16,-,-,14,-,27,7,-,36,25
"500,000 or more....................................................................",206,-,-,-,-,35,-,-,-,28,-,-,-,-,3,-,-,24,-,41,4,-,34,37
"Turkeys sold                                                                      farms, 2022",112,4,6,8,4,1,14,10,2,-,17,3,2,4,1,5,8,2,10,1,-,7,1,2
2017,135,1,4,11,1,-,5,14,2,2,27,11,5,-,8,6,8,10,9,-,1,10,-,-
"number, 2022","276,651",33,(D),(D),99,(D),463,(D),(D),-,(D),(D),(D),(D),(D),52,"1,926",(D),844,(D),-,48,(D),(D)
2017,"102,600",(D),104,"10,373",(D),-,51,(D),(D),(D),(D),608,305,-,56,82,(D),236,"1,151",-,(D),"1,205",-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",187,5,6,10,5,2,14,12,6,-,22,13,8,4,8,4,9,5,22,1,-,23,5,3
2017,180,-,7,13,3,2,10,13,14,1,24,5,3,5,2,11,8,2,15,-,10,19,8,5
