Item,Georgia,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,Decatur,DeKalb,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,McDuffie,McIntosh,Macon,Madison,Marion,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs
100 to 399.............................................................................,151,-,1,-,-,-,-,-,-,-,1,-,-,4,1,2,-,1,-,-,1,4,-,-,2,-,-,-,-,-,-,-,-,7,7,2,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,7,6,-,-,-,-,-,2,1,2,-,1,8,-,-,1,-,1,-,2,3,1,3,-,-,-,-,2,2,-,-,-,2,1,3,3,3,-,-,-,-,1,-,5,-,3,-,4,-,1,-,3,2,1,-,-,2,-,2,3,-,-,-,5,-,-,-,-,-,-,3,-,-,-,-,1,2,-,-,-,-,-,2,1,-,-,-,3,-,-,-,1,-,2,-,-,5,3,-,3,1,1,-,-,-,-,1,-,-
"400 to 3,199..........................................................................",25,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",15,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",112,-,-,-,-,-,14,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,3,11,-,13,-,-,7,-,-,-,6,10,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,6,1,-,-,-,-,2,-,-,-,1,-,2
"20,000 to 49,999...................................................................",235,14,2,1,1,-,10,-,1,-,1,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,5,-,-,-,-,-,-,1,-,-,-,-,-,-,4,1,-,-,-,-,-,-,1,-,-,21,-,-,1,-,-,-,33,-,4,-,-,1,-,1,-,12,6,-,1,-,38,-,-,-,-,2,-,2,-,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-,15,-,-,-,2,-,-,2,6,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,3,4,-,-,-,6,4,-,-,-,-,-,3
"50,000 to 99,999...................................................................",19,3,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",13,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",862,17,2,8,1,2,23,4,12,-,2,7,-,4,6,6,9,3,2,-,7,3,19,5,1,5,-,8,7,-,-,1,-,2,18,10,8,2,7,6,2,-,4,-,-,21,-,-,4,1,2,6,16,8,1,9,-,6,16,11,6,19,-,8,16,7,-,-,9,25,3,3,6,4,4,4,3,2,26,17,-,7,-,6,-,4,8,16,3,1,-,5,7,10,7,2,3,11,16,2,1,6,5,-,4,5,-,19,6,17,7,4,5,9,9,7,2,2,1,5,-,2,-,-,-,1,7,9,2,6,-,-,2,9,6,-,5,10,1,7,5,3,1,4,4,1,-,15,5,-,8,3,5,3,14,-,-,9,-,7
2017,863,7,3,-,-,-,45,5,15,-,2,-,-,8,3,2,6,6,4,3,6,-,15,3,2,-,-,2,9,2,-,2,-,-,5,3,10,3,4,7,5,-,6,1,6,-,1,1,2,6,1,15,2,7,-,10,4,21,6,17,5,25,-,1,20,9,5,1,11,18,2,8,14,10,9,2,1,-,30,7,4,10,3,14,6,4,6,20,1,8,3,3,5,10,5,-,2,22,10,8,-,3,9,2,6,6,-,11,4,14,12,1,7,3,13,13,2,-,2,1,-,8,3,-,2,-,9,1,1,1,1,2,1,2,12,7,5,2,16,8,4,3,2,7,1,-,-,5,8,-,6,3,2,4,1,2,3,2,2,3
"number, 2022","9,613,925","304,425",(D),"150,050",(D),(D),"653,409",20,"147,155",-,(D),365,-,(D),150,354,197,45,(D),-,110,36,"456,080",30,(D),92,-,52,57,-,-,(D),-,(D),"381,090","145,200",61,(D),84,42,(D),-,"179,000",-,-,360,-,-,120,(D),(D),677,"51,155",145,(D),185,-,"44,045","180,204","331,755",83,"547,530",-,170,"203,547","513,525",-,-,"200,034","741,748",55,40,127,(D),(D),96,(D),(D),"905,357","925,515",-,133,-,216,-,470,100,310,66,(D),-,"136,670",200,"138,146",285,(D),32,"91,383",(D),(D),(D),60,314,-,(D),"118,212",-,"3,547","87,091","377,130","3,052",49,22,"200,191","1,750",113,(D),(D),(D),200,-,(D),-,-,-,(D),80,(D),(D),30,-,-,(D),135,96,-,74,"90,158",(D),"135,049",123,38,(D),42,94,(D),-,"117,150",51,-,44,(D),62,(D),184,-,-,"240,024",-,250
2017,"8,714,012","192,086",(D),-,-,-,"892,382",100,(D),-,(D),-,-,(D),24,(D),63,410,34,60,180,-,"234,903",15,(D),-,-,(D),61,(D),-,(D),-,-,(D),"273,000",80,56,95,150,90,-,"143,707",(D),580,-,(D),(D),(D),90,(D),393,(D),74,-,281,80,(D),(D),"708,099",124,"603,308",-,(D),"348,464","240,064",(D),(D),"382,036","417,015",(D),"60,172",283,"70,046",(D),(D),(D),-,"894,875",(D),224,474,54,448,70,182,30,536,(D),114,30,(D),120,"230,020",66,-,(D),"358,046",246,326,-,(D),510,(D),(D),"193,018",-,175,"66,702","273,360",413,(D),"134,002",(D),380,182,(D),-,(D),(D),-,230,28,-,(D),-,165,(D),(D),(D),(D),(D),(D),(D),230,18,44,(D),50,135,165,24,(D),350,(D),-,-,"118,000",(D),-,58,150,(D),(D),(D),(D),40,(D),(D),65
"Broilers and other meat-type chickens                         farms, 2022","2,081",31,12,9,8,-,61,32,24,2,9,6,-,4,9,2,13,2,1,2,7,2,71,12,1,-,2,10,-,1,1,-,1,6,43,34,11,11,4,23,2,10,28,6,-,19,8,3,1,1,2,7,53,4,12,4,4,22,13,110,1,66,1,-,69,21,11,-,33,34,-,21,1,83,18,1,6,4,69,1,6,3,1,4,10,15,-,7,-,2,2,2,3,32,6,2,30,88,5,2,2,31,14,7,15,33,-,5,10,65,8,6,9,10,10,18,5,-,1,5,-,1,2,3,6,-,6,20,4,4,1,7,6,7,7,1,4,5,13,33,18,6,-,4,7,-,3,42,19,10,13,9,4,95,13,2,-,4,-,12
2017,"2,232",34,15,9,9,4,74,24,34,4,5,5,-,-,5,5,7,2,-,3,3,3,85,6,4,-,1,16,9,4,2,-,-,1,43,34,6,2,2,19,2,8,18,11,6,1,7,2,1,-,-,3,37,20,7,5,1,23,35,134,2,79,2,1,74,9,17,3,39,41,1,32,6,70,20,2,9,6,84,5,8,1,3,2,5,21,-,15,4,-,-,4,2,20,12,-,47,72,10,2,2,24,14,6,27,37,-,6,9,56,5,2,26,2,10,13,9,-,5,9,-,10,6,4,-,-,12,32,2,8,-,7,-,-,6,5,3,3,20,43,14,4,4,1,4,-,-,37,27,14,30,6,5,103,7,4,1,4,-,14
"number, 2022","231,349,257","3,022,144","1,411,580","615,150",(D),-,"5,994,500","2,620,744","2,183,329",(D),"1,292,820","778,800",-,360,"350,600",(D),"763,474",(D),(D),(D),424,(D),"8,051,403","1,196,300",(D),-,(D),"2,407,002",-,(D),(D),-,(D),271,"5,588,060","6,802,078",159,"1,589,149",61,"3,170,407",(D),"1,690,006","4,247,602","564,408",-,(D),"642,480",(D),(D),(D),(D),"3,332","5,638,518",600,"741,800",(D),40,"1,868,202","886,550","15,311,382",(D),"8,554,057",(D),-,"11,391,410","3,144,612","2,144,196",-,"2,950,445","3,450,086",-,"2,714,839",(D),"10,355,283","2,189,334",(D),(D),"531,000","8,810,506",(D),"894,000",147,(D),145,"652,030","1,600,786",-,32,-,(D),(D),(D),190,"2,374,384",12,(D),"5,500,840","12,750,073",(D),(D),(D),"4,112,302","1,484,600",122,"1,878,761","7,075,720",-,541,"805,902","13,136,216",(D),(D),"1,166,720","216,184",(D),"1,515,675","480,384",-,(D),"230,800",-,(D),(D),(D),24,-,(D),"2,558,620",50,"892,000",(D),"1,324,050",170,184,64,(D),41,146,"1,287,476","5,046,605","893,541","272,295",-,198,(D),-,30,"2,728,019","1,725,755","2,066,015","2,983,985",(D),"434,730","9,806,555","1,390,370",(D),-,"591,000",-,"1,477,888"
2017,"244,604,654","4,274,176","2,562,000","828,100","833,470",8,"6,920,965","1,221,369","2,329,045","345,620","825,603",(D),-,-,"774,050",54,"740,001",(D),-,"732,800",225,179,"8,520,002","609,080",62,-,(D),"2,990,056","332,954","200,060",(D),-,-,(D),"4,547,174","4,254,238",87,(D),(D),"2,894,061",(D),"1,165,650","2,424,575","954,816",80,(D),"780,290",(D),(D),-,-,610,"4,904,536",(D),"587,200","577,025",(D),"1,730,032","2,228,879","15,831,135",(D),"10,032,859",(D),(D),"12,869,517","1,389,442","3,442,635",55,"4,913,301","2,896,587",(D),"3,776,492",103,"8,734,644","1,570,284",(D),"200,187","738,000","7,368,851",(D),"572,498",(D),90,(D),(D),"2,055,107",-,470,46,-,-,"160,010",(D),"1,552,818",114,-,"6,566,598","10,327,300","600,053",(D),(D),"4,897,134","1,366,095",83,"2,112,138","6,062,395",-,112,"1,136,645","8,851,650","486,600",(D),"2,896,120",(D),"770,519","1,509,651","1,198,206",-,475,"528,000",-,"1,980",90,"720,000",-,-,"336,086","5,447,330",(D),"1,717,200",-,"1,149,648",-,-,24,"1,259,200",126,225,"1,890,758","7,615,875","696,761",(D),32,(D),"190,580",-,-,"3,865,600","3,842,959","3,077,800","7,287,301",(D),"523,207","10,723,168","1,054,411","3,218",(D),"712,054",-,(D)
"Turkeys                                                                              farms, 2022",465,-,4,5,-,1,2,11,2,-,3,1,-,7,4,6,6,3,4,1,-,1,7,-,-,-,-,-,2,3,1,-,-,1,11,-,4,9,1,2,1,3,2,-,-,1,-,-,1,-,-,10,11,5,1,5,7,10,4,3,3,4,2,12,9,1,1,1,-,9,1,-,4,2,-,6,12,-,2,5,-,2,-,-,1,7,4,5,-,2,1,-,-,3,2,3,6,5,3,-,1,1,3,3,6,-,-,24,1,-,5,7,-,7,5,2,-,1,-,-,-,11,2,3,6,-,3,-,-,-,-,-,2,-,5,-,4,10,1,8,9,5,-,-,5,1,-,6,-,1,1,4,5,-,6,-,2,11,1,3
2017,334,-,3,-,2,-,7,-,4,-,2,4,1,1,-,3,3,6,5,-,6,-,8,-,-,-,-,1,-,1,1,-,-,-,-,-,7,2,7,1,1,-,1,-,-,7,2,1,3,-,-,8,-,2,-,5,5,-,-,5,2,7,-,1,4,-,4,4,-,3,-,-,9,-,9,-,6,1,4,4,3,-,2,2,6,4,4,7,2,1,-,-,1,-,3,1,-,8,8,1,2,4,1,1,-,-,-,17,-,2,-,4,-,-,-,3,-,8,3,1,-,11,-,1,-,-,6,1,1,1,-,-,-,-,5,-,4,1,2,5,5,1,2,1,2,3,-,1,-,2,-,-,2,4,1,-,-,-,-,-
"number, 2022","7,011",-,6,20,-,(D),(D),35,(D),-,5,(D),-,18,8,60,10,18,10,(D),-,(D),23,-,-,-,-,-,(D),(D),(D),-,-,(D),"1,587",-,25,154,(D),(D),(D),25,(D),-,-,(D),-,-,(D),-,-,98,56,22,(D),12,60,214,46,26,41,139,(D),32,495,(D),(D),(D),-,34,(D),-,17,(D),-,18,149,-,(D),26,-,(D),-,-,(D),66,44,50,-,(D),(D),-,-,5,(D),6,39,70,16,-,(D),(D),24,111,28,-,-,336,(D),-,8,19,-,22,456,(D),-,(D),-,-,-,53,(D),62,24,-,15,-,-,-,-,-,(D),-,53,-,35,35,(D),98,23,23,-,-,18,(D),-,51,-,(D),(D),40,33,-,6,-,(D),116,(D),135
2017,"2,722",-,36,-,(D),-,13,-,84,-,(D),12,(D),(D),-,30,(D),19,14,-,24,-,47,-,-,-,-,(D),-,(D),(D),-,-,-,-,-,16,(D),69,(D),(D),-,(D),-,-,21,(D),(D),10,-,-,84,-,(D),-,48,16,-,-,23,(D),23,-,(D),16,-,21,84,-,18,-,-,53,-,45,-,38,(D),50,24,32,-,(D),(D),50,63,32,13,(D),(D),-,-,(D),-,24,(D),-,54,73,(D),(D),8,(D),(D),-,-,-,72,-,(D),-,10,-,-,-,48,-,22,39,(D),-,155,-,(D),-,-,81,(D),(D),(D),-,-,-,-,25,-,8,(D),(D),90,30,(D),(D),(D),(D),15,-,(D),-,(D),-,-,(D),38,(D),-,-,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,212",31,1,4,8,-,48,6,33,1,5,11,-,12,10,16,12,14,16,4,18,17,57,15,3,5,-,6,17,4,1,2,1,9,24,13,25,6,26,18,3,14,12,3,-,33,-,-,5,3,5,14,37,19,2,9,10,19,25,64,29,28,2,19,44,12,8,10,27,47,16,22,9,67,3,24,8,2,23,23,14,6,5,6,9,24,11,35,3,7,10,6,27,13,15,7,4,49,12,20,1,4,10,4,19,9,-,35,10,21,25,23,22,15,18,45,-,9,1,2,-,16,11,2,7,2,16,10,4,5,-,2,10,11,25,3,5,26,7,49,28,7,8,20,19,-,1,33,20,7,6,9,11,14,19,3,3,15,7,16
2017,"1,996",21,4,2,11,8,45,13,36,-,11,11,3,3,5,14,8,23,10,6,12,7,54,5,9,9,5,8,29,10,1,-,1,11,10,26,20,11,19,9,1,15,4,13,-,15,9,5,4,5,1,23,26,24,1,21,17,31,23,64,6,31,2,3,42,4,19,8,38,35,2,9,31,38,26,15,14,4,44,17,20,2,7,24,8,8,5,14,4,10,-,4,15,17,31,1,13,43,14,12,8,5,9,4,15,12,-,21,11,35,10,4,21,17,7,18,5,6,3,2,-,22,7,3,8,6,22,10,-,4,-,2,1,3,13,4,5,11,11,43,4,14,7,11,15,7,2,13,23,5,6,9,14,22,3,2,2,7,4,6
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","5,214",76,19,29,4,5,150,43,75,9,24,17,6,20,21,14,48,27,15,7,19,23,128,35,13,8,2,26,34,12,1,5,1,22,79,52,27,16,35,41,7,26,41,10,-,39,10,3,10,8,7,34,101,30,22,18,31,41,48,200,47,122,9,26,128,37,15,13,80,120,11,53,12,166,32,27,24,12,116,36,17,23,18,16,20,36,16,55,6,10,12,16,33,49,29,10,49,155,26,26,7,50,41,17,60,64,-,36,26,110,48,22,31,29,23,57,6,18,5,19,-,21,10,8,10,5,16,42,-,14,-,11,7,11,33,4,7,42,25,115,42,16,6,21,26,1,5,87,50,15,34,17,26,124,31,6,5,30,10,30
2017,"5,271",65,23,14,14,4,160,37,92,6,23,23,2,7,14,7,19,22,16,10,15,8,154,24,19,18,1,38,56,11,2,1,2,14,53,50,34,21,25,35,8,23,34,20,8,29,14,3,4,16,1,42,68,36,7,32,24,55,53,240,23,121,2,6,149,35,29,17,83,111,10,62,54,127,55,50,26,10,152,29,31,13,11,34,12,35,19,36,9,13,6,9,17,51,35,1,65,155,19,27,8,39,42,12,60,50,11,50,35,98,31,17,53,23,49,37,13,7,5,16,2,28,11,12,13,10,26,49,6,16,5,8,8,4,33,14,17,17,45,130,38,10,11,22,30,3,-,63,58,17,52,15,31,119,10,16,3,16,13,29
