Item,Idaho_s,Ada,Adams,Bannock,Bear Lake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,Nez Perce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,Twin Falls,Valley,Washington
"400 to 3,199..........................................................................",9,1,-,-,-,-,2,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",447,25,2,24,4,5,18,2,3,46,9,1,1,-,60,6,3,-,2,4,8,14,7,20,3,9,11,8,46,21,7,4,3,4,7,9,11,2,7,-,-,7,16,2,6
2017,535,20,3,6,4,5,30,1,2,66,26,13,7,4,69,14,4,-,1,2,16,5,1,37,5,26,10,2,39,32,14,-,2,1,1,16,1,-,11,-,2,8,22,1,6
"number, 2022",(D),721,(D),312,72,50,560,(D),15,477,64,(D),(D),-,982,80,40,-,(D),57,261,(D),84,137,31,275,216,111,640,234,112,46,6,14,37,102,60,(D),254,-,-,164,194,(D),78
2017,(D),964,32,63,60,72,394,(D),(D),772,319,167,59,60,"3,006",165,63,-,(D),(D),141,(D),(D),616,104,370,66,(D),709,354,192,-,(D),(D),(D),151,(D),-,846,-,(D),32,249,(D),268
"Broilers and other meat-type chickens                         farms, 2022",350,31,-,19,6,7,12,1,-,32,7,4,2,4,57,5,5,3,3,2,2,8,2,13,8,4,12,11,15,14,7,2,-,1,6,1,-,3,13,-,6,2,7,10,3
2017,430,30,1,6,10,2,20,-,-,60,9,5,3,5,42,-,3,-,6,4,13,3,14,33,8,16,6,13,27,11,10,1,5,6,16,1,-,3,9,2,-,-,12,-,15
"number, 2022","12,403",594,-,322,85,127,449,(D),-,"2,582",186,144,(D),160,"2,056",54,159,408,89,(D),(D),169,(D),411,106,88,90,162,432,456,177,(D),-,(D),127,(D),-,65,637,-,570,(D),715,319,115
2017,"11,548",201,(D),54,126,(D),289,-,-,"1,717",200,(D),45,49,"1,204",-,75,-,60,12,143,45,310,"1,328",158,252,300,190,521,600,400,(D),210,95,354,(D),-,33,214,(D),-,-,359,-,"1,625"
"Turkeys                                                                              farms, 2022",297,19,-,23,3,10,19,2,-,20,22,-,1,-,36,-,6,1,-,4,3,9,7,14,8,1,14,11,10,1,6,1,3,2,7,-,2,2,7,-,-,3,17,-,3
2017,314,18,5,2,2,3,8,2,-,31,25,-,3,-,56,5,8,-,-,2,10,-,4,17,3,3,15,6,11,3,11,2,4,-,3,-,-,3,15,-,-,6,22,2,4
"number, 2022","4,644",68,-,46,27,102,104,(D),-,77,81,-,(D),-,"3,059",-,56,(D),-,66,10,15,72,73,36,(D),70,46,30,(D),96,(D),9,(D),26,-,(D),(D),37,-,-,13,83,-,12
2017,"4,793",220,22,(D),(D),3,44,(D),-,143,216,-,90,-,"2,333",10,19,-,-,(D),87,-,8,250,40,20,35,98,317,7,84,(D),140,-,30,-,-,31,77,-,-,63,259,(D),19
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",999,59,4,63,5,13,36,4,16,92,38,13,3,6,147,12,12,-,6,4,17,24,17,64,9,22,22,12,68,32,17,4,6,3,15,11,12,20,22,4,8,6,31,5,15
2017,938,62,5,25,12,3,57,1,5,114,66,7,5,5,94,17,10,-,14,6,20,22,6,59,18,14,11,9,74,31,17,5,9,7,19,12,-,16,21,3,6,13,14,6,18
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,751",130,13,88,13,19,83,16,8,145,57,41,2,8,268,25,14,1,14,12,33,30,30,71,13,41,42,22,113,60,28,5,10,13,19,21,22,20,47,3,10,27,71,15,28
2017,"1,990",164,7,47,18,18,99,7,11,228,98,30,9,8,235,31,24,-,23,2,45,38,25,72,21,51,41,31,161,92,29,4,17,27,13,27,16,26,64,7,5,17,59,4,39
"Layers sold                                                                        farms, 2022",358,14,-,13,2,2,10,3,3,39,18,6,1,4,51,5,3,-,-,-,1,12,14,14,2,10,13,2,15,18,8,2,3,4,6,8,5,4,11,-,-,5,18,4,5
2017,503,46,2,8,9,1,23,2,-,40,26,15,-,-,74,5,10,-,8,2,12,18,7,13,2,17,11,-,29,16,5,-,8,4,5,12,11,9,23,-,-,4,15,-,11
"number, 2022",(D),721,-,128,(D),(D),"1,021",36,120,"1,468",233,657,(D),80,"7,188",52,110,-,-,-,(D),(D),211,209,(D),246,"1,061",(D),236,"1,893",24,(D),64,60,66,515,114,24,110,-,-,72,221,26,53
2017,"295,644",341,(D),188,60,(D),482,(D),-,"1,169",507,210,-,-,"2,682",(D),44,-,48,(D),179,(D),106,130,(D),640,121,-,"4,233","1,097",79,-,141,36,(D),56,73,48,(D),-,-,128,101,-,(D)
"Pullets for laying flock replacement sold                      farms, 2022",43,2,-,-,-,-,4,-,-,7,2,-,-,-,7,-,2,-,-,-,3,1,-,1,-,1,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-
2017,32,-,-,-,-,-,3,1,-,2,4,1,3,-,8,3,-,-,-,-,-,1,-,1,-,-,-,1,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"number, 2022",(D),(D),-,-,-,-,400,-,-,159,(D),-,-,-,121,-,(D),-,-,-,154,(D),-,(D),-,(D),-,(D),96,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-
2017,(D),-,-,-,-,-,30,(D),-,(D),36,(D),15,-,430,(D),-,-,-,-,-,(D),-,(D),-,-,-,(D),60,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-
"Broilers and other meat-type chickens sold                farms, 2022",155,4,-,7,1,3,12,-,-,7,-,5,-,-,42,4,2,-,-,1,3,3,1,5,2,-,6,4,8,4,4,-,-,-,-,-,-,-,7,-,6,1,4,7,2
2017,213,13,4,3,6,3,13,1,-,24,3,4,3,1,40,-,3,-,-,2,3,4,6,13,-,5,-,5,13,9,2,-,-,4,3,-,-,-,1,2,-,-,12,-,8
"number, 2022","11,815",305,-,139,(D),66,434,-,-,"1,505",-,214,-,-,"4,198",96,(D),-,-,(D),(D),72,(D),116,(D),-,325,260,142,998,750,-,-,-,-,-,-,-,308,-,120,(D),304,201,(D)
2017,"17,852",124,(D),30,6,85,653,(D),-,"1,752",70,624,15,(D),"3,705",-,52,-,-,(D),(D),53,72,541,-,132,-,110,245,379,(D),-,-,80,180,-,-,-,(D),(D),-,-,718,-,"7,460"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",155,4,-,7,1,3,12,-,-,7,-,5,-,-,42,4,2,-,-,1,3,3,1,5,2,-,6,4,8,4,4,-,-,-,-,-,-,-,7,-,6,1,4,7,2
"2,000 to 59,999.....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",95,12,-,2,-,-,9,-,-,6,2,-,1,-,23,-,3,-,-,-,3,-,4,1,-,-,4,2,3,1,2,-,-,2,-,-,-,-,3,-,-,4,6,-,2
2017,170,15,1,2,-,-,6,-,-,19,13,-,3,-,39,-,2,-,-,2,1,-,6,13,1,3,-,4,9,-,1,-,-,-,5,-,-,1,11,-,-,5,5,-,3
"number, 2022","4,156",41,-,(D),-,-,38,-,-,35,(D),-,(D),-,"3,498",-,26,-,-,-,30,-,8,(D),-,-,20,(D),(D),(D),(D),-,-,(D),-,-,-,-,10,-,-,40,28,-,(D)
2017,"4,905",182,(D),(D),-,-,21,-,-,84,108,-,45,-,"3,089",-,(D),-,-,(D),(D),-,60,231,(D),10,-,12,86,-,(D),-,-,-,50,-,-,(D),45,-,-,42,37,-,745
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",188,9,-,9,-,5,9,1,-,24,13,-,-,-,30,-,1,-,1,-,1,7,7,5,1,5,9,3,9,10,2,-,-,-,-,3,2,3,7,1,-,2,6,-,3
2017,225,11,2,2,6,-,12,1,1,29,22,1,2,-,28,-,2,-,2,-,6,2,6,12,1,3,-,5,13,6,9,1,4,2,5,7,-,2,8,-,-,3,1,-,8
