Item,Nebraska,Adams,Antelope,Arthur,Banner,Blaine,Boone,Box Butte,Boyd,Brown,Buffalo,Burt,Butler,Cass,Cedar,Chase,Cherry,Cheyenne,Clay,Colfax,Cuming,Custer,Dakota,Dawes,Dawson,Deuel,Dixon,Dodge,Douglas,Dundy,Fillmore,Franklin,Frontier,Furnas,Gage,Garden,Garfield,Gosper,Grant,Greeley,Hall,Hamilton,Harlan,Hayes,Hitchcock,Holt,Hooker,Howard,Jefferson,Johnson,Kearney,Keith,Keya Paha,Kimball,Knox,Lancaster,Lincoln,Logan,Loup,McPherson,Madison,Merrick,Morrill,Nance,Nemaha,Nuckolls,Otoe,Pawnee,Perkins,Phelps,Pierce,Platte,Polk,Red Willow,Richardson,Rock,Saline,Sarpy,Saunders,Scotts Bluff,Seward,Sheridan,Sherman,Sioux,Stanton,Thayer,Thomas,Thurston,Valley,Washington,Wayne,Webster,Wheeler,York
100 to 399.............................................................................,82,-,5,-,-,-,-,-,5,-,5,2,5,5,1,-,-,2,-,2,-,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,5,3,-,2,-,-,-,-,2,-,-,-,-,9,-,-,-,-,-,3,1,-,-,1,-,-,2,-,-,-,3,3,-,2,-,-,-,2,-,-,-,-,1,-,2,-,-
"400 to 3,199..........................................................................",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20,000 to 49,999...................................................................",5,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
"100,000 or more....................................................................",10,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
"Pullets for laying flock replacement                              farms, 2022",351,2,7,3,2,1,3,6,3,-,8,-,1,12,2,-,-,-,-,-,12,10,3,7,8,-,1,6,4,-,-,2,-,-,6,2,-,1,1,3,6,1,4,-,-,-,1,12,5,1,6,2,-,2,6,14,7,-,2,-,12,10,3,-,-,8,5,4,3,-,8,2,2,2,7,-,2,15,10,8,8,5,3,10,4,3,-,-,1,7,6,9,1,8
2017,352,3,-,-,3,1,2,11,-,1,13,-,3,8,-,2,4,-,13,-,5,12,1,4,10,-,3,7,14,-,-,-,-,1,3,1,8,2,-,6,10,3,4,1,-,9,-,9,2,-,2,1,4,-,3,18,5,-,1,1,6,3,-,-,8,1,19,4,-,-,8,6,2,2,-,-,2,6,12,3,16,3,-,3,2,-,-,2,4,8,7,10,-,1
"number, 2022","2,206,036",(D),255,96,(D),(D),36,73,80,-,248,-,(D),198,(D),-,-,-,-,-,84,152,(D),135,258,-,(D),"140,082",12,-,-,(D),-,-,122,(D),-,(D),(D),(D),(D),(D),36,-,-,-,(D),546,40,(D),120,(D),-,(D),88,894,67,-,(D),-,457,"168,280",48,-,-,82,410,31,50,-,"489,737",(D),(D),(D),72,-,(D),941,364,84,456,83,150,100,34,62,-,-,(D),125,58,321,(D),(D)
2017,"2,042,880",119,-,-,45,(D),(D),65,-,(D),186,-,300,253,-,(D),30,-,152,-,340,156,(D),27,108,-,(D),268,172,-,-,-,-,(D),106,(D),460,(D),-,180,148,75,24,(D),-,585,-,792,(D),-,(D),(D),21,-,110,"1,129",90,-,(D),(D),618,19,-,-,170,(D),261,39,-,-,(D),160,(D),(D),-,-,(D),100,342,78,302,28,-,(D),(D),-,-,(D),100,148,34,400,-,(D)
"Broilers and other meat-type chickens                         farms, 2022",315,-,4,-,4,-,2,4,1,3,11,5,14,2,4,3,4,6,2,3,13,3,-,-,1,-,-,7,2,-,-,-,-,1,12,-,-,2,-,-,4,11,2,-,-,-,-,9,7,5,-,-,-,-,4,25,2,-,-,-,22,-,7,-,1,6,-,1,-,-,2,9,5,-,3,7,10,4,5,7,6,5,-,5,5,-,-,2,-,18,-,1,-,2
2017,315,2,4,-,-,-,3,2,1,1,4,2,7,9,10,2,6,6,3,4,2,1,-,6,13,1,2,10,8,-,2,-,-,1,15,2,-,-,-,6,8,9,-,1,-,5,-,4,-,8,2,-,1,-,3,31,-,-,1,-,4,10,1,-,-,-,3,9,-,-,1,3,3,1,1,-,2,6,13,8,3,1,2,2,-,1,-,14,2,15,-,2,-,-
"number, 2022","15,912,621",-,210,-,76,-,(D),60,(D),54,538,175,"5,533,405",(D),338,15,26,202,(D),(D),(D),(D),-,-,(D),-,-,(D),(D),-,-,-,-,(D),"180,279",-,-,(D),-,-,34,(D),(D),-,-,-,-,45,115,(D),-,-,-,-,(D),"520,708",(D),-,-,-,"1,900",-,69,-,(D),120,-,(D),-,-,(D),"3,398,060",(D),-,20,86,410,114,"994,838",86,"1,147,044",151,-,80,(D),-,-,(D),-,(D),-,(D),-,(D)
2017,"1,224,889",(D),280,-,-,-,105,(D),(D),(D),60,(D),(D),322,336,(D),50,164,38,191,(D),(D),-,90,"1,054",(D),(D),722,318,-,(D),-,-,(D),"132,635",(D),-,-,-,72,160,"300,048",-,(D),-,53,-,(D),-,(D),(D),-,(D),-,350,(D),-,-,(D),-,(D),490,(D),-,-,-,236,575,-,-,(D),530,235,(D),(D),-,(D),571,581,254,150,(D),(D),(D),-,(D),-,440,(D),"1,265",-,(D),-,-
"Turkeys                                                                              farms, 2022",178,-,1,-,-,-,2,3,1,-,9,-,-,3,-,-,1,2,-,-,9,2,3,3,8,-,-,5,4,-,-,-,-,2,11,-,-,-,-,-,2,9,2,-,-,-,-,1,6,-,-,-,-,-,-,9,-,3,-,1,2,2,-,-,-,-,13,-,2,-,3,9,4,-,-,-,-,3,1,11,6,4,3,-,1,-,-,2,-,7,-,1,2,-
2017,153,-,-,-,1,-,-,-,-,-,-,3,3,-,-,-,-,5,3,-,2,-,3,5,4,-,4,7,3,2,6,-,-,3,1,-,-,2,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,9,1,12,-,-,-,-,2,9,-,-,-,4,5,-,3,-,1,2,2,-,2,-,-,2,-,4,5,4,1,4,1,5,1,2,2,9,-,-,-,-
"number, 2022",(D),-,(D),-,-,-,(D),6,(D),-,78,-,-,9,-,-,(D),(D),-,-,30,(D),30,45,37,-,-,8,12,-,-,-,-,(D),(D),-,-,-,-,-,(D),180,(D),-,-,-,-,(D),12,-,-,-,-,-,-,70,-,66,-,(D),(D),(D),-,-,-,-,73,-,(D),-,9,53,40,-,-,-,-,10,(D),40,74,45,18,-,(D),-,-,(D),-,8,-,(D),(D),-
2017,(D),-,-,-,(D),-,-,-,-,-,-,15,51,-,-,-,-,34,27,-,(D),-,30,16,26,-,20,169,21,(D),18,-,-,7,(D),-,-,(D),-,-,-,-,(D),-,-,-,-,-,(D),-,-,-,-,15,(D),(D),-,-,-,-,(D),32,-,-,-,64,46,-,24,-,(D),(D),(D),-,(D),-,-,(D),-,4,(D),16,(D),28,(D),10,(D),(D),(D),27,-,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022",769,9,15,1,-,-,3,10,1,2,21,11,13,16,6,2,11,10,21,3,16,24,11,14,8,2,3,14,18,-,1,4,6,1,30,3,3,1,1,-,13,8,6,2,-,25,-,25,6,-,4,-,-,2,8,36,21,7,-,-,17,2,3,1,2,13,11,5,2,4,8,10,4,5,11,3,11,25,22,24,23,5,7,-,10,11,4,4,-,30,2,-,6,6
2017,941,5,3,4,1,2,4,15,1,12,16,7,18,19,8,-,6,26,21,2,11,19,8,18,19,8,4,10,18,2,6,23,11,3,20,-,4,5,-,2,15,22,11,2,-,32,-,9,12,2,2,9,1,11,16,68,20,1,-,1,8,9,6,1,7,7,17,7,7,5,4,14,4,9,14,1,9,35,32,24,32,5,4,4,10,6,-,2,7,28,11,7,2,8
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","1,736",12,22,2,4,6,8,19,8,12,59,16,47,32,34,5,12,13,22,6,41,26,14,27,23,8,12,27,24,6,2,6,6,11,37,6,9,1,2,8,24,26,10,3,9,42,2,38,20,8,21,4,4,9,29,123,35,10,4,-,45,16,10,5,12,18,34,18,10,8,16,27,26,16,14,3,21,37,41,46,63,23,12,19,19,10,6,7,5,49,14,3,7,20
2017,"1,777",10,18,-,9,1,9,25,11,12,41,28,30,41,30,3,14,16,26,8,21,23,24,26,26,14,11,34,26,5,5,17,16,7,50,4,10,5,5,15,27,30,12,5,7,27,1,26,12,8,7,1,4,15,31,171,44,-,3,2,21,31,11,5,22,14,38,13,8,8,21,43,13,17,13,1,27,36,53,51,51,14,5,8,17,20,1,12,13,44,14,8,7,8
"Layers sold                                                                        farms, 2022",270,2,7,2,-,-,-,1,-,-,7,11,12,9,-,-,-,3,4,2,8,2,1,4,1,-,1,3,8,1,-,-,-,1,3,-,4,1,-,1,3,6,-,2,-,5,1,4,2,1,2,2,-,2,3,17,13,3,-,-,4,-,2,-,-,-,6,4,2,-,4,2,6,6,-,-,5,8,14,6,12,-,-,-,1,-,-,-,-,17,4,-,2,-
2017,362,3,1,-,9,-,2,-,-,-,3,-,1,16,7,-,3,2,5,1,8,2,3,-,4,2,4,9,6,4,-,3,7,-,17,2,-,2,3,2,2,7,5,2,2,1,1,9,3,-,3,-,-,7,5,40,9,-,2,-,3,-,-,-,8,4,7,-,-,2,3,12,8,4,3,-,3,15,24,12,3,-,-,3,-,-,-,3,2,10,-,3,-,1
"number, 2022","4,880,715",(D),"1,015",(D),-,-,-,(D),-,-,242,800,"929,738",(D),-,-,-,114,80,(D),"100,036",(D),(D),80,(D),-,(D),945,382,(D),-,-,-,(D),(D),-,68,(D),-,(D),(D),372,-,(D),-,195,(D),88,(D),(D),(D),(D),-,(D),(D),"1,060",315,9,-,-,320,-,(D),-,-,-,139,48,(D),-,161,(D),36,36,-,-,34,215,297,187,306,-,-,-,(D),-,-,-,-,(D),(D),-,(D),-
2017,"5,134,087",59,(D),-,345,-,(D),-,-,-,6,-,(D),681,33,-,44,(D),170,(D),143,(D),210,-,437,(D),(D),227,32,736,-,120,"1,548",-,"664,532",(D),-,(D),9,(D),(D),29,290,(D),(D),(D),(D),860,14,-,45,-,-,76,(D),"1,460",318,-,(D),-,450,-,-,-,92,14,"1,231",-,-,(D),182,"50,530",(D),30,24,-,54,311,590,328,107,-,-,110,-,-,-,45,(D),374,-,(D),-,(D)
"Pullets for laying flock replacement sold                      farms, 2022",38,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,3,-,-,-,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,2,2,3,5,-,-,-,-,-,-,-,-,-,-,1,-,2
2017,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,2,-,-,3,-,1,3,-,-,-,-,-,1,2,-,-,-,-,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,2,-,2,-,-,-,3,2,-,-,-,-,-,1,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
"number, 2022","7,093,541",-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-,75,-,-,-,-,-,(D),(D),-,-,-,-,-,-,(D),-,-,-,-,(D),-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,"140,000",-,-,-,-,-,-,-,-,(D),-,-,-,-,-,(D),(D),(D),90,418,-,-,-,-,-,-,-,-,-,-,(D),-,(D)
2017,"6,223,725",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),120,-,-,(D),-,-,60,-,(D),45,-,-,-,-,-,(D),(D),-,-,-,-,150,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,948,-,-,-,-,-,-,-,-,(D),-,(D),-,-,-,(D),(D),-,-,-,-,-,(D),60,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",200,-,2,-,-,6,-,2,3,3,1,1,13,2,4,-,-,1,2,1,18,1,1,6,1,-,-,6,-,-,-,-,-,-,4,-,-,-,1,-,3,10,-,-,-,3,-,-,1,2,-,2,-,-,4,16,1,-,-,-,9,-,1,-,1,-,3,1,3,-,3,9,3,-,-,1,4,-,5,6,6,-,-,-,2,-,-,-,-,17,-,1,2,2
2017,309,1,1,-,6,-,3,5,-,-,-,4,7,8,6,-,-,7,-,-,1,-,-,6,4,-,-,16,6,-,-,-,-,-,12,-,-,-,-,6,9,3,-,-,-,1,-,8,2,1,-,-,-,-,1,28,5,-,-,-,6,10,-,3,2,-,15,11,5,-,6,9,2,-,1,-,16,9,15,2,8,-,1,-,-,1,-,6,-,16,6,2,-,-
"number, 2022","90,851,080",-,(D),-,-,18,-,(D),450,54,(D),(D),"31,469,510",(D),212,-,-,(D),(D),(D),(D),(D),(D),270,(D),-,-,(D),-,-,-,-,-,-,"700,015",-,-,-,(D),-,(D),(D),-,-,-,(D),-,-,(D),(D),-,(D),-,-,(D),"1,780,730",(D),-,-,-,(D),-,(D),-,(D),-,163,(D),410,-,240,"21,281,250",(D),-,-,(D),426,-,"5,524,450",190,"5,995,620",-,-,-,(D),-,-,-,-,(D),-,(D),(D),(D)
2017,"6,785,473",(D),(D),-,300,-,45,110,-,-,-,900,(D),520,36,-,-,448,-,-,(D),-,-,930,70,-,-,"3,975","1,875",-,-,-,-,-,"630,268",-,-,-,-,72,363,"1,800,000",-,-,-,(D),-,"1,216",(D),(D),-,-,-,-,(D),(D),391,-,-,-,"5,700",376,-,"1,089",(D),-,698,"3,450",95,-,360,"2,300",(D),-,(D),-,"33,496",435,"1,320",(D),439,-,(D),-,-,(D),-,360,-,986,30,(D),-,-
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",152,-,2,-,-,6,-,2,3,3,1,1,2,2,4,-,-,1,2,-,17,1,1,6,1,-,-,4,-,-,-,-,-,-,1,-,-,-,1,-,3,9,-,-,-,3,-,-,1,-,-,2,-,-,4,13,1,-,-,-,8,-,1,-,-,-,3,1,3,-,3,1,2,-,-,1,4,-,2,6,2,-,-,-,1,-,-,-,-,14,-,1,2,-
"2,000 to 59,999.....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",41,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,1,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,8,1,-,-,-,-,-,3,-,4,-,-,-,-,-,-,-,-,2,-,-,-,2
"Turkeys sold                                                                      farms, 2022",50,-,1,-,-,-,-,-,-,-,-,-,1,3,1,-,-,3,-,-,6,-,-,-,3,-,-,1,6,-,-,-,-,-,2,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,6,-,1,-,-,3,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-
2017,58,-,-,-,1,-,-,-,-,2,-,-,3,-,-,-,-,2,3,1,2,-,3,-,2,-,2,9,6,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,4,2,1,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,3,-,-,-,-
"number, 2022","120,147",-,(D),-,-,-,-,-,-,-,-,-,(D),9,(D),-,-,18,-,-,6,-,-,-,31,-,-,(D),18,-,-,-,-,-,(D),-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,18,-,-,-,-,-,-,-,-,44,-,(D),-,-,45,-,-,-,-,-,-,(D),-,(D),-,-,-,(D),-,-,-,-,-,-,(D),-,-
2017,(D),-,-,-,(D),-,-,-,-,(D),-,-,51,-,-,-,-,(D),9,(D),(D),-,18,-,(D),-,(D),118,345,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,(D),(D),-,-,-,-,-,-,-,-,-,-,-,(D),-,-,52,(D),(D),-,-,-,-,-,-,(D),-,-,(D),-,-,-,-,-,9,-,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",164,5,7,-,-,-,-,3,-,-,3,4,8,9,-,-,2,2,6,-,2,5,-,3,2,-,2,4,6,-,1,-,1,-,4,-,1,-,1,-,5,6,2,1,-,-,-,1,-,-,-,-,-,-,2,5,5,3,-,-,2,-,-,-,-,3,2,-,-,-,-,2,-,-,-,-,-,1,1,5,11,-,3,-,2,-,-,2,-,16,1,-,2,-
2017,218,2,4,-,1,-,4,4,1,-,1,3,3,10,6,-,3,2,6,2,3,2,3,3,4,-,2,6,4,-,-,-,-,1,5,-,-,-,-,-,2,6,-,-,-,4,-,-,6,-,-,-,-,-,3,23,6,-,-,-,2,-,-,-,5,4,10,-,-,-,-,4,-,6,-,-,4,10,8,2,5,1,2,-,2,-,-,-,2,10,-,-,-,6
