Item,Kentucky,Adair,Allen,Anderson,Ballard,Barren,Bath,Bell,Boone,Bourbon,Boyd,Boyle,Bracken,Breathitt,Breckinridge,Bullitt,Butler,Caldwell,Calloway,Campbell,Carlisle,Carroll,Carter,Casey,Christian,Clark,Clay,Clinton,Crittenden,Cumberland,Daviess,Edmonson,Elliott,Estill,Fayette,Fleming,Floyd,Franklin,Fulton,Gallatin,Garrard,Grant,Graves,Grayson,Green,Greenup,Hancock,Hardin,Harlan,Harrison,Hart,Henderson,Henry,Hickman,Hopkins,Jackson,Jefferson,Jessamine,Johnson,Kenton,Knott,Knox,Larue,Laurel,Lawrence,Lee,Leslie,Letcher,Lewis,Lincoln,Livingston,Logan,Lyon,McCracken,McCreary,McLean,Madison,Magoffin,Marion,Marshall,Martin,Mason,Meade,Menifee,Mercer,Metcalfe,Monroe,Montgomery,Morgan,Muhlenberg,Nelson,Nicholas,Ohio,Oldham,Owen,Owsley,Pendleton,Perry,Pike,Powell,Pulaski,Robertson,Rockcastle,Rowan,Russell,Scott,Shelby,Simpson,Spencer,Taylor,Todd,Trigg,Trimble,Union,Warren,Washington,Wayne,Webster,Whitley,Wolfe,Woodford
100 to 399.............................................................................,178,-,1,2,-,1,-,-,3,5,2,-,-,-,1,-,4,-,-,1,-,-,-,1,7,1,6,-,2,4,-,-,1,-,4,4,-,-,-,-,1,4,3,3,-,1,-,7,-,4,2,-,2,-,-,5,1,2,-,3,-,-,-,5,-,2,-,-,-,-,-,4,-,1,-,2,5,-,-,-,-,-,1,-,6,4,1,1,-,-,5,-,1,5,1,1,3,-,-,-,-,1,-,-,2,3,15,-,4,2,3,-,2,-,4,-,-,-,2,-,4
"400 to 3,199..........................................................................",29,1,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,2,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-
"3,200 to 9,999.......................................................................",16,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,-,-,-,-
"10,000 to 19,999...................................................................",39,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,10,-,-,-,2,-,7,-,-,-,-
"20,000 to 49,999...................................................................",49,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,5,-,-,-,-,-,-,6,-,-,-,-,-,-,2,-,-,-,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,1,-,4,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,8,-,-,-,-,-,-
"50,000 to 99,999...................................................................",6,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,305",12,36,36,6,23,13,3,16,24,3,11,9,1,13,15,8,1,4,19,1,3,23,11,16,3,5,8,13,15,8,12,7,9,-,9,-,15,3,2,9,17,17,20,12,9,2,30,-,27,30,3,8,-,18,9,6,12,9,5,1,14,22,22,1,6,-,12,4,30,7,13,3,5,9,3,29,8,3,20,-,11,12,-,20,5,3,15,8,5,41,6,9,4,19,2,13,2,1,3,27,1,16,4,12,14,38,11,12,18,17,7,7,1,23,13,10,3,11,3,7
2017,"1,306",4,28,20,2,18,10,18,15,12,5,9,7,1,26,34,11,7,8,10,4,-,27,21,22,17,4,4,20,15,30,9,8,12,4,15,-,13,-,14,10,16,22,25,15,2,6,25,4,17,13,12,16,4,14,16,5,18,9,20,-,13,16,10,6,2,-,13,3,16,6,7,2,8,13,4,17,10,10,15,-,8,11,5,30,8,2,5,12,5,24,7,11,7,17,2,25,5,2,4,19,1,18,4,4,6,25,11,13,3,10,8,4,1,25,13,10,2,6,3,6
"number, 2022","2,002,388",136,(D),532,(D),727,131,30,472,306,64,220,178,(D),249,200,257,(D),77,354,(D),51,467,159,196,34,34,46,148,(D),131,(D),141,105,-,540,-,207,26,(D),94,211,"230,219",(D),124,160,(D),457,-,504,320,45,137,-,(D),386,38,821,227,72,(D),265,255,444,(D),42,-,159,222,707,184,144,18,(D),144,120,462,39,24,(D),-,161,108,-,302,85,(D),252,138,(D),562,59,61,66,193,(D),229,(D),(D),22,(D),(D),239,45,442,183,"1,304",(D),238,256,(D),(D),141,(D),"65,022",174,"130,216",(D),126,70,822
2017,"2,311,646",90,"1,873",305,(D),282,89,350,345,714,62,90,54,(D),756,562,216,92,"47,279",342,"60,020",-,663,333,699,"1,247",172,36,675,(D),668,(D),76,102,44,211,-,868,-,182,183,282,"285,015",(D),188,(D),124,370,54,260,200,270,200,70,(D),223,72,641,129,182,-,466,270,224,70,(D),-,331,106,121,185,163,(D),129,214,510,834,220,139,(D),-,81,124,30,455,73,(D),72,137,(D),562,(D),514,67,171,(D),292,125,(D),34,(D),(D),270,34,70,78,355,"127,200",141,32,(D),"4,106",75,(D),"476,064",513,"189,246",(D),94,315,290
"Broilers and other meat-type chickens                         farms, 2022","1,319",27,26,20,9,40,20,-,7,23,3,6,12,2,14,21,11,2,13,1,13,-,13,22,20,3,2,14,4,6,12,6,7,2,4,9,2,9,2,5,3,10,70,19,17,21,10,19,4,12,15,9,7,30,20,11,2,15,-,10,-,17,13,15,1,2,-,3,5,23,3,5,1,5,4,43,25,9,11,15,-,1,17,-,11,5,18,6,3,9,25,9,38,7,16,1,11,3,2,6,17,-,8,9,15,15,23,4,6,13,9,10,4,4,18,8,17,20,10,-,5
2017,"1,353",20,46,11,11,45,9,9,17,6,14,17,4,4,27,17,19,1,18,5,8,4,23,20,26,3,-,12,12,6,20,13,3,12,5,10,1,20,7,11,2,9,67,29,14,11,-,29,2,9,23,6,6,35,21,2,4,3,6,8,-,3,4,1,7,-,2,1,10,6,1,10,-,2,6,38,11,7,6,8,-,5,24,-,8,10,15,-,7,29,16,14,51,13,12,4,10,3,2,4,19,2,10,2,1,2,40,4,5,8,19,11,7,-,14,9,17,16,7,4,4
"number, 2022","48,826,967","980,042","1,278",759,"1,100,905","1,752,461",235,-,224,887,56,154,369,(D),"1,304,883",484,"399,206",(D),"1,266,720",(D),"1,167,170",-,328,"2,111","527,215",(D),(D),"1,356,533",(D),(D),"1,876,270",(D),270,(D),80,735,(D),"2,511",(D),82,(D),"2,326","10,264,676","209,133","394,440",520,324,(D),160,424,"1,278",(D),91,"3,655,523","2,918,509",233,(D),420,-,(D),-,413,193,410,(D),(D),-,203,250,499,69,263,(D),84,(D),"4,824,670",256,93,238,"754,043",-,(D),"296,334",-,565,(D),"1,748,060",85,89,"1,271,200",917,83,"3,083,055",(D),676,(D),371,80,(D),86,839,-,197,586,"1,777",172,"2,306",(D),99,"655,878","342,033",650,(D),84,(D),92,"995,400","4,439,600",375,-,95
2017,"50,610,893","1,213,500","7,205",183,"965,065","1,560,092",296,187,192,(D),188,476,86,60,"1,383,559",267,"759,232",(D),"1,414,270",414,"729,480",61,393,148,"321,080",300,-,"1,365,520",(D),(D),"1,349,130",569,104,122,(D),195,(D),417,"717,603",146,(D),253,"8,928,801","692,385","571,192",120,-,(D),(D),315,"1,840",(D),48,"4,123,153","3,282,242",(D),174,(D),60,"15,100",-,14,288,(D),84,-,(D),(D),332,52,(D),84,-,(D),60,"4,810,000",508,220,(D),"622,202",-,82,"566,474",-,165,"252,900","2,193,000",-,535,"1,086,835",346,256,"3,908,979","1,422",351,230,264,186,(D),65,222,(D),414,(D),(D),(D),698,80,145,"419,640","706,886","1,909",216,-,(D),845,"1,249,063","4,178,770",432,70,262
"Turkeys                                                                              farms, 2022",685,22,15,31,5,2,4,-,16,2,3,-,8,1,4,5,10,-,3,6,2,1,4,8,10,13,3,3,9,3,6,3,8,1,4,5,-,10,-,2,7,3,8,8,8,3,11,15,-,22,13,1,1,-,10,11,-,1,2,4,-,3,8,8,7,1,-,-,6,19,2,11,2,-,-,5,1,1,2,13,2,-,13,2,13,7,-,2,2,1,26,5,19,-,6,-,15,-,-,3,11,4,2,5,9,2,18,5,6,8,1,2,3,2,3,18,3,4,11,1,2
2017,672,2,22,7,6,6,5,-,5,11,-,4,3,1,13,10,1,3,5,4,2,-,8,15,13,4,4,-,4,-,11,9,9,7,2,10,4,6,-,3,8,3,5,8,5,12,4,16,-,2,25,5,4,-,15,7,4,3,-,5,-,-,11,6,7,1,-,12,5,10,-,5,4,2,2,2,8,2,6,5,1,5,8,13,15,2,-,1,-,9,23,4,11,6,4,7,8,2,2,3,7,3,6,-,2,6,20,7,5,7,2,2,1,1,14,11,5,-,8,-,3
"number, 2022","665,495",95,68,188,25,(D),10,-,194,(D),12,-,106,(D),14,21,44,-,12,16,(D),(D),49,227,61,215,10,18,118,(D),"255,003",15,46,(D),4,20,-,73,-,(D),45,(D),19,110,55,38,"50,026",114,-,150,90,(D),(D),-,50,167,-,(D),(D),(D),-,21,38,63,11,(D),-,-,23,170,(D),62,(D),-,-,"127,500",(D),(D),(D),48,(D),-,58,(D),136,18,-,(D),(D),(D),217,(D),(D),-,16,-,89,-,-,9,630,(D),(D),19,144,(D),476,42,12,466,(D),(D),5,(D),6,60,14,(D),63,(D),(D)
2017,"190,053",(D),152,70,18,39,47,-,21,116,-,8,37,(D),62,26,(D),276,46,68,(D),-,43,72,54,52,7,-,32,-,(D),83,66,36,(D),40,8,40,-,12,23,68,12,24,18,21,(D),49,-,(D),177,10,14,-,98,112,12,3,-,"3,012",-,-,67,22,93,(D),-,42,30,141,-,19,4,(D),(D),(D),462,(D),6,40,(D),13,12,77,93,(D),-,(D),-,51,77,62,35,250,63,26,32,(D),(D),22,33,8,18,-,(D),140,359,48,25,9,(D),(D),(D),(D),34,26,12,-,14,-,21
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,892",40,41,74,18,43,31,2,45,35,12,18,21,3,23,41,21,15,26,33,7,9,37,24,45,37,18,13,6,17,33,31,29,24,26,13,2,36,6,9,35,21,31,47,16,22,20,67,6,40,70,6,20,4,22,32,16,19,9,21,1,17,36,45,9,2,3,16,6,47,16,36,7,17,6,13,52,17,21,31,2,16,40,8,56,24,18,24,17,11,77,12,28,14,17,3,49,8,1,6,65,6,27,17,19,46,67,17,32,23,20,14,17,5,53,38,23,11,32,18,25
2017,"2,599",27,56,52,10,26,10,6,11,6,12,27,11,15,40,52,21,11,51,24,10,7,24,49,40,31,9,18,15,-,30,18,21,23,11,6,14,15,5,20,16,19,42,34,26,23,8,44,7,33,39,15,28,4,25,22,19,27,20,33,-,10,37,30,15,11,2,18,12,42,19,26,4,16,23,16,59,20,5,30,-,10,33,16,47,22,5,16,23,16,59,14,27,30,13,10,23,-,3,10,57,3,25,2,24,20,67,21,14,25,26,10,12,4,80,48,12,3,25,13,18
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","5,490",108,94,107,26,95,42,5,72,43,20,32,35,13,74,66,57,23,44,51,20,14,54,75,81,71,18,25,34,37,62,32,30,12,37,46,8,46,10,23,39,55,128,102,39,35,35,120,4,83,126,11,65,41,67,50,42,54,37,40,5,38,66,92,21,23,10,19,26,82,30,68,11,26,21,65,91,20,23,46,8,19,66,16,66,55,40,30,19,28,118,42,81,48,63,6,85,11,8,12,83,7,35,25,39,45,93,31,61,50,50,38,31,9,103,61,52,39,60,26,33
2017,"5,181",60,108,68,22,71,31,19,50,49,30,54,36,20,104,77,35,21,58,50,22,19,75,59,64,63,23,31,44,24,66,41,26,36,21,34,4,73,15,20,39,48,116,91,50,41,16,80,11,67,70,17,49,49,57,37,42,53,41,42,5,33,59,31,21,19,3,18,26,72,12,44,10,33,25,69,71,19,20,50,2,15,57,24,98,26,29,19,34,43,101,33,87,57,49,20,61,9,15,21,87,22,48,8,35,40,117,39,46,40,71,30,36,4,137,58,47,22,52,24,39
"Layers sold                                                                        farms, 2022","1,240",16,18,25,9,24,12,2,4,4,3,9,3,1,7,13,10,6,2,8,2,1,19,20,28,8,-,4,5,11,14,16,11,1,4,13,2,13,6,3,15,5,12,31,8,4,4,44,-,18,37,-,11,1,10,9,3,10,13,12,-,17,32,38,10,-,-,4,2,25,4,20,-,7,10,11,25,2,6,17,-,7,20,3,10,19,5,13,2,7,33,13,7,7,17,-,7,4,2,5,19,1,11,7,7,10,18,7,16,14,22,9,3,-,40,6,17,2,3,10,3
2017,"1,297",11,34,9,5,12,5,8,7,14,16,2,4,8,22,10,10,8,6,16,4,4,16,27,24,15,9,5,10,5,23,22,7,11,12,12,1,6,9,8,16,10,20,15,4,10,7,15,5,16,23,7,10,7,15,7,10,9,13,5,3,15,23,9,-,-,-,6,-,9,1,12,2,6,11,7,21,6,5,14,-,1,8,7,25,3,4,7,16,3,34,1,15,14,15,-,20,1,3,3,33,5,16,-,21,12,23,18,9,13,35,8,12,-,38,28,14,1,15,-,5
"number, 2022","4,067,002","76,424","44,753",636,(D),692,149,(D),64,(D),28,204,78,(D),307,181,"36,133",91,(D),246,(D),(D),"1,558",(D),"103,333",208,-,(D),105,268,"1,437","121,269",133,(D),830,228,(D),250,"114,100",(D),221,122,(D),"92,486",62,61,84,"1,059",-,"1,017",(D),-,"3,376",(D),(D),121,(D),(D),346,162,-,276,597,"1,705",37,-,-,"1,020",(D),(D),515,"142,669",-,(D),107,"120,984","1,173",(D),308,859,-,120,(D),37,214,(D),(D),342,(D),(D),"1,104",(D),171,(D),(D),-,189,40,(D),57,"49,712",(D),519,95,60,200,401,66,256,833,"1,338,224",154,52,-,"212,550",(D),"126,412",(D),107,624,14
2017,"4,275,920",(D),(D),299,"56,072",672,113,186,729,32,164,(D),220,200,444,613,(D),126,(D),"6,247","63,000",23,381,"73,765","152,627","6,620",159,"64,837",186,212,686,"122,056",822,411,345,"1,189",(D),159,"88,237",104,552,182,"317,704","73,460",(D),397,547,"2,718","1,506",387,"3,350",315,495,(D),(D),505,"1,416",(D),269,86,9,215,199,98,-,-,-,260,-,620,(D),"156,430",(D),(D),(D),"121,024",503,"2,554",41,"1,098",-,(D),199,37,370,90,(D),162,549,(D),"1,693",(D),162,417,178,-,540,(D),15,(D),"41,113",28,861,-,788,188,710,284,190,182,"1,350,655","5,924",542,-,"229,060","1,657","129,530",(D),376,-,416
"Pullets for laying flock replacement sold                      farms, 2022",165,2,2,4,1,7,4,-,-,-,-,-,-,-,-,-,3,-,-,4,1,1,5,3,2,-,1,1,4,1,-,1,3,-,-,4,-,2,-,-,-,2,4,4,2,2,-,8,-,1,4,-,1,-,1,1,-,-,-,-,-,1,4,-,1,-,-,2,1,2,-,2,-,-,-,-,-,-,-,7,-,-,3,-,4,2,2,5,-,-,-,-,1,-,-,1,2,-,-,1,3,-,2,-,-,-,5,6,-,1,6,4,-,-,3,1,5,-,-,-,2
2017,247,-,6,6,2,-,-,-,-,-,-,1,-,6,4,3,4,-,2,4,3,-,8,2,3,-,1,-,8,5,17,6,-,-,-,2,-,2,-,-,-,-,10,14,-,-,-,2,-,-,4,-,3,-,3,1,2,-,-,-,-,3,3,-,-,2,-,4,-,4,1,-,-,-,-,-,2,-,1,5,-,-,2,-,4,-,1,-,1,-,2,1,3,8,-,-,-,-,-,-,6,-,6,-,-,1,3,3,-,2,12,2,-,-,11,10,6,-,-,2,2
"number, 2022","2,143,237",(D),(D),22,(D),350,32,-,-,-,-,-,-,-,-,-,36,-,-,222,(D),(D),80,(D),(D),-,(D),(D),80,(D),-,(D),6,-,-,246,-,(D),-,-,-,(D),"365,000",(D),(D),(D),-,216,-,(D),28,-,(D),-,(D),(D),-,-,-,-,-,(D),38,-,(D),-,-,(D),(D),(D),-,(D),-,-,-,-,-,-,-,(D),-,-,(D),-,90,(D),(D),50,-,-,-,-,(D),-,-,(D),(D),-,-,(D),(D),-,(D),-,-,-,156,(D),-,(D),(D),(D),-,-,"193,500",(D),"372,303",-,-,-,(D)
2017,"2,713,149",-,"1,250",102,(D),-,-,-,-,-,-,(D),-,120,(D),60,180,-,(D),30,"108,000",-,232,(D),(D),-,(D),-,805,(D),266,(D),-,-,-,(D),-,(D),-,-,-,-,"550,898",(D),-,-,-,(D),-,-,152,-,370,-,"124,000",(D),(D),-,-,-,-,24,70,-,-,(D),-,140,-,74,(D),-,-,-,-,-,(D),-,(D),(D),-,-,(D),-,750,-,(D),-,(D),-,(D),(D),636,26,-,-,-,-,-,-,(D),-,120,-,-,(D),34,"242,000",-,(D),(D),(D),-,-,"571,722",366,"383,400",-,-,(D),(D)
"Broilers and other meat-type chickens sold                farms, 2022",796,21,9,7,7,32,-,-,6,4,2,-,7,3,10,9,5,2,10,3,12,-,5,8,25,-,-,16,3,6,13,2,2,-,2,2,-,8,2,2,6,5,77,10,13,2,2,14,-,8,10,1,6,35,13,4,-,1,5,3,-,4,6,4,-,-,-,2,1,7,2,9,1,2,2,45,4,2,4,16,-,2,4,2,2,3,14,3,2,11,12,3,32,4,1,-,-,-,-,-,7,-,5,3,7,3,9,3,6,12,6,3,3,3,7,8,14,21,5,5,-
2017,928,18,25,5,11,46,3,12,4,2,-,6,2,8,21,4,14,1,14,6,9,1,14,17,9,3,-,12,11,4,18,8,1,-,3,3,-,6,6,6,8,2,68,22,15,3,-,5,3,4,9,6,-,40,13,4,-,-,11,3,-,1,7,2,-,-,-,-,-,6,2,2,-,4,6,50,5,-,1,5,-,-,15,-,5,9,16,-,10,19,7,1,41,8,8,-,14,-,-,1,6,2,2,-,-,2,14,2,1,9,25,6,2,-,13,8,14,18,1,1,8
"number, 2022","262,581,637","5,013,436","1,472",565,"6,309,000","8,367,761",-,-,763,(D),(D),-,137,(D),"7,945,100",218,"2,365,000",(D),"7,335,100",78,"7,480,400",-,225,"1,385","2,630,426",-,-,"6,082,616",(D),(D),"10,779,004",(D),(D),-,(D),(D),-,"1,221",(D),(D),420,(D),"54,075,180","2,424,683","1,732,201",(D),(D),(D),-,"15,220",(D),(D),(D),"21,768,115","14,707,040",60,-,(D),500,(D),-,61,126,85,-,-,-,(D),(D),"1,505",(D),432,(D),(D),(D),"26,444,868",(D),(D),48,"4,329,883",-,(D),"1,479,500",(D),(D),(D),"8,100,000",72,(D),"7,620,400",568,11,"15,436,628","6,025",(D),-,-,-,-,-,775,-,310,640,756,(D),"12,690",(D),183,"2,957,624","2,075,000",(D),16,38,(D),264,"4,608,500","23,180,000",146,10,-
