Item,Colorado,Adams,Alamosa,Arapahoe,Archuleta,Baca,Bent,Boulder,Broomfield,Chaffee,Cheyenne,Clear Creek,Conejos,Costilla,Crowley,Custer,Delta,Denver,Dolores,Douglas,Eagle,Elbert,El Paso,Fremont,Garfield,Gilpin,Grand,Gunnison,Hinsdale,Huerfano,Jackson,Jefferson,Kiowa,Kit Carson,Lake,La Plata,Larimer,Las Animas,Lincoln,Logan,Mesa,Mineral,Moffat,Montezuma,Montrose,Morgan,Otero,Ouray,Park,Phillips,Pitkin,Prowers,Pueblo,Rio Blanco,Rio Grande,Routt,Saguache,San Juan,San Miguel,Sedgwick,Summit,Teller,Washington,Weld,Yuma
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
"Pullets for laying flock replacement                              farms, 2022",786,33,8,16,11,4,-,20,-,2,-,-,4,-,4,6,46,1,2,45,-,72,69,8,7,-,1,6,-,5,-,5,1,2,-,26,76,3,2,7,48,-,-,25,18,6,7,1,10,1,3,2,15,5,3,4,8,-,-,-,-,7,1,126,4
2017,767,23,-,22,6,4,15,18,-,4,-,-,5,-,13,7,50,2,2,33,2,53,77,16,20,-,3,-,-,5,-,18,-,-,-,28,57,16,2,8,63,-,-,11,25,5,12,1,3,2,-,6,13,2,1,6,-,-,1,1,-,5,5,92,4
"number, 2022","2,140,836",708,114,198,256,68,-,321,-,(D),-,-,124,-,30,54,643,(D),(D),432,-,"1,443","1,427",169,392,-,(D),310,-,52,-,31,(D),(D),-,"1,044","1,716",30,(D),155,(D),-,-,317,(D),160,106,(D),266,(D),600,(D),204,93,75,73,61,-,-,-,-,104,(D),(D),48
2017,"1,826,020",291,-,226,36,68,114,195,-,37,-,-,66,-,166,70,"1,094",(D),(D),704,(D),778,"1,362",250,"1,082",-,93,-,-,46,-,110,-,-,-,790,790,437,(D),314,740,-,-,205,(D),(D),169,(D),26,(D),-,99,285,(D),(D),90,-,-,(D),(D),-,35,133,"1,004,527",18
"Broilers and other meat-type chickens                         farms, 2022",585,27,4,19,3,2,-,5,-,6,-,-,3,-,2,2,38,-,2,10,5,45,52,7,13,-,-,-,-,14,-,4,-,2,-,18,34,2,6,12,53,-,5,18,2,21,2,-,5,3,3,2,12,4,-,15,4,-,1,-,-,4,1,87,6
2017,601,38,2,29,3,-,8,10,-,2,2,-,8,-,10,11,27,-,-,20,2,25,32,35,16,-,6,5,-,3,-,7,-,4,1,23,30,15,1,12,42,-,4,14,4,2,2,1,4,-,5,2,18,2,1,17,1,-,1,5,-,-,5,78,6
"number, 2022","118,209",737,420,674,60,(D),-,175,-,36,-,-,26,-,(D),(D),"2,061",-,(D),308,78,"2,262","2,047",144,509,-,-,-,-,361,-,65,-,(D),-,305,"10,613",(D),97,(D),863,-,110,746,(D),"3,794",(D),-,201,70,600,(D),139,40,-,746,220,-,(D),-,-,160,(D),(D),14
2017,"112,051",974,(D),470,77,-,132,137,-,(D),(D),-,159,-,630,125,"2,116",-,-,794,(D),"1,468",959,"1,039",596,-,30,159,-,44,-,185,-,14,(D),"1,001",941,"3,102",(D),(D),634,-,13,410,52,(D),(D),(D),48,-,256,(D),320,(D),(D),414,(D),-,(D),137,-,-,182,(D),79
"Turkeys                                                                              farms, 2022",703,16,6,22,5,-,-,15,-,1,-,-,11,-,3,3,43,-,-,26,8,58,97,21,6,-,-,10,-,7,2,13,3,-,-,18,63,-,8,6,36,-,1,13,10,13,-,-,5,-,-,-,16,2,-,15,10,-,1,-,-,-,-,106,4
2017,722,34,5,32,6,4,-,11,-,-,-,-,2,1,14,-,20,-,-,22,2,59,86,29,14,-,5,3,-,8,-,24,3,2,1,20,42,9,2,4,65,-,12,27,19,-,11,-,1,-,-,2,29,2,1,6,-,-,4,-,-,-,10,66,3
"number, 2022","5,735",217,76,142,106,-,-,123,-,(D),-,-,27,-,22,113,273,-,-,126,56,699,866,140,38,-,-,38,-,66,(D),65,47,-,-,117,"1,060",-,40,51,200,-,(D),48,33,28,-,-,18,-,-,-,33,(D),-,182,46,-,(D),-,-,-,-,491,44
2017,"5,022",184,12,183,102,8,-,72,-,-,-,-,(D),(D),105,-,123,-,-,89,(D),267,966,120,114,-,25,7,-,72,-,114,33,(D),(D),183,185,22,(D),24,661,-,44,237,125,-,45,-,(D),-,-,(D),170,(D),(D),75,-,-,(D),-,-,-,53,370,18
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,143",69,10,65,19,3,2,46,-,17,-,-,13,2,7,10,98,1,3,102,12,136,169,44,40,7,6,6,-,19,10,57,3,6,-,68,155,20,9,34,159,-,30,39,39,28,14,3,26,5,4,2,45,13,4,33,26,-,-,2,-,24,10,346,23
2017,"1,893",83,6,112,5,9,19,50,-,19,-,-,11,4,16,12,82,2,3,59,11,104,153,53,37,1,7,13,-,17,5,36,4,-,-,42,119,10,9,33,137,-,17,46,42,26,18,5,14,2,4,5,62,16,8,6,17,-,1,4,-,4,16,287,10
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","3,534",124,16,104,26,10,11,111,3,15,3,-,27,3,10,25,168,7,10,153,23,262,208,57,76,5,14,10,-,35,6,81,6,16,-,148,252,31,27,48,250,-,46,123,81,40,16,8,28,12,13,9,65,15,15,71,23,-,4,3,1,26,14,514,26
2017,"3,519",129,11,161,19,16,9,120,-,12,1,-,29,12,33,27,151,2,5,161,25,209,206,84,76,4,31,16,-,19,3,69,5,9,1,131,255,43,9,42,303,-,31,115,100,53,20,12,23,2,13,9,75,22,13,52,27,-,9,4,4,18,30,431,18
"Layers sold                                                                        farms, 2022",699,29,4,26,1,-,6,30,-,-,1,-,7,-,5,4,44,-,-,25,5,46,35,22,15,-,4,3,-,10,4,12,3,2,-,32,64,11,2,4,43,-,2,28,20,6,2,1,4,-,2,2,18,1,5,19,3,-,2,-,-,5,2,76,2
2017,786,43,-,39,5,2,2,19,-,1,1,-,11,1,14,6,34,-,1,29,6,58,62,20,29,4,9,10,-,4,-,18,3,2,1,21,43,3,4,2,60,-,4,31,24,12,5,5,3,-,4,-,17,3,3,8,3,-,3,1,-,5,4,82,2
"number, 2022","7,768,455",662,330,"3,878",(D),-,105,"1,188",-,-,(D),-,221,-,278,34,"2,121",-,-,280,38,"1,275",868,648,587,-,84,500,-,119,40,153,(D),(D),-,"1,197","2,397","4,068",(D),40,(D),-,(D),665,(D),"1,640",(D),(D),84,-,(D),(D),892,(D),225,"1,517",(D),-,(D),-,-,213,(D),"6,779,028",(D)
2017,"3,673,383","1,582",-,520,111,(D),(D),207,-,(D),(D),-,185,(D),687,39,546,-,(D),"2,738",264,"3,343","3,705",638,442,56,131,270,-,27,-,133,"1,350",(D),(D),"1,119","1,281",300,380,(D),(D),-,26,612,(D),"1,155",90,58,55,-,48,-,285,32,27,183,(D),-,(D),(D),-,41,85,"2,821,963",(D)
"Pullets for laying flock replacement sold                      farms, 2022",98,10,-,1,2,-,-,3,-,-,-,-,-,-,1,-,12,-,-,2,2,14,6,2,-,-,-,-,-,-,-,-,1,-,-,2,3,3,-,-,2,-,-,4,3,-,2,-,-,-,-,-,2,-,-,1,1,-,-,-,-,2,-,17,-
2017,108,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,8,-,13,29,-,-,-,-,-,-,-,-,-,-,-,-,2,10,3,-,-,7,-,-,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-
"number, 2022",(D),91,-,(D),(D),-,-,60,-,-,-,-,-,-,(D),-,188,-,-,(D),(D),530,120,(D),-,-,-,-,-,-,-,-,(D),-,-,(D),140,35,-,-,(D),-,-,230,(D),-,(D),-,-,-,-,-,(D),-,-,(D),(D),-,-,-,-,(D),-,(D),-
2017,"1,396,203",78,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,11,-,-,36,-,397,"1,072",-,-,-,-,-,-,-,-,-,-,-,-,(D),105,75,-,-,545,-,-,(D),(D),(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),642,-
"Broilers and other meat-type chickens sold                farms, 2022",321,9,2,11,2,1,5,10,-,-,2,-,-,-,2,4,28,-,-,2,7,33,18,-,4,-,-,3,-,9,-,3,-,2,-,2,31,-,-,7,28,-,-,5,5,12,1,-,4,1,4,-,2,2,-,14,-,-,1,-,-,3,1,36,5
2017,312,26,2,17,3,-,-,5,-,1,-,-,2,1,10,3,22,-,-,9,-,12,29,11,17,-,1,5,-,2,-,-,-,1,1,16,26,1,-,2,6,-,-,5,14,7,-,1,1,-,1,2,8,2,-,4,-,-,1,-,4,-,2,27,2
"number, 2022","757,594",455,(D),276,(D),(D),100,"1,018",-,-,(D),-,-,-,(D),112,"13,901",-,-,(D),94,"2,105","1,124",-,170,-,-,(D),-,120,-,45,-,(D),-,(D),(D),-,-,(D),858,-,-,330,187,"4,354",(D),-,200,(D),"1,260",-,(D),(D),-,920,-,-,(D),-,-,150,(D),(D),89
2017,(D),654,(D),730,58,-,-,910,-,(D),-,-,(D),(D),670,18,"2,827",-,-,112,-,"1,512","2,270",763,364,-,(D),395,-,(D),-,-,-,(D),(D),969,"5,546",(D),-,(D),71,-,-,240,"1,932",270,-,(D),(D),-,(D),(D),165,(D),-,51,-,-,(D),-,40,-,(D),(D),(D)
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",311,9,2,11,2,1,5,10,-,-,2,-,-,-,2,4,25,-,-,2,7,33,18,-,4,-,-,3,-,9,-,3,-,2,-,2,29,-,-,6,28,-,-,5,5,11,1,-,4,1,4,-,2,2,-,14,-,-,1,-,-,3,1,33,5
"2,000 to 59,999.....................................................................",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
"60,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
"Turkeys sold                                                                      farms, 2022",249,6,2,8,2,1,-,8,-,-,-,-,-,-,3,-,13,-,-,7,5,32,19,2,2,-,-,-,-,2,-,4,1,-,-,7,34,-,-,1,6,-,-,5,2,3,2,-,-,-,1,-,1,3,-,16,-,-,1,-,-,-,2,46,2
2017,265,6,2,8,7,-,-,6,-,-,-,-,-,-,5,-,6,-,-,4,4,26,28,8,7,-,2,1,-,1,-,9,3,-,1,7,28,1,2,3,23,-,-,7,11,-,-,-,-,-,-,1,9,2,-,4,2,-,3,-,4,-,3,21,-
"number, 2022","8,206",57,(D),50,(D),(D),-,147,-,-,-,-,-,-,60,-,239,-,-,24,48,290,280,(D),(D),-,-,-,-,(D),-,14,(D),-,-,224,"3,876",-,-,(D),48,-,-,24,(D),158,(D),-,-,-,(D),-,(D),26,-,93,-,-,(D),-,-,-,(D),964,(D)
2017,"4,113",70,(D),74,74,-,-,352,-,-,-,-,-,-,51,-,57,-,-,85,258,274,624,44,10,-,(D),(D),-,(D),-,79,150,-,(D),111,588,(D),(D),16,446,-,-,149,170,-,-,-,-,-,-,(D),16,(D),-,30,(D),-,(D),-,8,-,9,160,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",355,18,2,11,4,-,-,4,-,-,1,-,-,-,3,2,25,-,-,17,2,16,30,10,8,-,-,-,-,5,-,12,1,1,-,8,27,5,3,6,24,-,-,14,6,7,-,3,1,1,1,-,5,4,2,9,1,-,-,-,-,-,2,53,1
2017,460,31,-,21,-,2,-,9,-,-,1,-,-,-,7,-,19,2,1,18,-,36,49,17,-,-,2,5,-,5,-,3,3,-,-,11,47,2,1,-,17,-,5,8,14,6,4,1,9,-,1,-,4,2,3,4,7,-,-,-,-,-,6,74,3
