Item,Oregon,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,,Wheeler,Yamhill
2017,"2,669,556",67,"1,559","426,166","1,012","1,268",51,49,-,514,346,-,194,(D),451,678,309,192,11,88,(D),(D),"1,191,697",245,(D),79,"3,697",(D),-,112,856,222,161,60,"1,420",,(D),"648,173"
"Turkeys                                                                              farms, 2022",585,1,12,104,3,42,2,1,3,42,26,-,3,12,1,40,1,7,9,4,25,7,23,11,42,2,15,30,2,3,22,7,2,4,40,,-,37
2017,647,5,18,104,14,31,8,6,11,42,5,-,6,-,7,59,7,5,8,11,30,9,32,2,74,9,13,18,1,5,17,16,-,7,36,,1,30
"number, 2022","5,979",(D),455,623,12,372,(D),(D),73,277,112,-,6,45,(D),524,(D),51,73,60,663,37,196,78,775,(D),51,113,(D),(D),153,118,(D),154,607,,-,228
2017,"8,355",20,"1,654",755,60,312,34,54,82,305,43,-,86,-,62,412,16,36,59,32,417,160,145,(D),"1,863",50,74,484,(D),26,233,179,-,56,314,,(D),299
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","2,223",14,72,363,7,53,25,24,10,107,119,-,15,18,15,190,14,52,23,13,165,27,167,34,125,10,65,79,2,23,62,44,9,8,140,,2,127
2017,"2,138",22,69,264,25,63,18,26,16,103,75,5,3,4,26,157,12,75,38,17,167,35,141,30,175,31,50,83,-,27,46,49,18,18,111,,4,135
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","4,872",61,196,827,18,136,45,34,16,263,230,2,37,22,29,396,42,108,33,19,380,64,280,56,318,16,140,154,5,28,133,86,39,38,268,,6,347
2017,"4,896",60,187,761,43,150,39,71,17,255,195,7,27,13,59,325,34,112,58,24,365,77,349,50,363,30,145,157,8,26,119,109,53,43,266,,7,292
"Layers sold                                                                        farms, 2022","1,020",13,74,155,4,26,7,8,6,66,45,-,13,1,9,66,16,24,8,7,73,12,51,15,74,9,33,21,-,6,11,16,6,-,53,,2,90
2017,"1,277",13,52,200,9,41,9,29,4,56,42,-,10,6,17,76,11,30,9,10,77,9,98,14,110,6,43,37,4,12,33,24,17,17,64,,-,88
"number, 2022","1,352,266",201,"2,444",(D),44,649,"1,259",334,200,"1,041","1,003",-,254,(D),249,"1,969",701,681,60,127,"3,515",656,"1,720",469,(D),76,"1,540","1,845",-,"1,922",(D),271,289,-,"2,072",,(D),"1,934"
2017,"1,202,839",58,"3,414",(D),155,815,121,"1,173",180,"2,188","1,634",-,99,120,221,(D),126,459,50,199,"8,776",644,"3,656",366,(D),59,"5,815","1,506",18,"1,634",(D),258,224,173,"6,011",,-,"1,714"
"Pullets for laying flock replacement sold                      farms, 2022",116,-,5,17,-,9,2,-,-,1,6,-,-,-,-,1,1,-,2,-,12,1,9,-,16,-,10,8,-,1,1,1,1,-,8,,-,4
2017,126,-,1,14,-,1,-,2,-,1,3,-,-,-,2,3,-,8,7,3,8,3,9,-,18,1,11,5,-,-,6,-,-,4,8,,-,8
"number, 2022",(D),-,70,(D),-,120,(D),-,-,(D),178,-,-,-,-,(D),(D),-,(D),-,774,(D),(D),-,498,-,582,56,-,(D),(D),(D),(D),-,140,,-,31
2017,"946,858",-,(D),(D),-,(D),-,(D),-,(D),(D),-,-,-,(D),(D),-,56,80,(D),(D),250,(D),-,364,(D),363,43,-,-,780,-,-,20,295,,-,255
"Broilers and other meat-type chickens sold                farms, 2022",629,1,28,123,2,22,4,2,1,30,27,-,2,1,-,33,5,11,-,2,30,8,40,3,59,3,25,16,-,4,19,6,11,4,47,,-,60
2017,547,6,24,71,6,16,2,1,-,19,22,2,-,1,9,31,5,3,8,4,26,1,37,5,49,4,40,28,-,3,19,10,3,2,27,,3,60
"number, 2022","18,594,126",(D),"15,040","3,282,906",(D),"1,618",56,(D),(D),"3,007","1,278",-,(D),(D),-,"11,701","1,828",181,-,(D),"8,746",124,"6,532,653",(D),(D),31,"3,252",(D),-,165,"1,060",(D),"2,645",(D),"16,343",,-,"4,979,606"
2017,"16,465,498",18,"8,791","3,138,899","6,368",681,(D),(D),-,"2,644","19,665",(D),-,(D),306,"1,122","1,014",135,408,149,(D),(D),"7,192,449",238,(D),46,"2,315",(D),-,200,598,744,75,(D),"9,387",,148,"3,805,443"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",596,1,26,119,2,22,4,2,1,30,27,-,2,1,-,32,5,11,-,2,27,8,33,3,55,3,25,14,-,4,19,6,11,3,45,,-,53
"2,000 to 59,999.....................................................................",13,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,1,-,1,-,-,-,-,-,-,-,-,1,2,,-,2
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
"200,000 to 499,999...............................................................",6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,,-,1
"500,000 or more....................................................................",14,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,-,-,2,-,-,-,-,-,-,-,,-,4
"Turkeys sold                                                                      farms, 2022",320,-,22,56,3,28,1,1,1,16,3,-,-,3,1,23,-,3,4,5,15,2,16,4,33,1,6,6,1,7,5,4,4,-,20,,-,26
2017,356,6,14,55,2,21,-,8,-,26,10,-,-,-,-,26,-,1,3,4,10,4,18,2,32,4,17,18,1,2,13,10,2,2,20,,1,24
"number, 2022","11,674",-,"1,771",436,8,281,(D),(D),(D),230,22,-,-,14,(D),323,-,6,30,30,690,(D),854,68,"4,427",(D),288,50,(D),52,152,(D),80,-,"1,303",,-,199
2017,"20,899",24,"1,298",890,(D),182,-,66,-,583,160,-,-,-,-,241,-,(D),52,51,238,124,(D),(D),"3,679",47,158,561,(D),(D),120,168,(D),(D),446,,(D),191
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",581,5,22,85,2,11,8,9,2,27,19,-,-,-,4,59,3,9,11,2,42,6,44,8,52,1,24,24,-,7,17,4,3,2,39,,-,30
2017,604,5,16,99,7,12,3,4,8,48,14,-,2,3,8,23,2,8,8,1,39,6,62,12,50,4,28,13,-,7,14,10,6,9,39,,-,34
