Item,Oklahoma_S,Adair,Alfalfa,Atoka,Beaver,Beckham,Blaine,Bryan,Caddo,Canadian,Carter,Cherokee,Choctaw,Cimarron,Cleveland,Coal,Comanche,Cotton,Craig,Creek,Custer,Delaware,Dewey,Ellis,Garfield,Garvin,Grady,Grant,Greer,Harmon,Harper,Haskell,Hughes,Jackson,Jefferson,Johnston,Kay,Kingfisher,Kiowa,Latimer,Le Flore,Lincoln,Logan,Love,McClain,McCurtain,McIntosh,Major,Marshall,Mayes,Murray,Muskogee,Noble,Nowata,Okfuskee,Oklahoma,Okmulgee,Osage,Ottawa,Pawnee,Payne,Pittsburg,Pontotoc,Pottawatomie,Pushmataha,Roger Mills,Rogers,Seminole,Sequoyah,Stephens,Texas,Tillman,Tulsa,Wagoner,Washington,Washita,Woods,Woodward
"20,000 to 49,999...................................................................",56,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,11,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,1,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
"50,000 to 99,999...................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022","1,746",28,6,21,2,8,4,35,12,44,19,47,25,4,63,6,16,4,20,84,6,35,7,3,10,21,30,5,3,-,2,17,21,4,-,15,15,9,-,22,32,77,48,8,45,22,23,8,20,32,25,40,12,17,20,61,45,33,14,11,50,49,29,51,18,9,81,17,21,13,3,2,32,46,32,2,4,21
2017,"1,731",22,5,16,7,14,8,47,17,14,42,17,14,2,52,6,31,7,12,107,19,21,2,-,16,34,20,-,2,-,4,10,18,10,-,9,20,11,2,30,46,67,25,3,55,37,20,18,13,37,3,42,19,13,14,43,34,21,11,24,48,36,47,83,38,5,47,44,30,13,5,2,36,27,32,10,6,9
"number, 2022","1,503,185","178,208",58,483,(D),131,70,851,344,"1,060",227,(D),704,32,"1,198",105,688,48,174,"1,503",163,"564,489",75,180,138,571,609,45,11,-,(D),(D),379,38,-,344,262,715,-,248,"133,349","1,475",570,272,"1,120",301,236,77,267,"308,527",317,(D),428,318,295,815,842,361,185,168,857,630,318,867,258,67,"1,288",440,"188,305",162,22,(D),545,581,"1,578",(D),99,268
2017,"1,385,205","126,565",84,391,265,258,64,790,232,196,593,(D),338,(D),"1,256",123,599,147,(D),"2,122",208,"408,907",(D),-,427,603,355,-,(D),-,97,109,445,50,-,178,536,104,(D),333,"300,775","1,106",427,60,"1,085",(D),328,312,171,(D),38,"25,561",323,186,134,786,"1,213",279,205,467,"1,415",602,"1,818","1,693",517,80,726,(D),"231,701",307,69,(D),908,490,760,640,300,143
"Broilers and other meat-type chickens                         farms, 2022","1,346",42,1,15,1,4,15,16,10,20,20,44,2,-,41,2,5,1,18,61,8,59,3,4,12,23,16,7,3,-,2,25,18,4,3,2,8,8,1,8,81,45,22,3,29,70,5,13,5,37,10,30,7,11,8,28,19,32,23,11,28,14,23,35,14,5,43,26,20,16,2,2,17,47,14,5,1,13
2017,"1,231",30,2,7,6,1,5,19,12,9,27,16,16,-,29,6,14,4,17,50,9,62,9,-,8,15,6,10,-,-,-,29,2,6,-,4,10,5,1,23,113,48,26,5,21,82,9,6,4,33,13,19,2,7,11,18,17,21,17,10,39,33,11,51,10,3,38,17,21,5,7,3,10,11,9,4,-,8
"number, 2022","41,322,273","6,423,479",(D),754,(D),70,322,237,261,"1,215",341,(D),(D),-,897,(D),20,(D),"2,100,833","1,913",293,"9,728,968",55,62,322,580,311,230,26,-,(D),"1,265,951",368,62,28,(D),376,115,(D),(D),"7,610,550",517,737,(D),644,"7,346,392",122,441,140,"2,712,390",485,"1,009",110,147,160,549,376,912,"1,386,217",583,353,"1,298",330,792,322,50,"1,638,779",686,656,377,(D),(D),265,"1,448",236,54,(D),414
2017,"36,066,868","5,204,122",(D),106,(D),(D),212,530,452,212,546,"632,317",(D),-,"2,270",197,195,120,"949,865","1,024",201,"7,102,120",259,-,332,250,108,410,-,-,-,"1,968,965",(D),48,-,78,99,43,(D),586,"9,798,157",605,570,65,526,"6,851,254",52,303,88,"1,025,139",58,(D),(D),80,245,429,472,439,"2,001,589",156,"1,391",420,330,"1,249",127,23,(D),493,(D),215,40,75,56,281,194,220,-,66
"Turkeys                                                                              farms, 2022",770,4,2,14,3,1,2,21,5,6,15,14,8,4,29,3,5,4,5,44,-,20,-,5,14,11,11,1,1,-,-,-,13,-,1,12,8,8,-,12,8,35,8,10,18,8,7,4,9,8,2,21,6,13,11,28,43,8,9,5,9,22,8,16,8,6,31,5,34,14,1,6,9,6,8,5,3,12
2017,659,4,2,2,7,-,2,11,5,15,20,6,8,-,25,1,23,6,9,29,-,5,4,2,14,17,5,6,-,-,-,5,-,6,-,-,7,-,-,18,12,9,10,7,23,12,6,10,20,18,4,13,2,-,7,8,16,10,8,13,28,5,16,42,18,-,22,7,6,3,6,-,10,6,10,7,1,-
"number, 2022","332,634",(D),(D),38,5,(D),(D),82,75,18,48,(D),30,8,238,6,56,24,35,913,-,(D),-,27,79,55,34,(D),(D),-,-,-,86,-,(D),38,91,84,-,80,37,194,54,61,41,52,46,114,47,45,(D),214,28,17,64,119,423,60,(D),58,33,236,26,176,109,54,76,18,156,39,(D),96,101,31,69,10,(D),149
2017,(D),72,(D),(D),8,-,(D),62,19,60,88,(D),40,-,446,(D),124,64,39,91,-,10,(D),(D),62,86,46,12,-,-,-,58,-,24,-,-,56,-,-,91,56,32,81,23,142,86,10,90,66,603,21,98,(D),-,39,32,96,29,(D),63,118,7,53,251,52,-,46,118,29,7,18,-,14,63,43,52,(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","3,745",44,6,48,14,24,15,60,35,50,64,68,24,9,121,29,53,15,42,140,17,76,12,10,28,77,111,25,5,-,8,42,44,24,8,41,26,16,11,23,110,177,122,26,85,56,34,18,27,76,32,112,27,23,33,91,79,74,38,27,70,65,63,125,55,2,170,43,79,51,13,11,66,85,40,13,7,55
2017,"3,657",70,2,39,24,19,15,78,26,67,91,52,25,-,104,20,58,15,41,182,12,74,8,3,30,60,80,13,14,1,9,48,29,13,-,18,38,13,1,39,77,128,80,13,87,69,50,30,50,82,17,117,38,34,53,95,77,87,40,36,64,79,100,197,36,7,131,46,64,41,14,4,64,54,33,11,9,12
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","6,179",121,8,104,16,35,29,98,50,157,113,127,46,10,227,41,73,26,64,268,18,156,21,19,48,112,123,27,12,4,1,73,77,30,10,54,49,30,9,40,197,296,171,35,123,127,43,43,51,144,32,160,47,42,54,184,135,119,59,39,161,117,94,200,70,15,257,85,93,78,11,9,92,118,49,31,9,63
2017,"5,934",105,13,46,23,29,16,102,38,143,125,110,29,2,147,47,82,12,77,297,42,184,16,8,62,84,96,13,13,2,6,79,62,20,-,34,50,36,15,74,232,220,90,15,147,168,54,38,55,176,27,126,49,40,62,127,119,107,75,33,149,136,130,238,66,21,205,98,115,43,41,11,139,103,71,25,14,30
"Layers sold                                                                        farms, 2022","1,333",37,2,22,-,8,8,27,-,16,23,32,4,-,71,9,9,11,11,44,3,54,-,3,16,31,40,3,1,-,-,22,8,5,-,5,16,8,3,15,43,85,22,12,30,9,13,7,7,32,13,39,10,10,11,42,21,26,12,6,27,23,21,49,10,11,55,11,19,13,-,6,17,32,9,-,5,8
2017,"1,426",26,-,13,-,5,4,28,3,34,30,22,5,1,48,17,26,-,10,95,7,55,2,-,16,20,15,6,3,-,-,22,15,12,-,6,10,2,-,23,38,56,21,2,16,27,20,17,7,38,3,21,5,21,14,49,39,21,7,12,46,17,34,80,9,2,55,15,34,16,2,2,34,27,16,7,7,8
"number, 2022","2,784,539","513,407",(D),"1,181",-,215,270,302,-,461,952,"5,568",38,-,"2,302",98,312,208,(D),"102,523",274,"624,789",-,120,760,"1,101","1,166",38,(D),-,-,"182,923",135,95,-,46,934,304,75,989,"124,342","1,427",624,392,"1,013","103,111","99,654",516,94,"83,244",(D),"444,411",378,417,288,"1,614","51,378",561,"1,899",649,330,"2,212",405,(D),316,188,"1,515",769,"130,668",223,-,390,150,"2,102",242,-,300,78
2017,"2,570,067","182,755",-,408,-,168,110,"1,189",22,"1,126","2,139",(D),438,(D),"2,016",404,571,-,"26,061","8,361",534,"607,164",(D),-,"1,205",898,633,"3,036",36,-,-,"151,166",426,88,-,(D),130,(D),-,260,"52,362","2,333",701,(D),437,"342,995","49,001",283,200,"18,029",26,"151,411",88,830,851,"1,617","1,328",309,(D),142,885,917,"1,298","5,926","3,495",(D),"60,869",193,"139,403",493,(D),(D),841,"9,465",617,76,74,134
"Pullets for laying flock replacement sold                      farms, 2022",285,6,3,5,-,-,-,3,6,4,2,12,3,-,19,-,-,-,6,4,1,20,-,3,4,2,8,2,-,-,-,11,2,-,-,-,1,5,-,8,5,23,9,-,5,-,3,3,-,8,2,5,-,-,5,6,10,7,7,2,-,6,-,7,3,-,-,1,11,1,-,-,10,6,-,-,-,-
2017,242,3,-,3,-,5,-,6,3,2,7,2,-,-,5,-,1,2,2,26,4,13,-,-,4,5,2,-,-,-,-,3,-,-,-,3,4,-,-,3,17,11,7,-,9,1,-,-,2,6,-,12,-,-,-,-,2,6,3,5,2,-,-,2,2,-,2,8,15,-,-,-,5,3,10,4,-,-
"number, 2022","2,521,064","212,000",222,312,-,-,-,352,60,40,(D),(D),180,-,282,-,-,-,90,"60,005",(D),"1,405,675",-,90,78,(D),188,(D),-,-,-,(D),(D),-,-,-,(D),134,-,90,"246,075","1,069",651,-,44,-,75,63,-,(D),(D),(D),-,-,130,(D),350,50,322,(D),-,"1,510",-,485,186,-,-,(D),"326,276",(D),-,-,164,300,-,-,-,-
2017,"1,907,090","189,000",-,150,-,(D),-,30,33,(D),120,(D),-,-,121,-,(D),(D),(D),785,160,"579,369",-,-,136,234,(D),-,-,-,-,75,-,-,-,120,129,-,-,(D),"362,137",961,"1,252",-,200,(D),-,-,(D),(D),-,(D),-,-,-,-,(D),60,35,137,(D),-,-,(D),(D),-,(D),(D),"363,934",-,-,-,70,39,483,600,-,-
"Broilers and other meat-type chickens sold                farms, 2022",670,29,1,9,-,-,10,8,-,9,2,14,-,-,18,1,2,-,21,25,3,52,1,2,9,12,8,5,1,-,-,18,1,-,-,-,1,3,-,3,63,32,19,1,8,49,4,2,8,19,4,6,-,7,2,13,5,15,11,5,16,11,12,15,5,1,24,7,12,2,-,-,7,15,2,-,-,-
2017,679,21,-,2,-,-,5,1,5,16,2,4,4,-,24,2,6,2,9,20,3,57,6,-,1,5,1,3,-,-,-,26,2,3,-,1,-,-,4,5,112,15,6,-,10,71,2,5,2,21,6,5,2,-,5,12,8,8,13,-,28,8,2,11,-,2,40,6,10,-,-,3,9,5,4,2,-,6
"number, 2022","220,548,594","32,296,090",(D),466,-,-,114,186,-,"1,103",(D),(D),-,-,303,(D),(D),-,"10,563,713",767,160,"62,723,017",(D),(D),540,272,205,(D),(D),-,-,"6,443,021",(D),-,-,-,(D),150,-,(D),"36,539,618",707,916,(D),"1,531","36,802,033",(D),(D),48,"13,800,374",218,112,-,458,(D),681,508,457,"7,666,442",80,161,"1,182",581,239,60,(D),"9,162,926",194,255,(D),-,-,278,"13,451",(D),-,-,-
2017,"197,594,939","27,590,266",-,(D),-,-,690,(D),25,388,(D),"3,157,847",(D),-,"1,743",(D),300,(D),"4,748,575",537,(D),"44,299,041",530,-,(D),48,(D),"6,000",-,-,-,"10,649,466",(D),90,-,(D),-,-,120,(D),"52,019,773",391,182,-,860,"33,993,247",(D),25,(D),"6,232,380",102,(D),(D),-,71,"13,371",436,44,"11,623,403",-,"1,017",225,(D),165,-,(D),"1,764,889",102,(D),-,-,75,219,240,64,(D),-,32
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",443,6,1,9,-,-,10,8,-,9,2,7,-,-,18,1,2,-,8,25,3,11,1,2,9,12,8,5,1,-,-,8,1,-,-,-,1,3,-,2,8,32,19,1,8,-,3,2,8,8,4,6,-,7,2,13,5,15,4,5,16,11,12,15,5,1,17,7,12,2,-,-,7,13,2,-,-,-
"2,000 to 59,999.....................................................................",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",18,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",59,2,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,-,-,9,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,20,-,-,-,-,16,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",146,16,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,10,-,-,27,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,1,28,-,-,-,-,31,-,-,-,8,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",265,5,-,3,1,-,-,4,-,3,8,16,-,-,18,-,-,-,-,15,-,10,-,-,9,-,8,-,3,-,-,-,3,-,-,-,3,3,-,1,2,18,4,3,5,-,3,1,4,3,-,2,-,6,-,11,7,8,4,-,6,2,4,6,3,6,2,2,9,-,-,6,8,3,3,-,1,10
2017,187,2,-,-,-,4,2,12,-,-,6,4,3,-,12,1,9,-,1,3,-,3,1,-,2,5,3,-,-,-,-,2,-,-,-,-,-,-,-,10,2,2,2,-,6,-,-,-,9,12,-,2,2,-,3,6,7,7,2,-,12,1,-,10,1,-,2,1,-,-,-,-,3,5,-,4,1,-
"number, 2022","639,920",(D),-,18,(D),-,-,32,-,12,78,(D),-,-,54,-,-,-,-,785,-,(D),-,-,39,-,22,-,354,-,-,-,14,-,-,-,6,150,-,(D),(D),102,27,60,10,-,6,(D),4,20,-,(D),-,6,-,40,622,70,(D),-,12,(D),84,12,60,18,(D),(D),18,-,-,60,99,12,60,-,(D),88
2017,"289,028",(D),-,-,-,20,(D),46,-,-,12,(D),21,-,399,(D),58,-,(D),(D),-,"60,000",(D),-,(D),42,17,-,-,-,-,(D),-,-,-,-,-,-,-,34,(D),(D),(D),-,240,-,-,-,42,66,-,(D),(D),-,24,51,435,13,(D),-,48,(D),-,44,(D),-,(D),(D),-,-,-,-,15,(D),-,8,(D),-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",868,29,3,6,2,6,6,17,-,6,6,24,13,-,42,8,7,5,8,28,-,36,2,-,9,12,25,3,-,-,-,19,4,-,-,10,-,5,3,7,18,59,22,4,15,12,9,4,7,17,4,34,3,7,8,28,22,8,13,10,9,10,13,17,7,-,40,6,23,17,-,7,17,22,12,-,2,11
2017,963,16,-,9,5,7,2,11,5,16,27,23,6,-,43,10,14,5,10,47,-,42,-,-,8,8,11,2,-,-,-,24,14,4,-,3,7,2,-,12,25,35,19,7,22,27,16,9,11,11,8,33,1,14,11,20,20,19,6,4,21,9,32,48,14,-,27,9,25,7,1,2,16,14,19,4,-,4
