Item,West Virginia,Barbour,Berkeley,Boone,Braxton,Brooke,Cabell,Calhoun,Clay,Doddridge,Fayette,Gilmer,Grant,Greenbrier,Hampshire,Hancock,Hardy,Harrison,Jackson,Jefferson,Kanawha,Lewis,Lincoln,Logan,McDowell,Marion,Marshall,Mason,Mercer,Mineral,Mingo,Monongalia,Monroe,Morgan,Nicholas,Ohio,Pendleton,Pleasants,Pocahontas,Preston,Putnam,Raleigh,Randolph,Ritchie,Roane,Summers,Taylor,Tucker,Tyler,Upshur,Wayne,Webster,Wetzel,Wirt,Wood,Wyoming
"100,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",654,19,33,5,14,2,10,7,4,14,3,10,5,23,30,2,20,17,24,19,8,4,6,-,4,17,17,20,13,15,-,22,17,5,16,2,12,8,10,35,13,6,8,5,8,5,14,7,10,26,13,3,11,8,25,-
2017,651,31,30,-,8,1,12,5,4,6,14,5,8,20,22,1,26,18,20,16,7,8,2,1,-,29,12,10,12,13,-,17,32,2,16,2,6,3,7,48,14,9,17,19,21,14,7,5,5,21,8,-,9,-,28,-
"number, 2022","776,077",227,581,140,169,(D),132,133,14,154,24,54,(D),495,"48,375",(D),"490,974",173,825,417,85,(D),42,-,60,235,266,527,99,(D),-,237,246,100,226,(D),(D),66,669,413,169,137,76,158,137,90,154,181,112,446,276,98,176,123,333,-
2017,"1,145,063",548,648,-,139,(D),168,38,160,71,228,(D),"236,000",844,(D),(D),"724,712",236,198,249,104,184,(D),(D),-,446,170,181,443,(D),-,242,484,(D),233,(D),(D),47,193,799,348,102,135,254,486,240,120,145,112,343,88,-,159,-,341,-
"Broilers and other meat-type chickens                         farms, 2022",565,12,21,2,10,2,10,8,2,4,8,8,15,10,20,4,55,25,17,15,7,8,4,-,1,34,9,18,16,16,-,15,16,14,7,4,19,11,5,21,11,4,4,5,4,10,8,1,6,10,8,1,2,2,15,1
2017,600,12,26,-,8,7,6,5,2,7,4,10,26,13,39,4,70,14,15,14,3,9,7,-,3,17,4,7,6,18,2,10,15,19,7,2,27,-,3,35,18,2,4,11,6,11,5,1,2,22,7,5,5,6,19,-
"number, 2022","10,796,272",187,"1,950",(D),"1,260",(D),200,91,(D),83,740,35,"1,210,991","1,325","2,094,947",34,"5,640,811",323,482,174,172,91,66,-,(D),"1,843",44,736,184,"496,176",-,747,202,482,192,126,"1,327,073",601,965,669,252,9,118,33,49,"10,048",84,(D),219,191,430,(D),(D),(D),278,(D)
2017,"12,561,639",177,"2,966",-,71,610,44,69,(D),75,75,117,"2,359,648",205,"1,925,426","1,065","5,050,982",393,129,"1,377",31,340,128,-,105,237,(D),199,26,"745,700",(D),328,562,243,138,(D),"2,454,093",-,252,"5,137",609,(D),80,138,125,"7,154",362,(D),(D),370,103,242,70,57,311,-
"Turkeys                                                                              farms, 2022",429,9,13,-,6,1,14,2,1,3,12,4,7,5,32,2,19,22,4,20,2,8,1,-,4,18,9,15,4,15,-,13,17,5,2,-,18,1,4,27,9,9,3,7,3,15,7,3,3,7,6,-,5,2,11,-
2017,392,10,27,3,2,-,-,2,1,6,4,2,5,9,41,-,23,13,4,10,2,9,1,-,-,2,3,5,5,3,-,1,22,12,3,7,30,-,4,17,8,7,9,11,7,8,2,4,1,10,4,4,5,5,19,-
"number, 2022","1,243,827",46,751,-,16,(D),57,(D),(D),27,48,22,17,(D),(D),(D),"482,721","39,074",9,188,(D),99,(D),-,12,137,60,109,14,116,-,45,"45,052",45,(D),-,"380,907",(D),22,136,42,36,12,15,(D),38,43,8,22,32,26,-,31,(D),32,-
2017,"1,454,873",47,199,14,(D),-,-,(D),(D),48,14,(D),82,"349,779",(D),-,"538,440",155,20,117,(D),28,(D),-,-,(D),6,13,62,7,-,(D),(D),40,13,17,"552,548",-,35,94,28,16,32,28,16,69,(D),14,(D),61,26,12,33,11,98,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,556",53,73,10,31,9,31,10,6,35,19,19,28,37,41,2,55,53,54,44,24,31,4,-,4,65,32,39,12,44,-,49,54,20,29,4,45,14,16,66,65,30,17,20,36,38,23,8,18,35,18,3,23,12,46,2
2017,"1,434",65,105,5,25,3,13,25,12,29,15,23,35,31,70,5,45,46,47,38,26,19,12,-,3,26,25,32,18,32,-,38,52,10,27,12,32,14,19,62,28,35,39,28,36,17,27,2,2,39,15,3,9,13,45,-
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","2,909",79,124,10,51,15,70,31,20,42,35,27,61,83,134,13,162,99,83,67,41,59,10,-,3,99,53,86,37,75,-,83,87,48,53,21,96,34,62,116,91,37,53,36,50,48,45,14,29,65,33,8,37,31,61,2
2017,"3,020",97,133,18,40,20,31,40,9,35,41,19,94,77,136,11,178,95,88,90,36,41,14,1,3,65,69,93,42,82,-,92,92,28,32,18,92,32,65,156,86,71,55,48,64,34,68,14,21,61,39,14,22,26,92,-
"Layers sold                                                                        farms, 2022",549,18,30,3,12,6,21,2,5,2,4,2,18,11,36,-,49,10,6,18,6,16,1,-,-,9,10,16,4,14,-,8,7,4,10,3,33,-,13,18,16,2,9,5,10,5,9,1,2,20,8,1,5,15,16,-
2017,552,9,27,10,7,1,5,11,7,2,8,1,24,19,22,1,33,31,13,21,4,14,3,1,-,1,5,25,9,12,-,18,13,6,3,3,16,11,8,25,10,8,3,9,9,10,14,2,3,7,19,-,6,4,19,-
"number, 2022","1,412,601",290,"1,918",24,279,79,425,(D),268,(D),"2,020",(D),"207,067",766,"150,155",-,"592,718",165,82,161,74,770,(D),-,-,(D),200,669,(D),"51,608",-,68,128,102,126,(D),"396,452",-,914,610,665,(D),274,353,452,34,118,(D),(D),184,180,(D),28,128,519,-
2017,"1,137,007",174,"3,267","2,646",99,(D),132,179,429,(D),50,(D),"287,776","2,227","46,669",(D),"441,028",442,518,"1,928",98,154,65,(D),-,(D),(D),"1,679",268,"71,127",-,331,349,"3,139",40,332,"252,216",176,464,"6,154",208,196,6,"1,036",920,564,166,(D),93,110,(D),-,138,98,786,-
"Pullets for laying flock replacement sold                      farms, 2022",71,-,4,2,-,-,5,-,-,-,-,-,3,2,2,-,16,-,2,2,-,-,-,-,-,-,-,3,-,3,-,-,-,5,6,-,2,-,-,-,-,-,-,-,1,1,-,-,1,4,1,1,-,-,5,-
2017,112,-,-,-,1,-,-,-,1,-,-,-,8,9,2,-,25,-,4,2,-,-,1,-,-,12,-,2,-,6,-,6,1,1,2,-,2,-,3,5,2,-,-,1,4,4,2,-,-,-,2,-,2,-,2,-
"number, 2022","1,384,049",-,138,(D),-,-,36,-,-,-,-,-,(D),(D),(D),-,"956,050",-,(D),(D),-,-,-,-,-,-,-,(D),-,"150,000",-,-,-,85,42,-,(D),-,-,-,-,-,-,-,(D),(D),-,-,(D),(D),(D),(D),-,-,34,-
2017,"2,134,016",-,-,-,(D),-,-,-,(D),-,-,-,"362,000",366,(D),-,"1,424,660",-,32,(D),-,-,(D),-,-,300,-,(D),-,"180,661",-,96,(D),(D),(D),-,(D),-,200,(D),(D),-,-,(D),81,"1,020",(D),-,-,-,(D),-,(D),-,(D),-
"Broilers and other meat-type chickens sold                farms, 2022",334,1,8,-,9,2,2,3,1,-,-,2,17,5,20,6,58,-,15,17,2,7,3,-,-,14,4,2,11,13,-,14,-,6,-,-,20,6,4,17,1,1,2,1,5,-,5,1,2,4,3,1,-,6,13,-
2017,308,2,16,-,1,6,3,-,2,4,-,-,29,10,33,3,69,2,-,6,-,-,-,-,3,2,1,-,3,16,-,8,1,-,-,-,29,-,3,10,6,2,1,1,-,9,10,-,1,-,3,2,1,1,9,-
"number, 2022","70,182,475",(D),(D),-,"1,324",(D),(D),150,(D),-,-,(D),"9,600,433","1,430","11,395,162",420,"34,638,699",-,492,449,(D),"1,586",150,-,-,871,160,(D),47,"5,903,824",-,722,-,18,-,-,"8,623,298",864,840,"5,152",(D),(D),(D),(D),"1,003",-,304,(D),(D),180,115,(D),-,300,606,-
2017,"84,728,299",(D),"9,126",-,(D),600,610,-,(D),57,-,-,"15,147,932",540,"11,119,470","1,020","36,493,578",(D),-,260,-,-,-,-,30,(D),(D),-,150,"5,073,645",-,302,(D),-,-,-,"16,859,485",-,(D),"6,270",250,(D),(D),(D),-,"11,228",642,-,(D),-,45,(D),(D),(D),142,-
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",217,1,7,-,9,2,2,3,1,-,-,2,-,5,8,6,1,-,15,17,2,7,3,-,-,14,4,2,11,2,-,14,-,6,-,-,1,6,4,17,1,1,2,1,5,-,5,1,2,4,3,1,-,6,13,-
"2,000 to 59,999.....................................................................",1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",11,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",37,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,19,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",66,-,-,-,-,-,-,-,-,-,-,-,10,-,10,-,32,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",167,2,6,-,4,1,2,-,-,-,-,-,6,3,14,-,16,10,1,8,1,1,-,-,-,3,2,3,2,6,-,2,6,-,-,1,20,-,-,8,1,2,2,-,-,13,5,-,1,5,-,-,-,-,10,-
2017,130,1,9,2,-,-,-,2,1,6,-,-,4,5,11,-,18,2,-,1,-,-,-,-,-,2,2,1,-,-,-,-,3,-,2,1,28,-,1,12,2,-,2,-,1,2,-,3,-,-,-,-,-,-,6,-
"number, 2022","4,043,038",(D),(D),-,32,(D),(D),-,-,-,-,-,(D),(D),(D),-,"1,844,076","117,032",(D),190,(D),(D),-,-,-,45,(D),(D),(D),32,-,(D),"45,009",-,-,(D),"1,460,018",-,-,(D),(D),(D),(D),-,-,46,7,-,(D),16,-,-,-,-,20,-
2017,"4,163,871",(D),"1,441",(D),-,-,-,(D),(D),51,-,-,49,"311,755","1,049",-,"2,075,810",(D),-,(D),-,-,-,-,-,(D),(D),(D),-,-,-,-,(D),-,(D),(D),"1,762,576",-,(D),(D),(D),-,(D),-,(D),(D),-,144,-,-,-,-,-,-,14,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",329,3,13,2,5,2,6,3,-,2,-,3,16,5,14,-,48,10,7,9,3,5,-,-,-,11,5,11,-,13,-,8,8,-,3,-,33,-,2,14,8,1,2,2,5,4,7,4,2,13,9,1,2,-,5,-
2017,336,28,26,2,3,-,2,1,2,4,1,3,22,1,8,3,32,9,5,8,6,-,1,-,-,6,3,10,2,9,-,6,11,1,5,6,18,-,3,17,10,3,2,4,10,4,8,3,-,6,4,-,3,1,14,-
