Item,Illinois,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Cook,Crawford,Cumberland,De Kalb,De Witt,Douglas,Du Page,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo Daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,La Salle,Lawrence,Lee,Livingston,Logan,McDonough,McHenry,McLean,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock Island,St. Clair,Saline,Sangamon,Schuyler,Scott,Shelby,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford
100 to 399.............................................................................,151,3,1,4,1,-,-,-,1,-,1,-,-,-,4,-,3,-,-,-,3,1,-,-,1,-,-,1,-,6,-,-,1,-,1,-,-,5,-,-,-,-,-,1,-,4,1,-,2,-,6,-,4,2,-,-,19,8,-,2,3,2,-,-,-,-,-,2,-,-,1,6,4,1,1,-,1,-,2,-,3,-,-,-,2,1,-,1,1,-,3,4,-,-,-,-,-,-,5,5,3,5,9
"400 to 3,199..........................................................................",49,3,-,-,-,2,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,1,-,3,-,-,2,1,-,-,-,-,-,1,-,1,-,-,-,5,-,-,-,-,-,2,-,-,-,1,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,1,4,-,-,-
"3,200 to 9,999.......................................................................",8,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000 to 19,999...................................................................",15,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-
"20,000 to 49,999...................................................................",15,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
"50,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pullets for laying flock replacement                              farms, 2022",680,7,-,2,5,2,15,1,5,-,16,11,4,9,5,2,3,2,3,16,5,3,6,-,10,7,2,4,8,6,-,7,1,-,-,4,-,7,10,5,4,12,-,8,18,6,12,4,6,10,17,-,4,8,2,3,35,12,6,16,22,6,6,7,-,-,7,15,1,1,1,16,7,2,6,2,4,-,1,10,6,3,13,-,6,1,3,6,1,13,14,13,5,1,6,7,9,1,24,26,10,7,15
2017,524,5,1,11,8,-,8,-,1,4,4,-,2,5,3,-,2,2,2,10,-,6,2,1,1,3,3,3,1,16,-,1,6,3,3,2,5,6,6,12,12,3,6,5,2,6,6,4,3,7,3,2,7,7,1,4,19,6,4,11,21,4,4,5,-,8,6,9,9,4,10,8,9,2,8,-,3,-,1,5,-,7,12,9,5,2,2,13,-,4,15,7,1,2,3,1,6,1,18,15,7,5,7
"number, 2022","700,533",82,-,(D),250,(D),(D),(D),178,-,270,127,79,66,489,(D),150,(D),30,262,65,(D),54,-,85,101,(D),113,140,76,-,105,(D),-,-,220,-,80,438,146,32,186,-,126,220,320,168,75,18,160,265,-,117,81,(D),(D),"1,270",313,140,240,234,(D),65,61,-,-,62,566,(D),(D),(D),731,130,(D),361,(D),250,-,(D),132,172,26,710,-,262,(D),80,135,(D),(D),"1,300",296,18,(D),97,42,165,(D),(D),"1,459",128,230,(D)
2017,"480,350",262,(D),811,"1,057",-,(D),-,(D),54,28,-,(D),33,34,-,(D),(D),(D),166,-,"1,910",(D),(D),(D),55,18,100,(D),859,-,(D),183,59,64,(D),69,225,40,316,71,22,248,118,(D),122,104,37,34,285,65,(D),234,327,(D),103,390,345,50,164,320,47,186,98,-,103,79,143,100,114,"61,101",(D),114,(D),"2,050",-,75,-,(D),50,-,70,228,180,198,(D),(D),318,-,(D),432,102,(D),(D),22,(D),(D),(D),(D),120,179,61,(D)
"Broilers and other meat-type chickens                         farms, 2022",546,4,-,8,6,7,16,-,4,1,3,4,5,-,5,7,3,8,2,24,3,4,6,-,-,12,4,-,1,2,-,3,-,-,-,-,-,5,11,2,3,9,-,14,1,3,26,9,7,2,14,2,1,6,-,6,41,6,4,8,3,4,-,2,-,6,5,-,2,4,16,6,3,4,-,5,1,1,1,4,-,1,24,4,5,3,-,4,4,11,20,1,6,-,10,-,12,6,16,7,3,11,9
2017,509,9,7,5,15,4,12,-,2,3,6,-,-,3,4,2,-,1,2,5,4,7,1,-,1,2,3,2,4,-,-,-,8,1,1,-,2,11,4,7,6,18,1,5,3,10,6,8,3,4,9,2,10,12,1,16,23,3,2,8,6,4,3,4,6,-,2,-,7,3,4,13,4,5,-,6,2,2,-,11,4,14,10,3,6,-,2,4,1,7,11,6,6,1,4,-,11,3,14,11,6,12,3
"number, 2022","288,560","1,828",-,180,120,302,888,-,55,(D),417,51,111,-,(D),234,150,220,(D),"2,113",150,"22,400",132,-,-,635,80,-,(D),(D),-,45,-,-,-,-,-,260,646,(D),174,388,-,567,(D),80,"1,774",402,172,(D),332,(D),(D),"5,237",-,521,"1,224",24,620,365,86,48,-,(D),-,690,67,-,(D),"3,902","64,861",118,55,50,-,106,(D),(D),(D),62,-,(D),650,(D),930,(D),-,75,200,"1,025","3,370",(D),"6,912",-,243,-,189,150,"1,130","30,135",3,"2,661",810
2017,"198,518",571,115,108,296,36,600,-,(D),(D),199,-,-,70,31,(D),-,(D),(D),116,240,"30,625",(D),-,(D),(D),57,(D),33,-,-,-,118,(D),(D),-,(D),279,257,157,162,"1,246",(D),129,18,165,487,245,106,650,200,(D),366,"3,266",(D),562,"1,101",(D),(D),101,154,83,20,175,63,-,(D),-,148,168,"10,519",618,190,136,-,112,(D),(D),-,369,100,"1,151",115,(D),225,-,(D),34,(D),315,993,177,520,(D),80,-,(D),19,359,125,81,510,740
"Turkeys                                                                              farms, 2022",437,4,-,9,3,-,10,-,3,-,-,7,1,-,4,2,1,13,1,3,6,1,1,-,-,7,3,1,7,1,-,4,3,2,-,2,-,3,7,6,3,4,4,7,13,1,15,4,9,7,14,12,3,9,2,1,31,-,-,8,7,2,1,2,-,-,5,-,3,-,6,9,6,4,5,2,7,-,-,9,1,5,6,-,4,1,-,1,2,9,8,1,5,2,3,3,14,-,18,13,-,5,6
2017,408,2,-,2,8,-,8,2,2,-,4,1,1,2,1,3,7,7,1,10,2,3,3,1,1,9,1,1,3,5,-,-,3,-,3,-,-,3,8,6,7,7,5,1,5,5,6,2,-,18,8,7,12,6,2,6,20,5,1,8,6,5,6,2,-,2,1,-,1,1,1,4,2,4,-,2,5,2,-,13,13,6,3,3,11,-,-,4,-,5,5,2,-,-,6,2,11,-,3,6,2,20,5
"number, 2022","986,321",4,-,36,41,-,116,-,26,-,-,35,(D),-,451,(D),(D),"100,064",(D),43,53,(D),(D),-,-,23,11,(D),(D),(D),-,97,129,(D),-,(D),-,(D),53,10,15,(D),6,14,80,(D),137,78,16,34,62,"291,016",15,"110,759",(D),(D),430,-,-,(D),19,(D),(D),(D),-,-,49,-,6,-,(D),34,8,12,11,(D),16,-,-,102,(D),24,(D),-,(D),(D),-,(D),(D),48,(D),(D),9,(D),48,13,"282,320",-,122,85,-,99,(D)
2017,"819,364",(D),-,(D),23,-,47,(D),(D),-,48,(D),(D),(D),(D),29,69,(D),(D),(D),(D),105,8,(D),(D),58,(D),(D),"75,000",15,-,-,10,-,7,-,-,8,32,54,13,(D),29,(D),7,77,44,(D),-,181,40,"223,560",551,"9,686",(D),32,392,20,(D),(D),118,22,59,(D),-,(D),(D),-,(D),(D),(D),22,(D),31,-,(D),19,(D),-,(D),"160,624",26,26,14,152,-,-,14,-,41,(D),(D),-,-,6,(D),"217,584",-,46,76,(D),126,(D)
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry                                                                              farms, 2022","1,547",10,1,16,30,11,17,-,15,3,29,17,8,2,15,11,6,9,5,11,13,5,6,7,12,21,11,9,12,14,-,10,11,7,6,1,4,23,22,21,6,18,7,23,21,22,26,20,7,24,58,4,15,23,11,12,98,19,7,23,27,10,13,7,6,2,9,12,20,5,6,23,23,5,2,2,4,3,-,29,6,25,34,11,15,5,2,22,4,50,18,19,21,4,14,16,34,11,19,60,14,33,27
2017,"1,259",9,2,22,6,-,15,4,5,5,17,4,12,9,8,13,7,9,4,30,6,7,-,10,6,18,16,5,2,22,-,5,15,8,2,3,8,12,15,18,10,19,10,9,20,24,7,11,14,18,27,3,25,17,3,18,67,21,7,24,28,13,10,-,13,6,4,16,11,6,16,11,12,10,3,8,11,2,4,33,10,17,28,15,12,9,2,18,2,16,15,11,8,-,20,4,12,8,21,26,16,40,19
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","3,148",37,2,25,49,14,58,6,26,1,50,24,21,15,43,14,16,19,8,58,18,35,17,19,4,36,27,11,21,44,-,11,25,3,28,4,11,46,53,52,9,33,11,30,40,43,56,28,42,22,87,27,35,42,14,16,180,54,19,55,46,26,26,6,10,11,15,30,26,11,46,50,53,14,23,12,13,3,5,32,19,32,64,12,29,8,9,35,12,74,45,20,28,6,48,18,51,19,62,98,46,84,77
2017,"2,710",24,9,49,39,3,35,9,14,6,37,15,15,14,17,6,28,18,16,46,28,47,7,6,7,34,35,9,10,33,-,13,24,9,12,4,21,33,27,48,20,33,31,27,25,45,44,30,17,37,46,19,45,28,12,31,113,36,7,41,32,39,36,4,13,6,17,29,29,18,35,61,41,17,15,12,13,10,4,41,26,27,51,27,40,5,4,30,10,54,57,15,26,5,45,6,40,8,37,71,42,62,56
"Layers sold                                                                        farms, 2022",519,5,-,7,11,7,4,-,-,-,8,5,7,1,14,-,4,-,2,2,6,7,-,5,3,2,4,1,-,10,-,3,2,1,3,1,10,5,7,19,-,3,2,-,7,5,4,3,5,4,10,2,8,5,-,4,32,8,9,5,5,2,-,-,-,-,-,3,3,1,13,18,19,-,10,-,2,1,2,-,7,12,7,3,5,3,-,15,-,13,6,4,10,-,13,3,6,2,12,7,5,10,15
2017,521,-,1,4,9,1,6,2,3,-,9,2,4,5,3,-,7,4,-,8,7,8,2,1,1,6,2,2,1,11,-,1,5,2,-,1,4,5,8,11,3,2,5,4,3,10,10,7,8,13,5,4,6,12,1,5,28,9,1,3,5,7,13,-,-,2,8,2,7,-,10,10,3,2,4,1,2,-,2,6,2,3,16,13,3,-,1,4,2,14,15,5,6,2,6,1,6,-,10,14,7,6,16
"number, 2022","3,274,145","1,024",-,49,259,66,47,-,-,-,244,500,292,(D),(D),-,200,-,(D),(D),136,385,-,965,59,(D),"4,692",(D),-,"2,164",-,285,(D),(D),192,(D),141,180,(D),"65,322",-,"4,792",(D),-,54,"1,812",(D),85,56,37,112,(D),(D),108,-,78,858,385,203,53,690,(D),-,-,-,-,-,(D),18,(D),256,(D),"1,411",-,188,-,(D),(D),(D),-,317,273,112,(D),280,24,-,223,-,(D),197,105,360,-,203,60,186,(D),"69,837",499,(D),74,"2,182"
2017,"3,211,719",-,(D),325,198,(D),(D),(D),121,-,(D),(D),76,109,(D),-,116,51,-,681,393,"6,480",(D),(D),(D),116,(D),(D),(D),"1,283",-,(D),7,(D),-,(D),138,196,(D),"38,959",120,(D),210,58,26,"1,077",(D),282,109,176,153,16,(D),"1,436",(D),109,681,265,(D),110,74,(D),505,-,-,(D),39,(D),59,-,377,(D),125,(D),(D),(D),(D),-,(D),81,(D),114,222,"75,348",108,-,(D),56,(D),(D),493,(D),24,(D),50,(D),(D),-,(D),262,(D),199,(D)
"Pullets for laying flock replacement sold                      farms, 2022",60,1,-,-,-,-,1,-,-,-,1,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,1,9,-,1,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,2,-,-,-,-,6,2,-,2,-,-,6,-,-,-,-,4,-,-,-,-,-,4,2,1,-,2
2017,70,-,-,-,-,-,2,-,-,-,2,1,2,-,1,-,2,-,-,2,-,2,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,1,1,-,3,-,-,3,-,-,-,-,-,1,-,2,2,1,-,-,1,-,-,-,2,2,-,-,-,-,-,-,-,1,6,2,1,-,8,-,-,-,1,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,1,-,-,1
"number, 2022","237,263",(D),-,-,-,-,(D),-,-,-,(D),-,(D),-,(D),(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,25,-,-,-,-,-,-,-,(D),656,-,(D),-,-,-,-,-,-,-,-,-,-,-,(D),(D),-,-,-,-,(D),-,-,-,-,90,(D),-,(D),-,-,150,-,-,-,-,100,-,-,-,-,-,(D),(D),(D),-,(D)
2017,"416,910",-,-,-,-,-,(D),-,-,-,(D),(D),(D),-,(D),-,(D),-,-,(D),-,(D),-,-,-,-,-,-,-,(D),-,-,-,55,-,-,-,(D),(D),-,90,-,-,98,-,-,-,-,-,(D),-,(D),(D),(D),-,-,(D),-,-,-,(D),(D),-,-,-,-,-,-,-,(D),"128,825",(D),(D),-,"1,480",-,-,-,(D),20,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D),(D),-,(D),(D),-,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",548,1,1,6,15,7,9,-,8,-,5,3,1,6,4,6,3,-,-,19,3,7,6,3,-,7,-,1,-,5,-,5,6,-,7,-,2,6,19,3,-,-,1,8,1,3,17,4,2,2,16,8,2,3,-,1,42,6,7,6,3,2,2,-,-,6,2,6,3,4,14,9,15,-,4,-,1,-,1,1,-,7,12,1,5,4,-,-,3,16,12,-,11,-,17,-,3,7,16,19,-,15,24
2017,217,2,1,-,4,-,2,-,3,2,8,2,2,-,2,-,-,1,1,5,1,7,1,1,1,-,2,1,1,7,-,1,1,1,-,-,3,6,4,1,3,-,-,4,2,3,5,3,1,1,4,-,5,6,1,-,13,3,1,1,2,3,2,-,-,1,1,-,-,2,6,4,3,1,2,1,-,-,1,5,1,3,2,1,4,-,-,1,-,5,4,2,2,-,5,-,2,-,9,6,1,2,3
"number, 2022","1,121,454",(D),(D),150,884,320,256,-,325,-,"1,090",36,(D),300,"5,422",210,150,-,-,"1,568",150,"102,600",600,"4,998",-,635,-,(D),-,140,-,400,"1,491",-,153,-,(D),400,"6,452",60,-,-,(D),211,(D),"21,372","1,716",105,(D),(D),"5,155",466,(D),(D),-,(D),"7,645","4,500",535,"1,380",(D),(D),(D),-,-,690,(D),180,140,"3,905","257,908",440,"2,079",-,184,-,(D),-,(D),(D),-,310,"10,600",(D),780,(D),-,-,"3,675","1,381","2,471",-,"17,400",-,852,-,50,168,"1,063",(D),-,"1,476","7,824"
2017,"847,871",(D),(D),-,(D),-,(D),-,76,(D),"2,392",(D),(D),-,(D),-,-,(D),(D),863,(D),"88,650",(D),(D),(D),-,(D),(D),(D),320,-,(D),(D),(D),-,-,74,435,(D),(D),60,-,-,(D),(D),(D),"1,200",250,(D),(D),(D),-,(D),"3,680",(D),-,445,(D),(D),(D),(D),(D),(D),-,-,(D),(D),-,-,(D),"60,096",170,195,(D),(D),(D),-,-,(D),111,(D),242,(D),(D),230,-,-,(D),-,86,(D),(D),(D),-,266,-,(D),-,483,609,(D),(D),(D)
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",511,1,1,6,15,7,9,-,8,-,5,3,1,6,4,6,3,-,-,19,3,-,6,3,-,7,-,1,-,5,-,5,6,-,7,-,2,6,16,3,-,-,1,8,1,-,17,4,2,2,15,8,2,3,-,1,42,6,7,6,3,2,2,-,-,6,2,6,3,4,1,9,15,-,4,-,1,-,1,1,-,7,9,-,5,4,-,-,3,16,12,-,8,-,17,-,3,7,16,16,-,15,24
"2,000 to 59,999.....................................................................",36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",231,-,-,-,1,-,7,-,2,-,2,3,1,-,3,2,1,3,-,3,-,1,-,-,-,2,-,1,3,2,-,5,8,-,1,-,-,1,6,3,-,5,2,3,3,4,8,3,-,-,11,8,1,7,-,-,30,-,-,2,4,-,-,1,-,-,2,-,1,-,1,5,4,-,-,-,-,-,-,-,1,-,3,-,1,1,-,-,3,6,5,1,4,-,3,1,8,-,13,-,-,6,9
2017,178,2,-,-,5,-,-,-,2,-,5,1,1,2,2,2,2,4,-,2,2,6,1,-,-,-,-,2,3,2,-,-,-,-,1,-,-,1,5,5,4,2,2,1,-,4,3,2,-,7,2,7,11,5,1,-,10,-,-,4,2,-,3,-,-,1,-,-,1,-,2,2,1,1,-,-,-,-,-,1,7,-,1,-,3,-,-,1,-,3,3,1,-,-,4,2,9,-,1,3,-,-,3
"number, 2022","2,855,608",-,-,-,(D),-,127,-,(D),-,(D),3,(D),-,450,(D),(D),"240,000",-,(D),-,(D),-,-,-,(D),-,(D),(D),(D),-,16,529,-,(D),-,-,(D),288,6,-,(D),(D),9,15,"2,436",190,45,-,-,215,"735,839",(D),"332,177",-,-,660,-,-,(D),20,-,-,(D),-,-,(D),-,(D),-,(D),8,174,-,-,-,-,-,-,-,(D),-,600,-,(D),(D),-,-,822,22,(D),(D),8,-,18,(D),"865,004",-,129,-,-,104,(D)
